Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position
1,1,47037,176,118,44773
1,137,50074,189,3,47909
0,122,487691,30,18,485538
0,124,7225,104,101,4853
0,13,669010,130,16,666635
1,15,2335,169,12,101
0,76,2976,161,76,781
0,136,1159648,141,41,1157084
1,67,140815,228,11,140096
1,61,3637,160,33,1680
1,124,17152,134,109,14774
0,17,3774,17,64,1570
1,32,8253,101,41,6340
0,43,477141,197,7,476586
1,124,4334,93,98,1968
1,12,20192,201,29,18165
0,49,636865,78,20,634829
1,2,391932,7,57,389746
0,8,1152,13,60,1
1,94,122003,229,11,119982
1,110,6765,192,79,4204
1,113,6868,183,119,4559
0,124,3468,69,95,1171
0,28,2352753,128,52,2351474
1,44,85349,65,4,84366
1,141,303473,215,12,301437
1,14,49973,25,23,48072
0,124,6110,98,100,3849
1,44,9061,54,72,6806
1,124,6479,133,108,5838
0,35,369971,59,54,367785
1,73,19107,103,43,16912
1,63,316113,226,11,313945
1,50,5333,20,65,3093
1,132,4679,112,39,2307
0,16,2152465,190,51,2150273
0,33,1347,22,67,4
1,124,3770,49,88,732
0,83,23314,236,2,21104
0,6,763294,174,26,761027
0,82,411395,36,13,410220
1,133,51771,234,35,49540
0,127,469090,33,1,466913
0,129,909502,73,34,907241
1,84,68193,145,25,66007
1,105,315631,214,12,313523
1,65,10067,27,44,8418
0,43,609383,77,20,607077
1,3,351915,199,56,350539
0,107,400277,26,10,398004
0,27,702444,211,22,701878
1,29,369509,60,13,367296
1,78,3147,42,83,535
0,43,526037,38,3,525222
1,27,57522,124,22,55348
0,16,1375691,118,44,1373202
0,117,19404,198,121,17227
1,123,66424,233,35,64094
1,68,6576,164,117,4354
0,124,4947,45,85,2638
0,0,399311,89,14,397290
0,47,646569,181,12,644707
1,50,20107,67,49,17801
0,71,2123600,85,51,2121408
0,18,2949,221,123,565
1,30,654471,74,51,652312
1,23,828777,106,46,827212
1,85,27070,138,16,24536
1,105,311650,213,12,309482
1,109,16283,184,78,15441
0,124,5683,55,92,3845
0,26,477984,148,5,475453
0,40,1178466,114,42,1176085
0,118,22657,143,112,20729
1,103,60946,144,52,58898
1,116,34512,88,97,32440
0,38,1028709,166,39,1026565
1,40,224206,200,34,222371
1,28,92121,137,40,90979
0,21,731499,32,23,729406
1,124,7491,125,22,5182
1,55,1036,14,62,2
1,48,14203,56,32,11819
0,38,5726,0,124,3723
0,74,471716,219,5,470270
1,30,1909430,127,51,1907460
0,64,669243,186,18,667156
1,134,18709,34,27,16532
1,34,18062,131,107,16122
0,99,668634,154,24,666520
