Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Host_Taxon
1,10367781,109,109,13,39,8,10366297,4
0,13110183,49,49,1,2,7,13108690,3
0,1537359,16,16,1,6,7,1535937,3
1,6873317,93,93,13,20,8,6870258,4
1,13800591,120,120,13,29,18,13799374,4
0,9534947,104,104,13,28,13,9531795,4
1,5758988,24,24,1,0,25,5757861,3
1,81654,9,9,6,18,21,80512,2
1,23853903,180,180,13,39,12,23852545,4
1,16959828,144,144,13,39,5,16958119,4
1,174089,4,4,2,35,22,167799,1
1,3888303,19,19,1,44,25,3887290,3
1,11930294,115,115,13,39,8,11928846,4
1,99081,2,2,2,35,0,91365,1
0,7436601,97,97,13,30,13,7431780,4
0,4822884,23,23,1,17,25,4821965,3
1,15572469,131,131,13,21,8,15571309,4
0,13113318,50,50,1,9,25,13110727,3
0,9897110,107,107,13,22,13,9895189,4
0,8346935,100,100,13,20,8,8345610,4
1,21338975,167,167,13,24,12,21337707,4
1,16271105,139,139,13,36,8,16270171,4
1,8749,187,187,12,24,23,7319,4
1,24325727,183,183,13,20,5,24324600,4
1,14737741,52,52,1,14,7,14736827,3
0,8123260,35,35,1,31,20,8119900,3
0,22034406,172,172,13,21,5,22033199,4
0,7470439,31,31,1,0,7,7468958,3
1,7438734,98,98,13,20,8,7437391,4
1,1555909,17,17,1,7,7,1553879,3
0,18624824,151,151,13,40,12,18623627,4
1,15718387,134,134,13,39,8,15717122,4
1,1377494,64,64,13,44,8,1376007,4
1,7409936,30,30,1,5,17,7408131,3
1,19068634,154,154,13,20,5,19067516,4
0,8477276,37,37,1,16,25,8475756,3
1,3748838,73,73,13,20,8,3747495,4
1,16290323,140,140,13,41,26,16287284,4
1,7726763,34,34,1,44,7,7725846,3
1,12055523,116,116,13,21,8,12054483,4
0,20537413,161,161,13,20,12,20536571,4
0,3991758,6,6,4,2,1,3988690,1
0,5564839,83,83,13,40,11,5563799,4
1,11526257,43,43,1,8,7,11525184,3
0,9633706,105,105,13,21,11,9632528,4
0,21494170,168,168,13,20,12,21492995,4
1,16629275,142,142,13,20,12,16628019,4
0,22370663,173,173,13,40,5,22368995,4
1,9818594,39,39,1,0,25,9817575,3
1,14962588,128,128,13,20,8,14961311,4
0,1190069,63,63,13,40,11,1189272,4
1,6206204,25,25,1,45,7,6205003,3
0,196430,5,5,2,35,10,190759,1
1,6273200,87,87,13,21,11,6272185,4
0,3320883,71,71,13,24,6,3319447,4
1,1394797,65,65,13,21,8,1393953,4
0,20921047,165,165,13,40,12,20919837,4
0,23094018,178,178,13,21,12,23092635,4
1,2196289,69,69,13,33,13,2194207,4
1,5133342,7,7,5,35,16,5130638,1
0,1681418,12,12,8,21,15,1679283,2
0,13085487,48,48,1,13,7,13081270,3
0,19533804,158,158,13,22,18,19532201,4
1,9395484,103,103,13,20,11,9394522,4
1,1115867,10,10,9,21,9,1114074,2
0,15555713,130,130,13,20,11,15554583,4
1,157156,55,55,13,20,11,156131,4
0,20629260,162,162,13,20,12,20624929,4
1,9713721,106,106,13,21,8,9711766,4
0,20644984,164,164,13,21,12,20643740,4
0,21910490,171,171,13,40,12,21909174,4
1,13184258,51,51,1,31,20,13181388,3
1,11528056,44,44,1,0,7,11526539,3
1,5654798,85,85,13,22,18,5652840,4
1,10166666,40,40,1,3,25,10162488,3
0,18805214,152,152,13,21,12,18803756,4
0,16126477,137,137,13,21,11,16125630,4
1,18902845,153,153,13,21,5,18901746,4
1,17430624,149,149,13,37,12,17429500,4
1,24166126,181,181,13,20,5,24164795,4
1,20643501,163,163,13,25,13,20641411,4
1,15699505,133,133,13,20,8,15698438,4
0,12991286,47,47,1,31,20,12990102,3
1,9281160,38,38,1,31,20,9279771,3
0,2148612,68,68,13,20,11,2147431,4
0,1535813,15,15,1,44,7,1533903,3
1,12080076,46,46,1,4,25,12076498,3
0,20186152,160,160,13,20,12,20185019,4
1,14716347,127,127,13,42,13,14714348,4
1,23555821,179,179,13,20,5,23554982,4
1,17204565,147,147,13,39,5,17202847,4
1,17856906,150,150,13,21,12,17855965,4
1,8353309,101,101,13,24,11,8351207,4
0,7252507,28,28,1,15,20,7251456,3
0,14311528,124,124,13,19,13,14310041,4
1,22703905,176,176,13,22,13,22702368,4
1,690524,0,0,0,18,3,690027,0
1,10473550,42,42,1,2,25,10471814,3
1,12909233,118,118,13,39,11,12907977,4
1,8501731,102,102,13,21,11,8500823,4
0,13635433,119,119,13,40,8,13634168,4
1,5418484,81,81,13,34,11,5417666,4
1,4787700,77,77,13,20,8,4786735,4
0,6830368,92,92,13,20,11,6828929,4
1,1983400,67,67,13,32,8,1981871,4
0,19933346,159,159,13,40,12,19929547,4
0,578294,57,57,13,39,8,576495,4
1,21500635,169,169,13,39,12,21499448,4
0,21207146,166,166,13,20,5,21206232,4
1,7308392,96,96,13,24,8,7307190,4
1,24417944,184,184,13,39,5,24416316,4
1,990467,14,14,1,13,25,986793,3
0,17302256,148,148,13,32,12,17300595,4
0,39504,54,54,13,21,11,38457,4
0,5631591,84,84,13,24,8,5630353,4
0,1988897,13,13,8,21,15,1987326,2
0,3668916,72,72,13,46,18,3665455,4
0,16333622,141,141,13,21,8,16332588,4
1,5310760,80,80,13,20,8,5309435,4
