Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
1,0,2194888,106,1,59,2192474
0,0,905310,39,1,45,902803
0,0,729858,201,0,37,727477
0,0,214887,305,1,9,212992
1,0,34372,2,0,50,33320
1,0,38223,30,0,43,36197
1,0,18751,109,1,84,16475
0,0,2120212,105,1,58,2117660
1,0,3783,84,1,25,1453
0,0,596370,276,1,11,593812
1,0,19819,122,1,0,16985
0,0,392186,225,0,11,389424
1,0,36463,116,0,16,33455
0,0,439193,286,1,46,435576
0,0,598524,92,0,7,596251
1,0,342240,153,1,59,339421
0,0,107280,48,1,19,104554
0,0,2892,67,1,106,97
0,0,478312,10,0,11,477440
0,0,46833,74,1,110,44356
0,0,670094,37,1,59,667467
0,0,2020967,178,1,56,2018517
1,0,68416,262,1,2,66416
0,0,4460,127,1,87,2295
0,0,553364,251,0,18,550602
0,0,201254,159,1,60,198909
0,0,851849,120,0,37,849015
1,0,3538,292,1,98,857
0,0,12394,303,1,150,9605
0,0,748745,35,0,30,745776
1,0,14564,60,1,81,12819
1,0,39476,268,0,143,36720
0,0,13956,216,1,90,10954
1,0,58311,298,1,57,56848
0,0,645301,275,0,11,642806
1,0,5678,128,1,122,4257
0,0,458839,16,1,11,457553
0,0,811998,312,0,40,810235
1,0,26744,325,1,43,24147
0,0,968,8,0,153,3
0,0,905988,96,1,42,903148
1,0,9121,288,1,39,6152
0,0,582104,239,1,12,579438
1,0,79885,230,1,11,77750
1,0,2982,70,1,109,445
0,0,169312,66,0,55,166550
1,0,1113039,295,1,58,1110685
0,0,531490,33,0,3,528650
0,0,4734,123,0,86,2191
0,0,710712,200,1,37,708220
0,0,367390,217,0,62,364778
1,0,56555,324,1,43,54387
0,0,18183,234,0,139,15433
0,0,4073,5,1,69,1218
1,0,15577,69,1,108,12521
0,0,2028531,266,1,58,2025571
0,0,27589,108,1,83,25172
1,0,4119,43,0,34,967
1,0,27235,148,1,30,24623
0,0,783456,79,1,34,780772
1,0,11142,111,0,120,8839
1,0,242630,118,1,23,239769
1,0,10610,173,1,129,8169
1,0,106204,279,1,18,104012
0,0,16963,47,1,100,14936
1,0,9934,86,1,49,6965
0,0,577397,7,1,28,576201
0,0,1820,9,1,155,189
0,0,485801,34,1,3,483723
1,3,11541,326,1,43,8509
0,0,619021,152,1,14,617285
1,0,13820,28,0,25,12766
0,0,2325261,42,1,59,2323705
0,0,10910,88,1,113,8910
0,0,639965,258,1,24,637563
