Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position
0,8611,118,118,1,49,68,3
1,940675,90,90,1,35,49,930293
0,566844,204,204,3,80,17,556376
1,94486,147,147,1,56,37,84056
1,19647,55,55,1,108,85,9304
1,1142692,89,89,2,29,48,1136952
1,17336,68,68,1,79,12,6891
1,6309,71,71,3,22,89,1
0,6144,63,63,1,43,86,3
0,818767,121,121,1,121,29,810066
0,252780,212,212,1,112,16,242332
0,6275,17,17,3,49,72,3
1,9243,23,23,3,11,65,3028
0,230403,211,211,1,67,10,222871
0,638425,173,173,1,47,18,628055
1,54812,5,5,1,106,32,50482
0,5690,79,79,3,127,92,3
1,6239,136,136,2,62,104,3
0,47046,58,58,3,70,67,36631
0,1352921,108,108,1,48,49,1342479
0,536745,48,48,1,104,18,531839
0,1415129,7,7,3,136,46,1406220
1,53597,31,31,1,0,57,43140
0,6877,30,30,1,83,77,2
1,82139,164,164,1,21,3,71676
1,571446,182,182,3,65,33,561022
1,97751,81,81,2,83,23,91272
1,40882,93,93,3,95,41,30431
0,64329,99,99,1,131,1,53935
0,19778,84,84,1,94,94,9420
1,409474,181,181,1,24,33,399029
0,501262,104,104,1,24,20,494255
0,1441553,107,107,1,35,49,1431102
0,796416,189,189,1,5,29,789632
0,18102,16,16,1,119,71,7759
0,635740,97,97,1,33,14,625292
1,29124,137,137,1,14,104,18715
0,510863,221,221,1,10,6,500484
0,347622,85,85,1,110,50,337195
0,8750,10,10,3,107,64,352
1,12299,146,146,3,49,106,2049
0,816094,67,67,1,92,33,805796
0,746001,145,145,1,8,31,735628
1,18044,37,37,1,10,30,13358
0,902706,96,96,1,32,38,892584
0,656937,157,157,1,1,22,646543
0,406298,26,26,1,7,31,400980
0,490459,112,112,1,49,7,480062
1,188433,129,129,1,124,10,178087
0,191125,46,46,1,13,24,180626
0,400877,72,72,2,7,31,396354
0,571102,15,15,1,105,39,563645
0,508446,160,160,1,67,10,497998
1,22907,1,2,2,22,50,17262
1,192236,130,130,3,46,28,185259
1,7036,196,196,1,126,119,1
0,1048694,138,138,1,37,41,1038261
1,14711,135,135,3,137,103,4479
1,5905,54,54,1,55,84,1
1,8139,179,179,3,59,113,1
1,15047,123,123,3,42,99,4680
0,610602,141,141,1,126,26,600223
1,46671,100,100,1,43,96,36289
0,138943,50,50,2,68,23,131411
0,682115,115,115,1,24,33,675892
0,656716,88,88,1,5,21,646334
0,56068,177,177,1,24,112,45617
0,2370774,165,165,1,94,50,2360422
1,107347,18,18,1,120,56,100946
1,364951,60,60,3,40,55,356759
1,79790,209,209,3,4,50,69342
0,698669,83,83,1,68,23,688299
0,545365,222,222,1,82,19,535076
1,7213,73,73,1,31,90,1
1,12287,133,133,3,6,101,1776
0,572820,184,184,1,128,11,566630
1,1301475,105,105,1,57,49,1291027
1,53674,205,205,1,140,58,43286
0,7785,140,140,2,45,105,1726
0,1049310,59,59,1,44,47,1038856
1,22220,224,224,1,105,39,11901
1,934030,203,203,3,28,48,926063
0,243214,169,169,1,54,33,232769
1,76316,29,29,2,78,31,71757
1,5029,28,28,2,73,76,2
0,780586,127,127,1,9,36,770171
1,12152,206,206,1,118,122,4158
1,102066,45,45,1,128,11,91621
1,19621,52,52,1,120,56,13649
1,72152,149,149,1,60,28,61794
1,600090,183,183,1,103,33,589645
0,9497,187,187,3,34,114,3
1,364064,57,57,1,24,33,353619
