Gene_Type,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Entity_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,24830,101,1,0,27,14646,1
1,79790,207,3,1,51,69342,1
0,64484,127,2,0,30,55971,1
1,127990,147,3,1,54,117557,1
0,32850,186,1,0,9,28143,1
0,207695,53,1,0,15,204667,0
0,36235,216,1,0,13,25871,1
0,11147,32,2,0,79,4143,0
1,1233807,177,3,1,46,1224493,1
0,30892,74,1,0,22,20468,0
0,54812,6,1,0,32,50482,1
0,311779,48,1,0,52,306168,0
0,53674,203,1,0,59,43286,1
0,21015,76,1,0,18,14486,1
0,5481,153,2,0,109,1,0
0,5231,26,1,0,66,1,1
0,89016,116,1,0,42,78604,1
1,574518,141,3,1,12,565420,0
1,27113,193,3,1,118,16665,1
0,71128,81,1,0,45,60752,1
0,347622,84,1,0,51,337195,0
0,65194,22,1,0,0,54806,0
0,6388,121,1,0,100,323,1
0,243214,167,1,0,33,232769,0
0,62219,37,1,0,82,51870,0
0,19188,33,1,0,80,11071,1
0,22103,169,1,0,33,14689,1
0,239506,159,2,0,15,231410,0
1,217558,3,3,1,25,208664,0
0,1049310,60,1,0,48,1038856,0
0,5929,148,1,0,69,3,0
1,35770,42,3,1,83,25298,1
0,5956,21,1,0,73,733,0
0,586972,45,1,0,8,576509,0
0,88568,198,1,0,120,78117,1
1,13525,106,3,1,97,3143,0
0,623676,89,1,0,12,613279,0
0,11537,175,1,0,112,1098,1
0,505288,11,1,0,4,494840,0
0,780586,126,1,0,36,770171,0
0,158064,214,1,0,13,147781,1
0,12312,195,2,0,52,7990,1
0,1352921,105,1,0,50,1342479,0
0,353296,96,2,0,52,348857,1
0,5893,35,1,0,81,1,0
0,1147531,122,1,0,43,1137248,0
1,595061,49,3,1,25,584655,0
0,1048694,137,1,0,41,1038261,0
1,214744,9,3,1,38,206012,1
0,3341,189,2,0,115,3,0
0,5467,73,2,0,91,2,0
0,225073,34,1,0,27,217409,1
0,6046,79,2,0,93,2,1
0,610602,140,1,0,26,600223,0
0,548110,151,1,0,18,541838,0
0,8611,115,1,0,68,3,0
0,2017022,5,2,0,49,2011656,0
1,566844,202,3,1,17,556376,0
0,39653,24,1,0,37,33702,1
0,19647,56,1,0,85,9304,1
1,1020605,200,3,1,49,1014285,0
0,17336,68,1,0,12,6891,1
1,6309,70,3,1,89,1,1
0,6144,64,1,0,86,3,0
0,796416,187,1,0,29,789632,0
0,252780,210,1,0,16,242332,0
1,6275,17,3,1,72,3,0
1,8750,10,3,1,65,352,0
0,230403,209,1,0,10,222871,0
0,638425,172,1,0,18,628055,0
0,34341,15,2,0,32,26002,1
1,5690,78,3,1,92,3,0
0,6239,135,2,0,104,3,1
1,47046,59,3,1,67,36631,0
0,1301475,103,1,0,50,1291027,1
0,536745,47,1,0,18,531839,0
1,1351353,152,3,1,46,1340908,0
0,107347,18,1,0,57,100946,1
0,6877,29,1,0,77,2,0
0,82139,162,1,0,3,71676,1
0,534898,112,2,0,33,529028,1
0,97751,80,2,0,23,91272,1
0,1028641,20,1,0,40,1018586,0
0,64329,97,1,0,1,53935,0
0,19778,83,1,0,94,9420,0
0,364064,58,1,0,33,353619,1
0,501262,102,1,0,20,494255,0
0,1392969,104,1,0,50,1382515,1
1,736142,224,3,1,29,726108,0
0,18102,16,1,0,71,7759,0
0,635740,95,1,0,14,625292,0
0,29124,136,1,0,104,18715,1
0,510863,220,1,0,6,500484,0
0,288082,208,1,0,51,277652,0
0,12200,8,1,0,64,1905,1
1,12299,144,3,1,106,2049,1
0,775910,131,1,0,33,765552,0
0,424985,124,1,0,31,418893,0
1,11317,86,3,1,30,5433,1
0,487135,85,1,0,38,478468,1
0,656937,154,1,0,22,646543,0
0,400877,71,2,0,31,396354,0
0,490459,109,1,0,7,480062,0
0,188433,128,1,0,10,178087,1
0,34480,143,1,0,24,24017,1
0,76316,28,2,0,31,71757,1
0,22220,223,1,0,39,11901,1
0,508446,157,1,0,10,497998,0
0,1684949,55,1,0,50,1674489,1
0,72152,146,1,0,28,61794,1
0,7036,194,1,0,119,1,1
1,40882,91,3,1,41,30431,1
1,14711,134,3,1,103,4479,1
0,5905,54,1,0,84,1,1
1,8139,178,3,1,113,1,1
1,15047,120,3,1,99,4680,1
0,563694,142,1,0,26,556752,1
0,46671,98,1,0,96,36289,1
0,138943,50,2,0,23,131411,0
0,600090,181,1,0,33,589645,1
0,656716,87,1,0,21,646334,0
0,56068,176,1,0,112,45617,0
0,2345983,164,1,0,51,2335691,0
0,19621,52,1,0,57,13649,1
1,25728,92,3,1,56,21774,1
0,60872,206,1,0,51,50520,1
0,698669,82,1,0,23,688299,0
0,545365,221,1,0,19,535076,0
0,7213,72,1,0,90,1,1
1,12287,132,3,1,101,1776,1
0,572820,182,1,0,11,566630,0
0,1211309,161,1,0,50,1200861,0
0,53597,30,1,0,58,43140,1
0,7785,139,2,0,105,1726,0
0,1848415,40,1,0,47,1838054,0
0,902706,94,1,0,38,892584,0
1,52443,43,3,1,49,42064,1
0,34912,168,1,0,33,27714,1
0,685626,117,1,0,30,675331,0
0,5029,27,2,0,76,2,1
0,31572,75,1,0,36,21127,1
0,12152,204,1,0,122,4158,1
0,102066,44,1,0,11,91621,1
1,364951,61,3,1,56,356759,1
0,6015,145,2,0,28,103,1
1,571446,180,3,1,33,561022,1
1,9497,185,3,1,114,3,0
0,332104,166,1,0,33,321641,0
