Gene_Subclass,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,0,136,931453,225,1,41,928565,3,0
1,0,72,2693,281,1,97,396,3,0
0,0,107,4036,64,0,68,1289,0,1
1,0,60,93761,73,1,66,90201,3,1
1,0,61,11733,75,1,83,9154,3,0
1,0,45,706189,15,1,29,704129,3,0
0,0,149,120500,321,0,9,118605,0,0
1,0,162,26060,260,1,2,23298,3,1
1,0,116,351197,217,1,63,348939,3,0
1,0,49,33122,282,1,42,30594,3,1
1,0,145,1425113,14,1,53,1422420,3,0
1,0,8,688837,90,1,26,685982,3,0
0,0,166,56433,249,0,41,54619,1,1
0,0,25,1739,12,0,73,3,1,1
0,0,130,201879,299,0,62,200095,0,0
1,0,86,1320804,152,1,60,1318300,3,0
1,0,91,628364,102,1,27,625434,3,0
0,0,161,3779,183,0,134,1517,0,0
0,0,15,64637,151,0,66,62859,0,1
1,0,53,4799,272,1,145,2103,3,0
1,0,108,7313,236,1,141,4734,3,0
0,0,151,19476,160,0,129,17815,0,1
1,0,176,7957,143,1,127,5381,3,0
0,0,185,840765,123,0,37,837994,0,0
1,0,133,2120212,107,1,59,2117660,3,0
0,0,180,739713,326,0,31,736933,0,0
0,0,179,2442,157,0,36,1297,0,1
1,0,124,29971,145,1,46,27197,3,1
1,0,178,1032018,50,1,45,1029001,3,0
1,0,177,16396,294,1,150,13598,3,0
1,0,82,492103,131,1,0,489575,3,0
0,0,160,3892,44,0,55,599,0,1
1,0,137,439193,287,1,47,435576,3,0
1,0,91,570499,252,1,27,567725,3,0
1,0,182,3857,105,1,119,1095,3,1
1,0,125,924785,237,1,58,922281,3,1
1,0,108,245943,62,1,4,244298,3,0
1,0,36,556405,240,1,28,554000,3,1
0,0,66,9141,220,0,138,8410,0,0
1,0,121,981807,278,1,53,979324,3,1
1,0,175,14712,221,1,92,11650,3,0
1,0,150,2360044,13,1,60,2358530,3,0
1,0,169,11256,254,1,93,8914,3,1
1,0,132,7825,93,1,115,5795,3,0
0,0,138,9869,54,0,59,8244,0,1
1,0,83,96498,208,1,29,94816,3,1
1,0,112,83774,188,1,15,82602,3,1
0,0,39,1981,297,0,100,2,0,0
1,0,140,483389,319,1,5,481422,3,0
0,0,179,85945,309,0,16,83153,0,1
0,0,68,21702,60,0,105,18811,0,0
0,0,65,22871,4,0,25,21810,0,1
1,0,63,5339,52,1,102,2904,3,1
0,0,90,748745,35,0,30,745776,0,0
1,0,89,3210,23,1,74,616,3,1
0,0,120,258722,218,0,9,256827,0,0
0,0,51,10587,182,0,133,8119,0,1
1,0,26,145152,314,1,13,142906,3,1
1,0,104,572075,300,1,17,569139,3,0
1,0,125,58311,298,1,58,56848,3,1
1,0,49,905988,99,1,42,903148,3,0
1,0,105,710712,200,1,37,708220,3,0
0,0,137,45706,261,0,2,43370,0,1
1,0,12,588116,3,1,8,586977,3,0
0,0,143,4613,119,0,5,1626,0,1
0,0,106,3158,6,0,40,342,0,1
1,0,113,690966,179,1,32,687994,3,0
1,0,172,15683,257,1,96,12888,3,0
1,0,119,378832,37,1,64,376718,3,0
1,0,145,39618,85,1,53,36688,3,1
0,0,96,563158,320,0,21,560651,0,0
0,0,69,467624,171,0,11,464685,0,0
1,0,157,2020967,177,1,57,2018517,3,0
0,0,159,4567,56,0,81,1604,0,0
1,0,28,24449,114,1,86,21516,3,0
0,0,166,54516,96,0,41,53479,0,1
1,0,44,197559,194,1,9,195199,3,1
0,0,33,955,156,0,89,2,1,1
1,0,137,1130391,198,1,47,1127446,3,0
0,0,15,61849,47,0,66,60071,0,1
1,0,133,1824669,165,1,59,1821786,3,0
1,0,115,21022,63,1,106,18272,3,1
1,0,82,517997,133,1,0,514713,3,0
1,0,133,2028531,267,1,59,2025571,3,0
1,0,8,4543,139,1,125,1706,3,1
1,0,93,16034,127,1,24,13233,3,0
0,0,37,1337382,270,0,53,1335682,1,0
0,0,57,1973,1,0,155,3,1,1
1,0,62,9934,89,1,50,6965,3,1
1,0,41,16389,181,1,40,14728,3,1
1,0,145,648458,161,1,22,645735,3,0
0,0,67,31215,301,0,69,30121,1,1
1,0,62,1175229,147,1,50,1172704,3,0
0,0,3,2772,317,0,13,301,0,1
1,0,18,265804,202,1,10,263906,3,0
0,0,5,496864,169,0,6,494066,0,0
1,0,150,1709527,109,1,60,1707056,3,1
1,0,124,905310,38,1,46,902803,3,0
1,0,30,5025,158,1,128,2677,3,1
1,0,108,474181,193,1,4,471830,3,0
0,0,119,20670,140,0,126,18052,0,1
0,0,148,1434052,155,0,53,1432280,0,0
1,0,133,2327020,264,1,59,2324351,3,0
1,0,109,30617,150,1,67,28410,3,1
0,0,56,791878,122,0,37,790079,0,0
1,0,2,10460,78,1,112,8049,3,1
0,0,7,764760,203,0,31,762982,0,0
1,0,98,6217,318,1,13,3602,3,1
1,0,100,411543,245,1,31,408877,3,0
1,0,83,128705,207,1,29,127131,3,1
1,0,187,496021,27,1,1,493463,3,0
1,0,26,56619,315,1,13,53854,3,1
0,0,173,4421,32,0,77,3684,0,1
0,0,103,117865,211,0,2,115973,0,1
1,0,28,19013,45,1,36,16263,3,1
1,0,21,174847,195,1,9,172793,3,1
1,0,4,8963,175,1,132,6399,3,1
0,0,166,6840,285,0,147,3826,0,0
0,0,152,34372,2,0,51,33320,0,1
1,0,141,110366,250,1,65,107442,3,1
1,0,42,7278,98,1,117,4399,3,0
0,0,179,67475,296,0,57,65139,0,1
0,0,40,1140600,197,0,47,1138639,0,0
1,0,34,1174681,77,1,49,1172813,3,0
1,0,50,1443,20,1,72,1,3,1
0,0,99,7112,283,0,146,4374,0,1
1,0,13,1113039,295,1,59,1110685,3,1
1,0,81,7245,290,1,148,4687,3,1
1,0,82,12451,174,1,131,9695,3,1
0,0,69,2274,51,0,79,1,0,0
1,0,86,2194888,108,1,60,2192474,3,1
1,0,137,16715,187,1,47,14439,3,1
0,0,183,750304,209,0,37,747923,0,0
1,0,44,214887,306,1,9,212992,3,0
1,0,13,44770,26,1,51,42977,3,1
1,0,22,56555,323,1,43,54387,3,1
1,0,79,18751,111,1,85,16475,3,1
1,0,133,2149200,266,1,59,2146741,3,0
1,0,24,3783,87,1,25,1453,3,1
1,0,123,596370,277,1,11,593812,3,0
1,0,82,19819,124,1,0,16985,3,1
0,0,8,392186,224,0,11,389424,0,0
0,0,114,36463,118,0,16,33455,0,1
0,0,118,447897,286,0,47,446350,1,0
0,0,107,598524,95,0,7,596251,1,0
1,0,150,342240,154,1,60,339421,3,1
1,0,32,107280,49,1,19,104554,3,0
1,0,127,2892,68,1,107,97,3,0
0,0,20,478312,10,0,11,477440,0,0
1,0,31,46833,76,1,111,44356,3,0
1,0,86,670094,36,1,60,667467,3,0
0,0,146,2028848,178,0,57,2027736,2,0
1,0,27,68416,262,1,2,66416,3,1
1,0,95,4460,129,1,88,2295,3,0
0,0,52,553364,251,0,18,550602,0,0
1,0,110,201254,159,1,61,198909,3,0
1,0,53,4289,170,1,38,3018,3,1
1,0,64,3538,292,1,99,857,3,1
1,0,149,12394,304,1,151,9605,3,0
1,0,6,396132,246,1,31,393928,3,0
1,0,131,14564,61,1,82,12819,3,1
0,0,187,39476,269,0,144,36720,0,1
1,0,102,13956,215,1,91,10954,3,0
1,0,88,68621,192,1,58,67503,3,1
0,0,8,645301,276,0,11,642806,0,0
1,0,5,5678,130,1,123,4257,3,1
1,0,158,458839,17,1,11,457553,3,0
1,0,70,825842,310,1,40,823350,3,0
0,0,112,38223,31,0,43,36197,0,1
0,0,157,968,8,0,154,3,0,0
1,2,103,11541,325,1,43,8509,3,1
0,0,183,12865,289,0,39,9965,0,1
1,0,8,582104,239,1,12,579438,3,0
1,0,123,79885,230,1,11,77750,3,1
1,0,153,2982,72,1,110,445,3,1
1,0,165,22938,88,1,57,21226,3,1
1,0,133,1573917,166,1,59,1571158,3,0
0,0,43,531490,33,0,3,528650,0,0
0,0,25,4734,125,0,87,2191,0,0
0,0,183,729858,201,0,37,727477,0,0
0,0,101,367390,216,0,63,364778,1,0
0,0,58,966472,30,0,44,963723,0,0
0,0,89,18183,234,0,140,15433,0,0
1,0,38,4073,5,1,70,1218,3,0
1,0,51,15577,71,1,109,12521,3,1
1,0,13,2071578,164,1,59,2068987,3,0
1,0,126,27589,110,1,84,25172,3,0
1,0,75,22430,43,1,34,19944,3,1
1,0,137,27235,149,1,30,24623,3,1
1,0,129,801320,81,1,34,798915,3,0
0,0,78,11142,113,0,121,8839,0,1
1,0,15,242630,120,1,23,239769,3,1
1,0,80,10610,172,1,130,8169,3,1
1,0,154,106204,280,1,18,104012,4,1
1,0,73,16963,48,1,101,14936,3,0
0,0,152,1171911,148,0,50,1168945,0,0
1,0,36,577397,7,1,28,576201,3,0
1,0,35,1820,9,1,156,189,3,0
1,0,47,485801,34,1,3,483723,3,0
1,0,22,26744,324,1,43,24147,3,1
1,0,18,619021,153,1,14,617285,3,0
0,0,65,13820,29,0,25,12766,0,1
1,0,150,2325261,41,1,60,2323705,3,0
1,0,71,10910,91,1,114,8910,3,0
1,0,93,639965,258,1,24,637563,3,0
