Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,4790,125,6,63,1644,1
0,0,304,129,7,64,2,0
0,0,30678,115,7,9,29548,1
0,0,642289,108,6,8,639173,0
0,0,40231,111,7,82,38468,1
0,0,704,15,3,57,18,1
1,0,701522,71,2,26,698580,0
0,0,33620,88,6,38,30504,1
1,0,673825,85,2,26,670661,0
1,0,782421,65,2,26,781378,0
0,0,100844,35,7,12,99663,0
1,0,506465,74,2,19,504186,1
0,0,559272,84,6,40,556483,0
0,0,4270,38,5,42,1799,1
1,0,673601,77,2,27,670680,0
0,0,429068,86,6,25,425925,0
0,0,484,140,8,91,2,1
1,0,7065,70,2,72,6076,1
0,0,506906,102,0,14,503742,0
1,0,28960,2,2,31,27503,1
1,0,1651,96,2,62,830,1
0,0,302755,62,8,14,301802,0
0,0,1330,12,8,50,2,0
1,0,492209,24,2,1,489726,0
0,0,704396,17,8,36,703461,0
1,0,7840,69,2,16,6842,1
0,0,24175,40,6,47,21059,1
1,0,1482,107,2,80,1,0
1,0,3560,33,2,65,861,0
0,0,40333,120,6,84,37199,1
0,0,6322,47,6,15,3197,1
1,0,694715,135,2,26,691713,0
1,0,201983,147,2,10,197949,0
1,0,232598,155,2,3,230508,0
0,0,52289,87,6,38,48939,1
1,0,796646,63,2,29,794730,0
1,0,762911,104,2,26,760413,0
1,0,1815,95,2,78,1,0
0,0,11460,144,7,95,9091,1
1,0,767496,97,2,29,766105,0
1,0,341160,156,2,3,338881,1
0,0,135805,157,6,5,132644,0
0,0,326955,34,6,18,323962,0
1,0,2735,81,2,74,246,1
1,0,4884,53,2,46,1753,1
0,0,562767,61,6,6,559651,0
0,0,720169,30,6,23,717008,0
0,0,11360,93,6,77,8184,1
0,0,1011,8,8,48,1,0
0,0,7732,67,6,71,4595,0
0,0,696,116,7,83,1,0
1,0,552643,118,2,20,550361,1
0,0,225838,94,6,17,222980,0
0,0,5115,58,5,38,2545,1
0,0,296392,26,6,15,293633,0
1,0,36371,142,2,93,34218,1
0,0,220362,117,5,18,217744,0
1,0,532553,154,2,14,531252,0
0,0,772874,150,6,28,769737,0
1,0,638513,75,2,7,636579,0
1,0,685611,72,2,17,683131,0
1,0,40751,44,2,68,38379,1
0,0,5438,139,7,90,3198,1
0,0,8449,123,6,45,5315,1
0,0,37772,136,6,11,34755,1
1,0,11809,41,2,66,9641,0
1,0,8362,134,2,87,5834,0
0,0,96112,114,6,1,92984,1
1,0,6579,68,2,16,5257,1
1,0,16287,37,2,60,13156,1
1,0,371763,4,9,45,371065,1
0,0,3141,92,7,61,982,1
1,0,5564,42,2,36,2433,1
0,0,567659,27,1,33,567123,0
0,0,634208,32,8,39,633441,0
0,0,34862,90,1,28,34431,1
1,0,742903,103,2,23,741965,0
1,0,11203,46,2,41,8075,1
1,0,12199,145,2,96,10430,0
1,0,631461,76,2,7,630235,0
0,0,2165,137,7,88,1,1
1,0,676357,31,2,23,675068,0
0,0,46094,78,5,37,43491,1
1,0,301337,23,2,5,298548,1
0,0,48145,3,4,30,47690,1
0,0,11508,109,5,81,8902,1
0,0,1015710,36,6,35,1014604,0
