Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,9642,211,1,123,7252,0
0,0,28514,109,1,103,26043,0
0,0,1699,85,3,8,101,1
1,0,3774,18,0,64,1570,0
1,0,468090,39,0,2,465892,0
1,0,811009,210,0,32,808763,0
1,0,619207,203,0,9,617003,0
0,0,369971,59,1,54,367785,0
0,0,52112,103,1,43,49749,1
1,0,1108,160,0,75,1,0
0,0,3468,69,1,94,1171,0
1,0,813661,181,0,37,811541,0
0,0,560608,180,1,16,558551,0
1,0,961848,152,0,36,959689,0
0,0,915393,61,2,33,914149,0
0,0,6868,184,1,119,4559,1
0,0,50074,190,1,3,47909,1
0,0,487691,30,1,18,485538,0
1,0,17178,106,0,101,14941,1
0,0,669010,131,1,16,666635,0
0,0,2335,170,3,12,101,1
0,0,798,165,3,77,1,1
0,0,1159648,142,1,41,1157084,0
0,0,140815,228,2,11,140096,1
0,0,3637,162,2,33,1680,1
0,0,5471,136,1,110,3207,1
0,0,5333,21,1,65,3093,1
1,0,8253,102,0,41,6340,1
0,0,477141,198,2,7,476586,0
0,0,5583,98,1,98,3223,0
1,0,20192,202,0,29,18165,1
1,0,636865,78,0,20,634829,0
0,0,180595,118,1,58,178343,0
0,0,827,14,2,61,3,0
1,0,122003,229,0,11,119982,1
0,0,16433,193,2,79,14709,1
1,0,35613,195,0,120,33460,1
1,0,16106,72,0,95,14127,0
0,0,194620,124,1,53,192110,0
0,0,85349,65,2,4,84366,1
0,0,303473,216,3,12,301437,1
0,0,49973,26,2,23,48072,1
0,0,7225,105,1,100,4853,0
0,0,3201,58,2,73,2560,1
0,0,17152,135,1,109,14774,1
0,0,43304,156,1,55,40902,1
1,0,19107,104,0,43,16912,1
0,0,316113,226,1,11,313945,1
0,0,3704,22,1,66,1446,1
0,0,4679,113,1,39,2307,1
1,0,60946,145,0,52,58898,1
1,0,1287,19,0,68,1,0
0,0,3133,50,1,88,824,1
0,0,23314,236,1,2,21104,0
0,0,763294,175,1,26,761027,0
1,0,411395,36,0,13,410220,0
1,0,51771,234,0,35,49540,1
1,0,469090,33,0,1,466913,0
0,0,909502,73,1,34,907241,0
0,0,68193,146,1,25,66007,1
0,0,315631,215,1,12,313523,1
1,0,10067,28,0,44,8418,1
1,0,609383,77,0,20,607077,0
0,0,377705,97,1,57,375522,0
0,0,400277,27,1,10,398004,0
0,0,702444,212,3,22,701878,0
1,0,369509,60,0,13,367296,1
0,0,5540,43,2,83,3963,1
0,0,526037,38,3,3,525222,0
0,0,57522,125,1,22,55348,1
1,0,1375691,119,0,44,1373202,0
1,0,3258,208,0,122,754,1
0,0,66424,233,1,35,64094,1
1,0,16197,177,0,118,13717,1
0,0,1669,46,3,85,2,1
1,0,399311,91,0,14,397290,0
0,0,646569,182,2,12,644707,0
0,0,20107,67,1,49,17801,1
0,0,2123600,86,1,51,2121408,0
1,0,5726,0,0,124,3723,0
1,0,654471,74,0,51,652312,1
1,0,828777,107,0,46,827212,1
0,0,27070,139,1,16,24536,1
0,0,311650,214,1,12,309482,1
0,0,6765,192,1,79,4204,1
0,2,1518,57,3,92,1,1
1,0,477984,149,0,5,475453,0
0,0,1178466,115,1,42,1176085,0
1,0,2336,147,0,113,3,1
1,0,468765,83,0,52,466540,0
0,0,4334,95,1,97,1968,1
1,0,1028709,167,0,39,1026565,0
1,0,224206,201,0,34,222371,1
0,0,92121,138,1,40,90979,1
1,0,731499,32,0,23,729406,0
0,0,7491,126,1,22,5182,1
0,0,1333,16,2,63,3,0
0,0,14203,56,1,32,11819,1
0,0,1475,2,3,125,3,0
0,0,471716,220,2,5,470270,0
1,0,1909430,128,0,51,1907460,1
1,0,669243,187,0,18,667156,0
0,0,18709,34,1,27,16532,1
0,0,6479,134,2,108,5838,1
0,0,668634,155,1,24,666520,0
