Strand_Orientation,Gene_Description,Gene_Type,Genomic_Start_Position,Ortholog_Id,Chromosome_Id,Encoded_Protein,Gene_Db_Id,Genomic_End_Position
0,0,0,2228,147,87,4,384,2893
1,0,0,35462,54,14,4,20,36160
1,0,1,627354,65,13,3,185,628319
1,0,0,1065931,69,27,4,405,1066542
0,0,0,438233,21,17,4,351,438865
0,0,0,331098,133,16,4,154,331967
0,0,1,498789,56,22,3,366,499409
0,0,0,261515,168,22,4,38,262228
0,1,0,339536,98,14,4,413,340144
0,0,0,223792,21,17,4,168,224418
0,0,0,16375,42,56,4,49,17055
1,0,0,204,68,48,4,286,1049
1,0,0,806492,116,22,4,153,807166
1,0,1,873739,117,27,3,276,874302
1,0,0,3,73,36,5,10,281
0,0,0,15472,53,78,4,342,16035
1,0,0,301183,31,14,4,280,301818
1,0,0,5631,73,36,4,11,6125
0,0,0,578253,114,7,4,78,578960
0,0,0,1670067,122,27,4,29,1670681
0,0,1,543658,112,22,1,148,544317
0,0,0,277617,46,16,4,245,278450
0,0,0,481446,109,16,4,255,482096
0,0,0,15977,126,66,4,166,16573
0,0,0,691,0,44,4,126,1236
1,0,0,2152117,160,28,4,107,2152710
0,0,0,217234,21,17,4,167,218124
1,0,0,497083,42,10,4,296,497850
1,0,0,652923,55,11,4,85,653543
0,0,0,729363,17,28,4,97,729959
1,0,0,350453,98,14,2,414,350824
1,0,0,583626,6,10,4,134,584282
0,0,0,425384,47,14,2,142,425782
0,0,1,1260970,129,26,3,324,1261581
0,0,0,160181,49,94,4,403,160801
0,0,1,10210,102,60,3,105,10872
1,0,0,411981,45,30,4,282,412598
1,0,0,513441,42,10,4,295,514088
1,0,0,666332,6,10,4,4,667099
0,0,0,243556,119,16,4,290,244449
0,0,0,222562,23,16,4,291,223254
0,0,0,265723,21,17,4,177,266589
0,0,0,1077559,160,28,4,194,1078119
1,0,0,197730,6,10,4,43,198335
1,0,0,1242540,160,28,4,188,1243238
0,0,0,1175530,5,23,4,399,1176204
0,0,0,5628,154,89,4,387,6197
1,0,0,38181,57,14,4,80,38888
0,0,0,374062,17,28,4,42,374682
0,0,0,1420101,160,28,4,92,1420673
1,0,0,388043,74,29,2,196,388432
0,0,0,70109,126,58,4,60,70633
0,0,0,10535,125,49,4,374,11230
0,0,0,694383,70,27,4,307,694973
0,0,0,1677395,136,28,4,119,1677970
0,0,0,5141,22,50,4,375,5761
0,0,0,1885670,101,27,4,219,1886263
1,0,0,310645,135,4,4,422,311313
1,0,0,273715,98,14,4,174,274287
0,0,0,455483,118,23,4,321,456160
1,0,0,35961,149,88,4,385,36542
0,0,0,540331,65,6,4,104,541203
1,0,0,374536,25,12,4,123,375081
1,0,0,1142287,48,27,4,409,1142859
1,0,0,1480762,75,28,4,94,1481322
1,0,0,1306226,91,26,4,210,1306828
1,0,0,1236,34,33,4,6,1739
0,0,0,404699,31,14,4,141,405277
0,0,0,1586741,91,26,4,213,1587490
1,0,0,1612,29,48,4,287,2442
1,1,0,327337,97,4,4,424,327963
0,0,0,1410949,17,28,4,22,1411596
0,0,0,259935,99,17,4,178,260483
0,0,0,916954,101,27,4,275,917604
1,0,0,358038,57,14,2,279,358436
1,0,0,11081,126,55,2,48,11470
1,0,0,370350,98,14,4,278,371048
0,0,0,1942577,58,28,4,9,1943209
1,0,0,6853,126,77,4,270,7470
1,0,0,75574,47,14,4,281,76266
1,0,0,20602,16,38,4,15,21243
1,0,0,605367,6,10,4,240,605996
0,0,0,331510,98,14,4,411,332148
0,0,1,861431,1,22,3,243,862102
0,0,0,1874526,48,27,4,220,1875155
1,0,0,617066,15,10,4,235,617680
0,0,0,58891,76,56,4,50,59685
0,0,0,1610868,122,27,4,330,1611491
0,0,0,31012,22,83,4,357,31626
0,0,0,67067,31,14,4,415,67780
0,0,0,430509,133,16,4,13,430625
0,0,0,287506,99,17,4,176,288480
0,0,0,1186465,168,22,4,346,1187163
0,0,0,1199621,58,28,4,312,1200244
0,0,0,18276,151,92,4,390,18926
1,0,0,2114982,96,28,4,26,2115566
1,0,0,1109041,96,28,4,316,1109679
1,0,0,987,42,57,4,52,1559
0,0,0,413337,17,28,4,418,413954
0,0,0,128075,7,14,2,416,128464
1,0,0,1138561,58,28,4,315,1139142
1,0,0,461563,115,22,4,364,462219
1,0,0,512,42,67,4,169,1348
0,0,0,1344239,123,21,4,200,1344856
1,0,0,190256,98,14,4,67,190891
1,0,0,3085,42,68,4,197,3660
0,0,0,1001410,165,28,4,96,1001979
0,0,1,1671336,120,28,3,120,1671935
1,0,0,2760,143,46,4,164,3008
0,0,0,17072,155,80,4,348,17644
0,0,0,392783,10,30,4,283,393310
0,0,0,1024453,75,28,4,193,1025055
1,0,0,1654004,150,27,4,31,1654543
1,0,0,10434,139,37,4,14,11006
0,0,0,1840178,58,28,4,111,1840810
1,0,0,1181541,58,28,4,313,1182146
1,0,0,376496,25,12,4,363,377041
0,0,0,388676,109,16,4,250,389569
1,0,0,1235211,96,28,2,189,1235855
0,0,0,1806064,146,28,4,337,1806636
0,0,0,6641,42,57,4,54,7249
0,0,0,451995,96,28,4,284,452612
0,0,0,410251,31,14,2,143,410649
0,0,0,531,162,32,4,2,1121
1,0,0,724664,116,22,4,152,725245
0,0,0,7151,148,79,2,343,7534
0,0,0,14272,101,50,4,377,14571
0,0,0,237338,23,16,4,288,237931
0,0,0,621803,96,28,4,27,622513
0,0,0,252897,31,14,4,172,253619
0,0,0,252442,21,17,4,179,253089
0,0,0,304515,9,24,4,372,305429
0,0,1,689434,56,22,3,149,690105
1,0,0,22609,57,14,2,305,22995
1,0,0,46335,31,14,4,81,47042
1,0,0,6140,42,69,4,229,6670
0,0,0,467418,163,22,4,365,467996
0,0,0,750,76,62,2,128,1079
1,1,0,1784156,146,28,4,333,1784731
0,0,0,1391459,165,28,4,308,1392058
1,0,0,170208,31,14,4,69,170789
1,0,1,44119,66,93,3,395,44727
0,0,1,978390,117,27,1,277,978860
0,0,0,6638,42,75,4,263,7294
0,0,0,8734,76,63,2,132,9111
1,0,0,632488,60,11,4,83,633393
0,0,0,2211,36,40,4,17,2852
0,0,0,1609563,75,28,4,116,1610144
1,0,0,218985,54,14,4,72,219644
1,0,0,262,32,35,4,5,873
0,0,0,462006,97,4,4,140,462632
0,0,0,1054,87,85,4,378,1707
0,0,0,554104,78,7,4,79,555039
0,0,0,896894,61,27,4,274,897457
1,0,0,522417,6,10,4,294,522983
1,0,0,929947,168,22,4,244,930600
0,0,0,459083,26,16,4,251,459742
0,0,0,8245,4,50,4,376,8892
0,0,0,406639,85,15,4,184,407298
1,0,0,95094,111,2,4,65,95645
1,0,0,296102,97,4,4,421,296809
1,0,0,438168,143,3,4,33,438791
0,0,0,295724,133,16,4,246,296422
1,0,0,311224,98,14,2,412,311595
0,0,0,22523,130,58,2,59,22912
1,0,0,19953,67,43,4,75,20624
0,0,0,275592,81,22,4,137,276224
1,0,0,602248,15,10,4,239,603114
0,0,0,610333,135,4,4,157,610905
1,0,1,892445,11,22,3,241,893116
1,0,0,9376,127,41,4,34,9993
1,0,0,1447573,17,28,4,90,1448091
1,0,0,11959,94,47,4,199,12594
0,0,0,367096,26,16,4,155,367683
0,0,0,27344,126,53,4,45,28027
0,0,0,406078,97,4,4,139,406686
0,0,0,31979,126,76,4,264,32545
0,0,1,10828,107,52,3,41,11424
0,0,0,473496,113,17,4,354,474095
1,0,1,891058,41,27,1,273,891600
1,0,0,1570405,96,28,4,122,1570983
1,0,0,486679,124,23,4,203,487260
0,0,1,27985,164,63,3,130,28680
0,0,0,478315,3,0,4,103,478938
0,0,0,1108595,138,23,4,398,1109266
0,0,0,21193,40,79,4,345,21792
1,0,0,648745,6,10,4,238,649380
1,0,0,537880,117,22,4,147,538452
0,0,0,21079,130,71,4,232,21840
0,0,0,567485,62,19,2,125,567898
0,0,0,52718,37,93,5,397,53116
0,0,0,302005,46,16,4,247,302673
1,0,0,632827,95,10,2,236,633183
0,0,0,1590720,70,27,4,331,1591262
0,0,0,558976,80,20,2,145,559332
1,0,0,626603,83,6,4,101,627298
1,0,0,554545,97,4,4,429,555039
0,0,0,268954,135,4,4,420,269583
0,0,1,1590901,129,26,3,214,1591401
1,0,0,1059636,58,28,4,191,1060193
0,0,0,271798,21,17,4,181,272757
0,0,0,21179,53,78,4,339,21892
1,0,0,400036,157,3,4,57,400683
0,0,0,11139,126,53,4,46,11825
1,0,0,610288,168,22,4,367,610947
0,0,0,1182499,39,26,4,325,1183104
0,0,0,1870641,17,28,4,110,1871216
1,0,0,1099440,101,27,4,407,1100102
0,0,0,216745,23,16,4,23,217404
1,0,0,2130250,96,28,4,106,2130876
1,0,0,4696,76,71,4,233,5418
0,0,0,266226,98,14,4,175,266951
0,0,0,642618,65,6,4,201,643220
1,0,0,237978,31,14,4,173,238595
1,0,0,173294,47,14,4,66,174019
1,0,0,32910,147,92,4,391,33533
0,0,0,65685,120,1,4,302,66227
1,0,0,1037734,96,28,4,192,1038285
0,0,0,1298663,96,28,4,187,1299223
0,0,0,548651,159,7,4,76,549268
1,0,0,1789544,34,27,4,221,1790185
1,0,0,110344,161,2,5,156,110877
1,0,1,43754,121,15,3,301,44362
1,0,0,374682,128,4,4,426,375323
1,1,0,1893637,28,28,4,112,1894275
0,0,0,48349,104,83,4,358,48963
0,0,0,62859,126,59,4,64,63431
0,0,0,563114,18,20,2,95,563485
1,0,1,1330,140,39,3,16,1947
1,1,0,849029,122,27,4,24,849658
0,0,0,16593,42,76,4,268,17246
1,0,0,10975,42,74,4,261,11667
1,0,0,1191744,160,28,4,314,1192370
1,0,0,789061,59,22,4,151,789660
0,0,0,484143,51,17,4,355,484940
0,0,0,550740,161,19,2,228,551183
0,0,0,1664528,150,27,4,30,1665163
0,0,0,15231,50,83,4,361,15815
0,0,0,422700,5,23,4,205,423275
0,0,0,49587,101,93,4,396,50225
0,0,0,23259,141,83,4,362,23909
0,0,0,1934724,122,27,4,217,1935320
1,0,0,1439215,58,28,4,91,1439745
0,0,0,1646206,19,26,4,215,1646736
1,0,0,4736,134,82,4,350,5356
0,0,0,281250,99,17,4,180,281837
0,0,0,422386,63,15,4,183,422988
0,0,0,430704,144,4,4,427,431207
0,0,0,564760,80,20,2,382,565167
1,0,0,4241,1,33,4,7,4939
0,0,0,496699,23,16,4,253,497547
0,0,0,2159390,70,27,4,326,2159962
1,0,0,1721857,21,25,4,338,1722444
1,0,1,209840,43,11,3,136,210445
1,0,0,636250,128,4,4,160,636879
1,0,0,2102468,58,28,4,222,2103139
0,0,0,211245,8,0,5,419,211634
1,0,0,34262,126,77,4,269,34921
0,0,0,1578312,17,28,4,121,1578872
0,0,0,595866,135,4,4,161,596495
1,0,0,8904,94,47,4,198,9539
1,0,0,490859,6,10,4,297,491431
0,0,0,464038,2,17,4,353,465000
0,0,0,282588,135,4,4,425,283286
0,0,0,1279,130,53,4,44,1863
0,0,1,1337152,30,26,3,212,1337715
1,0,0,10110,93,51,2,39,10499
0,0,0,5888,130,63,2,131,6256
0,0,0,76545,130,58,4,61,77237
0,0,0,1685527,160,28,0,118,1685667
1,0,0,565864,132,10,4,298,566496
0,0,0,1211533,17,28,4,311,1212108
1,0,0,7124,86,92,4,393,8071
1,0,0,630704,97,4,4,159,631273
1,0,0,1356881,146,28,4,310,1357417
1,0,0,1412725,13,26,4,211,1413348
0,0,0,897068,163,22,4,242,897652
1,0,0,101630,103,2,4,0,102031
0,0,0,459570,58,28,4,285,460277
1,0,0,542232,6,10,4,292,542828
1,0,0,2081918,58,28,4,36,2082607
1,0,0,672981,12,27,4,186,673589
0,0,0,252895,131,16,4,289,253563
0,0,0,1069351,58,28,4,195,1069989
1,0,0,53294,52,94,4,400,54130
1,0,1,225092,33,14,3,70,225709
1,0,0,2039173,169,27,4,328,2039757
0,0,0,54300,130,76,4,267,55031
1,0,0,42403,86,92,4,392,42738
1,0,0,698387,96,28,4,98,698962
1,0,0,1037092,168,22,4,369,1037760
0,0,0,509916,44,5,4,431,510533
1,0,0,1652444,58,28,4,114,1653046
0,0,0,601444,144,4,4,162,602022
0,0,0,9067,141,83,4,360,9693
0,0,0,325122,133,16,4,371,325661
1,0,0,57381,130,59,4,63,57983
0,0,0,487683,131,16,4,252,488252
0,0,0,151562,91,94,4,402,152203
1,0,0,6941,126,67,4,170,7816
0,0,0,472107,133,16,4,254,473006
1,0,0,8412,76,72,4,257,8984
0,0,0,284026,133,16,4,248,285006
0,0,0,88,35,84,4,373,786
0,0,0,520573,112,6,4,209,521226
1,0,0,1198,76,72,4,256,1896
0,0,0,432955,5,23,4,206,433446
0,0,0,296609,157,3,4,225,297265
0,0,0,420860,160,28,4,417,421453
1,0,0,10142,130,66,4,165,10738
0,0,0,409799,63,15,4,182,410431
0,0,0,738989,70,27,4,272,739582
0,0,0,741234,46,16,4,202,741926
1,0,0,2020752,17,28,4,37,2021354
0,0,1,21845,157,42,3,55,22510
0,0,0,12349,53,78,4,341,12963
1,0,0,1279111,17,28,4,190,1279824
0,0,0,2140400,48,27,4,327,2141017
1,0,0,203195,57,14,2,71,203566
1,0,0,640657,132,10,4,237,641268
1,0,1,1772775,120,28,3,334,1773473
1,0,0,536468,6,10,4,293,537100
1,0,0,2544,126,65,4,163,3185
1,0,0,1093786,58,28,4,318,1094415
0,0,0,547909,72,20,2,144,548259
0,0,0,4066,126,70,4,230,4704
0,0,0,54550,31,14,4,82,55203
0,0,0,287768,110,3,4,224,288418
0,0,0,165327,1,9,4,19,165971
1,0,0,626559,170,11,4,86,627125
0,0,0,606242,48,27,4,87,606832
1,0,0,10641,76,56,4,51,11303
1,0,0,660867,6,10,4,1,661517
