Strand_Orientation,Gene_Description,Gene_Type,Genomic_Start_Position,Ortholog_Id,Chromosome_Id,Encoded_Protein,Gene_Db_Id,Genomic_End_Position
0,0,0,435816,26,16,4,11,436400
0,0,0,1148204,34,27,4,410,1148872
0,0,0,338926,82,3,4,224,339516
1,0,0,1580900,84,26,4,214,1581481
1,0,0,1080440,168,27,4,406,1081012
0,0,0,15015,20,79,4,344,15668
1,0,0,5874,149,1,4,303,6518
1,0,0,32291,47,14,4,19,33001
1,0,1,503911,144,4,3,428,504309
1,0,0,668282,77,22,4,148,668902
0,0,0,1994529,148,27,4,216,1995197
0,0,0,216122,142,3,4,322,216763
1,0,1,587969,107,4,3,156,588625
0,0,0,415541,64,31,4,383,416038
1,0,1,462885,79,0,3,101,463493
1,0,0,13402,152,92,4,394,14001
0,0,1,384969,55,22,3,20,385637
1,0,0,601643,92,6,4,320,602338
1,0,0,1489,87,91,2,389,1845
1,0,0,374536,25,12,4,122,375081
0,0,0,1472456,27,28,4,87,1473130
1,0,0,1133424,48,27,4,408,1134002
0,0,0,444042,109,3,4,31,444695
0,0,0,41594,148,88,4,386,42175
0,0,0,8539,43,62,4,128,9261
0,0,0,382086,156,3,4,57,382637
1,0,0,34388,119,1,4,302,35038
0,0,0,415509,23,16,4,246,416102
1,0,1,12661,104,81,3,349,13194
1,0,0,652923,54,11,4,84,653543
1,0,0,319437,96,4,4,423,320021
0,0,0,77844,85,15,4,299,78452
0,0,0,2228,146,87,4,384,2893
1,0,0,38181,56,14,4,79,38888
1,0,0,22609,56,14,2,304,22995
1,0,0,1065931,69,27,4,405,1066542
0,0,0,438233,21,17,4,351,438865
0,0,0,345353,132,16,4,153,345916
0,0,1,498789,55,22,3,366,499409
0,0,0,261515,167,22,4,37,262228
1,0,0,350453,97,14,2,414,350824
0,0,0,223792,21,17,4,166,224418
0,0,0,16375,43,56,4,48,17055
1,0,0,204,68,48,4,283,1049
1,0,0,806492,115,22,4,151,807166
1,0,1,873739,116,27,3,274,874302
1,0,0,3,73,36,5,9,281
0,0,0,15472,53,78,4,342,16035
1,0,0,311224,97,14,2,412,311595
1,0,0,5631,73,36,4,10,6125
0,0,0,578253,113,7,4,77,578960
0,0,0,1670067,121,27,4,28,1670681
0,0,1,543658,111,22,1,146,544317
0,0,0,284026,132,16,4,245,285006
0,0,0,481446,108,16,4,253,482096
0,0,0,15977,125,66,4,164,16573
0,0,0,691,0,44,4,125,1236
1,0,0,2152117,159,28,4,106,2152710
0,0,0,217234,21,17,4,165,218124
1,0,0,497083,43,10,4,294,497850
0,0,0,314181,25,12,4,123,314714
0,0,0,729363,17,28,4,96,729959
1,0,0,358038,56,14,2,277,358436
1,0,0,583626,6,10,4,133,584282
1,1,0,22061,61,15,4,73,22696
0,0,1,1260970,128,26,3,324,1261581
0,0,0,160181,49,94,4,403,160801
0,0,1,10210,101,60,3,104,10872
1,0,0,411981,45,30,4,279,412598
1,0,0,513441,43,10,4,293,514088
1,0,0,53279,42,11,4,306,53893
0,0,0,252895,130,16,4,287,253563
0,0,0,237338,23,16,4,285,237931
0,0,0,265723,21,17,4,176,266589
0,0,0,1077559,159,28,4,192,1078119
1,0,0,197730,6,10,4,42,198335
1,0,0,1242540,159,28,4,186,1243238
0,0,0,1175530,5,23,4,399,1176204
0,0,0,5628,153,89,4,387,6197
1,0,0,46335,31,14,4,80,47042
0,0,0,374062,17,28,4,41,374682
0,0,0,1420101,159,28,4,91,1420673
1,0,0,388043,74,29,2,194,388432
0,0,0,70109,125,58,4,59,70633
0,0,0,10535,124,49,4,374,11230
0,0,0,694383,70,27,4,307,694973
0,0,0,1677395,135,28,4,118,1677970
0,0,0,5141,22,50,4,375,5761
0,0,0,1885670,100,27,4,217,1886263
1,0,0,310645,134,4,4,422,311313
1,0,0,281740,47,14,4,173,282372
0,0,0,455483,117,23,4,321,456160
1,0,0,35961,148,88,4,385,36542
0,0,0,540331,65,6,4,103,541203
1,0,0,376496,25,12,4,363,377041
1,0,0,1142287,48,27,4,409,1142859
1,0,0,1480762,75,28,4,93,1481322
1,0,0,1306226,91,26,4,208,1306828
1,0,0,1236,34,33,4,5,1739
0,0,0,410251,31,14,2,140,410649
0,0,0,1586741,91,26,4,211,1587490
1,0,0,1612,29,48,4,284,2442
1,1,0,327337,96,4,4,424,327963
0,0,0,1410949,17,28,4,21,1411596
0,0,0,259935,98,17,4,177,260483
0,0,0,916954,100,27,4,273,917604
1,0,0,370350,97,14,4,276,371048
1,0,0,11081,125,55,2,47,11470
0,0,0,376607,97,14,4,141,377176
0,0,0,1942577,57,28,4,8,1943209
1,0,0,6853,125,77,4,268,7470
0,0,0,120498,105,14,2,34,120884
1,0,0,20602,16,38,4,14,21243
1,0,0,605367,6,10,4,238,605996
0,1,0,339536,97,14,4,413,340144
0,0,1,861431,1,22,3,241,862102
0,0,0,1874526,48,27,4,218,1875155
1,0,0,617066,15,10,4,233,617680
0,0,0,58891,76,56,4,49,59685
0,0,0,1610868,121,27,4,330,1611491
0,0,0,31012,22,83,4,357,31626
1,0,0,75574,47,14,4,278,76266
0,0,0,430509,132,16,4,12,430625
0,0,0,287506,98,17,4,175,288480
0,0,0,1186465,167,22,4,346,1187163
0,0,0,1199621,57,28,4,312,1200244
0,0,0,18276,150,92,4,390,18926
1,0,0,2114982,95,28,4,25,2115566
1,0,0,1109041,95,28,4,316,1109679
1,0,0,987,43,57,4,51,1559
0,0,0,413337,17,28,4,418,413954
1,0,0,159101,97,14,4,67,159847
1,0,0,1138561,57,28,4,315,1139142
1,0,0,461563,114,22,4,364,462219
1,0,0,512,43,67,4,167,1348
0,0,0,1344239,122,21,4,198,1344856
1,0,0,203195,56,14,2,70,203566
1,0,0,3085,43,68,4,195,3660
0,0,0,1001410,164,28,4,95,1001979
0,0,1,1671336,119,28,3,119,1671935
1,0,0,2760,142,46,4,162,3008
0,0,0,17072,154,80,4,348,17644
0,0,0,392783,10,30,4,280,393310
0,0,0,1024453,75,28,4,191,1025055
1,0,0,1654004,149,27,4,30,1654543
1,0,0,10434,138,37,4,13,11006
0,0,0,1840178,57,28,4,110,1840810
1,0,0,1181541,57,28,4,313,1182146
1,0,1,355831,136,13,3,430,356421
0,0,0,398035,23,16,4,248,398667
1,0,0,1235211,95,28,2,187,1235855
0,0,0,1806064,145,28,4,337,1806636
0,0,0,6641,43,57,4,53,7249
0,0,0,451995,95,28,4,281,452612
0,0,0,425384,47,14,2,139,425782
0,0,0,531,161,32,4,1,1121
1,0,0,724664,115,22,4,150,725245
0,0,0,7151,147,79,2,343,7534
0,0,0,14272,100,50,4,377,14571
0,0,0,243556,118,16,4,288,244449
0,0,0,621803,95,28,4,26,622513
0,0,0,260553,31,14,4,174,261062
0,0,0,252442,21,17,4,178,253089
0,0,0,304515,9,24,4,372,305429
0,0,1,689434,55,22,3,147,690105
1,0,0,25487,31,14,4,305,26110
0,0,0,54550,31,14,4,81,55203
1,0,0,6140,43,69,4,227,6670
0,0,0,467418,162,22,4,365,467996
0,0,0,750,76,62,2,127,1079
1,1,0,1784156,145,28,4,333,1784731
0,0,0,1391459,164,28,4,308,1392058
1,0,0,173294,47,14,4,65,174019
1,0,1,44119,66,93,3,395,44727
0,0,1,978390,116,27,1,275,978860
0,0,0,6638,43,75,4,261,7294
0,0,0,8734,76,63,2,131,9111
1,0,0,640880,54,11,4,83,641578
0,0,0,2211,36,40,4,16,2852
0,0,0,1609563,75,28,4,115,1610144
1,0,1,225092,33,14,3,69,225709
1,0,0,262,32,35,4,4,873
0,0,0,462006,96,4,4,138,462632
0,0,0,1054,87,85,4,378,1707
0,0,0,554104,78,7,4,78,555039
0,0,0,896894,60,27,4,272,897457
1,0,0,522417,6,10,4,292,522983
1,0,0,929947,167,22,4,242,930600
0,0,0,459083,26,16,4,249,459742
0,0,0,8245,4,50,4,376,8892
0,0,0,409799,63,15,4,181,410431
1,0,0,95094,110,2,4,64,95645
1,0,0,296102,96,4,4,421,296809
1,0,0,438168,142,3,4,32,438791
0,0,0,302005,46,16,4,244,302673
0,0,0,331510,97,14,4,411,332148
0,0,0,22523,129,58,2,58,22912
1,0,0,19953,67,43,4,74,20624
0,0,0,275592,81,22,4,135,276224
1,0,0,602248,15,10,4,237,603114
0,0,0,610333,134,4,4,155,610905
1,0,1,892445,11,22,3,239,893116
1,0,0,9376,126,41,4,33,9993
1,0,0,1447573,17,28,4,89,1448091
1,0,0,11959,94,47,4,197,12594
0,0,0,388676,108,16,4,247,389569
0,0,0,27344,125,53,4,44,28027
0,0,0,406078,96,4,4,137,406686
0,0,0,31979,125,76,4,262,32545
0,0,1,10828,106,52,3,40,11424
0,0,0,473496,112,17,4,354,474095
1,0,1,891058,41,27,1,271,891600
1,0,0,1570405,95,28,4,121,1570983
1,0,0,486679,123,23,4,201,487260
0,0,1,27985,163,63,3,129,28680
0,0,0,478315,3,0,4,102,478938
0,0,0,1108595,137,23,4,398,1109266
0,0,0,21193,40,79,4,345,21792
1,0,0,651543,6,10,4,236,652493
1,0,0,537880,116,22,4,145,538452
0,0,0,21079,129,71,4,230,21840
0,0,0,567485,62,19,2,124,567898
0,0,0,52718,37,93,5,397,53116
0,0,0,308044,26,16,4,370,308712
1,0,0,640657,131,10,4,234,641268
0,0,0,1590720,70,27,4,331,1591262
0,0,0,558976,80,20,2,143,559332
1,0,0,626603,83,6,4,100,627298
1,0,0,554545,96,4,4,429,555039
0,0,0,268954,134,4,4,420,269583
0,0,1,1590901,128,26,3,212,1591401
1,0,0,1059636,57,28,4,189,1060193
0,0,0,271798,21,17,4,180,272757
0,0,0,21179,53,78,4,339,21892
1,0,0,400036,156,3,4,56,400683
0,0,0,11139,125,53,4,45,11825
1,0,0,610288,167,22,4,367,610947
0,0,0,1182499,39,26,4,325,1183104
0,0,0,1870641,17,28,4,109,1871216
1,0,0,1099440,100,27,4,407,1100102
0,0,0,222562,23,16,4,289,223254
1,0,0,2130250,95,28,4,105,2130876
1,0,0,4696,76,71,4,231,5418
1,0,0,273715,97,14,4,172,274287
0,0,0,642618,65,6,4,199,643220
0,0,0,252897,31,14,4,170,253619
1,0,0,190256,97,14,4,66,190891
1,0,0,32910,146,92,4,391,33533
0,0,0,65685,119,1,4,301,66227
1,0,0,1037734,95,28,4,190,1038285
0,0,0,1298663,95,28,4,185,1299223
0,0,0,548651,158,7,4,75,549268
1,0,0,1789544,34,27,4,219,1790185
1,0,0,110344,160,2,5,154,110877
0,0,0,69732,157,15,4,298,70385
1,0,0,374682,127,4,4,426,375323
1,1,0,1893637,28,28,4,111,1894275
0,0,0,48349,103,83,4,358,48963
0,0,0,62859,125,59,4,63,63431
0,0,0,563114,18,20,2,94,563485
1,0,1,1330,139,39,3,15,1947
1,1,0,849029,121,27,4,23,849658
0,0,0,16593,43,76,4,266,17246
1,0,0,10975,43,74,4,259,11667
1,0,0,1191744,159,28,4,314,1192370
1,0,0,789061,58,22,4,149,789660
0,0,0,484143,51,17,4,355,484940
0,0,0,550740,160,19,2,226,551183
0,0,0,1664528,149,27,4,29,1665163
0,0,0,15231,50,83,4,361,15815
0,0,0,422700,5,23,4,203,423275
0,0,0,49587,100,93,4,396,50225
0,0,0,23259,140,83,4,362,23909
0,0,0,1934724,121,27,4,215,1935320
1,0,0,1439215,57,28,4,90,1439745
0,0,0,1646206,19,26,4,213,1646736
1,0,0,4736,133,82,4,350,5356
0,0,0,281250,98,17,4,179,281837
0,0,0,216745,23,16,4,22,217404
0,0,0,430704,143,4,4,427,431207
0,0,0,564760,80,20,2,382,565167
1,0,0,4241,1,33,4,6,4939
0,0,0,496699,23,16,4,251,497547
0,0,0,2159390,70,27,4,326,2159962
1,0,0,1721857,21,25,4,338,1722444
1,0,0,626559,169,11,4,85,627125
1,0,0,636250,127,4,4,158,636879
1,0,0,2102468,57,28,4,220,2103139
0,0,0,211245,8,0,5,419,211634
1,0,0,34262,125,77,4,267,34921
0,0,0,1578312,17,28,4,120,1578872
0,0,0,595866,134,4,4,159,596495
1,0,0,8904,94,47,4,196,9539
1,0,0,490859,6,10,4,295,491431
0,0,0,464038,2,17,4,353,465000
0,0,0,282588,134,4,4,425,283286
0,0,0,1279,129,53,4,43,1863
0,0,1,1337152,30,26,3,210,1337715
1,0,0,10110,93,51,2,38,10499
0,0,0,5888,129,63,2,130,6256
0,0,0,76545,129,58,4,60,77237
0,0,0,1685527,159,28,0,117,1685667
1,0,0,565864,131,10,4,296,566496
0,0,0,1211533,17,28,4,311,1212108
1,0,0,7124,86,92,4,393,8071
1,0,0,630704,96,4,4,157,631273
1,0,0,1356881,145,28,4,310,1357417
1,0,0,1412725,13,26,4,209,1413348
0,0,0,897068,162,22,4,240,897652
1,0,0,101630,102,2,4,0,102031
0,0,0,459570,57,28,4,282,460277
1,0,0,542232,6,10,4,290,542828
1,0,0,2081918,57,28,4,35,2082607
1,0,0,672981,12,27,4,184,673589
0,0,0,261997,130,16,4,286,262590
0,0,0,1069351,57,28,4,193,1069989
1,0,0,53294,52,94,4,400,54130
1,0,0,237978,31,14,4,171,238595
1,0,0,2039173,168,27,4,328,2039757
0,0,0,54300,129,76,4,265,55031
1,0,0,42403,86,92,4,392,42738
1,0,0,698387,95,28,4,97,698962
1,0,0,1037092,167,22,4,369,1037760
0,0,0,509916,44,5,4,431,510533
1,0,0,1652444,57,28,4,113,1653046
0,0,0,601444,143,4,4,160,602022
0,0,0,9067,140,83,4,360,9693
0,0,0,331098,132,16,4,152,331967
1,0,0,57381,129,59,4,62,57983
0,0,0,487683,130,16,4,250,488252
0,0,0,151562,91,94,4,402,152203
1,0,0,6941,125,67,4,168,7816
0,0,0,472107,132,16,4,252,473006
1,0,0,8412,76,72,4,255,8984
0,0,0,295724,132,16,4,243,296422
0,0,0,88,35,84,4,373,786
0,0,0,520573,111,6,4,207,521226
1,0,0,1198,76,72,4,254,1896
0,0,0,432955,5,23,4,204,433446
0,0,0,296609,156,3,4,223,297265
0,0,0,420860,159,28,4,417,421453
1,0,0,10142,129,66,4,163,10738
0,0,0,422386,63,15,4,182,422988
0,0,0,738989,70,27,4,270,739582
0,0,0,741234,46,16,4,200,741926
1,0,0,2020752,17,28,4,36,2021354
0,0,1,21845,156,42,3,54,22510
0,0,0,12349,53,78,4,341,12963
1,0,0,1279111,17,28,4,188,1279824
0,0,0,2140400,48,27,4,327,2141017
1,0,0,212727,47,14,4,71,213605
1,0,0,648745,6,10,4,235,649380
1,0,1,1772775,119,28,3,334,1773473
1,0,0,536468,6,10,4,291,537100
1,0,0,2544,125,65,4,161,3185
1,0,0,1093786,57,28,4,318,1094415
0,0,0,547909,72,20,2,142,548259
0,0,0,4066,125,70,4,228,4704
0,0,0,67067,31,14,4,415,67780
0,0,0,287768,109,3,4,222,288418
0,0,0,165327,1,9,4,18,165971
1,0,0,632488,59,11,4,82,633393
0,0,0,606242,48,27,4,86,606832
1,0,0,10641,76,56,4,50,11303
1,0,0,666332,6,10,4,3,667099
