Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,0,760085,242,33,757590,0
0,0,1852491,173,54,1847980,0
1,0,130785,104,20,128263,0
1,0,122539,189,14,120197,1
0,0,594892,226,28,591674,0
0,0,571445,197,21,567813,0
1,0,690966,179,32,687994,0
1,0,18751,109,84,16475,1
1,0,582823,21,21,581135,0
0,0,67475,296,56,65139,1
1,0,25743,230,14,24748,1
1,0,71114,194,4,69705,1
0,0,103187,323,9,101616,0
0,0,702008,180,32,700188,0
1,0,585311,227,28,582390,0
1,0,2325261,42,59,2323705,0
1,0,491613,133,41,488857,1
1,0,12191,231,14,9909,1
1,0,7825,90,115,5795,0
1,0,59561,140,50,57681,1
0,0,4036,63,67,1289,1
1,0,3158,253,95,408,1
0,0,1434052,153,52,1432280,0
1,0,29749,160,29,26915,1
1,0,430057,184,33,427406,0
1,0,10910,88,114,8910,0
0,0,30562,278,18,28739,1
1,0,7313,235,140,4734,0
0,0,4216,132,47,1460,1
1,0,4679,183,134,1893,0
1,0,10460,76,112,8049,1
1,0,28755,102,117,25951,1
1,0,2892,67,108,97,0
1,0,912033,72,41,909235,0
1,0,15683,255,97,12888,0
1,0,30617,148,66,28410,1
0,0,75311,149,65,73533,1
1,0,14564,60,81,12819,1
1,0,706189,14,29,704129,0
0,0,120500,322,9,118605,0
1,0,26060,258,2,23298,1
0,0,201879,299,61,200095,0
0,0,8589,29,42,6541,1
0,0,1385359,152,52,1383590,0
1,0,688837,87,26,685982,0
0,0,54516,93,41,53479,1
1,0,1443,19,71,1,1
1,0,201254,158,60,198909,0
1,0,670094,37,59,667467,0
1,0,628364,99,27,625434,0
0,0,10587,181,132,8119,1
0,0,61849,46,65,60071,1
1,0,4799,270,143,2103,0
0,0,3597,234,140,1834,0
1,0,5025,157,127,2677,1
0,0,20670,139,125,18052,1
1,0,829858,118,37,827087,0
1,0,2071578,163,58,2068987,0
1,0,411543,243,31,408877,0
1,0,848494,161,35,847454,0
1,0,8756,144,45,5919,1
0,0,169188,306,44,166855,1
1,0,16396,294,148,13598,0
1,0,492103,128,0,489575,0
1,0,14953,302,53,12005,1
0,0,427483,287,46,425420,0
1,0,570499,250,27,567725,0
0,0,36437,101,117,35517,1
1,0,68621,190,57,67503,1
1,0,245943,61,4,244298,0
1,0,556405,239,28,554000,1
0,0,8383,219,137,7271,0
1,0,873816,170,52,871123,0
0,0,20605,215,92,20087,0
1,0,2350211,166,59,2347587,0
1,0,14712,221,93,11650,0
1,0,14455,89,114,11690,0
0,0,1137976,136,57,1133828,0
1,0,96498,207,29,94816,1
1,0,83774,186,15,82602,1
1,0,3538,292,100,857,1
1,0,483389,320,5,481422,0
0,0,85945,309,16,83153,1
1,0,6970,58,105,4526,0
0,0,22871,4,25,21810,1
0,0,2258,47,102,3,1
0,0,728090,36,30,725151,0
0,0,1739,12,72,3,1
0,0,258722,218,9,256827,0
1,0,8963,176,131,6399,1
1,0,145152,315,13,142906,1
1,0,572075,300,17,569139,0
0,0,2028848,178,56,2027736,0
1,0,33122,281,42,30594,1
1,0,690828,274,37,688522,0
0,0,45706,259,2,43370,1
1,0,588116,3,8,586977,0
0,0,4613,116,5,1626,1
0,0,12865,289,39,9965,1
1,0,4342,81,32,1385,1
1,0,9360,254,96,6577,0
0,0,367390,216,62,364778,0
0,0,25602,134,51,22921,1
0,0,563158,321,21,560651,0
0,0,467624,169,11,464685,0
0,0,2010044,11,56,2009265,0
0,0,1225,52,79,1,1
1,0,9553,111,85,7784,0
1,0,33240,54,41,30436,1
1,0,197559,192,9,195199,1
1,0,2762,131,89,822,0
0,0,447897,285,46,446350,0
1,0,36839,205,65,34572,1
1,0,1721524,41,58,1718519,1
0,0,21702,59,106,18811,0
1,0,517997,130,0,514713,0
1,0,1984663,164,58,1981777,0
1,0,5794,135,123,3014,0
1,0,16034,125,24,13233,0
1,0,1133115,269,52,1130755,1
0,0,1973,1,153,3,1
1,0,1174681,75,48,1172813,0
0,0,3158,6,40,342,1
1,0,648458,159,22,645735,0
1,0,28068,64,67,25282,1
0,0,1171911,146,49,1168945,0
0,0,2772,318,13,301,1
1,0,265804,200,10,263906,0
0,0,496864,168,6,494066,0
1,0,1626838,107,59,1624217,0
1,0,29971,143,45,27197,1
0,0,9695,154,126,7212,1
1,0,474181,191,4,471830,0
1,0,4543,137,124,1706,1
0,0,1430611,97,52,1429409,0
1,0,2149200,264,58,2146741,0
1,0,3014,94,66,228,1
0,0,750304,208,37,747923,0
1,0,46833,74,111,44356,0
1,0,754760,204,31,752910,0
1,0,6217,319,13,3602,1
1,0,396132,244,31,393928,0
1,0,128705,206,29,127131,1
1,0,496021,26,1,493463,0
1,0,56619,316,13,53854,1
1,0,1094,23,75,159,1
0,0,117865,211,2,115973,1
0,0,6529,156,36,4547,1
1,0,174847,193,9,172793,1
1,0,12451,175,130,9695,1
0,0,6840,284,145,3826,0
1,0,1175229,145,49,1172704,0
1,0,388046,38,63,385203,0
1,0,1182,91,116,1,1
1,0,22938,85,56,21226,1
1,0,1130391,196,46,1127446,0
1,0,11829,32,48,8980,1
1,0,4777,18,70,2027,1
0,0,7112,282,144,4374,1
1,0,1008775,188,58,1006142,0
1,0,7245,290,146,4687,1
1,0,10610,172,129,8169,1
1,0,2272,40,77,2,0
1,0,1767155,266,59,1764399,1
1,0,905310,39,45,902803,0
0,0,729858,199,37,727477,0
1,0,214887,305,9,212992,0
0,0,34372,2,50,33320,1
0,0,38223,30,43,36197,1
1,0,27589,108,83,25172,0
1,0,2120212,105,58,2117660,0
1,0,3783,84,25,1453,1
1,0,596370,276,11,593812,0
1,0,19819,121,0,16985,1
0,0,392186,224,11,389424,0
0,0,36463,115,16,33455,1
1,0,439193,286,46,435576,0
0,0,598524,92,7,596251,0
0,0,17724,293,59,14986,1
1,0,107280,48,19,104554,0
1,0,21022,62,107,18272,1
0,0,478312,10,11,477440,0
1,0,2982,70,110,445,1
1,0,342240,151,59,339421,1
1,0,2020967,177,56,2018517,0
1,0,68416,260,2,66416,1
0,0,1204,126,88,2,0
0,0,553364,249,18,550602,0
1,0,2360044,13,59,2358530,0
0,0,851849,119,37,849015,0
0,0,3713,283,99,2106,0
1,0,12394,303,149,9605,0
0,0,748745,35,30,745776,0
0,0,4567,55,80,1604,0
0,0,39476,268,142,36720,1
1,0,3790,209,91,806,0
1,0,58311,298,57,56848,1
0,0,645301,275,11,642806,0
1,0,7188,124,121,4384,0
1,0,458839,16,11,457553,0
0,0,811998,312,40,810235,0
1,0,26744,325,43,24147,1
0,0,968,8,152,3,0
1,0,905988,95,42,903148,0
1,0,9121,288,39,6152,1
1,0,582104,238,12,579438,0
1,0,79885,229,11,77750,1
1,0,15577,69,109,12521,1
0,0,169312,66,55,166550,0
1,0,1113039,295,58,1110685,1
0,0,531490,33,3,528650,0
1,0,15172,112,86,12569,0
1,0,710712,198,37,708220,0
1,0,351197,217,62,348939,0
1,0,56555,324,43,54387,1
1,0,6673,232,139,3815,0
0,0,31215,301,68,30121,1
1,0,4394,68,109,1644,1
1,0,2028531,265,58,2025571,0
1,0,11733,73,82,9154,0
0,0,4119,43,34,967,1
1,0,27235,147,30,24623,1
1,0,783456,79,34,780772,0
0,0,29687,110,119,27789,1
1,0,242630,117,23,239769,1
1,0,3660,171,128,874,1
1,0,106204,279,18,104012,1
0,0,1981,297,101,2,0
1,0,9934,86,49,6965,1
1,0,577397,7,28,576201,0
1,0,1820,9,154,189,0
1,0,485801,34,3,483723,0
1,3,11541,326,43,8509,1
1,0,619021,150,14,617285,0
0,0,13820,28,25,12766,1
1,0,2194888,106,59,2192474,1
0,0,47207,80,113,45534,1
1,0,639965,256,24,637563,0
