Gene_Classification,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,1066542,402,4,0,26,1065931,1
0,0,438865,348,4,0,16,438233,0
0,0,345916,151,4,0,15,345353,0
1,0,499409,363,3,1,21,498789,0
0,0,262228,36,4,0,21,261515,0
0,0,350824,411,2,0,13,350453,1
0,0,224418,164,4,0,16,223792,0
0,0,17055,46,4,0,55,16375,0
0,0,1049,279,4,0,47,204,1
0,0,807166,149,4,0,21,806492,1
1,0,874302,270,3,1,26,873739,1
0,0,281,8,5,0,35,3,1
0,0,16035,339,4,0,77,15472,0
0,0,311595,409,2,0,13,311224,1
0,0,6125,9,4,0,35,5631,1
0,0,582243,75,4,0,7,581596,0
0,0,1670681,27,4,0,26,1670067,0
1,0,544317,144,1,1,21,543658,0
0,0,285006,241,4,0,15,284026,0
0,0,482096,249,4,0,15,481446,0
0,0,16573,162,4,0,65,15977,0
0,0,1236,123,4,0,43,691,0
0,0,2152710,104,4,0,27,2152117,1
0,0,218124,163,4,0,16,217234,0
0,0,505974,290,4,0,9,505327,1
0,0,314714,121,4,0,11,314181,0
0,0,729959,94,4,0,27,729363,0
0,0,358436,273,2,0,13,358038,1
0,0,594102,227,4,0,9,593512,1
0,1,22696,71,4,0,14,22061,1
1,0,1261581,321,3,1,25,1260970,0
0,0,160801,400,4,0,93,160181,0
1,0,10872,102,3,1,59,10210,0
0,0,412598,275,4,0,29,411981,1
0,0,517192,289,4,0,9,516578,1
0,0,53893,303,4,0,10,53279,1
0,0,253563,283,4,0,15,252895,0
0,0,237931,281,4,0,15,237338,0
0,0,266589,173,4,0,16,265723,0
0,0,1078119,189,4,0,27,1077559,0
0,0,468817,292,4,0,9,467864,1
0,0,1243238,183,4,0,27,1242540,1
0,0,1176204,396,4,0,22,1175530,0
0,0,6197,384,4,0,88,5628,0
0,0,47042,78,4,0,13,46335,1
0,0,374682,40,4,0,27,374062,0
0,0,1420673,89,4,0,27,1420101,0
0,0,388432,191,2,0,28,388043,1
0,0,70633,57,4,0,57,70109,0
0,0,11230,371,4,0,48,10535,0
0,0,694973,304,4,0,26,694383,0
0,0,1677970,116,4,0,27,1677395,0
0,0,5761,372,4,0,49,5141,0
0,0,1886263,213,4,0,26,1885670,0
0,0,320021,421,4,0,4,319437,1
0,0,282372,170,4,0,13,281740,1
0,0,456160,318,4,0,22,455483,0
0,0,36542,382,4,0,87,35961,1
0,0,602338,317,4,0,6,601643,1
0,0,377041,360,4,0,11,376496,1
0,0,1142859,406,4,0,26,1142287,1
0,0,1481322,91,4,0,27,1480762,1
0,0,1306828,204,4,0,25,1306226,1
0,0,1739,5,4,0,32,1236,1
0,0,410649,138,2,0,13,410251,0
0,0,1587490,207,4,0,25,1586741,0
0,0,2442,280,4,0,47,1612,1
0,0,333597,423,4,0,4,332944,1
0,0,1411596,20,4,0,27,1410949,0
0,0,260483,174,4,0,16,259935,0
0,0,917604,269,4,0,26,916954,0
0,0,371048,272,4,0,13,370350,1
0,0,11470,45,2,0,54,11081,1
0,0,377176,139,4,0,13,376607,0
0,0,1943209,7,4,0,27,1942577,0
0,0,7470,264,4,0,76,6853,1
0,0,120884,33,2,0,13,120498,0
0,0,21243,13,4,0,37,20602,1
0,0,617680,228,4,0,9,617066,1
0,1,340144,410,4,0,13,339536,0
1,0,862102,237,3,1,21,861431,0
0,0,1875155,214,4,0,26,1874526,0
0,0,633183,229,2,0,9,632827,1
0,0,59685,47,4,0,55,58891,0
0,0,1611491,327,4,0,26,1610868,0
0,0,31626,354,4,0,82,31012,0
0,0,76266,274,4,0,13,75574,1
0,0,430625,11,4,0,15,430509,0
0,0,288480,172,4,0,16,287506,0
0,0,1187163,343,4,0,21,1186465,0
0,0,1200244,309,4,0,27,1199621,0
0,0,18926,387,4,0,91,18276,0
0,0,2115566,24,4,0,27,2114982,1
0,0,1109679,313,4,0,27,1109041,1
0,0,1559,49,4,0,56,987,1
0,0,413954,415,4,0,27,413337,0
0,0,159847,65,4,0,13,159101,1
0,0,1139142,312,4,0,27,1138561,1
0,0,462219,361,4,0,21,461563,1
0,0,1348,165,4,0,66,512,1
0,0,1344856,195,4,0,20,1344239,0
0,0,203566,68,2,0,13,203195,1
0,0,3660,192,4,0,67,3085,1
0,0,1001979,93,4,0,27,1001410,0
1,0,1671935,117,3,1,27,1671336,0
0,0,3008,160,4,0,45,2760,1
0,0,17644,345,4,0,79,17072,0
0,0,393310,276,4,0,29,392783,0
0,0,1025055,188,4,0,27,1024453,0
0,0,1654543,29,4,0,26,1654004,1
0,0,11006,12,4,0,36,10434,1
0,0,1840810,108,4,0,27,1840178,0
0,0,1182146,310,4,0,27,1181541,1
1,0,356421,429,3,1,12,355831,1
0,0,398667,244,4,0,15,398035,0
0,0,1235855,184,2,0,27,1235211,1
0,0,1806636,334,4,0,27,1806064,0
0,0,7249,51,4,0,56,6641,0
0,0,452612,277,4,0,27,451995,0
0,0,425782,137,2,0,13,425384,0
0,0,1121,1,4,0,31,531,0
0,0,725245,148,4,0,21,724664,1
0,0,7534,340,2,0,78,7151,0
0,0,14571,374,4,0,49,14272,0
0,0,244449,284,4,0,15,243556,0
0,0,622513,25,4,0,27,621803,0
0,0,261062,171,4,0,13,260553,0
0,0,253089,175,4,0,16,252442,0
0,0,305429,369,4,0,23,304515,0
1,0,690105,145,3,1,21,689434,0
0,0,26110,302,4,0,13,25487,1
0,0,55203,79,4,0,13,54550,0
0,0,6670,222,4,0,68,6140,1
0,0,467996,362,4,0,21,467418,0
0,0,1079,125,2,0,61,750,0
0,1,1784731,330,4,0,27,1784156,1
0,0,1392058,305,4,0,27,1391459,0
0,0,174019,63,4,0,13,173294,1
1,0,44727,392,3,1,92,44119,1
1,0,978860,271,1,1,26,978390,0
0,0,7294,257,4,0,74,6638,0
0,0,9111,129,2,0,62,8734,0
0,0,641578,81,4,0,10,640880,1
0,0,2852,15,4,0,39,2211,0
0,0,1610144,113,4,0,27,1609563,0
1,0,225709,67,3,1,13,225092,1
0,0,873,4,4,0,34,262,1
1,0,504309,425,3,1,4,503911,1
0,0,1707,375,4,0,84,1054,0
0,0,570400,73,4,0,7,569783,0
0,0,897457,268,4,0,26,896894,0
0,0,528985,288,4,0,9,528356,1
0,0,930600,238,4,0,21,929947,1
0,0,459742,245,4,0,15,459083,0
0,0,8892,373,4,0,49,8245,0
0,0,410431,178,4,0,14,409799,0
0,0,95645,62,4,0,2,95094,1
0,0,311313,420,4,0,4,310645,1
0,0,444695,30,4,0,3,444042,0
0,0,302673,240,4,0,15,302005,0
0,0,332148,408,4,0,13,331510,0
0,0,22912,56,2,0,57,22523,0
0,0,20624,72,4,0,42,19953,1
0,0,276224,133,4,0,21,275592,0
0,0,605996,234,4,0,9,605367,1
0,0,631273,155,4,0,4,630704,1
1,0,893116,235,3,1,21,892445,1
0,0,9993,32,4,0,40,9376,1
0,0,1448091,87,4,0,27,1447573,1
0,0,12594,194,4,0,46,11959,1
0,0,389569,243,4,0,15,388676,0
0,0,28027,42,4,0,52,27344,0
0,0,426818,134,4,0,4,426186,1
0,0,32545,258,4,0,75,31979,0
1,0,11424,39,3,1,51,10828,0
0,0,474095,351,4,0,16,473496,0
1,0,891600,267,1,1,26,891058,1
0,0,1570983,119,4,0,27,1570405,1
0,0,487260,198,4,0,22,486679,1
1,0,28680,127,3,1,62,27985,0
0,0,478938,100,4,0,0,478315,0
0,0,1109266,395,4,0,22,1108595,0
0,0,21792,342,4,0,78,21193,0
0,0,652493,232,4,0,9,651543,1
0,0,538452,143,4,0,21,537880,1
0,0,21840,225,4,0,70,21079,0
0,0,567898,122,2,0,18,567485,0
0,0,53116,394,5,0,92,52718,0
0,0,308712,367,4,0,15,308044,0
0,0,641268,230,4,0,9,640657,1
0,0,1591262,328,4,0,26,1590720,0
0,0,559332,141,2,0,19,558976,0
0,0,643220,196,4,0,6,642618,0
1,0,588625,154,3,1,4,587969,1
0,0,277659,419,4,0,4,277030,0
1,0,1591401,208,3,1,25,1590901,0
0,0,1060193,186,4,0,27,1059636,1
0,0,272757,177,4,0,16,271798,0
0,0,21892,336,4,0,77,21179,0
0,0,438791,31,4,0,3,438168,1
0,0,11825,43,4,0,52,11139,0
0,0,610947,364,4,0,21,610288,1
0,0,1183104,322,4,0,25,1182499,0
0,0,1871216,107,4,0,27,1870641,0
0,0,1100102,404,4,0,26,1099440,1
0,0,223254,285,4,0,15,222562,0
0,0,2130876,103,4,0,27,2130250,1
0,0,5418,226,4,0,70,4696,1
0,0,274287,169,4,0,13,273715,1
0,0,212591,428,4,0,7,211887,1
0,0,253619,167,4,0,13,252897,0
0,0,190891,64,4,0,13,190256,1
0,0,33533,388,4,0,91,32910,1
0,0,66227,298,4,0,1,65685,0
0,0,1038285,187,4,0,27,1037734,1
0,0,1299223,182,4,0,27,1298663,0
0,0,555039,76,4,0,7,554104,0
0,0,1790185,215,4,0,26,1789544,1
0,0,110877,152,5,0,2,110344,1
0,0,70385,295,4,0,14,69732,0
0,0,406686,135,4,0,4,406078,0
0,1,1894275,109,4,0,27,1893637,1
0,0,48963,355,4,0,82,48349,0
0,0,63431,61,4,0,58,62859,0
0,0,563485,92,2,0,19,563114,0
1,0,1947,14,3,1,38,1330,1
0,1,849658,22,4,0,26,849029,1
0,0,17246,262,4,0,75,16593,0
0,0,11667,255,4,0,73,10975,1
0,0,1192370,311,4,0,27,1191744,1
0,0,789660,147,4,0,21,789061,1
0,0,484940,352,4,0,16,484143,0
0,0,551183,221,2,0,18,550740,0
0,0,1665163,28,4,0,26,1664528,0
0,0,15815,358,4,0,82,15231,0
0,0,423275,200,4,0,22,422700,0
0,0,50225,393,4,0,92,49587,0
0,0,23909,359,4,0,82,23259,0
0,0,1935320,211,4,0,26,1934724,0
0,0,1439745,88,4,0,27,1439215,1
0,0,1646736,209,4,0,25,1646206,0
0,0,5356,347,4,0,81,4736,1
0,0,281837,176,4,0,16,281250,0
0,0,217404,21,4,0,15,216745,0
0,0,462632,136,4,0,4,462006,0
0,0,565167,379,2,0,19,564760,0
0,0,4939,6,4,0,32,4241,1
0,0,497547,247,4,0,15,496699,0
0,0,2159962,323,4,0,26,2159390,0
0,0,1722444,335,4,0,24,1721857,1
0,0,627125,83,4,0,10,626559,1
0,0,510533,430,4,0,5,509916,0
0,0,2103139,216,4,0,27,2102468,1
0,0,211634,416,5,0,0,211245,0
0,0,34921,263,4,0,76,34262,1
0,0,1578872,118,4,0,27,1578312,0
0,0,602022,158,4,0,4,601444,0
0,0,9539,193,4,0,46,8904,1
0,0,497850,291,4,0,9,497083,1
0,0,465000,350,4,0,16,464038,0
0,0,296809,418,4,0,4,296102,1
0,0,1863,41,4,0,52,1279,0
1,0,1337715,206,3,1,25,1337152,0
0,0,10499,37,2,0,50,10110,1
0,0,6256,128,2,0,62,5888,0
0,0,77237,58,4,0,57,76545,0
0,0,1685667,115,0,0,27,1685527,0
0,0,584282,131,4,0,9,583626,1
0,0,1212108,308,4,0,27,1211533,0
0,0,8071,390,4,0,91,7124,1
0,0,636879,156,4,0,4,636250,1
0,0,1357417,307,4,0,27,1356881,1
0,0,1413348,205,4,0,25,1412725,1
0,0,897652,236,4,0,21,897068,0
0,0,102031,0,4,0,2,101630,1
0,0,460277,278,4,0,27,459570,0
0,0,550961,286,4,0,9,550314,1
0,0,2082607,34,4,0,27,2081918,1
0,0,673589,181,4,0,26,672981,1
0,0,262590,282,4,0,15,261997,0
0,0,1069989,190,4,0,27,1069351,0
0,0,54130,397,4,0,93,53294,1
0,0,238595,168,4,0,13,237978,1
0,0,2039757,325,4,0,26,2039173,1
0,0,55031,261,4,0,75,54300,0
0,0,42738,389,4,0,91,42403,1
0,0,698962,95,4,0,27,698387,1
0,0,1037760,366,4,0,21,1037092,1
0,0,522585,431,4,0,5,522157,0
0,0,1653046,111,4,0,27,1652444,1
0,0,610905,153,4,0,4,610333,0
0,0,9693,357,4,0,82,9067,0
0,0,331967,150,4,0,15,331098,0
0,0,57983,60,4,0,58,57381,1
0,0,488252,246,4,0,15,487683,0
0,0,152203,399,4,0,93,151562,0
0,0,7816,166,4,0,66,6941,1
0,0,473006,248,4,0,15,472107,0
0,0,8984,251,4,0,71,8412,1
0,0,296422,239,4,0,15,295724,0
0,0,786,370,4,0,83,88,0
0,0,541203,101,4,0,6,540331,0
0,0,1896,250,4,0,71,1198,1
0,0,433446,201,4,0,22,432955,0
0,0,297265,219,4,0,3,296609,0
0,0,421453,414,4,0,27,420860,0
0,0,10738,161,4,0,65,10142,1
0,0,422988,179,4,0,14,422386,0
0,0,739582,266,4,0,26,738989,0
0,0,741926,197,4,0,15,741234,0
0,0,2021354,35,4,0,27,2020752,1
1,0,22510,52,3,1,41,21845,0
0,0,12963,338,4,0,77,12349,0
0,0,1279824,185,4,0,27,1279111,1
0,0,2141017,324,4,0,26,2140400,0
0,0,213605,69,4,0,13,212727,1
0,0,649380,231,4,0,9,648745,1
1,0,1773473,331,3,1,27,1772775,1
0,0,542828,287,4,0,9,542232,1
0,0,3185,159,4,0,64,2544,1
0,0,1094415,315,4,0,27,1093786,1
0,0,548259,140,2,0,19,547909,0
0,0,4704,223,4,0,69,4066,0
0,0,67780,412,4,0,13,67067,0
0,0,288418,218,4,0,3,287768,0
0,0,498188,427,4,0,8,497556,1
0,0,633393,80,4,0,10,632488,1
0,0,606832,84,4,0,26,606242,0
0,0,11303,48,4,0,55,10641,1
0,0,667099,3,4,0,9,666332,1
