Gene_Classification,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,253619,171,4,0,14,252897,0
0,0,190891,66,4,0,14,190256,1
0,0,33533,391,4,0,92,32910,1
0,0,66227,302,4,0,1,65685,0
0,0,1038285,191,4,0,28,1037734,1
0,0,1299223,186,4,0,28,1298663,0
0,0,549268,75,4,0,7,548651,0
0,0,1790185,220,4,0,27,1789544,1
0,0,110877,155,5,0,2,110344,1
0,0,70385,299,4,0,15,69732,0
0,0,375323,426,4,0,4,374682,1
0,1,1894275,111,4,0,28,1893637,1
0,0,48963,358,4,0,83,48349,0
0,0,63431,63,4,0,59,62859,0
0,0,563485,94,2,0,20,563114,0
1,0,1947,16,3,1,39,1330,1
0,1,849658,24,4,0,27,849029,1
0,0,17246,267,4,0,76,16593,0
0,0,11667,260,4,0,74,10975,1
0,0,1192370,314,4,0,28,1191744,1
0,0,789660,150,4,0,22,789061,1
0,0,484940,355,4,0,17,484143,0
0,0,551183,227,2,0,19,550740,0
0,0,1665163,30,4,0,27,1664528,0
0,0,15815,361,4,0,83,15231,0
0,0,423275,204,4,0,23,422700,0
0,0,50225,396,4,0,93,49587,0
0,0,23909,362,4,0,83,23259,0
0,0,1935320,216,4,0,27,1934724,0
0,0,1439745,90,4,0,28,1439215,1
0,0,1646736,214,4,0,26,1646206,0
0,0,5356,350,4,0,82,4736,1
0,0,281837,180,4,0,17,281250,0
0,0,217404,23,4,0,16,216745,0
0,0,431207,427,4,0,4,430704,0
0,0,565167,382,2,0,20,564760,0
0,0,4939,7,4,0,33,4241,1
0,0,497547,252,4,0,16,496699,0
0,0,2159962,326,4,0,27,2159390,0
0,0,1722444,338,4,0,25,1721857,1
1,0,210445,135,3,1,11,209840,1
0,0,636879,159,4,0,4,636250,1
0,0,2103139,221,4,0,28,2102468,1
0,0,211634,419,5,0,0,211245,0
0,0,34921,268,4,0,77,34262,1
0,0,1578872,120,4,0,28,1578312,0
0,0,596495,160,4,0,4,595866,0
0,0,9539,197,4,0,47,8904,1
0,0,491431,296,4,0,10,490859,1
0,0,465000,353,4,0,17,464038,0
0,0,283286,425,4,0,4,282588,0
0,0,1863,43,4,0,53,1279,0
1,0,1337715,211,3,1,26,1337152,0
0,0,10499,38,2,0,51,10110,1
0,0,6256,130,2,0,63,5888,0
0,0,77237,60,4,0,58,76545,0
0,0,1685667,117,0,0,28,1685527,0
0,0,566496,297,4,0,10,565864,1
0,0,1212108,311,4,0,28,1211533,0
0,0,8071,393,4,0,92,7124,1
0,0,631273,158,4,0,4,630704,1
0,0,1357417,310,4,0,28,1356881,1
0,0,1413348,210,4,0,26,1412725,1
0,0,897652,241,4,0,22,897068,0
0,0,102031,0,4,0,2,101630,1
0,0,460277,283,4,0,28,459570,0
0,0,542828,291,4,0,10,542232,1
0,0,2082607,35,4,0,28,2081918,1
0,0,673589,185,4,0,27,672981,1
0,0,262590,287,4,0,16,261997,0
0,0,1069989,194,4,0,28,1069351,0
0,0,54130,400,4,0,94,53294,1
0,0,238595,172,4,0,14,237978,1
0,0,2039757,328,4,0,27,2039173,1
0,0,55031,266,4,0,76,54300,0
0,0,42738,392,4,0,92,42403,1
0,0,698962,97,4,0,28,698387,1
0,0,1037760,369,4,0,22,1037092,1
0,0,510533,431,4,0,5,509916,0
0,0,1653046,113,4,0,28,1652444,1
0,0,602022,161,4,0,4,601444,0
0,0,9693,360,4,0,83,9067,0
0,0,331967,153,4,0,16,331098,0
0,0,57983,62,4,0,59,57381,1
0,0,488252,251,4,0,16,487683,0
0,0,152203,402,4,0,94,151562,0
0,0,7816,169,4,0,67,6941,1
0,0,473006,253,4,0,16,472107,0
0,0,8984,256,4,0,72,8412,1
0,0,296422,244,4,0,16,295724,0
0,0,786,373,4,0,84,88,0
0,0,521226,208,4,0,6,520573,0
0,0,1896,255,4,0,72,1198,1
0,0,433446,205,4,0,23,432955,0
0,0,297265,224,4,0,3,296609,0
0,0,421453,417,4,0,28,420860,0
0,0,10738,164,4,0,66,10142,1
0,0,422988,183,4,0,15,422386,0
0,0,739582,271,4,0,27,738989,0
0,0,741926,201,4,0,16,741234,0
0,0,2021354,36,4,0,28,2020752,1
1,0,22510,54,3,1,42,21845,0
0,0,12963,341,4,0,78,12349,0
0,0,1279824,189,4,0,28,1279111,1
0,0,2141017,327,4,0,27,2140400,0
0,0,213605,71,4,0,14,212727,1
0,0,641268,236,4,0,10,640657,1
1,0,1773473,334,3,1,28,1772775,1
0,0,537100,292,4,0,10,536468,1
0,0,3185,162,4,0,65,2544,1
0,0,1094415,318,4,0,28,1093786,1
0,0,548259,143,2,0,20,547909,0
0,0,4704,229,4,0,70,4066,0
0,0,55203,81,4,0,14,54550,0
0,0,288418,223,4,0,3,287768,0
0,0,165971,19,4,0,9,165327,0
0,0,627125,85,4,0,11,626559,1
0,0,606832,86,4,0,27,606242,0
0,0,11303,50,4,0,56,10641,1
0,0,661517,1,4,0,10,660867,1
