Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,601068,113,113,17,0,7,599905,1
0,151073,138,138,19,0,48,149964,0
0,1651899,45,45,17,0,22,1651012,1
0,919364,85,85,12,0,21,918156,0
0,1605950,46,46,12,0,22,1604628,0
0,228042,115,115,17,0,4,226948,0
0,432268,6,6,19,0,15,431189,0
0,987463,87,87,0,0,21,986558,0
0,1733432,125,125,23,0,22,1732098,0
0,211061,153,153,5,0,0,209817,0
1,23787,24,24,2,1,37,22417,0
0,12244,29,29,17,0,39,11150,0
0,754771,53,53,26,0,17,753767,1
1,1804221,71,71,2,1,21,1803316,1
0,207419,58,58,0,0,16,207000,0
0,598434,75,75,0,0,10,597786,1
0,1172370,108,108,12,0,22,1171051,0
0,559992,92,92,25,0,5,558766,1
0,231983,84,84,8,0,10,230514,1
0,383794,23,23,19,0,22,382214,0
0,6048,42,42,11,0,41,4708,0
1,2074708,18,18,2,1,22,2073437,1
0,472615,52,52,9,0,5,471425,0
0,412929,51,51,25,0,5,411703,0
0,1898756,44,44,19,0,22,1897875,1
0,1751668,124,124,5,0,22,1750310,0
0,1093548,135,135,18,0,18,1092211,0
0,1683736,14,14,17,0,21,1682645,0
0,437003,65,65,1,0,18,436320,0
0,155993,112,112,22,0,19,154689,1
0,146779,94,94,6,0,10,145715,1
1,379854,79,79,2,1,15,379126,0
0,742418,38,38,17,0,22,741516,1
0,1277102,66,66,24,0,20,1275858,0
0,308539,82,82,15,0,18,307640,0
0,37052,129,129,26,0,47,35940,0
0,7956,33,33,22,0,30,6742,1
0,233697,3,3,0,0,11,233434,1
0,1572694,70,70,17,0,20,1571525,1
0,1951553,122,122,16,0,22,1950669,0
1,597683,128,128,2,1,10,596868,1
0,13695,25,25,12,0,37,12373,0
0,494627,40,40,23,0,1,493452,0
0,1587887,119,119,10,0,21,1586445,1
1,169772,32,32,2,1,13,168840,1
0,1404649,106,106,12,0,22,1403372,0
1,18783,26,26,2,1,38,17596,0
0,2090497,20,20,5,0,22,2089121,1
1,9275,47,47,2,1,42,7716,1
0,439354,102,102,17,0,12,437786,0
1,1072628,133,133,27,1,18,1071504,0
0,211328,151,151,19,0,8,209856,1
0,59441,100,100,19,0,3,58461,0
1,1789020,72,72,2,1,21,1787623,1
0,1506761,117,117,24,0,20,1505442,1
1,1143832,134,134,2,1,18,1142492,0
0,13267,22,22,0,0,36,11954,0
0,54854,27,27,0,0,38,53844,0
0,1420721,69,69,25,0,20,1419405,0
0,67849,99,99,19,0,3,66767,0
0,340851,9,9,0,0,4,340480,0
0,298468,78,78,17,0,15,296987,0
0,1359,83,83,0,0,32,532,1
1,1386264,104,104,2,1,22,1384861,0
0,458510,17,17,0,0,4,457881,1
0,899374,76,76,3,0,17,898190,0
1,3182,21,21,2,1,35,2247,0
0,1413484,12,12,25,0,22,1412150,0
1,6500,31,31,2,1,29,5433,0
1,162444,139,139,27,1,48,161326,0
0,484137,80,80,17,0,15,482659,0
1,262696,60,60,2,1,13,261617,0
0,1672453,15,15,5,0,21,1671053,0
0,497535,155,155,0,0,12,496600,0
1,114367,137,137,2,1,48,112967,0
0,799780,140,140,0,0,14,799199,0
1,417432,103,103,2,1,12,415855,0
0,1370954,68,68,19,0,20,1369569,1
0,318880,147,147,17,0,5,317777,1
0,799094,55,55,1,0,14,798498,0
0,15753,11,11,19,0,27,14641,0
0,17944,130,130,17,0,47,16457,1
0,1287718,61,61,10,0,22,1286318,1
0,174865,131,131,12,0,9,173582,1
0,6483,1,1,0,0,24,6112,1
1,7961,81,81,2,1,44,7053,1
0,403184,98,98,23,0,1,402012,0
0,85134,89,89,14,0,13,83866,1
0,1944921,121,121,0,0,22,1944244,0
0,1361937,105,105,17,0,22,1361035,1
1,2053277,19,19,27,1,22,2051877,1
0,1065367,142,142,13,0,21,1064159,1
1,924253,86,86,2,1,21,923378,1
0,332931,64,64,1,0,22,332233,1
1,1365596,67,67,27,1,20,1364481,0
0,936561,77,77,0,0,17,935551,0
1,1015761,63,63,2,1,22,1014583,0
0,24760,144,144,17,0,49,23234,1
0,304330,146,146,19,0,5,303281,1
0,10763,126,126,20,0,46,9885,1
1,813285,54,54,2,1,17,812281,0
0,1622991,120,120,0,0,21,1622125,1
0,349644,10,10,23,0,4,348280,0
0,1547471,118,118,21,0,20,1546002,1
1,65502,30,30,2,1,40,63997,0
0,1047742,141,141,19,0,21,1046660,1
