Gene_Type,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,71,1194158,233,233,15,1193721,0
1,100,5205,98,98,54,4201,1
1,38,177073,106,106,20,175745,0
0,94,153559,235,235,80,152606,0
0,90,4472,216,216,76,3321,0
0,72,979496,116,116,19,978543,1
0,35,1905082,69,69,19,1904309,1
1,1,27009,45,45,28,25858,1
0,93,38006,197,197,75,37197,0
0,99,1221966,178,178,17,1220947,0
0,32,226729,43,43,12,226322,1
1,68,76658,39,39,45,76494,0
0,96,987733,114,114,19,987176,1
1,4,937169,158,158,18,936387,1
0,91,416187,122,122,15,415021,1
0,52,983808,115,115,19,982858,1
1,20,497744,120,120,15,496932,1
1,92,3831,170,170,73,3070,1
1,66,3587,164,164,71,2544,0
0,27,10011,38,38,44,9199,1
0,52,1474427,53,53,19,1473666,0
0,81,36547,223,223,37,35690,0
0,87,531335,174,174,1,530982,1
1,43,477748,119,119,15,476525,1
1,15,1925877,68,68,19,1925107,1
0,35,1564778,74,74,19,1564014,1
0,91,1106541,228,228,15,1105297,0
0,2,15525,110,110,31,14710,1
1,12,2102,112,112,59,1101,1
0,46,178084,111,111,16,176870,1
0,7,712890,93,93,14,712129,1
0,7,77581,8,8,8,76523,1
0,10,855470,140,140,14,854496,0
0,44,1677,77,77,49,712,1
0,91,301271,148,148,15,300510,0
1,17,11639,198,198,75,10170,0
0,95,2202884,185,185,18,2202237,1
0,99,1487286,181,181,17,1486264,1
0,27,2879,135,135,62,2091,1
0,57,12102,220,220,35,11231,0
1,82,563168,90,90,14,561921,1
0,69,12897,5,5,24,11857,1
0,10,878597,143,143,14,877761,0
1,6,2640,172,172,33,1327,0
0,53,2089274,125,125,18,2088630,1
0,38,384191,37,37,4,383100,0
0,51,323886,161,161,11,323095,1
0,88,571633,48,48,7,570836,0
0,96,684782,58,58,19,683826,0
0,95,914563,157,157,18,913814,0
0,0,31139,62,62,48,29922,0
1,78,1247221,180,180,17,1246121,0
0,78,1222996,107,107,19,1222181,1
0,10,297062,81,81,14,295851,0
0,62,1049347,134,134,14,1048619,0
0,54,36628,46,46,28,35402,1
1,15,1131697,171,171,19,1130438,1
0,81,31870,222,222,37,31118,0
1,25,295086,101,101,12,293887,1
0,10,946792,6,6,14,945539,1
1,61,2901,221,221,36,1762,0
0,99,1639752,124,124,17,1638709,0
0,59,644758,118,118,6,643769,0
0,89,17814,236,236,80,16873,1
0,23,826530,12,12,18,825718,1
0,50,335,10,10,25,3,0
1,63,7239,184,184,0,5971,1
1,40,41030,153,153,68,39978,0
0,0,19059,168,168,72,18244,0
0,97,1188618,194,194,14,1187623,0
0,52,1745136,192,192,19,1744339,0
1,34,2521,109,109,58,1283,1
0,91,250812,146,146,15,249592,0
0,58,731234,57,57,19,730422,0
0,7,1075329,3,3,14,1075195,1
1,25,137805,160,160,12,136807,0
0,62,492438,202,202,14,491209,0
0,16,1604402,189,189,18,1603254,0
0,0,11189,50,50,46,10047,1
1,70,13960,13,13,26,13361,1
0,0,39296,63,63,48,38151,0
0,7,375903,35,35,4,374896,1
0,90,12268,237,237,81,10958,0
0,58,2097143,191,191,19,2096334,1
0,27,13009,154,154,68,11804,0
0,88,550504,49,49,7,549704,0
0,33,11743,224,224,37,10985,1
1,34,556235,173,173,1,555144,0
0,56,1165493,230,230,15,1164663,0
1,75,381597,14,14,10,380962,0
0,19,9178,76,76,29,8375,1
0,53,2165485,186,186,18,2164835,1
1,46,41345,80,80,30,40839,0
1,73,29968,166,166,72,28721,0
0,28,358168,103,103,18,357524,0
1,5,517373,21,21,14,516597,1
0,98,37518,31,31,27,36670,0
0,47,1588977,123,123,17,1588012,0
0,67,1147481,177,177,17,1146423,1
0,82,15379,219,219,78,14528,0
0,80,77977,41,41,3,77144,0
0,10,658646,91,91,14,657867,0
0,27,3650,150,150,65,2478,1
1,5,551759,89,89,14,550737,1
1,58,35179,44,44,13,34406,1
0,27,614,51,51,46,222,1
1,14,1921338,127,127,18,1920505,1
1,25,287088,100,100,12,285889,1
0,71,1173402,231,231,15,1172566,0
0,27,37248,167,167,72,35989,1
1,51,55904,32,32,27,55386,1
1,4,1887968,129,129,18,1886823,0
0,24,432927,247,247,5,431740,0
0,27,13082,113,113,60,12327,1
0,71,386514,175,175,15,385279,0
0,62,832741,210,210,14,831566,0
0,27,28969,25,25,40,28568,0
0,74,738,2,2,22,1,0
0,102,5008,9,9,25,4142,0
0,32,227094,18,18,12,226831,1
0,0,14090,64,64,48,12945,0
0,15,1026,225,225,79,841,1
0,0,1863,104,104,57,1015,0
0,78,2029082,19,19,19,2027874,1
1,9,445921,17,17,4,445157,0
0,7,251858,20,20,14,251211,0
0,7,1022329,213,213,14,1021526,1
0,27,23025,136,136,63,22318,0
0,83,1675,215,215,34,854,1
1,101,26635,165,165,72,25832,0
0,35,2151652,67,67,19,2150759,1
0,47,2155792,187,187,18,2155145,0
0,30,392050,88,88,12,391007,0
0,60,19523,47,47,28,18321,1
0,52,1687805,71,71,19,1687044,0
0,0,10624,96,96,52,9845,0
0,71,266241,144,144,15,265438,0
0,10,313431,85,85,14,312547,0
0,26,486743,59,59,1,485586,0
0,10,285745,83,83,14,284939,0
1,5,827468,209,209,14,826311,1
0,3,1047,1,1,21,259,0
0,49,265814,200,200,11,265029,1
0,27,18784,99,99,55,18002,0
0,10,997273,212,212,14,996476,1
0,10,305564,86,86,14,304740,0
1,36,13592,102,102,56,12324,1
0,0,30765,28,28,42,29968,1
0,7,422034,16,16,4,420934,0
0,62,941707,7,7,14,940901,1
0,44,12388,138,138,64,11468,0
1,15,269718,149,149,19,269074,1
0,31,65754,234,234,80,64810,1
0,99,1522877,182,182,17,1521903,1
0,11,17173,217,217,77,16040,1
0,27,13948,30,30,43,13148,0
0,62,387281,11,11,14,386064,0
1,5,290434,82,82,14,289571,0
0,52,975187,117,117,19,974237,1
0,52,1679298,73,73,19,1678525,0
1,42,6002,241,241,82,5043,0
1,15,1592913,75,75,19,1591840,1
1,15,663114,15,15,19,662260,0
1,5,432941,203,203,14,432381,1
0,7,277578,84,84,14,276769,0
1,13,4723,24,24,39,4340,1
0,27,23810,60,60,47,22572,1
0,75,231201,246,246,5,230431,0
0,28,2142542,188,188,18,2141583,0
0,27,13418,152,152,67,12669,0
0,72,1694274,70,70,19,1693627,0
1,17,25842,199,199,75,24370,0
1,29,9998,78,78,50,9753,0
0,45,1577124,190,190,18,1576114,0
0,18,1229889,179,179,17,1228786,0
0,77,1778534,131,131,18,1777443,0
1,5,1152958,195,195,14,1151783,1
0,62,907521,142,142,14,906301,0
1,51,23852,33,33,27,23046,0
0,71,1148502,229,229,15,1147669,0
1,21,655,0,0,83,2,1
1,33,223492,245,245,5,222386,0
0,72,1631767,72,72,19,1631120,0
1,5,667923,94,94,14,666610,1
0,71,272963,214,214,15,272211,0
1,76,11872,132,132,61,11348,0
0,71,247509,145,145,15,246700,0
