Gene_Type,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,15,585311,227,227,28,582390,0
1,85,2350211,168,168,60,2347587,0
1,129,491613,135,135,41,488857,1
1,18,12191,231,231,14,9909,1
1,115,1182,94,94,116,1,1
0,59,4231,136,136,52,1391,1
0,155,14595,66,66,68,12280,1
1,47,9360,255,255,95,6577,0
1,10,14953,302,302,54,12005,1
1,82,29749,162,162,29,26915,1
1,175,430057,185,185,33,427406,0
1,58,14455,92,92,114,11690,0
0,162,30562,279,279,18,28739,1
0,2,4524,240,240,142,2574,0
1,17,486237,25,25,48,483109,0
0,86,19758,184,184,136,17038,0
0,99,47207,82,82,113,45534,1
0,164,36437,104,104,118,35517,1
1,38,5595,69,69,108,2761,1
1,135,912033,74,74,41,909235,0
1,71,2693,281,281,97,396,0
0,107,4036,64,64,68,1289,1
1,59,93761,73,73,66,90201,1
1,60,11733,75,75,83,9154,0
1,44,706189,15,15,29,704129,0
0,149,120500,322,322,9,118605,0
1,162,26060,259,259,2,23298,1
1,116,351197,217,217,63,348939,0
0,155,8589,30,30,42,6541,1
1,145,1425113,14,14,53,1422420,0
1,8,688837,90,90,26,685982,0
0,166,54516,96,96,41,53479,1
0,25,1739,12,12,73,3,1
0,129,201879,299,299,62,200095,0
1,85,1320804,152,152,60,1318300,0
1,91,628364,102,102,27,625434,0
0,161,3779,182,182,134,1517,0
0,15,64637,151,151,66,62859,1
1,52,4799,271,271,145,2103,0
1,108,7313,235,235,141,4734,0
0,151,19476,160,160,129,17815,1
1,176,7957,143,143,127,5381,0
1,21,829858,121,121,37,827087,0
1,132,2120212,107,107,59,2117660,0
1,100,411543,244,244,31,408877,0
1,1,848494,163,163,35,847454,0
1,124,29971,145,145,46,27197,1
1,178,1032018,50,50,45,1029001,0
1,177,16396,294,294,150,13598,0
1,81,492103,131,131,0,489575,0
0,160,3892,45,45,55,599,1
1,137,439193,287,287,47,435576,0
1,91,570499,251,251,27,567725,0
1,182,3857,105,105,119,1095,1
1,125,924785,236,236,58,922281,1
1,108,245943,62,62,4,244298,0
1,36,556405,239,239,28,554000,1
0,65,9141,220,220,138,8410,0
1,121,981807,278,278,53,979324,1
1,175,14712,221,221,92,11650,0
1,150,2360044,13,13,60,2358530,0
1,169,11256,253,253,93,8914,1
1,131,7825,93,93,115,5795,0
0,138,9869,54,54,59,8244,1
1,82,96498,208,208,29,94816,1
1,112,83774,187,187,15,82602,1
0,39,1981,297,297,100,2,0
1,140,483389,320,320,5,481422,0
0,179,85945,309,309,16,83153,1
0,67,21702,60,60,105,18811,0
0,64,22871,4,4,25,21810,1
1,62,5339,52,52,102,2904,1
0,107,728090,36,36,30,725151,0
1,89,3210,23,23,74,616,1
0,120,258722,218,218,9,256827,0
0,50,10587,181,181,133,8119,1
1,26,145152,315,315,13,142906,1
1,104,572075,300,300,17,569139,0
1,125,58311,298,298,58,56848,1
1,48,33122,282,282,42,30594,1
1,21,690828,275,275,37,688522,0
0,137,45706,260,260,2,43370,1
1,12,588116,3,3,8,586977,0
0,143,4613,119,119,5,1626,1
0,183,12865,289,289,39,9965,1
1,113,4342,83,83,32,1385,1
1,172,15683,256,256,96,12888,0
1,119,378832,38,38,64,376718,0
1,145,39618,84,84,53,36688,1
0,96,563158,321,321,21,560651,0
0,68,467624,171,171,11,464685,0
1,157,2020967,177,177,57,2018517,0
0,159,4567,56,56,81,1604,0
1,28,24449,114,114,86,21516,0
1,129,33240,55,55,41,30436,1
1,43,197559,193,193,9,195199,1
0,33,955,156,156,89,2,1
1,137,1130391,197,197,47,1127446,0
0,15,61849,47,47,66,60071,1
1,132,1824669,166,166,59,1821786,0
1,115,21022,63,63,106,18272,1
1,81,517997,133,133,0,514713,0
1,132,2028531,266,266,59,2025571,0
1,8,4543,139,139,125,1706,1
1,93,16034,127,127,24,13233,0
0,37,1337382,269,269,53,1335682,0
0,56,1973,1,1,155,3,1
1,61,9934,89,89,50,6965,1
0,106,3158,6,6,40,342,1
1,145,648458,161,161,22,645735,0
0,66,31215,301,301,69,30121,1
1,61,1175229,147,147,50,1172704,0
0,3,2772,318,318,13,301,1
1,18,265804,201,201,10,263906,0
0,5,496864,170,170,6,494066,0
1,150,1709527,109,109,60,1707056,1
1,124,905310,39,39,46,902803,0
1,30,5025,158,158,128,2677,1
1,108,474181,192,192,4,471830,0
0,119,20670,140,140,126,18052,1
0,148,1434052,155,155,53,1432280,0
1,132,2327020,263,263,59,2324351,0
1,109,30617,150,150,67,28410,1
0,183,750304,209,209,37,747923,0
1,2,10460,78,78,112,8049,1
1,100,754760,205,205,31,752910,0
1,98,6217,319,319,13,3602,1
1,6,396132,245,245,31,393928,0
1,82,128705,207,207,29,127131,1
1,186,496021,27,27,1,493463,0
1,26,56619,316,316,13,53854,1
0,173,4421,32,32,77,3684,1
0,103,117865,211,211,2,115973,1
0,95,6529,157,157,36,4547,1
1,21,174847,194,194,9,172793,1
1,4,8963,175,175,132,6399,1
0,166,6840,285,285,147,3826,0
0,152,34372,2,2,51,33320,1
1,141,110366,249,249,65,107442,1
1,41,7278,98,98,117,4399,0
0,179,67475,296,296,57,65139,1
0,40,1140600,196,196,47,1138639,0
1,34,1174681,77,77,49,1172813,0
1,49,1443,20,20,72,1,1
0,99,7112,283,283,146,4374,1
1,13,1113039,295,295,59,1110685,1
1,80,7245,290,290,148,4687,1
1,81,12451,174,174,131,9695,1
0,68,2274,51,51,79,1,0
1,85,2194888,108,108,60,2192474,1
1,137,16715,186,186,47,14439,1
0,183,729858,200,200,37,727477,0
1,43,214887,306,306,9,212992,0
1,13,44770,26,26,51,42977,1
1,22,56555,324,324,43,54387,1
1,78,18751,111,111,85,16475,1
1,132,2149200,265,265,59,2146741,0
1,24,3783,87,87,25,1453,1
1,123,596370,277,277,11,593812,0
1,81,19819,124,124,0,16985,1
0,8,392186,224,224,11,389424,0
0,114,36463,118,118,16,33455,1
0,118,447897,286,286,47,446350,0
0,107,598524,95,95,7,596251,0
1,150,342240,154,154,60,339421,1
1,32,107280,49,49,19,104554,0
1,127,2892,68,68,107,97,0
0,20,478312,10,10,11,477440,0
1,31,46833,76,76,111,44356,0
1,85,670094,37,37,60,667467,0
0,146,2028848,178,178,57,2027736,0
1,27,68416,261,261,2,66416,1
1,95,4460,129,129,88,2295,0
0,51,553364,250,250,18,550602,0
1,110,201254,159,159,61,198909,0
0,87,851849,122,122,37,849015,0
1,63,3538,292,292,99,857,1
1,149,12394,304,304,151,9605,0
0,90,748745,35,35,30,745776,0
1,130,14564,61,61,82,12819,1
0,186,39476,268,268,144,36720,1
1,102,13956,215,215,91,10954,0
1,88,68621,191,191,58,67503,1
0,8,645301,276,276,11,642806,0
1,5,5678,130,130,123,4257,1
1,158,458839,17,17,11,457553,0
0,45,811998,312,312,40,810235,0
1,22,26744,325,325,43,24147,1
0,157,968,8,8,154,3,0
1,48,905988,99,99,42,903148,0
1,117,9121,288,288,39,6152,1
1,8,582104,238,238,12,579438,0
1,123,79885,229,229,11,77750,1
1,153,2982,72,72,110,445,1
1,165,22938,88,88,57,21226,1
1,132,1573917,167,167,59,1571158,0
0,42,531490,33,33,3,528650,0
0,25,4734,125,125,87,2191,0
1,105,710712,199,199,37,708220,0
0,101,367390,216,216,63,364778,0
0,57,966472,31,31,44,963723,0
0,89,18183,233,233,140,15433,0
1,38,4073,5,5,70,1218,0
1,50,15577,71,71,109,12521,1
1,13,2071578,165,165,59,2068987,0
1,126,27589,110,110,84,25172,0
0,144,4119,43,43,34,967,1
1,137,27235,149,149,30,24623,1
1,74,783456,81,81,34,780772,0
0,77,11142,113,113,121,8839,1
1,15,242630,120,120,23,239769,1
1,79,10610,172,172,130,8169,1
1,154,106204,280,280,18,104012,1
1,72,16963,48,48,101,14936,0
0,152,1171911,148,148,50,1168945,0
1,36,577397,7,7,28,576201,0
1,35,1820,9,9,156,189,0
1,46,485801,34,34,3,483723,0
1,103,11541,326,326,43,8509,1
1,18,619021,153,153,14,617285,0
0,64,13820,29,29,25,12766,1
1,150,2325261,42,42,60,2323705,0
1,70,10910,91,91,114,8910,0
1,93,639965,257,257,24,637563,0
