Strand_Orientation,Gene_Description,Chromosome_Id,Genomic_Start_Position,Gene_Label,Encoded_Protein,Gene_Db_Id,Entity_Type,Genomic_End_Position
0,0,70,42286,126,1,126,1,45075
1,0,28,1575672,102,1,102,1,1578209
0,0,29,1815771,110,2,110,0,1818146
0,0,24,463714,176,2,176,0,466038
0,0,29,1848668,108,2,108,0,1851640
0,0,1,138117,253,2,253,0,139709
0,0,21,288478,119,1,119,1,290907
1,0,27,1169280,41,2,41,0,1171520
1,0,29,2044399,184,2,184,0,2047179
0,0,22,798375,166,2,166,0,800723
1,0,41,9363,13,2,13,0,12158
0,0,62,19363,87,2,87,0,21771
0,0,23,485541,203,3,203,0,488327
0,0,15,451748,159,2,159,0,454333
0,0,6,259847,243,2,243,0,262330
0,0,15,566233,259,2,259,0,568854
1,0,72,13513,146,2,146,0,16377
1,0,19,177754,37,2,37,0,180486
0,0,29,1594209,185,2,185,0,1596686
0,0,29,299487,242,2,242,0,301826
0,0,23,733583,82,3,82,0,736453
0,0,30,1005142,1,5,1,0,1006971
0,0,44,18310,60,2,60,0,20976
0,0,73,2932,151,2,151,0,5331
1,0,13,627020,115,3,115,0,629809
0,0,30,1822929,187,2,187,0,1825289
0,0,15,588504,258,1,258,1,590672
1,0,66,4166,122,2,122,0,6553
0,0,24,1149583,222,2,222,0,1152306
1,0,3,10931,157,2,157,0,13678
0,0,6,465485,71,3,71,0,468388
0,0,5,473501,150,1,150,1,476059
1,0,28,1149578,179,1,179,1,1152001
1,0,23,1005114,206,2,206,0,1007699
1,0,30,1126764,169,2,169,0,1129346
0,0,23,694046,76,2,76,0,696919
0,0,29,1154469,236,2,236,0,1156973
1,0,9,218443,142,2,142,0,221070
0,0,16,460986,83,2,83,0,463778
0,0,37,8450,6,2,6,0,11062
1,0,28,1550629,181,2,181,0,1553361
0,0,23,278046,67,2,67,0,280853
0,0,8,543824,49,2,49,0,546370
0,0,16,396772,238,2,238,0,399549
0,0,44,54284,59,3,59,0,57145
0,0,23,814468,81,2,81,0,817323
0,0,5,405750,19,1,19,1,408107
1,0,85,57859,227,2,227,0,60414
1,0,23,985546,207,2,207,0,988200
1,0,40,5274,12,2,12,0,7898
0,0,0,242583,51,2,51,0,245264
0,0,69,2051,125,2,125,0,4732
0,0,60,18858,62,2,62,0,21506
1,0,71,20358,128,3,128,0,23129
0,0,18,425663,72,2,72,0,428401
1,0,29,948302,134,2,134,0,950785
0,0,60,31414,63,2,63,0,34218
0,0,29,2062416,103,1,103,1,2065088
0,0,19,12226,158,3,158,0,15093
0,0,28,1248512,180,2,180,0,1251196
1,0,18,350182,249,2,249,0,352788
1,0,6,563344,141,2,141,0,565683
1,0,38,7772,8,3,8,0,10603
1,0,13,211077,0,5,0,0,212927
0,0,23,1197396,193,2,193,0,1200167
0,0,8,649424,98,2,98,0,652210
1,0,31,8359,94,2,94,0,10893
1,0,55,2067,33,2,33,0,4709
0,0,2,116878,255,2,255,0,119436
1,0,86,11776,230,2,230,0,14331
0,0,29,1630521,186,1,186,1,1633076
0,0,68,4541,124,2,124,0,7054
1,0,5,453903,18,2,18,0,456596
1,0,80,942,211,2,211,0,3590
0,0,30,1814429,189,2,189,0,1816759
1,0,30,2008033,111,2,111,0,2010450
1,0,1,526820,175,2,175,0,529696
0,0,23,269451,68,2,68,0,272153
1,0,6,421607,69,2,69,0,423886
1,0,33,406415,140,1,140,1,408724
0,0,24,1187140,225,2,225,0,1189938
0,0,39,22858,11,3,11,0,25731
0,0,59,32438,54,2,54,0,35248
1,0,35,3,4,5,4,0,2099
0,0,23,864531,117,2,117,0,867065
1,0,13,457457,149,2,149,0,460231
0,0,29,2111357,55,1,55,1,2113696
0,0,23,780839,80,2,80,0,783613
1,0,75,32611,191,2,191,0,35322
0,0,23,504105,21,3,21,0,506933
1,0,84,38613,219,3,219,0,41459
0,0,1,581721,174,0,174,0,584285
0,0,15,402317,162,2,162,0,404953
0,0,65,13142,113,3,113,0,16042
1,0,13,571897,148,1,148,1,574686
1,0,8,594229,97,2,97,0,596823
0,0,3,69066,155,1,155,1,71558
0,0,24,1099539,226,2,226,0,1102343
0,0,7,553878,252,2,252,0,556640
0,0,72,20457,147,2,147,0,22835
0,0,52,62846,27,2,27,0,65602
1,0,29,2169063,182,2,182,0,2171498
1,0,63,313,88,2,88,0,3099
1,0,30,2198634,57,2,57,0,2201057
0,0,29,1862957,107,2,107,0,1865809
1,0,29,2057611,183,2,183,0,2060220
1,0,72,5538,145,2,145,0,8030
1,0,42,51787,30,3,30,0,54570
1,0,85,9926,229,2,229,0,12466
1,0,29,1648582,14,2,14,0,1650945
0,0,24,1179322,224,2,224,0,1181628
1,0,8,578836,96,5,96,0,580806
0,0,30,318503,171,2,171,0,321121
1,0,29,877992,135,2,135,0,880730
1,0,46,4482,95,3,95,0,7331
1,0,19,153649,36,3,36,0,156435
1,0,9,246272,75,2,75,0,249052
1,0,0,341906,16,2,16,0,344245
1,0,9,191840,248,3,248,0,194602
0,0,15,533287,256,2,256,0,536061
0,0,29,1825916,109,2,109,0,1828534
1,0,6,448496,70,2,70,0,450835
0,0,50,12235,23,2,23,0,14547
0,0,16,415123,138,2,138,0,417885
1,0,9,234584,74,2,74,0,237391
0,0,51,4884,25,2,25,0,7271
0,0,34,1541,3,2,3,0,3982
1,0,3,18763,156,2,156,0,21057
0,0,16,385492,239,2,239,0,388287
0,0,57,9187,43,2,43,0,11601
0,0,26,182502,26,2,26,0,185153
0,0,85,107374,228,3,228,0,110238
0,0,23,765323,79,2,79,0,768058
1,0,82,6039,215,2,215,0,8573
1,0,36,4757,5,2,5,0,7513
1,0,10,188965,116,2,116,0,191757
1,0,9,202903,246,2,246,0,205713
1,0,28,1406588,101,3,101,0,1409461
1,0,29,773208,132,2,132,0,775880
1,0,87,10087,240,2,240,0,12861
0,0,29,733043,130,2,130,0,735391
0,0,27,1728183,190,3,190,0,1731005
0,0,12,169443,231,4,231,0,171302
1,0,9,185057,247,2,247,0,187696
1,0,30,2178147,56,2,56,0,2180588
1,0,43,14579,40,2,40,0,17047
0,0,5,219359,177,2,177,0,222070
0,0,24,1166769,223,3,223,0,1169591
1,0,59,113,52,1,52,1,2776
1,0,29,932427,133,2,133,0,935144
0,0,70,5819,127,2,127,0,8596
0,0,45,22032,65,2,65,0,24923
0,0,79,39222,199,1,199,1,42017
1,0,23,1147775,192,1,192,1,1150558
1,0,23,662586,77,3,77,0,665447
0,0,24,274223,210,1,210,1,276688
1,0,18,394090,250,1,250,1,396615
0,0,16,378301,237,2,237,0,381075
1,0,29,2099463,104,2,104,0,2102129
0,0,23,253126,20,1,20,1,255561
1,0,88,19278,241,2,241,0,22052
0,0,5,196225,129,2,129,0,198843
0,0,29,761305,131,2,131,0,763632
0,0,15,418704,161,2,161,0,421319
1,0,19,164778,39,3,39,0,167573
1,0,56,9554,35,2,35,0,11536
1,0,18,595705,2,1,2,1,597333
