Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,0,422008,200,0,17,419294
0,0,1065877,198,0,25,1063010
0,0,378614,163,0,15,375975
0,0,309384,111,0,5,306937
1,0,585607,83,0,6,583331
0,0,7162,20,0,49,4697
1,0,650434,40,0,14,647633
1,0,23290,218,0,48,20606
0,0,9867,62,0,61,7462
1,0,442799,201,1,23,439932
0,0,1713823,8,0,28,1711409
0,0,700388,15,0,15,697620
0,0,14845,48,0,58,11996
0,0,8092,214,0,81,5759
1,0,13979,197,1,78,11352
0,0,1045611,208,0,23,1042786
0,0,15062,87,0,64,12438
0,0,1061168,113,0,23,1059124
1,0,8115,172,0,47,5269
1,0,379418,170,0,32,376740
1,0,2047179,184,0,29,2044399
0,0,585177,204,0,23,582301
0,0,475012,142,0,7,472298
0,0,1324430,90,0,30,1322082
0,0,1156973,236,0,29,1154469
1,0,9580,196,1,77,6749
1,0,50888,152,0,20,48174
1,0,1096585,235,0,29,1093946
0,0,758419,46,0,21,756089
0,0,12594,151,0,74,9967
1,0,9089,217,0,83,6579
0,0,45075,125,1,70,42286
1,0,1611964,101,1,28,1609262
0,0,1828534,108,0,29,1825916
0,0,466038,177,0,24,463714
0,0,1865809,106,0,29,1862957
0,0,139709,253,0,1,138117
0,0,290907,118,1,21,288478
1,0,1171520,39,0,27,1169280
1,0,2060220,183,0,29,2057611
0,0,800723,165,0,22,798375
1,0,12158,11,0,41,9363
0,0,21771,85,0,62,19363
0,0,488327,203,0,23,485541
0,0,454333,158,0,15,451748
0,0,262330,243,0,6,259847
0,0,568854,259,0,15,566233
1,0,16377,145,0,72,13513
1,0,180486,35,0,19,177754
0,0,1633076,186,1,29,1630521
0,0,602587,43,0,29,600077
0,0,736453,80,0,23,733583
1,0,1129346,169,0,30,1126764
0,0,20976,58,0,44,18310
0,0,5331,150,0,73,2932
1,0,629809,114,0,13,627020
0,0,1825289,187,0,30,1822929
0,0,590672,258,1,15,588504
1,0,6553,121,0,66,4166
0,0,1152306,222,0,24,1149583
1,0,13678,156,0,3,10931
0,0,468388,69,0,6,465485
0,0,476059,149,1,5,473501
1,0,1152001,180,1,28,1149578
1,0,1007699,206,0,23,1005114
1,0,1147282,168,0,30,1144757
0,0,696919,74,0,23,694046
0,0,1582479,185,1,29,1579936
1,0,221070,141,0,9,218443
0,0,463778,81,0,16,460986
0,0,11062,5,0,37,8450
1,0,1570228,100,0,28,1568267
0,0,280853,65,0,23,278046
0,0,546370,47,0,8,543824
0,0,399549,238,0,16,396772
0,0,57145,57,0,44,54284
0,0,817323,79,0,23,814468
0,0,408107,17,1,5,405750
1,0,60414,227,0,85,57859
1,0,988200,207,0,23,985546
1,0,7898,10,0,40,5274
0,0,245264,49,0,0,242583
0,0,4732,124,0,69,2051
0,0,21506,60,0,60,18858
1,0,23129,127,0,71,20358
0,0,428401,70,0,18,425663
0,0,1014233,135,1,29,1011738
0,0,34218,61,0,60,31414
1,0,2102129,103,0,29,2099463
0,0,15093,157,0,19,12226
0,0,1317329,99,0,28,1314768
1,0,352788,249,0,18,350182
1,0,565683,140,0,6,563344
1,0,10603,7,0,38,7772
1,0,212927,0,0,13,211077
0,0,1200167,193,0,23,1197396
0,0,652210,96,0,8,649424
1,0,10893,92,0,31,8359
1,0,4709,31,0,55,2067
0,0,119436,255,0,2,116878
1,0,14331,230,0,86,11776
1,0,1650945,12,0,29,1648582
0,0,7054,123,0,68,4541
1,0,456596,16,0,5,453903
1,0,3590,211,0,80,942
0,0,1816759,189,0,30,1814429
1,0,2010450,110,0,30,2008033
1,0,529696,176,0,1,526820
0,0,272153,66,0,23,269451
1,0,423886,67,0,6,421607
1,0,408724,139,1,33,406415
0,0,1189938,225,0,24,1187140
0,0,25731,9,0,39,22858
0,0,35248,52,0,59,32438
1,0,2099,3,0,35,3
0,0,867065,116,0,23,864531
1,0,460231,148,0,13,457457
1,0,2171498,182,0,29,2169063
0,0,783613,78,0,23,780839
1,0,35322,191,0,75,32611
0,0,506933,19,0,23,504105
1,0,41459,219,0,84,38613
0,0,584285,175,0,1,581721
0,0,404953,161,0,15,402317
0,0,16042,112,0,65,13142
1,0,574686,147,1,13,571897
1,0,596823,95,0,8,594229
0,0,71558,154,1,3,69066
0,0,1102343,226,0,24,1099539
0,0,556640,252,0,7,553878
0,0,22835,146,0,72,20457
0,0,65602,25,0,52,62846
0,0,321121,171,0,30,318503
1,0,3099,86,0,63,313
1,0,2201057,55,0,30,2198634
0,0,1882048,105,1,29,1879670
0,0,2065088,102,1,29,2062416
1,0,8030,144,0,72,5538
1,0,54570,28,0,42,51787
1,0,12466,229,0,85,9926
0,0,1745786,13,0,29,1743231
0,0,1181628,224,0,24,1179322
1,0,580806,94,0,8,578836
1,0,565358,84,0,30,563163
1,0,935144,132,0,29,932427
1,0,7331,93,0,46,4482
1,0,156435,34,0,19,153649
1,0,249052,73,0,9,246272
1,0,344245,14,0,0,341906
1,0,194602,248,0,9,191840
0,0,536061,256,0,15,533287
0,0,1851640,107,0,29,1848668
1,0,450835,68,0,6,448496
0,0,14547,21,0,50,12235
0,0,417885,137,0,16,415123
1,0,237391,72,0,9,234584
0,0,7271,23,0,51,4884
0,0,3982,2,0,34,1541
1,0,21057,155,0,3,18763
0,0,388287,239,0,16,385492
0,0,11601,41,0,57,9187
0,0,185153,24,0,26,182502
0,0,110238,228,0,85,107374
0,0,768058,77,0,23,765323
1,0,8573,215,0,82,6039
1,0,7513,4,0,36,4757
1,0,191757,115,0,10,188965
1,0,205713,246,0,9,202903
1,0,1484951,181,0,28,1482129
1,0,880730,134,0,29,877992
1,0,12861,240,0,87,10087
0,0,763632,130,0,29,761305
0,0,1731005,190,0,27,1728183
0,0,171302,231,0,12,169443
1,0,187696,247,0,9,185057
1,0,2180588,54,0,30,2178147
1,0,17047,38,0,43,14579
0,0,222070,178,0,5,219359
0,0,1169591,223,0,24,1166769
1,0,2776,50,1,59,113
1,0,950785,133,0,29,948302
0,0,8596,126,0,70,5819
0,0,24923,63,0,45,22032
0,0,42017,199,1,79,39222
1,0,1150558,192,1,23,1147775
1,0,665447,75,0,23,662586
0,0,276688,210,1,24,274223
1,0,396615,250,1,18,394090
0,0,381075,237,0,16,378301
0,0,2113696,53,1,29,2111357
0,0,255561,18,1,23,253126
1,0,22052,241,0,88,19278
0,0,198843,128,0,5,196225
1,0,775880,131,0,29,773208
0,0,421319,160,0,15,418704
1,0,167573,37,0,19,164778
1,0,11536,33,0,56,9554
1,0,597333,1,1,18,595705
