Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,0,1039862,77,0,38,1037046
1,0,20107,69,0,51,17801
1,0,14203,58,0,33,11819
1,0,391932,7,0,59,389746
0,0,3932,162,0,119,1401
0,0,915393,63,0,34,914149
0,0,244454,158,0,19,243822
0,0,394758,20,0,9,393970
0,0,574603,169,0,21,572120
1,0,4883,42,1,83,2628
1,0,519612,204,1,28,517492
0,0,2976,164,0,78,781
0,0,1159648,145,0,42,1157084
1,0,7454,53,0,90,5259
1,0,654471,76,1,53,652312
0,0,2907,36,0,73,667
1,0,4593,1,0,17,2230
1,0,1705791,90,0,54,1703299
0,0,598394,168,1,21,596190
0,0,2152,9,0,61,38
0,0,507624,191,0,3,505363
0,0,459000,173,1,10,456733
0,0,123424,232,1,8,121439
0,0,805063,179,1,39,803291
1,0,3147,43,0,84,535
0,0,7548,55,0,92,5362
0,0,11573,110,0,104,9210
1,0,81116,4,0,13,80040
0,0,703891,73,0,23,701787
1,0,351915,200,0,58,350539
1,0,6111,23,0,69,4843
1,0,299939,227,1,11,297915
1,0,115059,160,0,22,112891
1,0,1036,14,0,64,2
0,0,763015,84,1,38,760970
0,0,547726,136,1,7,545198
0,0,19404,199,0,123,17227
1,0,53099,223,0,39,50910
1,0,2191081,89,0,54,2188577
0,0,52834,183,1,0,50840
1,0,13918,123,1,106,11750
1,0,18062,135,1,109,16122
0,0,436942,176,1,24,434816
1,0,34512,92,1,98,32440
0,0,5683,57,0,93,3845
0,0,1835456,207,1,49,1833030
0,0,711734,32,0,23,710958
0,0,482055,113,0,10,479794
1,0,89110,209,1,16,86993
1,0,92121,141,0,41,90979
1,0,7735,185,0,80,5258
0,0,2352753,132,0,54,2351474
0,0,5117,217,1,82,2943
1,0,120751,186,0,3,119534
0,0,9642,212,0,125,7252
0,0,28514,111,0,105,26043
1,0,1699,87,0,8,101
0,0,3774,18,1,66,1570
0,0,468090,40,1,2,465892
1,0,3637,163,0,34,1680
0,0,619207,205,1,9,617003
0,0,369971,61,0,56,367785
1,0,10067,28,1,46,8418
0,0,1108,161,1,77,1
0,0,3468,71,0,96,1171
0,0,1009265,78,0,38,1006986
0,0,560608,180,0,16,558551
1,0,28523,82,0,38,26538
1,0,2650,25,0,35,386
1,0,6868,184,0,121,4559
1,0,50074,189,0,3,47909
0,0,487691,31,0,18,485538
1,0,17178,108,1,103,14941
0,0,669010,134,0,16,666635
1,0,2335,170,0,12,101
1,0,798,166,0,79,1
0,0,1167843,146,1,42,1165567
1,0,140815,228,0,11,140096
1,0,18493,47,1,34,16673
1,0,5471,139,0,112,3207
1,0,5333,21,0,67,3093
1,0,59387,95,0,42,57738
0,0,477141,198,0,7,476586
0,0,5583,99,0,100,3223
1,0,40877,203,1,29,40377
0,0,636865,80,1,20,634829
0,0,180595,120,0,60,178343
0,0,827,13,0,63,3
1,0,122003,229,1,11,119982
1,0,16433,193,0,81,14709
1,0,35613,195,1,122,33460
0,0,16106,74,1,97,14127
0,0,194620,126,0,55,192110
1,0,85349,66,0,4,84366
1,0,303473,216,0,12,301437
1,0,49973,26,0,23,48072
0,0,7225,106,0,102,4853
1,0,3201,60,0,75,2560
1,0,17152,138,0,111,14774
1,0,43304,157,0,57,40902
1,0,52112,104,0,45,49749
1,0,316113,226,0,11,313945
1,0,3704,22,0,68,1446
1,0,12933,114,1,40,10912
1,0,60946,148,1,54,58898
0,0,1287,19,1,70,1
1,0,3133,52,0,90,824
0,0,23314,236,0,2,21104
1,0,18709,35,0,27,16532
0,0,411395,37,1,13,410220
1,0,66424,233,0,36,64094
0,0,469090,34,1,1,466913
1,0,4184,235,0,36,1923
0,0,754574,174,0,26,752403
1,0,315631,215,0,12,313523
0,0,480279,206,1,46,478171
0,0,609383,79,1,20,607077
0,0,377705,98,0,59,375522
0,0,400277,27,0,10,398004
0,0,702444,213,0,22,701878
1,0,369509,62,1,13,367296
1,0,5540,44,0,85,3963
0,0,526037,39,0,3,525222
1,0,57522,127,0,22,55348
1,0,28472,221,1,47,26358
1,0,3258,210,1,124,754
0,0,961848,155,1,37,959689
1,0,16197,178,1,120,13717
1,0,1669,48,0,87,2
0,0,399311,93,1,14,397290
0,0,646569,182,0,12,644707
1,0,27218,68,1,51,24993
0,0,2152465,190,0,53,2150273
0,0,5726,0,1,126,3723
1,0,1909430,131,1,53,1907460
0,0,1835184,67,0,48,1832923
1,0,27070,142,0,16,24536
1,0,311650,214,0,12,309482
1,0,6765,192,0,81,4204
1,2,1518,59,0,94,1
0,0,477984,152,1,5,475453
1,0,19107,105,1,45,16912
1,0,2336,150,1,115,3
0,0,468765,85,1,54,466540
1,0,4334,97,0,99,1968
1,0,71096,140,0,41,68619
0,0,909502,75,0,35,907241
0,0,1116077,154,1,41,1113876
1,0,62927,151,1,24,60651
1,0,7491,128,0,22,5182
0,0,1333,15,0,65,3
0,0,811009,211,1,33,808763
0,0,1475,2,0,127,3
0,0,471716,220,0,5,470270
0,0,2123600,88,0,53,2121408
0,0,669243,187,1,18,667156
0,0,252998,133,1,28,250869
1,0,6479,137,0,110,5838
1,0,68193,149,0,25,66007
