Gene_Instance_Type,Gene_Db_Id,Gene_Label,Chromosome_Location,Genomic_End_Position,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation,Host_Taxon
0,115,115,3,12223742,5,4,12222465,0,2
0,24,24,3,2820421,1,2,2819330,1,2
1,7,7,3,1073361,5,6,1072192,1,2
0,157,157,3,15392254,5,4,15391061,1,2
1,129,129,3,13160893,7,6,13159608,0,2
0,3,3,3,403641,0,2,403063,1,2
1,19,19,3,2324537,8,1,2323350,1,2
1,122,122,3,12917252,5,6,12915873,1,2
0,154,154,3,15241382,5,2,15240186,1,2
0,113,113,3,11904351,5,2,11903161,0,2
0,162,162,2,2497126,4,5,2496569,0,2
0,23,23,3,2724727,5,2,2723402,1,2
0,89,89,3,9509046,5,2,9507838,0,2
0,148,148,3,14708082,0,2,14707237,1,2
0,95,95,3,10454453,5,2,10453245,1,2
0,118,118,3,12754924,0,4,12754328,1,2
0,90,90,3,9720129,5,4,9718942,0,2
1,6,6,3,970531,8,6,969690,1,2
0,52,52,3,4325122,5,2,4323935,1,2
0,97,97,3,10565714,5,4,10564422,0,2
0,120,120,3,12778400,5,2,12777201,0,2
0,132,132,3,13414680,5,2,13413421,0,2
0,0,0,4,3404099,6,0,3402837,0,0
0,144,144,3,14388877,4,4,14388395,0,2
0,125,125,3,13009002,5,2,13007806,1,2
0,56,56,3,5118820,5,2,5117627,1,2
0,127,127,3,13069249,5,2,13067975,1,2
0,54,54,3,4815551,4,4,4815084,0,2
1,35,35,3,3278337,7,6,3277058,1,2
0,108,108,3,11408759,1,2,11408358,1,2
0,31,31,3,3209380,5,4,3208118,0,2
0,98,98,3,10568156,5,2,10566894,0,2
0,16,16,3,2223500,5,2,2222316,0,2
0,143,143,3,14288020,1,2,14287097,0,2
1,121,121,3,12857185,8,1,12856232,0,2
0,65,65,3,5799406,5,4,5798210,1,2
0,30,30,3,3171137,5,4,3169827,0,2
0,134,134,3,13575006,5,4,13573729,0,2
0,37,37,3,3475202,5,4,3473916,1,2
0,77,77,3,6979606,5,2,6978320,0,2
0,140,140,3,13967118,5,4,13965841,0,2
0,34,34,3,3276620,0,2,3275604,1,2
0,114,114,3,11939301,5,2,11938054,0,2
0,164,164,1,3428,3,3,2679,0,2
0,82,82,3,7980300,5,2,7979041,0,2
0,43,43,3,3902494,5,2,3901229,1,2
0,106,106,3,11085820,4,4,11085275,0,2
0,145,145,3,14697939,5,2,14696671,1,2
0,128,128,3,13154086,5,4,13152815,0,2
0,149,149,3,14730711,0,2,14729584,0,2
0,39,39,3,3479162,5,2,3477846,1,2
1,64,64,3,5691216,5,6,5690017,0,2
0,25,25,3,2933978,0,2,2933493,1,2
1,4,4,3,406592,7,6,403838,1,2
0,87,87,3,8944789,1,4,8944240,0,2
1,74,74,3,6852056,5,6,6850764,1,2
0,67,67,3,5877165,5,2,5875882,1,2
0,142,142,3,14266830,0,4,14265808,1,2
0,156,156,3,15299704,5,4,15298394,1,2
0,72,72,3,6724196,5,4,6722922,0,2
0,5,5,3,555258,5,4,554266,0,2
0,9,9,3,1094985,5,4,1093708,1,2
0,49,49,3,4219792,5,4,4218593,0,2
0,137,137,3,13659754,5,2,13658555,1,2
0,104,104,3,11046345,5,2,11045158,0,2
1,11,11,3,1236696,5,6,1235461,0,2
0,58,58,3,5494452,5,4,5493079,1,2
0,141,141,3,14212909,1,2,14212004,1,2
0,107,107,3,11290219,5,4,11288969,1,2
0,133,133,3,13478778,5,2,13477525,1,2
0,147,147,3,14704752,5,2,14703478,1,2
0,53,53,3,4580827,5,2,4579490,1,2
0,44,44,3,3908118,5,2,3906937,1,2
1,84,84,3,8701069,7,1,8699625,1,2
0,40,40,3,3815797,5,2,3814502,0,2
0,159,159,3,15555898,5,2,15554696,1,2
0,131,131,3,13205842,5,2,13204556,0,2
0,48,48,3,4193038,5,4,4191746,0,2
0,38,38,3,3477675,5,4,3476416,1,2
0,71,71,3,6372420,1,4,6371281,1,2
0,14,14,3,1960820,0,4,1959615,0,2
1,47,47,3,4191563,5,6,4190270,0,2
1,126,126,3,13033326,5,6,13032078,1,2
0,155,155,3,15255099,5,4,15253906,0,2
0,102,102,3,10998980,5,2,10997670,1,2
0,28,28,3,3166365,5,2,3165085,0,2
0,123,123,3,12920371,5,2,12919181,1,2
0,152,152,3,14801203,5,4,14799908,1,2
0,1,1,5,3365682,6,7,3364420,0,1
0,42,42,3,3901042,5,2,3899771,1,2
0,117,117,3,12700460,5,4,12699120,1,2
0,103,103,3,11041384,5,2,11040197,0,2
0,119,119,3,12772799,5,4,12771600,1,2
0,81,81,3,7900979,5,2,7899684,0,2
0,79,79,3,7679761,5,4,7678478,0,2
1,92,92,3,10172224,5,6,10170946,1,2
0,70,70,3,6185132,5,4,6183862,1,2
0,59,59,3,5531455,5,4,5530205,0,2
0,96,96,3,10564228,5,4,10562960,0,2
0,161,161,3,16059033,5,2,16057762,1,2
1,13,13,3,1761786,2,6,1760486,0,2
0,146,146,3,14699400,5,4,14698123,1,2
0,57,57,3,5265782,5,2,5264586,1,2
0,83,83,3,8072860,5,2,8071601,0,2
0,10,10,3,1098223,5,4,1097030,1,2
1,75,75,3,6931534,5,6,6930293,1,2
0,138,138,3,13671433,5,4,13670126,0,2
0,80,80,3,7810901,1,4,7810068,1,2
