Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Chromosome_Id,Genomic_Start_Position
0,10,658646,91,91,11,14,657867
1,27,3650,150,150,6,65,2478
1,5,551759,89,89,2,14,550737
1,58,35179,44,44,2,13,34406
1,27,614,51,51,0,46,222
1,14,1921338,127,127,2,18,1920505
1,25,287088,100,100,2,12,285889
0,71,1173402,231,231,18,15,1172566
1,27,37248,167,167,23,72,35989
1,51,55904,32,32,2,27,55386
0,4,1887968,129,129,2,18,1886823
0,24,432927,247,247,14,5,431740
1,27,13082,113,113,0,60,12327
0,71,386514,175,175,22,15,385279
0,62,832741,210,210,22,14,831566
0,27,28969,25,25,1,40,28568
0,74,738,2,2,0,22,1
0,102,5008,9,9,11,25,4142
1,32,227094,18,18,1,12,226831
0,0,14090,64,64,22,48,12945
1,15,1026,225,225,0,79,841
0,0,1863,104,104,18,57,1015
1,78,2029082,19,19,22,19,2027874
0,9,445921,17,17,2,4,445157
0,7,251858,20,20,0,14,251211
1,7,1022329,213,213,18,14,1021526
0,27,23025,136,136,0,63,22318
1,83,1675,215,215,11,34,854
0,101,26635,165,165,33,72,25832
1,35,2151652,67,67,9,19,2150759
0,47,2155792,187,187,24,18,2155145
0,30,392050,88,88,0,12,391007
1,60,19523,47,47,23,28,18321
0,52,1687805,71,71,4,19,1687044
0,0,10624,96,96,31,52,9845
0,71,266241,144,144,11,15,265438
0,10,313431,85,85,11,14,312547
0,26,486743,59,59,14,1,485586
0,10,285745,83,83,11,14,284939
1,5,827468,209,209,2,14,826311
0,3,1047,1,1,25,21,259
1,49,265814,200,200,25,11,265029
0,27,18784,99,99,18,55,18002
1,10,997273,212,212,11,14,996476
0,10,305564,86,86,8,14,304740
1,36,13592,102,102,2,56,12324
1,0,30765,28,28,11,42,29968
0,7,422034,16,16,14,4,420934
1,62,941707,7,7,11,14,940901
0,44,12388,138,138,0,64,11468
1,15,269718,149,149,2,19,269074
1,31,65754,234,234,28,80,64810
1,99,1522877,182,182,25,17,1521903
1,11,17173,217,217,23,77,16040
0,27,13948,30,30,10,43,13148
0,62,387281,11,11,23,14,386064
0,5,290434,82,82,2,14,289571
1,52,975187,117,117,29,19,974237
0,52,1679298,73,73,25,19,1678525
0,42,6002,241,241,2,82,5043
1,15,1592913,75,75,33,19,1591840
0,15,663114,15,15,2,19,662260
1,5,432941,203,203,0,14,432381
0,7,277578,84,84,11,14,276769
1,13,4723,24,24,2,39,4340
1,27,23810,60,60,22,47,22572
0,75,231201,246,246,27,5,230431
0,28,2142542,188,188,25,18,2141583
0,27,13418,152,152,16,67,12669
0,72,1694274,70,70,24,19,1693627
0,17,25842,199,199,2,75,24370
0,29,9998,78,78,2,50,9753
0,45,1577124,190,190,12,18,1576114
0,18,1229889,179,179,20,17,1228786
0,77,1778534,131,131,13,18,1777443
1,5,1152958,195,195,2,14,1151783
0,62,907521,142,142,22,14,906301
0,51,23852,33,33,33,27,23046
0,71,1148502,229,229,11,15,1147669
1,21,655,0,0,2,83,2
0,33,223492,245,245,33,5,222386
0,72,1631767,72,72,24,19,1631120
1,5,667923,94,94,2,14,666610
0,71,272963,214,214,16,15,272211
0,76,11872,132,132,2,61,11348
0,71,247509,145,145,11,15,246700
