Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,0,690828,274,274,1,37,688522,0
0,0,45706,261,261,0,2,43370,1
1,0,588116,3,3,1,8,586977,0
0,0,4613,117,117,0,5,1626,1
0,0,12865,289,289,0,39,9965,1
1,0,4342,81,81,1,32,1385,1
1,0,15683,257,257,1,95,12888,0
1,0,378832,38,38,1,63,376718,0
0,0,25602,134,134,0,51,22921,1
0,0,563158,321,321,0,21,560651,0
0,0,467624,171,171,0,11,464685,0
0,0,2010044,11,11,0,56,2009265,0
0,0,4567,55,55,0,80,1604,0
1,0,24449,112,112,1,85,21516,0
1,0,33240,54,54,1,41,30436,1
1,0,197559,194,194,1,9,195199,1
0,0,955,156,156,0,88,2,1
0,0,447897,285,285,0,46,446350,0
0,0,61849,46,46,0,65,60071,1
1,0,1721524,41,41,1,58,1718519,1
1,0,21022,62,62,1,105,18272,1
1,0,517997,131,131,1,0,514713,0
1,0,1984663,166,166,1,58,1981777,0
1,0,4543,137,137,1,124,1706,1
1,0,16034,125,125,1,24,13233,0
1,0,1133115,269,269,1,52,1130755,1
0,0,1973,1,1,0,154,3,1
1,0,1174681,75,75,1,48,1172813,0
0,0,3158,6,6,0,40,342,1
1,0,648458,161,161,1,22,645735,0
0,0,31215,301,301,0,68,30121,1
0,0,1171911,147,147,0,49,1168945,0
0,0,2772,318,318,0,13,301,1
1,0,265804,202,202,1,10,263906,0
0,0,496864,170,170,0,6,494066,0
1,0,1709527,107,107,1,59,1707056,1
1,0,29971,144,144,1,45,27197,1
1,0,5025,158,158,1,127,2677,1
1,0,474181,193,193,1,4,471830,0
0,0,20670,139,139,0,125,18052,1
0,0,1430611,98,98,0,52,1429409,0
1,0,2149200,265,265,1,58,2146741,0
1,0,30617,149,149,1,66,28410,1
0,0,750304,210,210,0,37,747923,0
1,0,10460,76,76,1,111,8049,1
1,0,754760,206,206,1,31,752910,0
1,0,6217,319,319,1,13,3602,1
1,0,396132,246,246,1,31,393928,0
1,0,128705,208,208,1,29,127131,1
1,0,496021,26,26,1,1,493463,0
1,0,56619,316,316,1,13,53854,1
0,0,4421,31,31,0,76,3684,1
0,0,117865,212,212,0,2,115973,1
0,0,6529,157,157,0,36,4547,1
1,0,174847,195,195,1,9,172793,1
1,0,8963,177,177,1,131,6399,1
0,0,6840,284,284,0,146,3826,0
1,0,1175229,146,146,1,49,1172704,0
1,0,110366,250,250,1,64,107442,1
1,0,7278,95,95,1,116,4399,0
1,0,22938,85,85,1,56,21226,1
1,0,1130391,198,198,1,46,1127446,0
1,0,11829,32,32,1,48,8980,1
1,0,1443,19,19,1,71,1,1
0,0,7112,282,282,0,145,4374,1
1,0,1008775,190,190,1,58,1006142,0
1,0,7245,290,290,1,147,4687,1
1,0,12451,176,176,1,130,9695,1
0,0,2274,50,50,0,78,1,0
1,0,2194888,106,106,1,59,2192474,1
1,0,905310,39,39,1,45,902803,0
0,0,729858,201,201,0,37,727477,0
1,0,214887,305,305,1,9,212992,0
0,0,34372,2,2,0,50,33320,1
0,0,38223,30,30,0,43,36197,1
1,0,18751,109,109,1,84,16475,1
1,0,2120212,105,105,1,58,2117660,0
1,0,3783,84,84,1,25,1453,1
1,0,596370,276,276,1,11,593812,0
1,0,19819,122,122,1,0,16985,1
0,0,392186,225,225,0,11,389424,0
0,0,36463,116,116,0,16,33455,1
1,0,439193,286,286,1,46,435576,0
0,0,598524,92,92,0,7,596251,0
1,0,342240,153,153,1,59,339421,1
1,0,107280,48,48,1,19,104554,0
1,0,2892,67,67,1,106,97,0
0,0,478312,10,10,0,11,477440,0
1,0,46833,74,74,1,110,44356,0
1,0,670094,37,37,1,59,667467,0
1,0,2020967,178,178,1,56,2018517,0
1,0,68416,262,262,1,2,66416,1
1,0,4460,127,127,1,87,2295,0
0,0,553364,251,251,0,18,550602,0
1,0,201254,159,159,1,60,198909,0
0,0,851849,120,120,0,37,849015,0
1,0,3538,292,292,1,98,857,1
1,0,12394,303,303,1,150,9605,0
0,0,748745,35,35,0,30,745776,0
1,0,14564,60,60,1,81,12819,1
0,0,39476,268,268,0,143,36720,1
1,0,13956,216,216,1,90,10954,0
1,0,58311,298,298,1,57,56848,1
0,0,645301,275,275,0,11,642806,0
1,0,5678,128,128,1,122,4257,1
1,0,458839,16,16,1,11,457553,0
0,0,811998,312,312,0,40,810235,0
1,0,26744,325,325,1,43,24147,1
0,0,968,8,8,0,153,3,0
1,0,905988,96,96,1,42,903148,0
1,0,9121,288,288,1,39,6152,1
1,0,582104,239,239,1,12,579438,0
1,0,79885,230,230,1,11,77750,1
1,0,2982,70,70,1,109,445,1
0,0,169312,66,66,0,55,166550,0
1,0,1113039,295,295,1,58,1110685,1
0,0,531490,33,33,0,3,528650,0
0,0,4734,123,123,0,86,2191,0
1,0,710712,200,200,1,37,708220,0
0,0,367390,217,217,0,62,364778,0
1,0,56555,324,324,1,43,54387,1
0,0,18183,234,234,0,139,15433,0
1,0,4073,5,5,1,69,1218,0
1,0,15577,69,69,1,108,12521,1
1,0,2028531,266,266,1,58,2025571,0
1,0,27589,108,108,1,83,25172,0
0,0,4119,43,43,0,34,967,1
1,0,27235,148,148,1,30,24623,1
1,0,783456,79,79,1,34,780772,0
0,0,11142,111,111,0,120,8839,1
1,0,242630,118,118,1,23,239769,1
1,0,10610,173,173,1,129,8169,1
1,0,106204,279,279,1,18,104012,1
1,0,16963,47,47,1,100,14936,0
1,0,9934,86,86,1,49,6965,1
1,0,577397,7,7,1,28,576201,0
1,0,1820,9,9,1,155,189,0
1,0,485801,34,34,1,3,483723,0
1,3,11541,326,326,1,43,8509,1
1,0,619021,152,152,1,14,617285,0
0,0,13820,28,28,0,25,12766,1
1,0,2325261,42,42,1,59,2323705,0
1,0,10910,88,88,1,113,8910,0
1,0,639965,258,258,1,24,637563,0
