Gene_Type,Gene_Description,Genomic_Start_Position,Chromosome_Id,Strand_Orientation,Gene_Label,Encoded_Protein,Gene_Db_Id,Orthologous_Gene,Genomic_End_Position
1,0,473501,5,0,149,1,149,104,476059
1,0,1149578,28,1,179,1,179,110,1152001
0,0,1005114,23,1,206,2,206,72,1007699
0,0,1126764,30,1,169,2,169,62,1129346
0,0,694046,23,0,76,2,76,22,696919
0,0,1154469,29,0,236,2,236,30,1156973
0,0,218443,9,1,141,2,141,86,221070
0,0,460986,16,0,83,2,83,35,463778
0,0,8450,37,0,6,2,6,36,11062
0,0,1550629,28,1,181,2,181,41,1553361
0,0,278046,23,0,67,2,67,127,280853
0,0,543824,8,0,49,2,49,96,546370
0,0,396772,16,0,238,2,238,54,399549
0,0,54284,44,0,59,3,59,92,57145
0,0,814468,23,0,81,2,81,72,817323
1,0,405750,5,0,19,1,19,23,408107
0,0,57859,85,1,227,2,227,12,60414
0,0,985546,23,1,207,2,207,34,988200
0,0,5274,40,1,12,2,12,64,7898
0,0,242583,0,0,51,2,51,2,245264
0,0,2051,69,0,124,2,124,99,4732
0,0,18858,60,0,62,2,62,99,21506
0,0,20358,71,1,127,3,127,99,23129
0,0,425663,18,0,72,2,72,76,428401
0,0,948302,29,1,133,2,133,40,950785
0,0,31414,60,0,63,2,63,99,34218
1,0,2062416,29,0,103,1,103,28,2065088
0,0,12226,19,0,157,3,157,128,15093
0,0,1248512,28,0,180,2,180,120,1251196
0,0,350182,18,1,249,2,249,111,352788
0,0,563344,6,1,140,2,140,117,565683
0,0,7772,38,1,8,3,8,1,10603
0,0,211077,13,1,0,5,0,24,212927
0,0,1197396,23,0,193,2,193,34,1200167
0,0,649424,8,0,98,2,98,11,652210
0,0,8359,31,1,94,2,94,60,10893
0,0,2067,55,1,33,2,33,51,4709
0,0,116878,2,0,255,2,255,13,119436
0,0,11776,86,1,230,2,230,24,14331
1,0,1630521,29,0,186,1,186,28,1633076
0,0,4541,68,0,123,2,123,51,7054
0,0,453903,5,1,18,2,18,37,456596
0,0,942,80,1,211,2,211,29,3590
0,0,1755496,30,1,188,2,188,33,1757922
0,0,1981915,30,0,187,2,187,62,1984371
0,0,526820,1,1,175,2,175,66,529696
0,0,269451,23,0,68,2,68,72,272153
0,0,421607,6,1,69,2,69,117,423886
1,0,406415,33,1,139,1,139,31,408724
0,0,1187140,24,0,225,2,225,109,1189938
0,0,22858,39,0,11,3,11,58,25731
0,0,32438,59,0,54,2,54,99,35248
0,0,3,35,1,4,5,4,124,2099
0,0,864531,23,0,116,2,116,72,867065
0,0,457457,13,1,148,2,148,24,460231
1,0,2111357,29,0,55,1,55,28,2113696
0,0,780839,23,0,80,2,80,34,783613
0,0,32611,75,1,191,2,191,63,35322
0,0,504105,23,0,21,3,21,72,506933
0,0,38613,84,1,219,3,219,108,41459
0,0,581721,1,0,174,0,174,21,584285
0,0,402317,15,0,161,2,161,88,404953
0,0,13142,65,0,112,3,112,51,16042
1,0,571897,13,1,147,1,147,93,574686
0,0,594229,8,1,97,2,97,118,596823
1,0,69066,3,0,154,1,154,77,71558
0,0,1099539,24,0,226,2,226,78,1102343
0,0,553878,7,0,252,2,252,98,556640
0,0,20457,72,0,146,2,146,99,22835
0,0,62846,52,0,27,2,27,46,65602
0,0,2169063,29,1,182,2,182,102,2171498
0,0,313,63,1,88,2,88,51,3099
0,0,2198634,30,1,57,2,57,112,2201057
0,0,1862957,29,0,107,2,107,74,1865809
0,0,2057611,29,1,183,2,183,102,2060220
0,0,5538,72,1,144,2,144,51,8030
0,0,51787,42,1,30,3,30,56,54570
0,0,9926,85,1,229,2,229,103,12466
0,0,1648582,29,1,14,2,14,125,1650945
0,0,1179322,24,0,224,2,224,78,1181628
0,0,578836,8,1,96,5,96,85,580806
0,0,318503,30,0,171,2,171,97,321121
0,0,877992,29,1,134,2,134,40,880730
0,0,4482,46,1,95,3,95,61,7331
0,0,153649,19,1,36,3,36,86,156435
0,0,246272,9,1,75,2,75,3,249052
0,0,341906,0,1,16,2,16,100,344245
0,0,191840,9,1,248,3,248,86,194602
0,0,533287,15,0,256,2,256,88,536061
0,0,1825916,29,0,109,2,109,86,1828534
0,0,448496,6,1,70,2,70,117,450835
0,0,12235,50,0,23,2,23,46,14547
0,0,415123,16,0,137,2,137,53,417885
0,0,234584,9,1,74,2,74,20,237391
0,0,4884,51,0,25,2,25,99,7271
0,0,1541,34,0,3,2,3,70,3982
0,0,18763,3,1,155,2,155,43,21057
0,0,385492,16,0,239,2,239,116,388287
0,0,9187,57,0,43,2,43,51,11601
0,0,182502,26,0,26,2,26,128,185153
0,0,107374,85,0,228,3,228,101,110238
0,0,765323,23,0,79,2,79,72,768058
0,0,6039,82,1,215,2,215,65,8573
0,0,4757,36,1,5,2,5,123,7513
0,0,188965,10,1,115,2,115,59,191757
0,0,202903,9,1,246,2,246,19,205713
0,0,1406588,28,1,101,3,101,34,1409461
0,0,773208,29,1,131,2,131,81,775880
0,0,10087,87,1,240,2,240,109,12861
0,0,733043,29,0,129,2,129,74,735391
0,0,1728183,27,0,190,3,190,7,1731005
0,0,169443,12,0,231,4,231,11,171302
0,0,185057,9,1,247,2,247,14,187696
0,0,2178147,30,1,56,2,56,57,2180588
0,0,14579,43,1,40,2,40,105,17047
0,0,219359,5,0,177,2,177,67,222070
0,0,1166769,24,0,223,3,223,108,1169591
1,0,113,59,1,52,1,52,10,2776
0,0,932427,29,1,132,2,132,86,935144
0,0,5819,70,0,126,2,126,51,8596
0,0,22032,45,0,65,2,65,18,24923
1,0,39222,79,0,199,1,199,49,42017
1,0,1147775,23,1,192,1,192,89,1150558
0,0,662586,23,1,77,3,77,22,665447
1,0,274223,24,0,210,1,210,97,276688
1,0,394090,18,1,250,1,250,9,396615
0,0,378301,16,0,237,2,237,16,381075
0,0,2099463,29,1,104,2,104,102,2102129
1,0,253126,23,0,20,1,20,39,255561
0,0,19278,88,1,241,2,241,7,22052
0,0,196225,5,0,128,2,128,79,198843
0,0,761305,29,0,130,2,130,74,763632
0,0,418704,15,0,160,2,160,126,421319
0,0,164778,19,1,39,3,39,27,167573
0,0,9554,56,1,35,2,35,51,11536
1,0,595705,18,1,2,1,2,9,597333
