Gene_Type,Gene_Description,Genomic_Start_Position,Chromosome_Id,Strand_Orientation,Gene_Label,Encoded_Protein,Gene_Db_Id,Orthologous_Gene,Genomic_End_Position
1,0,5450,79,0,107,2,107,90,6751
1,0,855,84,1,120,2,120,66,3425
0,0,65097,23,1,100,6,100,73,68231
0,0,748432,38,0,9,7,9,69,750258
1,0,199007,21,1,39,2,39,3,201286
0,0,304756,14,0,153,8,153,41,307836
0,0,11467,44,1,65,5,65,0,13944
0,0,40663,9,1,74,6,74,77,43791
1,0,98009,13,0,56,2,56,44,100486
0,0,1124243,39,1,133,5,133,13,1126783
0,0,1644,63,1,126,6,126,19,4790
0,0,2,64,0,130,7,130,80,304
0,0,29548,9,1,116,7,116,40,30678
0,0,639173,8,0,109,6,109,47,642289
0,0,38468,82,1,112,7,112,15,40231
0,0,18,57,1,15,3,15,16,704
1,0,698580,26,0,73,2,73,33,701522
0,0,30504,38,1,88,6,88,67,33620
1,0,670661,26,0,85,2,85,72,673825
1,0,781378,26,0,66,2,66,72,782421
0,0,99663,12,0,35,7,35,70,100844
0,0,629461,19,0,52,6,52,68,632799
0,0,556483,40,0,84,6,84,52,559272
0,0,1799,42,1,38,5,38,83,4270
1,0,670680,27,0,77,2,77,79,673601
0,0,425925,25,0,86,6,86,84,429068
0,0,2,91,1,141,8,141,58,484
1,0,6076,72,1,72,2,72,73,7065
0,0,503742,14,0,102,0,102,86,506906
1,0,27503,31,1,2,2,2,85,28960
1,0,830,62,1,96,2,96,14,1651
0,0,301802,14,0,63,8,63,41,302755
0,0,2,50,0,12,8,12,63,1330
1,0,489726,1,0,24,2,24,81,492209
0,0,703461,36,0,17,8,17,44,704396
0,0,222980,17,0,94,6,94,32,225838
0,0,21059,47,1,40,6,40,18,24175
1,0,1,80,0,108,2,108,42,1482
1,0,861,65,0,33,2,33,6,3560
0,0,37199,84,1,121,6,121,22,40333
0,0,293633,15,0,26,6,26,49,296392
1,0,691713,26,0,136,2,136,33,694715
1,0,197949,10,0,148,2,148,49,201983
1,0,230508,3,0,155,2,155,30,232598
0,0,48939,38,1,87,6,87,9,52289
1,0,794730,29,0,64,2,64,10,796646
1,0,760413,26,0,105,2,105,33,762911
1,0,1,78,0,95,2,95,50,1815
0,0,9091,95,1,145,7,145,70,11460
1,0,766105,29,0,97,2,97,10,767496
1,0,338881,3,1,156,2,156,85,341160
0,0,132644,5,0,157,6,157,28,135805
1,0,455587,18,0,59,2,59,65,458580
1,0,246,74,1,81,2,81,58,2735
1,0,1753,46,1,53,2,53,71,4884
0,0,559651,6,0,62,6,62,55,562767
0,0,717008,23,0,30,6,30,48,720169
0,0,8184,77,1,93,6,93,42,11360
0,0,1,48,0,8,8,8,37,1011
0,0,4595,71,0,69,6,69,36,7732
0,0,1,83,0,117,7,117,79,696
0,0,151067,21,1,104,5,104,51,153763
0,0,326975,17,0,68,7,68,4,329442
0,0,2545,38,1,58,5,58,36,5115
0,0,312663,15,0,127,6,127,78,315827
1,0,34218,93,1,143,2,143,56,36371
0,0,323962,18,0,34,6,34,10,326955
0,0,3197,15,1,47,6,47,18,6322
0,0,769737,28,0,151,6,151,80,772874
1,0,636579,7,0,75,2,75,40,638513
0,0,217744,18,0,118,5,118,10,220362
1,0,38379,68,1,44,2,44,64,40751
0,0,3198,90,1,140,7,140,70,5438
0,0,5315,45,1,124,6,124,74,8449
0,0,34755,11,1,137,6,137,59,37772
1,0,9641,66,0,41,2,41,76,11809
1,0,5834,87,0,135,2,135,88,8362
0,0,92984,1,1,115,6,115,13,96112
1,0,6842,16,1,71,2,71,8,7840
1,0,13156,60,1,37,2,37,12,16287
1,0,371065,45,1,4,9,4,38,371763
0,0,982,61,1,92,7,92,31,3141
1,0,2433,36,1,42,2,42,34,5564
0,0,567123,33,0,27,1,27,18,567659
0,0,633441,39,0,32,8,32,2,634208
0,0,34431,28,1,90,1,90,7,34862
1,0,741965,23,0,103,2,103,75,742903
1,0,8075,41,1,46,2,46,55,11203
1,0,10430,96,0,146,2,146,35,12199
1,0,630235,7,0,76,2,76,40,631461
0,0,1,88,1,138,7,138,21,2165
1,0,675068,23,0,31,2,31,93,676357
0,0,43491,37,1,78,5,78,59,46094
1,0,298548,5,1,23,2,23,5,301337
0,0,47690,30,1,3,4,3,20,48145
0,0,8902,81,1,110,5,110,45,11508
0,0,1014604,35,0,36,6,36,46,1015710
