Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,190891,67,67,4,14,190256,1
0,3660,196,196,4,68,3085,1
0,1001979,96,96,4,28,1001410,0
1,1671935,120,120,3,28,1671336,0
0,3008,164,164,4,46,2760,1
0,17644,348,348,4,80,17072,0
0,393310,282,282,4,30,392783,0
0,1025055,192,192,4,28,1024453,0
0,1654543,31,31,4,27,1654004,1
0,11006,14,14,4,37,10434,1
0,1840810,111,111,4,28,1840178,0
0,1182146,313,313,4,28,1181541,1
0,377041,363,363,4,12,376496,1
0,398667,249,249,4,16,398035,0
0,1235855,188,188,2,28,1235211,1
0,1806636,337,337,4,28,1806064,0
0,7249,54,54,4,57,6641,0
0,452612,283,283,4,28,451995,0
0,410649,143,143,2,14,410251,0
0,1121,2,2,4,32,531,0
0,725245,152,152,4,22,724664,1
0,7534,343,343,2,79,7151,0
0,14571,377,377,4,50,14272,0
0,244449,290,290,4,16,243556,0
0,622513,27,27,4,28,621803,0
0,253619,172,172,4,14,252897,0
0,253089,179,179,4,17,252442,0
0,305429,372,372,4,24,304515,0
1,690105,149,149,3,22,689434,0
0,22995,305,305,2,14,22609,1
0,47042,81,81,4,14,46335,1
0,6670,228,228,4,69,6140,1
0,467996,365,365,4,22,467418,0
0,1079,128,128,2,62,750,0
0,1784731,333,333,4,28,1784156,1
0,1392058,308,308,4,28,1391459,0
0,170789,69,69,4,14,170208,1
1,44727,395,395,3,93,44119,1
1,978860,276,276,1,27,978390,0
0,7294,262,262,4,75,6638,0
0,9111,132,132,2,63,8734,0
0,633393,83,83,4,11,632488,1
0,2852,17,17,4,40,2211,0
0,1610144,116,116,4,28,1609563,0
0,219644,72,72,4,14,218985,1
0,873,5,5,4,35,262,1
0,462632,140,140,4,4,462006,0
0,1707,378,378,4,85,1054,0
0,555039,79,79,4,7,554104,0
0,897457,273,273,4,27,896894,0
0,522983,294,294,4,10,522417,1
0,930600,243,243,4,22,929947,1
0,459742,250,250,4,16,459083,0
0,8892,376,376,4,50,8245,0
0,410431,182,182,4,15,409799,0
0,95645,65,65,4,2,95094,1
0,296809,421,421,4,4,296102,1
0,438791,33,33,4,3,438168,1
0,302673,245,245,4,16,302005,0
0,311595,412,412,2,14,311224,1
0,22912,59,59,2,58,22523,0
0,20624,75,75,4,43,19953,1
0,276224,137,137,4,22,275592,0
0,603114,238,238,4,10,602248,1
0,610905,157,157,4,4,610333,0
1,893116,240,240,3,22,892445,1
0,9993,34,34,4,41,9376,1
0,1448091,90,90,4,28,1447573,1
0,12594,198,198,4,47,11959,1
0,389569,248,248,4,16,388676,0
0,28027,45,45,4,53,27344,0
0,406686,139,139,4,4,406078,0
0,32545,263,263,4,76,31979,0
1,11424,41,41,3,52,10828,0
0,474095,354,354,4,17,473496,0
1,891600,272,272,1,27,891058,1
0,1570983,122,122,4,28,1570405,1
0,487260,202,202,4,23,486679,1
1,28680,130,130,3,63,27985,0
0,478938,103,103,4,0,478315,0
0,1109266,398,398,4,23,1108595,0
0,21792,345,345,4,79,21193,0
0,649380,237,237,4,10,648745,1
0,538452,147,147,4,22,537880,1
0,21840,231,231,4,71,21079,0
0,567898,125,125,2,19,567485,0
0,53116,397,397,5,93,52718,0
0,308712,370,370,4,16,308044,0
0,633183,235,235,2,10,632827,1
0,1591262,331,331,4,27,1590720,0
0,559332,145,145,2,20,558976,0
0,627298,101,101,4,6,626603,1
0,555039,429,429,4,4,554545,1
0,269583,420,420,4,4,268954,0
1,1591401,213,213,3,26,1590901,0
0,1060193,190,190,4,28,1059636,1
0,272757,181,181,4,17,271798,0
0,21892,339,339,4,78,21179,0
0,400683,57,57,4,3,400036,1
0,11825,46,46,4,53,11139,0
0,610947,367,367,4,22,610288,1
0,1183104,325,325,4,26,1182499,0
0,1871216,110,110,4,28,1870641,0
0,1100102,407,407,4,27,1099440,1
0,223254,291,291,4,16,222562,0
0,2130876,106,106,4,28,2130250,1
0,5418,232,232,4,71,4696,1
0,266951,175,175,4,14,266226,0
0,643220,200,200,4,6,642618,0
0,238595,173,173,4,14,237978,1
0,174019,66,66,4,14,173294,1
0,33533,391,391,4,92,32910,1
0,66227,302,302,4,1,65685,0
0,1038285,191,191,4,28,1037734,1
0,1299223,186,186,4,28,1298663,0
0,549268,76,76,4,7,548651,0
0,1790185,220,220,4,27,1789544,1
0,110877,156,156,5,2,110344,1
1,44362,301,301,3,15,43754,1
0,375323,426,426,4,4,374682,1
0,1894275,112,112,4,28,1893637,1
0,48963,358,358,4,83,48349,0
0,63431,64,64,4,59,62859,0
0,563485,95,95,2,20,563114,0
1,1947,16,16,3,39,1330,1
0,849658,24,24,4,27,849029,1
0,17246,267,267,4,76,16593,0
0,11667,260,260,4,74,10975,1
0,1192370,314,314,4,28,1191744,1
0,789660,151,151,4,22,789061,1
0,484940,355,355,4,17,484143,0
0,551183,227,227,2,19,550740,0
0,1665163,30,30,4,27,1664528,0
0,15815,361,361,4,83,15231,0
0,423275,204,204,4,23,422700,0
0,50225,396,396,4,93,49587,0
0,23909,362,362,4,83,23259,0
0,1935320,216,216,4,27,1934724,0
0,1439745,91,91,4,28,1439215,1
0,1646736,214,214,4,26,1646206,0
0,5356,350,350,4,82,4736,1
0,281837,180,180,4,17,281250,0
0,217404,23,23,4,16,216745,0
0,431207,427,427,4,4,430704,0
0,565167,382,382,2,20,564760,0
0,4939,7,7,4,33,4241,1
0,497547,252,252,4,16,496699,0
0,2159962,326,326,4,27,2159390,0
0,1722444,338,338,4,25,1721857,1
1,210445,136,136,3,11,209840,1
0,636879,160,160,4,4,636250,1
0,2103139,221,221,4,28,2102468,1
0,211634,419,419,5,0,211245,0
0,34921,268,268,4,77,34262,1
0,1578872,121,121,4,28,1578312,0
0,596495,161,161,4,4,595866,0
0,9539,197,197,4,47,8904,1
0,491431,297,297,4,10,490859,1
0,465000,353,353,4,17,464038,0
0,283286,425,425,4,4,282588,0
0,1863,44,44,4,53,1279,0
1,1337715,211,211,3,26,1337152,0
0,10499,39,39,2,51,10110,1
0,6256,131,131,2,63,5888,0
0,77237,61,61,4,58,76545,0
0,1685667,118,118,0,28,1685527,0
0,566496,298,298,4,10,565864,1
0,1212108,311,311,4,28,1211533,0
0,8071,393,393,4,92,7124,1
0,631273,159,159,4,4,630704,1
0,1357417,310,310,4,28,1356881,1
0,1413348,210,210,4,26,1412725,1
0,897652,241,241,4,22,897068,0
0,102031,0,0,4,2,101630,1
0,460277,284,284,4,28,459570,0
0,542828,292,292,4,10,542232,1
0,2082607,36,36,4,28,2081918,1
0,673589,185,185,4,27,672981,1
0,262590,288,288,4,16,261997,0
0,1069989,194,194,4,28,1069351,0
0,54130,400,400,4,94,53294,1
1,225709,70,70,3,14,225092,1
0,2039757,328,328,4,27,2039173,1
0,55031,266,266,4,76,54300,0
0,42738,392,392,4,92,42403,1
0,698962,98,98,4,28,698387,1
0,1037760,369,369,4,22,1037092,1
0,510533,431,431,4,5,509916,0
0,1653046,114,114,4,28,1652444,1
0,602022,162,162,4,4,601444,0
0,9693,360,360,4,83,9067,0
0,331967,154,154,4,16,331098,0
0,57983,63,63,4,59,57381,1
0,488252,251,251,4,16,487683,0
0,152203,402,402,4,94,151562,0
0,7816,170,170,4,67,6941,1
0,473006,253,253,4,16,472107,0
0,8984,256,256,4,72,8412,1
0,296422,244,244,4,16,295724,0
0,786,373,373,4,84,88,0
0,521226,208,208,4,6,520573,0
0,1896,255,255,4,72,1198,1
0,433446,205,205,4,23,432955,0
0,297265,224,224,4,3,296609,0
0,421453,417,417,4,28,420860,0
0,10738,165,165,4,66,10142,1
0,422988,183,183,4,15,422386,0
0,739582,271,271,4,27,738989,0
0,741926,201,201,4,16,741234,0
0,2021354,37,37,4,28,2020752,1
1,22510,55,55,3,42,21845,0
0,12963,341,341,4,78,12349,0
0,1279824,189,189,4,28,1279111,1
0,2141017,327,327,4,27,2140400,0
0,203566,71,71,2,14,203195,1
0,641268,236,236,4,10,640657,1
1,1773473,334,334,3,28,1772775,1
0,537100,293,293,4,10,536468,1
0,3185,163,163,4,65,2544,1
0,1094415,318,318,4,28,1093786,1
0,548259,144,144,2,20,547909,0
0,4704,229,229,4,70,4066,0
0,55203,82,82,4,14,54550,0
0,288418,223,223,4,3,287768,0
0,165971,19,19,4,9,165327,0
0,627125,86,86,4,11,626559,1
0,606832,87,87,4,27,606242,0
0,11303,51,51,4,56,10641,1
0,661517,1,1,4,10,660867,1
