Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation,Host_Taxon
1,0,431084,201,24,1,43,427217,1,9
0,0,1849714,31,18,0,21,1845908,1,5
0,0,2296751,218,8,0,41,2295359,0,9
0,0,1309324,27,18,0,21,1307483,0,5
0,0,2151123,76,10,0,17,2147506,1,5
0,0,9578594,174,7,0,12,9577091,1,7
0,0,3071,198,7,0,10,1,1,7
0,1,1637142,73,18,0,17,1633333,1,5
0,0,138161,118,21,0,25,134502,0,6
0,0,15710916,192,6,0,12,15707113,0,7
0,0,4813930,141,6,0,8,4810370,0,7
0,0,1402028,57,18,0,15,1398297,0,5
0,0,1049774,215,21,0,40,1047327,1,9
0,0,15790203,193,6,0,12,15786472,0,7
0,0,35572,45,18,0,22,31850,1,5
0,0,1630586,72,18,0,17,1626783,1,5
0,0,10008881,178,7,0,12,10006623,0,7
0,0,7732801,209,18,0,43,7728989,0,9
0,0,2191903,77,18,0,18,2188100,0,5
0,0,63847,16,31,0,6,59612,1,4
0,0,2186645,217,6,0,41,2182830,0,9
0,0,2804198,205,21,0,43,2802744,1,9
0,0,820521,145,6,0,12,819496,1,7
0,0,1657273,75,18,0,17,1653761,1,5
0,0,1678839,95,14,0,30,1675105,1,6
0,0,7801604,170,6,0,12,7797783,1,7
0,0,9357129,210,18,0,43,9353467,0,9
0,0,52090,13,26,0,4,47957,1,3
0,0,1124935,102,14,0,23,1121207,1,6
0,0,2332044,83,18,0,18,2328241,0,5
0,0,2069666,126,21,0,27,2066351,0,6
0,0,53721,22,18,0,0,49990,0,5
0,0,652903,132,31,0,34,648881,1,8
0,0,985033,100,23,0,23,981335,1,6
0,0,2307206,79,18,0,18,2303436,0,5
0,0,2385281,147,7,0,12,2382667,0,7
0,0,28839,43,13,0,22,25132,1,5
0,0,11959711,183,7,0,12,11956169,0,7
0,0,319829,67,18,0,16,316098,0,5
0,0,4004773,206,19,0,43,4003152,0,9
0,0,91293,15,28,0,4,86278,1,3
0,0,4000548,153,6,0,12,3997084,1,7
0,0,10005750,177,6,0,12,10002838,0,7
0,0,9382536,211,9,0,43,9381414,1,9
0,0,1147490,107,25,0,23,1145631,1,6
1,0,5331246,38,16,1,21,5328981,0,5
0,0,447807,44,19,0,22,446937,0,5
0,0,2224448,122,22,0,26,2222719,0,6
0,0,2327068,82,18,0,18,2323274,0,5
1,0,159443,64,17,1,16,155850,0,5
0,0,977090,47,10,0,14,973266,0,5
0,0,1181603,51,1,0,14,1177872,1,5
0,0,3942314,40,18,0,20,3938604,0,5
1,0,1176752,50,2,1,14,1173039,1,5
0,0,2060217,124,30,0,27,2056039,0,6
0,0,1200116,54,1,0,14,1196301,1,5
0,0,2572317,149,6,0,12,2568583,0,7
0,0,1966167,33,18,0,21,1963411,1,5
0,0,62145,7,28,0,2,61864,1,1
0,0,2071573,127,22,0,27,2069770,0,6
0,0,2308247,204,7,0,43,2307577,0,9
0,0,765769,139,31,0,33,764270,0,8
0,0,37767,1,31,0,1,34525,1,0
0,0,603897,26,18,0,21,600274,1,5
0,0,2336954,84,18,0,18,2333202,0,5
1,0,1139483,104,20,1,23,1135756,1,6
0,0,2313444,80,18,0,18,2309641,0,5
0,0,5098514,207,21,0,43,5096660,1,9
0,0,4285337,156,6,0,12,4284348,1,7
0,0,7542966,208,23,0,43,7539256,0,9
0,0,7783560,169,7,0,12,7780308,0,7
0,0,1186466,52,1,0,14,1182723,1,5
0,0,12019079,185,6,0,12,12015300,1,7
0,0,7772134,167,6,0,12,7771136,0,7
0,0,15685855,191,7,0,12,15683891,0,7
0,0,3579565,151,7,0,12,3578197,1,7
0,0,3175883,39,10,0,20,3172254,0,5
0,0,15650717,190,6,0,12,15648225,1,7
0,0,2302259,78,18,0,18,2298363,0,5
0,0,4041319,220,30,0,42,4037516,0,9
0,0,10051797,212,23,0,43,10048057,1,9
0,0,284585,58,18,0,15,280740,0,5
0,0,726058,144,6,0,12,722345,1,7
0,0,8313586,171,6,0,12,8309909,0,7
0,0,576555,133,31,0,39,575134,0,8
0,0,2401,140,6,0,8,65,1,7
0,0,1957169,123,18,0,27,1953366,0,6
0,0,1736657,143,18,0,8,1732938,1,7
1,0,967249,97,15,1,23,963552,1,6
1,0,72858,11,28,1,4,68880,1,3
0,0,14275183,187,6,0,12,14273723,0,7
0,0,128558,116,21,0,25,125670,0,6
0,0,65003,10,29,0,3,62277,1,2
0,0,145983,56,3,0,15,142360,1,5
0,0,7777943,168,6,0,12,7774500,0,7
0,0,1910918,32,18,0,21,1908330,1,5
1,0,1134638,103,20,1,23,1130899,1,6
0,0,59232,6,29,0,2,57178,1,1
0,0,979875,99,18,0,23,976177,1,6
