Entity_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1211309,161,161,1,131,50,1200861,0
0,53597,30,30,1,0,58,43140,1
0,29124,137,137,1,15,104,18715,1
0,1848415,41,41,1,2,47,1838054,0
0,902706,95,95,1,30,38,892584,0
1,52443,43,43,3,20,49,42064,1
0,34912,168,168,1,131,33,27714,1
0,685626,118,118,1,81,30,675331,0
1,11957,27,27,3,101,76,1581,1
0,31572,76,76,1,25,36,21127,1
0,12152,204,204,1,117,121,4158,1
0,102066,44,44,1,127,11,91621,1
1,364951,62,62,3,39,56,356759,1
0,6015,145,145,2,28,28,103,1
1,571446,180,180,3,60,33,561022,1
1,9497,185,185,3,32,113,3,0
0,332104,166,166,1,52,33,321641,0
