Chromosome_Location,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Subclass,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,13980614,105,105,0,2,7,13979644,1
0,34835,165,165,0,19,0,33567,1
1,7776355,60,60,0,1,7,7775540,1
1,4299137,34,34,1,4,9,4297472,1
1,13813861,101,101,0,1,2,13812362,0
1,11497432,88,88,0,2,7,11496159,0
1,8750931,70,70,0,1,2,8750116,0
1,8422594,66,66,1,3,9,8420066,0
1,14939089,112,112,0,5,7,14937890,0
1,3097194,25,25,0,1,2,3096508,0
1,12567288,94,94,0,2,7,12566661,1
1,6016720,47,47,0,2,7,6015477,1
1,1662089,13,13,0,5,7,1659698,1
1,14766244,110,110,0,20,2,14765282,0
1,11473094,87,87,0,1,2,11472201,1
1,2912105,22,22,0,1,7,2911437,1
1,938369,5,5,0,2,7,937674,0
1,24218799,160,160,0,1,1,24217882,0
1,18449802,131,131,0,2,3,18448896,0
1,421354,1,1,0,11,7,418907,0
1,2597044,17,17,0,14,7,2596686,1
1,22586503,151,151,0,8,1,22583996,1
1,23902858,158,158,0,2,1,23901544,1
1,15431493,114,114,0,10,7,15429022,1
0,42748,167,167,0,14,5,41047,1
1,2862968,21,21,0,5,7,2861630,1
1,12160930,91,91,0,8,2,12160046,1
1,16835079,119,119,0,22,1,16833925,1
1,23866829,157,157,0,2,1,23865703,1
1,16416071,118,118,0,21,2,16413631,1
1,11600931,89,89,0,2,7,11599714,1
1,563875,4,4,1,6,9,561461,0
1,6088421,48,48,0,1,7,6085950,0
1,13282465,98,98,0,25,7,13280789,0
1,16920482,120,120,0,18,1,16919435,1
1,19133424,137,137,0,1,3,19132048,1
0,6835,163,163,0,14,0,4667,1
1,21703774,148,148,0,2,1,21701900,0
1,17627223,126,126,0,2,3,17625592,1
1,6956172,55,55,0,2,2,6955569,0
1,18038313,128,128,0,2,3,18037247,1
1,6283351,50,50,0,2,7,6282458,0
1,4102721,33,33,0,12,7,4101290,1
1,14479105,109,109,0,2,7,14478302,0
1,3312359,29,29,0,1,2,3311109,1
1,13013122,97,97,0,1,2,13011857,0
1,2003214,14,14,0,5,2,2002366,0
1,17542792,124,124,0,2,1,17541345,0
1,17122877,121,121,0,5,3,17120601,1
1,8297673,63,63,0,2,7,8296462,1
1,3235158,28,28,0,2,7,3233849,1
1,20286216,139,139,0,5,1,20285100,1
1,4365383,35,35,0,23,7,4363173,1
1,9136441,73,73,1,13,9,9134295,0
1,17643761,127,127,0,2,3,17642746,0
1,3802426,32,32,1,13,8,3800009,0
1,15463044,115,115,1,0,9,15461240,1
0,40361,166,166,1,17,4,37650,1
1,10601584,81,81,0,2,2,10600723,1
1,5210452,41,41,0,24,2,5209340,1
1,14201412,106,106,0,22,2,14200354,1
1,21840929,149,149,0,1,3,21839502,1
1,18150907,129,129,0,5,1,18149782,1
1,23311866,153,153,0,2,1,23310921,0
1,4622430,37,37,0,23,7,4620634,1
1,8068432,62,62,0,2,2,8066724,0
1,3049161,23,23,0,24,7,3048399,0
1,424362,2,2,0,22,7,423166,0
1,10835283,85,85,0,1,2,10832824,1
1,8836279,71,71,1,7,9,8834339,1
1,8377941,64,64,0,2,7,8377093,1
1,21107478,146,146,0,2,1,21106076,0
1,22342311,150,150,0,1,1,22341328,1
1,8706530,69,69,1,3,8,8704372,0
1,448516,3,3,0,16,7,445739,0
1,1005104,7,7,0,2,2,1003707,1
1,5764705,46,46,0,2,7,5763288,1
1,20600592,142,142,0,1,1,20599396,0
1,13967339,104,104,0,16,7,13965975,0
1,1044324,9,9,0,5,2,1043726,0
1,18233087,130,130,0,1,3,18230676,0
1,7207112,57,57,0,1,2,7205454,1
1,21033305,145,145,0,1,1,21032577,1
1,14264630,107,107,0,5,7,14263463,0
1,19361160,138,138,0,2,1,19359904,0
1,22800650,152,152,0,1,3,22799643,0
1,6170322,49,49,0,2,7,6168823,1
1,5212347,42,42,0,1,7,5211163,1
1,10790484,83,83,0,1,7,10789222,0
1,4756236,38,38,0,5,7,4754812,0
1,19131431,136,136,0,11,3,19128978,1
1,24324304,161,161,0,2,1,24323249,0
1,18526135,132,132,0,1,1,18525296,0
1,5646569,45,45,0,1,7,5645517,0
1,4431456,36,36,0,26,7,4430512,1
1,8662629,68,68,0,1,7,8661322,0
1,1565906,12,12,0,5,7,1564519,1
1,5596435,44,44,0,2,7,5595701,0
1,17573162,125,125,0,1,1,17572161,0
1,24075061,159,159,0,2,3,24073248,1
1,13816694,102,102,0,16,7,13815414,0
1,3098509,26,26,0,1,7,3097631,0
1,17383110,122,122,0,5,1,17381675,1
1,23718778,156,156,0,2,1,23717642,0
0,9294,164,164,0,14,5,6891,1
1,4910787,40,40,0,5,7,4909550,1
1,15945723,116,116,0,2,2,15943858,1
1,13953853,103,103,0,1,2,13952477,0
1,16025845,117,117,0,8,2,16025135,0
1,10514318,80,80,0,1,7,10512900,0
1,9311660,77,77,0,1,7,9310200,0
1,11655236,90,90,0,1,2,11654436,1
1,8661219,67,67,0,1,2,8660182,0
1,7303713,58,58,0,5,2,7302490,1
1,12665749,95,95,0,1,7,12664313,1
1,24717108,162,162,0,2,3,24715475,1
1,1471242,11,11,0,2,7,1469688,1
1,21368024,147,147,0,2,3,21366772,1
1,7009171,56,56,0,2,7,7008393,1
1,10634319,82,82,0,1,7,10632709,1
1,1005618,8,8,0,2,7,1005001,1
1,8987276,72,72,1,4,8,8985246,0
1,20333137,140,140,0,1,1,20331131,0
1,10429864,79,79,0,5,7,10428729,1
