Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,0,7054,124,2,0,67,4541
1,0,456596,18,2,0,5,453903
1,0,3590,211,2,0,79,942
1,0,1757922,188,2,0,30,1755496
0,0,1984371,187,2,0,30,1981915
1,0,529696,175,2,0,1,526820
0,0,272153,69,2,0,23,269451
1,0,423886,70,2,0,6,421607
1,0,379418,170,2,0,32,376740
0,0,1189938,225,2,0,24,1187140
0,0,25731,11,3,0,38,22858
0,0,35248,55,2,0,58,32438
0,0,3982,4,2,0,34,1541
0,0,867065,117,2,0,23,864531
1,0,460231,148,2,0,13,457457
0,0,2113696,56,1,1,29,2111357
0,0,783613,81,2,0,23,780839
1,0,35322,191,2,0,74,32611
0,0,506933,22,3,0,23,504105
1,0,41459,219,3,0,83,38613
0,0,584285,174,0,0,1,581721
0,0,404953,161,2,0,15,402317
0,0,16042,113,3,0,64,13142
1,0,574686,147,1,1,13,571897
1,0,596823,98,2,0,8,594229
0,0,71558,154,1,1,3,69066
0,0,1102343,226,2,0,24,1099539
0,0,556640,252,2,0,7,553878
0,0,22835,146,2,0,71,20457
0,0,65602,28,2,0,51,62846
1,0,2171498,182,2,0,29,2169063
1,0,3099,89,2,0,62,313
1,0,2180588,57,2,0,30,2178147
0,0,1865809,108,2,0,29,1862957
1,0,2060220,183,2,0,29,2057611
1,0,8030,144,2,0,71,5538
1,0,54570,31,3,0,41,51787
1,0,12466,229,2,0,84,9926
1,0,1650945,14,2,0,29,1648582
0,0,1181628,224,2,0,24,1179322
1,0,580806,97,5,0,8,578836
0,0,321121,171,2,0,30,318503
1,0,880730,135,2,0,29,877992
1,0,7331,96,3,0,45,4482
1,0,156435,37,3,0,19,153649
1,0,249052,76,2,0,9,246272
1,0,344245,16,2,0,0,341906
1,0,194602,248,3,0,9,191840
0,0,536061,256,2,0,15,533287
0,0,1828534,110,2,0,29,1825916
1,0,450835,71,2,0,6,448496
0,0,14547,24,2,0,49,12235
0,0,417885,138,2,0,16,415123
1,0,237391,75,2,0,9,234584
0,0,7271,26,2,0,50,4884
1,0,1983,1,5,0,33,1
1,0,21057,155,2,0,3,18763
0,0,388287,239,2,0,16,385492
0,0,11601,44,2,0,56,9187
0,0,185153,27,2,0,26,182502
0,0,110238,228,3,0,84,107374
0,0,768058,80,2,0,23,765323
1,0,8573,215,2,0,81,6039
1,0,2099,5,5,0,35,3
1,0,191757,116,2,0,10,188965
1,0,205713,246,2,0,9,202903
1,0,1409461,102,3,0,28,1406588
1,0,775880,132,2,0,29,773208
1,0,12861,240,2,0,86,10087
0,0,735391,130,2,0,29,733043
0,0,1731005,190,3,0,27,1728183
0,0,171302,231,4,0,12,169443
1,0,187696,247,2,0,9,185057
1,0,2050620,20,2,0,30,2048281
1,0,17047,41,2,0,42,14579
0,0,222070,177,2,0,5,219359
0,0,1169591,223,3,0,24,1166769
1,0,2776,53,1,1,58,113
1,0,935144,133,2,0,29,932427
0,0,8596,127,2,0,69,5819
0,0,24923,66,2,0,44,22032
0,0,42017,199,1,1,78,39222
1,0,1150558,192,1,1,23,1147775
1,0,665447,78,3,0,23,662586
0,0,276688,210,1,1,24,274223
1,0,396615,250,1,1,18,394090
0,0,381075,237,2,0,16,378301
1,0,2102129,105,2,0,29,2099463
0,0,255561,21,1,1,23,253126
1,0,22052,241,2,0,87,19278
0,0,198843,129,2,0,5,196225
0,0,763632,131,2,0,29,761305
0,0,421319,160,2,0,15,418704
1,0,167573,40,3,0,19,164778
1,0,11536,36,2,0,55,9554
1,0,597333,3,1,1,18,595705
