Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,0,573456,49,2,1,3,572590
0,0,632799,52,6,0,19,629461
0,0,1017672,51,2,1,34,1015075
1,0,1291,14,8,0,56,11
1,0,55385,130,6,0,0,52233
0,0,6751,106,2,1,79,5450
1,0,3425,119,2,1,84,855
1,0,68231,100,6,0,23,65097
0,0,750258,9,7,0,38,748432
1,0,201286,39,2,1,21,199007
0,0,307836,152,8,0,14,304756
1,0,13944,64,5,0,44,11467
1,0,43791,73,6,0,9,40663
0,0,100486,56,2,1,13,98009
1,0,1126783,132,5,0,39,1124243
1,0,4790,125,6,0,63,1644
0,0,304,129,7,0,64,2
1,0,30678,115,7,0,9,29548
0,0,642289,108,6,0,8,639173
1,0,40231,111,7,0,82,38468
1,0,704,15,3,0,57,18
0,0,701522,71,2,1,26,698580
1,0,33620,88,6,0,38,30504
0,0,673825,85,2,1,26,670661
0,0,782421,65,2,1,26,781378
0,0,100844,35,7,0,12,99663
1,0,506465,74,2,1,19,504186
0,0,559272,84,6,0,40,556483
1,0,4270,38,5,0,42,1799
0,0,673601,77,2,1,27,670680
0,0,429068,86,6,0,25,425925
1,0,484,140,8,0,91,2
1,0,7065,70,2,1,72,6076
0,0,506906,102,0,0,14,503742
1,0,28960,2,2,1,31,27503
1,0,1651,96,2,1,62,830
0,0,302755,62,8,0,14,301802
0,0,1330,12,8,0,50,2
0,0,492209,24,2,1,1,489726
0,0,704396,17,8,0,36,703461
1,0,7840,69,2,1,16,6842
1,0,24175,40,6,0,47,21059
0,0,1482,107,2,1,80,1
0,0,3560,33,2,1,65,861
1,0,40333,120,6,0,84,37199
1,0,6322,47,6,0,15,3197
0,0,694715,135,2,1,26,691713
0,0,201983,147,2,1,10,197949
0,0,232598,155,2,1,3,230508
1,0,52289,87,6,0,38,48939
0,0,796646,63,2,1,29,794730
0,0,762911,104,2,1,26,760413
0,0,1815,95,2,1,78,1
1,0,11460,144,7,0,95,9091
0,0,767496,97,2,1,29,766105
1,0,341160,156,2,1,3,338881
0,0,135805,157,6,0,5,132644
0,0,326955,34,6,0,18,323962
1,0,2735,81,2,1,74,246
1,0,4884,53,2,1,46,1753
0,0,562767,61,6,0,6,559651
0,0,720169,30,6,0,23,717008
1,0,11360,93,6,0,77,8184
0,0,1011,8,8,0,48,1
0,0,7732,67,6,0,71,4595
0,0,696,116,7,0,83,1
1,0,552643,118,2,1,20,550361
0,0,225838,94,6,0,17,222980
1,0,5115,58,5,0,38,2545
0,0,296392,26,6,0,15,293633
1,0,36371,142,2,1,93,34218
0,0,220362,117,5,0,18,217744
0,0,532553,154,2,1,14,531252
0,0,772874,150,6,0,28,769737
0,0,638513,75,2,1,7,636579
0,0,685611,72,2,1,17,683131
1,0,40751,44,2,1,68,38379
1,0,5438,139,7,0,90,3198
1,0,8449,123,6,0,45,5315
1,0,37772,136,6,0,11,34755
0,0,11809,41,2,1,66,9641
0,0,8362,134,2,1,87,5834
1,0,96112,114,6,0,1,92984
1,0,6579,68,2,1,16,5257
1,0,16287,37,2,1,60,13156
1,0,371763,4,9,1,45,371065
1,0,3141,92,7,0,61,982
1,0,5564,42,2,1,36,2433
0,0,567659,27,1,0,33,567123
0,0,634208,32,8,0,39,633441
1,0,34862,90,1,0,28,34431
0,0,742903,103,2,1,23,741965
1,0,11203,46,2,1,41,8075
0,0,12199,145,2,1,96,10430
0,0,631461,76,2,1,7,630235
1,0,2165,137,7,0,88,1
0,0,676357,31,2,1,23,675068
1,0,46094,78,5,0,37,43491
1,0,301337,23,2,1,5,298548
1,0,48145,3,4,0,30,47690
1,0,11508,109,5,0,81,8902
0,0,1015710,36,6,0,35,1014604
