Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,23290,218,218,47,2,73,20606,1
0,9867,65,65,60,2,98,7462,0
1,442799,201,201,23,1,47,439932,1
0,1695278,9,9,28,2,40,1692543,1
0,700388,17,17,15,2,106,697620,0
0,14845,51,51,57,3,50,11996,0
0,8092,214,214,80,2,42,5759,0
1,13979,197,197,77,1,0,11352,1
0,1045611,208,208,23,3,71,1042786,0
0,15062,90,90,63,2,45,12438,0
0,1061168,114,114,23,4,71,1059124,0
0,8115,172,172,46,3,44,5269,1
0,10893,95,95,31,2,59,8359,1
0,1966199,106,106,29,2,39,1963551,1
0,585177,204,204,23,3,23,582301,0
0,475012,142,142,7,2,113,472298,0
0,1314205,94,94,30,2,111,1311887,0
0,1096585,235,235,29,2,101,1093946,1
1,9580,196,196,76,1,37,6749,1
0,50888,152,152,20,2,51,48174,1
0,1062895,234,234,29,2,85,1060310,1
0,758419,49,49,21,2,22,756089,0
0,12594,151,151,73,2,45,9967,0
0,9089,217,217,82,2,24,6579,1
1,45075,126,126,69,1,26,42286,0
1,1578209,103,103,28,1,109,1575672,1
0,1818146,111,111,29,2,101,1815771,0
0,466038,176,176,24,2,64,463714,0
0,1851640,109,109,29,2,80,1848668,0
0,139709,253,253,1,2,90,138117,0
1,290907,119,119,21,1,18,288478,0
0,1171520,42,42,27,2,8,1169280,1
0,2047179,184,184,29,2,80,2044399,1
0,800723,165,165,22,2,3,798375,0
0,12158,13,13,40,2,54,9363,1
0,21771,88,88,61,2,45,19363,0
0,488327,203,203,23,3,23,485541,0
0,454333,158,158,15,2,106,451748,0
0,262330,243,243,6,2,83,259847,0
0,568854,259,259,15,2,105,566233,0
0,16377,145,145,71,2,45,13513,1
0,180486,38,38,19,2,41,177754,1
0,1596686,185,185,29,2,39,1594209,0
0,301826,242,242,29,2,89,299487,0
0,736453,83,83,23,3,71,733583,0
0,1006971,2,2,30,5,81,1005142,0
0,20976,61,61,43,2,9,18310,0
0,5331,150,150,72,2,98,2932,0
0,629809,115,115,13,3,6,627020,1
0,1816759,189,189,30,2,111,1814429,0
1,590672,258,258,15,1,61,588504,0
0,6553,122,122,65,2,62,4166,1
0,1152306,222,222,24,2,115,1149583,0
0,13678,156,156,3,2,16,10931,1
0,468388,72,72,6,3,79,465485,0
1,476059,149,149,5,1,103,473501,0
1,1152001,179,179,28,1,109,1149578,1
0,1007699,206,206,23,2,71,1005114,1
0,1129346,169,169,30,2,61,1126764,1
0,696919,77,77,23,2,23,694046,0
0,1156973,236,236,29,2,31,1154469,0
0,221070,141,141,9,2,85,218443,1
0,463778,84,84,16,2,35,460986,0
0,7513,6,6,36,2,122,4757,1
0,1553361,181,181,28,2,40,1550629,1
0,280853,68,68,23,2,126,278046,0
0,546370,50,50,8,2,95,543824,0
0,399549,238,238,16,2,53,396772,0
0,57145,60,60,43,3,91,54284,0
0,817323,82,82,23,2,71,814468,0
1,408107,19,19,5,1,24,405750,0
0,60414,227,227,84,2,13,57859,1
0,988200,207,207,23,2,34,985546,1
0,7898,12,12,39,2,63,5274,1
0,245264,52,52,0,2,2,242583,0
0,4732,125,125,68,2,98,2051,0
0,21506,63,63,59,2,98,18858,0
0,23129,128,128,70,3,98,20358,1
0,428401,73,73,18,2,75,425663,0
0,950785,134,134,29,2,39,948302,1
0,34218,64,64,59,2,98,31414,0
1,2065088,104,104,29,1,29,2062416,0
0,15093,157,157,19,3,127,12226,0
0,1251196,180,180,28,2,119,1248512,0
0,352788,249,249,18,2,110,350182,1
0,565683,140,140,6,2,116,563344,1
0,10603,8,8,37,3,1,7772,1
0,212927,0,0,13,5,25,211077,1
0,1200167,193,193,23,2,34,1197396,0
0,652210,99,99,8,2,12,649424,0
0,2201057,58,58,30,2,111,2198634,1
0,4709,34,34,54,2,50,2067,1
0,119436,255,255,2,2,14,116878,0
0,14331,230,230,85,2,25,11776,1
1,1633076,186,186,29,1,29,1630521,0
0,7054,124,124,67,2,50,4541,0
0,456596,18,18,5,2,36,453903,1
0,3590,211,211,79,2,30,942,1
0,1757922,188,188,30,2,33,1755496,1
0,1984371,187,187,30,2,61,1981915,0
0,529696,175,175,1,2,65,526820,1
0,272153,69,69,23,2,71,269451,0
0,423886,70,70,6,2,116,421607,1
0,379418,170,170,32,2,51,376740,1
0,1189938,225,225,24,2,108,1187140,0
0,25731,11,11,38,3,57,22858,0
0,35248,55,55,58,2,98,32438,0
0,3982,4,4,34,2,69,1541,0
0,867065,117,117,23,2,71,864531,0
0,460231,148,148,13,2,25,457457,1
1,2113696,56,56,29,1,29,2111357,0
0,783613,81,81,23,2,34,780839,0
0,35322,191,191,74,2,62,32611,1
0,506933,22,22,23,3,71,504105,0
0,41459,219,219,83,3,107,38613,1
0,584285,174,174,1,0,22,581721,0
0,404953,161,161,15,2,87,402317,0
0,16042,113,113,64,3,50,13142,0
1,574686,147,147,13,1,92,571897,1
0,596823,98,98,8,2,117,594229,1
1,71558,154,154,3,1,76,69066,0
0,1102343,226,226,24,2,77,1099539,0
0,556640,252,252,7,2,97,553878,0
0,22835,146,146,71,2,98,20457,0
0,65602,28,28,51,2,45,62846,0
0,2171498,182,182,29,2,101,2169063,1
0,3099,89,89,62,2,50,313,1
0,2180588,57,57,30,2,56,2178147,1
0,1865809,108,108,29,2,73,1862957,0
0,2060220,183,183,29,2,101,2057611,1
0,8030,144,144,71,2,50,5538,1
0,54570,31,31,41,3,55,51787,1
0,12466,229,229,84,2,102,9926,1
0,1650945,14,14,29,2,124,1648582,1
0,1181628,224,224,24,2,77,1179322,0
0,580806,97,97,8,5,84,578836,1
0,321121,171,171,30,2,96,318503,0
0,880730,135,135,29,2,39,877992,1
0,7331,96,96,45,3,60,4482,1
0,156435,37,37,19,3,85,153649,1
0,249052,76,76,9,2,3,246272,1
0,344245,16,16,0,2,99,341906,1
0,194602,248,248,9,3,85,191840,1
0,536061,256,256,15,2,87,533287,0
0,1828534,110,110,29,2,85,1825916,0
0,450835,71,71,6,2,116,448496,1
0,14547,24,24,49,2,45,12235,0
0,417885,138,138,16,2,52,415123,0
0,237391,75,75,9,2,21,234584,1
0,7271,26,26,50,2,98,4884,0
0,1983,1,1,33,5,4,1,1
0,21057,155,155,3,2,42,18763,1
0,388287,239,239,16,2,115,385492,0
0,11601,44,44,56,2,50,9187,0
0,185153,27,27,26,2,127,182502,0
0,110238,228,228,84,3,100,107374,0
0,768058,80,80,23,2,71,765323,0
0,8573,215,215,81,2,64,6039,1
0,2099,5,5,35,5,123,3,1
0,191757,116,116,10,2,58,188965,1
0,205713,246,246,9,2,20,202903,1
0,1409461,102,102,28,3,34,1406588,1
0,775880,132,132,29,2,80,773208,1
0,12861,240,240,86,2,108,10087,1
0,735391,130,130,29,2,73,733043,0
0,1731005,190,190,27,3,8,1728183,0
0,171302,231,231,12,4,12,169443,0
0,187696,247,247,9,2,15,185057,1
0,2050620,20,20,30,2,111,2048281,1
0,17047,41,41,42,2,104,14579,1
0,222070,177,177,5,2,66,219359,0
0,1169591,223,223,24,3,107,1166769,0
1,2776,53,53,58,1,11,113,1
0,935144,133,133,29,2,85,932427,1
0,8596,127,127,69,2,50,5819,0
0,24923,66,66,44,2,19,22032,0
1,42017,199,199,78,1,48,39222,0
1,1150558,192,192,23,1,88,1147775,1
0,665447,78,78,23,3,23,662586,1
1,276688,210,210,24,1,96,274223,0
1,396615,250,250,18,1,10,394090,1
0,381075,237,237,16,2,17,378301,0
0,2102129,105,105,29,2,101,2099463,1
1,255561,21,21,23,1,38,253126,0
0,22052,241,241,87,2,8,19278,1
0,198843,129,129,5,2,78,196225,0
0,763632,131,131,29,2,73,761305,0
0,421319,160,160,15,2,125,418704,0
0,167573,40,40,19,3,28,164778,1
0,11536,36,36,55,2,50,9554,1
1,597333,3,3,18,1,10,595705,1
