Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,0,648458,160,160,1,21,645735
1,0,1917064,173,173,0,56,1914173
1,0,25743,231,231,1,14,24748
1,0,71114,196,196,1,4,69705
0,0,103187,322,322,0,9,101616
0,0,411506,60,60,1,32,408474
0,0,594892,227,227,0,27,591674
0,0,2350211,167,167,1,59,2347587
0,0,912033,75,75,1,40,909235
1,0,12191,232,232,1,14,9909
1,0,1182,94,94,1,115,1
1,0,4231,135,135,0,51,1391
1,0,14595,67,67,0,67,12280
0,0,9360,256,256,1,94,6577
1,0,14953,303,303,1,53,12005
1,0,88710,161,161,1,28,87850
0,0,760085,244,244,1,32,757590
0,0,14455,92,92,1,113,11690
1,0,30562,280,280,0,18,28739
0,0,4524,241,241,0,141,2574
0,0,486237,25,25,1,47,483109
0,0,19758,185,185,0,135,17038
1,0,47207,84,84,0,112,45534
1,0,36437,104,104,0,117,35517
1,0,5595,70,70,1,107,2761
0,0,931453,225,225,1,40,928565
0,0,2693,282,282,1,96,396
1,0,4036,65,65,0,67,1289
1,0,93761,74,74,1,65,90201
0,0,11733,76,76,1,82,9154
1,0,27235,148,148,1,29,24623
0,0,120500,321,321,0,9,118605
1,0,26060,261,261,1,2,23298
0,0,351197,217,217,1,62,348939
1,0,33122,283,283,1,41,30594
0,0,1425113,14,14,1,52,1422420
0,0,225780,81,81,1,26,223900
1,0,56433,249,249,0,40,54619
1,0,1739,12,12,0,72,3
0,0,201879,300,300,0,61,200095
0,0,1320804,151,151,1,59,1318300
0,0,650247,103,103,0,26,648161
0,0,3779,183,183,0,133,1517
1,0,64637,150,150,0,65,62859
0,0,4799,273,273,1,144,2103
0,0,7313,236,236,1,140,4734
1,0,19476,159,159,0,128,17815
0,0,7957,142,142,1,126,5381
0,0,840765,122,122,0,36,837994
0,0,2120212,106,106,1,58,2117660
0,0,739713,326,326,0,30,736933
1,0,2442,156,156,0,35,1297
1,0,29971,144,144,1,45,27197
0,0,1032018,51,51,1,44,1029001
0,0,16396,295,295,1,149,13598
0,0,492103,130,130,1,0,489575
1,0,3892,45,45,0,54,599
0,0,439193,288,288,1,46,435576
0,0,578138,101,101,1,26,576360
1,0,3857,105,105,1,118,1095
1,0,924785,237,237,1,57,922281
0,0,245943,63,63,1,4,244298
0,0,577397,7,7,1,27,576201
0,0,9141,220,220,0,137,8410
1,0,981807,279,279,1,52,979324
0,0,14712,221,221,1,91,11650
0,0,2360044,13,13,1,59,2358530
1,0,11256,254,254,1,92,8914
0,0,7825,93,93,1,114,5795
1,0,9869,55,55,0,58,8244
1,0,128705,208,208,1,28,127131
1,0,83774,188,188,1,15,82602
0,0,1981,298,298,0,99,2
0,0,483389,320,320,1,5,481422
1,0,85945,310,310,0,16,83153
0,0,21702,61,61,0,104,18811
1,0,38827,226,226,1,24,35924
1,0,5339,53,53,1,101,2904
0,0,748745,35,35,0,29,745776
1,0,3210,23,23,1,73,616
0,0,258722,218,218,0,9,256827
1,0,10587,182,182,0,132,8119
1,0,145152,315,315,1,13,142906
0,0,572075,301,301,1,17,569139
1,0,58311,299,299,1,57,56848
0,0,905988,99,99,1,41,903148
0,0,710712,201,201,1,36,708220
1,0,45706,262,262,0,2,43370
0,0,588116,3,3,1,8,586977
1,0,4613,118,118,0,5,1626
1,0,3158,6,6,0,39,342
0,0,690966,179,179,1,31,687994
0,0,15683,257,257,1,95,12888
0,0,378832,38,38,1,63,376718
1,0,39618,86,86,1,52,36688
0,0,571445,200,200,0,20,567813
0,0,467624,171,171,0,11,464685
0,0,2020967,177,177,1,56,2018517
0,0,4567,57,57,0,80,1604
0,0,24449,113,113,1,85,21516
1,0,54516,96,96,0,40,53479
1,0,197559,194,194,1,9,195199
1,0,955,155,155,0,88,2
0,0,1130391,198,198,1,46,1127446
1,0,61849,48,48,0,65,60071
0,0,1824669,165,165,1,58,1821786
1,0,21022,64,64,1,105,18272
0,0,517997,132,132,1,0,514713
0,0,2028531,268,268,1,58,2025571
1,0,4543,138,138,1,124,1706
1,0,77950,18,18,0,23,74987
0,0,1337382,271,271,0,52,1335682
1,0,1973,1,1,0,154,3
1,0,9934,89,89,1,49,6965
1,0,16389,181,181,1,39,14728
1,0,242630,119,119,1,22,239769
1,0,31215,302,302,0,68,30121
0,0,1175229,146,146,1,49,1172704
1,0,2772,318,318,0,13,301
0,0,265804,203,203,1,10,263906
0,0,496864,169,169,0,6,494066
1,0,1709527,108,108,1,59,1707056
0,0,905310,39,39,1,45,902803
1,0,5025,157,157,1,127,2677
0,0,474181,193,193,1,4,471830
1,0,20670,139,139,0,125,18052
0,0,1434052,154,154,0,52,1432280
0,0,2327020,265,265,1,58,2324351
1,0,30617,149,149,1,66,28410
0,0,791878,121,121,0,36,790079
1,0,10460,79,79,1,111,8049
0,0,764760,204,204,0,30,762982
1,0,6217,319,319,1,13,3602
0,0,411543,245,245,1,30,408877
0,0,706189,15,15,1,28,704129
0,0,496021,27,27,1,1,493463
1,0,56619,316,316,1,13,53854
1,0,4421,32,32,0,76,3684
1,0,117865,211,211,0,2,115973
1,0,19013,46,46,1,35,16263
1,0,174847,195,195,1,9,172793
1,0,8963,175,175,1,131,6399
0,0,6840,286,286,0,146,3826
1,0,34372,2,2,0,50,33320
1,0,110366,250,250,1,64,107442
0,0,7278,98,98,1,116,4399
1,0,67475,297,297,0,56,65139
0,0,1140600,197,197,0,46,1138639
0,0,1174681,78,78,1,48,1172813
1,0,1443,20,20,1,71,1
1,0,7112,284,284,0,145,4374
1,0,1113039,296,296,1,58,1110685
1,0,7245,291,291,1,147,4687
1,0,12451,174,174,1,130,9695
0,0,2274,52,52,0,78,1
1,0,2194888,107,107,1,59,2192474
1,0,16715,187,187,1,46,14439
0,0,750304,209,209,0,36,747923
0,0,214887,307,307,1,9,212992
1,0,44770,26,26,1,50,42977
1,0,56555,323,323,1,42,54387
1,0,18751,110,110,1,84,16475
0,0,2149200,267,267,1,58,2146741
1,0,13820,29,29,0,24,12766
0,0,596370,278,278,1,11,593812
1,0,19819,123,123,1,0,16985
0,0,392186,224,224,0,11,389424
1,0,36463,117,117,0,16,33455
0,0,447897,287,287,0,46,446350
0,0,598524,95,95,0,7,596251
1,0,342240,153,153,1,59,339421
0,0,107280,50,50,1,19,104554
0,0,2892,69,69,1,106,97
0,0,478312,10,10,0,11,477440
0,0,46833,77,77,1,110,44356
0,0,670094,37,37,1,59,667467
0,0,2028848,178,178,0,56,2027736
1,0,68416,263,263,1,2,66416
0,0,4460,128,128,1,87,2295
0,0,553364,251,251,0,18,550602
0,0,201254,158,158,1,60,198909
1,0,4289,170,170,1,37,3018
1,0,3538,293,293,1,98,857
0,0,12394,305,305,1,150,9605
0,0,396132,246,246,1,30,393928
1,0,14564,62,62,1,81,12819
1,0,39476,270,270,0,143,36720
0,0,13956,215,215,1,90,10954
1,0,68621,192,192,1,57,67503
0,0,645301,277,277,0,11,642806
1,0,5678,129,129,1,122,4257
0,0,458839,17,17,1,11,457553
0,0,825842,311,311,1,39,823350
1,0,38223,31,31,0,42,36197
0,0,968,8,8,0,153,3
1,2,11541,325,325,1,42,8509
1,0,12865,290,290,0,38,9965
0,0,582104,239,239,1,12,579438
1,0,79885,230,230,1,11,77750
1,0,2982,73,73,1,109,445
1,0,22938,88,88,1,56,21226
0,0,1573917,166,166,1,58,1571158
0,0,531490,33,33,0,3,528650
0,0,4734,124,124,0,86,2191
0,0,729858,202,202,0,36,727477
0,0,367390,216,216,0,62,364778
0,0,966472,30,30,0,43,963723
0,0,18183,234,234,0,139,15433
0,0,4073,5,5,1,69,1218
1,0,15577,72,72,1,108,12521
0,0,2071578,164,164,1,58,2068987
0,0,27589,109,109,1,83,25172
1,0,22430,44,44,1,33,19944
1,0,181574,314,314,1,29,180063
0,0,801320,82,82,1,33,798915
1,0,11142,112,112,0,120,8839
0,0,16034,126,126,1,23,13233
1,0,10610,172,172,1,129,8169
1,0,106204,281,281,1,18,104012
0,0,16963,49,49,1,100,14936
0,0,1171911,147,147,0,49,1168945
0,0,585311,228,228,1,27,582390
0,0,1820,9,9,1,155,189
0,0,485801,34,34,1,3,483723
1,0,26744,324,324,1,42,24147
0,0,619021,152,152,1,14,617285
1,0,22871,4,4,0,24,21810
0,0,2325261,42,42,1,59,2323705
0,0,10910,91,91,1,113,8910
0,0,663320,260,260,0,23,660522
