Gene_Classification,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Entity_Type,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,60414,227,227,2,0,14,87,57859,1
0,0,988200,207,207,2,0,36,23,985546,1
0,0,7898,10,10,2,0,65,42,5274,1
0,0,245264,48,48,2,0,2,0,242583,0
0,0,4732,124,124,2,0,100,71,2051,0
0,0,21506,58,58,2,0,100,62,18858,0
0,0,23129,127,127,3,0,100,73,20358,1
0,0,428401,68,68,2,0,77,18,425663,0
1,0,1014233,135,135,1,1,30,31,1011738,0
0,0,34218,59,59,2,0,100,62,31414,0
0,0,2102129,102,102,2,0,103,31,2099463,1
0,0,15093,157,157,3,0,132,19,12226,0
0,0,1317329,98,98,2,0,88,30,1314768,0
0,0,352788,249,249,2,0,113,18,350182,1
0,0,565683,140,140,2,0,119,6,563344,1
0,0,10603,7,7,3,0,1,40,7772,1
0,0,212927,0,0,5,0,26,13,211077,1
1,0,276688,210,210,1,1,98,24,274223,0
0,0,652210,95,95,2,0,13,8,649424,0
0,0,10893,90,90,2,0,61,33,8359,1
0,0,4709,31,31,2,0,52,57,2067,1
0,0,119436,255,255,2,0,15,2,116878,0
0,0,14331,230,230,2,0,26,88,11776,1
0,0,1650945,12,12,2,0,129,31,1648582,1
0,0,7054,123,123,2,0,52,70,4541,0
0,0,456596,16,16,2,0,39,5,453903,1
0,0,3590,211,211,2,0,31,82,942,1
0,0,1816759,190,190,2,0,114,32,1814429,0
0,0,2010450,109,109,2,0,115,32,2008033,1
0,0,529696,176,176,2,0,67,1,526820,1
0,0,272153,64,64,2,0,73,23,269451,0
0,0,423886,65,65,2,0,119,6,421607,1
1,0,408724,139,139,1,1,33,35,406415,1
0,0,1036042,117,117,2,0,126,25,1033382,0
0,0,25731,9,9,3,0,59,41,22858,0
0,0,35248,51,51,2,0,100,61,32438,0
0,0,2099,3,3,5,0,128,37,3,1
0,0,867065,115,115,2,0,73,23,864531,0
0,0,460231,148,148,2,0,26,13,457457,1
0,0,2171498,183,183,2,0,103,31,2169063,1
0,0,783613,76,76,2,0,36,23,780839,0
0,0,35322,192,192,2,0,64,77,32611,1
0,0,506933,19,19,3,0,73,23,504105,0
0,0,41459,219,219,3,0,110,86,38613,1
0,0,584285,175,175,0,0,23,1,581721,0
0,0,404953,161,161,2,0,89,15,402317,0
0,0,16042,111,111,3,0,52,67,13142,0
1,0,574686,147,147,1,1,94,13,571897,1
0,0,596823,94,94,2,0,121,8,594229,1
1,0,71558,154,154,1,1,78,3,69066,0
0,0,1115182,220,220,2,0,79,24,1112378,0
0,0,556640,252,252,2,0,99,7,553878,0
0,0,22835,146,146,2,0,100,74,20457,0
0,0,65602,25,25,2,0,48,54,62846,0
0,0,321121,171,171,2,0,98,32,318503,0
0,0,3099,84,84,2,0,52,65,313,1
0,0,2201057,54,54,2,0,114,32,2198634,1
1,0,1882048,104,104,1,1,120,31,1879670,0
1,0,2065088,101,101,1,1,30,31,2062416,0
0,0,8030,144,144,2,0,52,74,5538,1
0,0,54570,28,28,3,0,57,44,51787,1
0,0,12466,229,229,2,0,104,87,9926,1
0,0,1745786,13,13,2,0,75,31,1743231,0
0,0,1189938,225,225,2,0,111,24,1187140,0
0,0,580806,93,93,5,0,86,8,578836,1
0,0,565358,82,82,2,0,114,32,563163,1
0,0,935144,132,132,2,0,87,31,932427,1
0,0,7331,91,91,3,0,62,48,4482,1
0,0,156435,34,34,3,0,87,19,153649,1
0,0,249052,71,71,2,0,4,9,246272,1
0,0,344245,14,14,2,0,101,0,341906,1
0,0,194602,248,248,3,0,87,9,191840,1
0,0,536061,256,256,2,0,89,15,533287,0
0,0,1851640,106,106,2,0,82,31,1848668,0
0,0,450835,66,66,2,0,119,6,448496,1
0,0,14547,21,21,2,0,48,52,12235,0
0,0,417885,137,137,2,0,54,16,415123,0
0,0,237391,70,70,2,0,22,9,234584,1
0,0,7271,23,23,2,0,100,53,4884,0
0,0,3982,2,2,2,0,71,36,1541,0
0,0,21057,155,155,2,0,45,3,18763,1
0,0,388287,239,239,2,0,118,16,385492,0
0,0,11601,40,40,2,0,52,59,9187,0
0,0,175571,92,92,2,0,105,28,172800,1
0,0,110238,228,228,3,0,102,87,107374,0
0,0,768058,75,75,2,0,73,23,765323,0
0,0,8573,215,215,2,0,66,84,6039,1
0,0,7513,4,4,2,0,127,38,4757,1
0,0,191757,114,114,2,0,60,10,188965,1
0,0,205713,246,246,2,0,21,9,202903,1
0,0,1484951,182,182,3,0,47,30,1482129,1
0,0,880730,134,134,2,0,42,31,877992,1
0,0,12861,240,240,2,0,111,89,10087,1
0,0,763632,130,130,2,0,75,31,761305,0
1,0,1152001,180,180,1,1,112,30,1149578,1
0,0,171302,231,231,4,0,13,12,169443,0
0,0,187696,247,247,2,0,16,9,185057,1
0,0,2180588,53,53,2,0,58,32,2178147,1
0,0,17047,38,38,2,0,107,45,14579,1
0,0,222070,178,178,2,0,68,5,219359,0
0,0,1181628,224,224,2,0,79,24,1179322,0
1,0,2776,49,49,1,1,12,61,113,1
0,0,950785,133,133,2,0,42,31,948302,1
0,0,8596,126,126,2,0,52,72,5819,0
0,0,24923,61,61,2,0,20,47,22032,0
1,0,42017,200,200,1,1,51,81,39222,0
0,0,1200167,194,194,2,0,36,23,1197396,0
0,0,665447,73,73,3,0,24,23,662586,1
1,0,316755,120,120,1,1,96,24,314314,0
1,0,396615,250,250,1,1,11,18,394090,1
0,0,381075,237,237,2,0,18,16,378301,0
1,0,2113696,52,52,1,1,30,31,2111357,0
1,0,255561,18,18,1,1,41,23,253126,0
0,0,22052,241,241,2,0,9,90,19278,1
0,0,198843,128,128,2,0,80,5,196225,0
0,0,775880,131,131,2,0,82,31,773208,1
0,0,421319,160,160,2,0,130,15,418704,0
0,0,167573,37,37,3,0,29,19,164778,1
0,0,11536,33,33,2,0,52,58,9554,1
1,0,597333,1,1,1,1,11,18,595705,1
