Gene_Classification,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Entity_Type,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,12594,152,152,1,0,45,76,9967,0
0,0,9089,218,218,1,0,23,85,6579,1
1,0,45075,123,123,0,1,25,72,42286,0
1,0,1611964,99,99,0,1,80,30,1609262,1
0,0,1828534,106,106,1,0,82,31,1825916,0
0,0,483376,96,96,1,0,105,24,480707,1
0,0,1865809,104,104,1,0,71,31,1862957,0
0,0,139709,256,256,1,0,87,1,138117,0
0,0,404584,117,117,1,0,89,22,402206,0
0,0,1731005,193,193,2,0,9,29,1728183,0
0,0,2060220,186,186,1,0,98,31,2057611,1
1,0,255561,16,16,0,1,38,23,253126,0
0,0,12158,10,10,1,0,53,43,9363,1
0,0,21771,85,85,1,0,45,64,19363,0
0,0,506933,17,17,2,0,70,23,504105,0
0,0,465591,164,164,1,0,111,15,462814,0
0,0,292921,246,246,1,0,118,6,290183,1
0,0,579976,259,259,1,0,84,15,577358,0
0,0,16377,145,145,1,0,45,74,13513,1
1,0,199898,35,35,0,1,90,19,197364,1
1,0,1633076,189,189,0,1,28,31,1630521,0
0,0,602587,42,42,1,0,82,31,600077,0
0,0,768058,77,77,1,0,70,23,765323,0
0,0,1129346,170,170,1,0,60,32,1126764,1
0,0,20976,59,59,1,0,10,46,18310,0
0,0,5331,150,150,1,0,95,75,2932,0
0,0,204433,64,64,1,0,44,14,201761,1
0,0,1825289,190,190,1,0,60,32,1822929,0
0,0,700388,14,14,1,0,104,15,697620,0
0,0,6553,119,119,1,0,61,68,4166,1
0,0,1169591,224,224,2,0,105,24,1166769,0
0,0,21057,156,156,1,0,43,3,18763,1
0,0,565683,139,139,1,0,115,6,563344,1
0,0,262330,244,244,1,0,81,6,259847,0
0,0,1251196,183,183,1,0,119,30,1248512,0
0,0,1015945,210,210,1,0,70,23,1013150,1
0,0,1147282,169,169,1,0,60,32,1144757,1
0,0,721934,76,76,1,0,34,23,719244,1
1,0,1582479,188,188,0,1,93,31,1579936,0
0,0,237391,72,72,1,0,20,9,234584,1
0,0,218715,57,57,1,0,69,17,215884,1
0,0,11062,4,4,1,0,35,39,8450,0
0,0,1570228,98,98,3,0,40,30,1568267,1
1,0,308185,67,67,0,1,85,23,306188,0
0,0,561205,47,47,1,0,117,8,558770,0
0,0,410579,135,135,1,0,17,16,407808,0
0,0,57145,58,58,2,0,88,46,54284,0
0,0,849988,207,207,1,0,77,23,847319,0
0,0,456596,15,15,1,0,36,5,453903,1
0,0,60414,228,228,1,0,13,87,57859,1
0,0,1007699,208,208,1,0,70,23,1005114,1
0,0,7898,9,9,1,0,62,42,5274,1
0,0,245264,50,50,1,0,2,0,242583,0
0,0,4732,122,122,1,0,95,71,2051,0
0,0,21506,60,60,1,0,95,62,18858,0
0,0,23129,125,125,2,0,95,73,20358,1
0,0,472189,71,71,1,0,48,18,469499,0
1,0,1014233,133,133,0,1,28,31,1011738,0
0,0,34218,61,61,1,0,95,62,31414,0
0,0,2102129,101,101,1,0,98,31,2099463,1
0,0,82609,137,137,2,0,41,19,79808,1
0,0,1317329,97,97,1,0,83,30,1314768,0
1,0,396615,253,253,0,1,11,18,394090,1
0,0,585607,83,83,1,0,118,6,583331,1
0,0,10603,6,6,2,0,1,40,7772,1
0,0,460231,148,148,1,0,24,13,457457,1
1,0,276688,212,212,0,1,93,24,274223,0
0,0,187696,250,250,1,0,15,9,185057,1
0,0,10893,92,92,1,0,58,33,8359,1
0,0,4709,30,30,1,0,50,57,2067,1
0,0,13678,157,157,1,0,16,3,10931,1
0,0,14331,231,231,1,0,24,88,11776,1
0,0,1650945,11,11,1,0,126,31,1648582,1
0,0,7054,121,121,1,0,50,70,4541,0
1,0,476059,149,149,0,1,101,5,473501,0
0,0,3590,213,213,1,0,29,82,942,1
0,0,1816759,192,192,1,0,110,32,1814429,0
0,0,2010450,108,108,1,0,111,32,2008033,1
0,0,529696,178,178,1,0,64,1,526820,1
0,0,280853,65,65,1,0,128,23,278046,0
1,0,436968,247,247,0,1,79,6,434224,0
1,0,408724,138,138,0,1,31,35,406415,1
0,0,1036042,116,116,1,0,122,25,1033382,0
0,0,25731,8,8,2,0,56,41,22858,0
0,0,35248,53,53,1,0,95,61,32438,0
0,0,2099,2,2,3,0,125,37,3,1
1,0,903444,114,114,0,1,47,23,900637,0
1,0,559805,147,147,0,1,89,13,557001,1
0,0,2171498,185,185,1,0,98,31,2169063,1
0,0,817323,79,79,1,0,70,23,814468,0
0,0,35322,194,194,1,0,61,77,32611,1
0,0,585177,206,206,2,0,22,23,582301,0
0,0,41459,220,220,2,0,105,86,38613,1
0,0,594398,177,177,1,0,7,1,592146,1
0,0,421319,162,162,1,0,127,15,418704,0
0,0,16042,110,110,2,0,50,67,13142,0
0,0,629809,112,112,2,0,7,13,627020,1
0,0,620072,45,45,1,0,92,8,617640,1
1,0,86749,154,154,0,1,67,3,84020,1
0,0,1115182,221,221,1,0,75,24,1112378,0
0,0,546370,48,48,1,0,92,8,543824,0
0,0,22835,146,146,1,0,95,74,20457,0
0,0,65602,23,23,1,0,45,54,62846,0
0,0,321121,173,173,1,0,93,32,318503,0
0,0,3099,86,86,1,0,50,65,313,1
0,0,2201057,56,56,1,0,110,32,2198634,1
1,0,1882048,103,103,0,1,116,31,1879670,0
1,0,2065088,100,100,0,1,28,31,2062416,0
0,0,8030,144,144,1,0,50,74,5538,1
0,0,54570,26,26,2,0,54,44,51787,1
0,0,12466,230,230,1,0,99,87,9926,1
0,0,1745786,12,12,1,0,71,31,1743231,0
0,0,1189938,226,226,1,0,106,24,1187140,0
0,0,596823,95,95,1,0,117,8,594229,1
0,0,565358,84,84,1,0,110,32,563163,1
0,0,935144,130,130,1,0,82,31,932427,1
0,0,7331,93,93,2,0,59,48,4482,1
0,0,167573,36,36,2,0,27,19,164778,1
0,0,191757,113,113,1,0,57,10,188965,1
0,0,344245,13,13,1,0,96,0,341906,1
0,0,205713,249,249,1,0,19,9,202903,1
0,0,546874,142,142,1,0,103,15,544250,0
0,0,1851640,105,105,1,0,78,31,1848668,0
0,0,468388,69,69,2,0,77,6,465485,0
0,0,14547,19,19,1,0,45,52,12235,0
0,0,425184,136,136,1,0,52,16,422410,0
0,0,249052,73,73,1,0,4,9,246272,1
0,0,7271,21,21,1,0,95,53,4884,0
0,0,3982,1,1,1,0,68,36,1541,0
1,0,71558,155,155,0,1,74,3,69066,0
0,0,399549,239,239,1,0,52,16,396772,0
0,0,11601,40,40,1,0,50,59,9187,0
0,0,175571,94,94,1,0,100,28,172800,1
0,0,110238,229,229,2,0,97,87,107374,0
0,0,783613,78,78,1,0,34,23,780839,0
0,0,8573,216,216,1,0,63,84,6039,1
0,0,7513,3,3,1,0,124,38,4757,1
0,0,171781,0,0,3,0,42,11,169685,1
0,0,221070,140,140,1,0,82,9,218443,1
0,0,1484951,184,184,2,0,44,30,1482129,1
0,0,880730,132,132,1,0,39,31,877992,1
0,0,12861,241,241,1,0,106,89,10087,1
0,0,763632,128,128,1,0,71,31,761305,0
1,0,1152001,182,182,0,1,107,30,1149578,1
0,0,184674,5,5,1,0,92,12,182293,0
0,0,194602,251,251,2,0,82,9,191840,1
0,0,2180588,55,55,1,0,55,32,2178147,1
0,0,17047,37,37,1,0,102,45,14579,1
0,0,256062,181,181,1,0,120,5,253732,0
0,0,1181628,225,225,1,0,75,24,1179322,0
1,0,2776,51,51,0,1,12,61,113,1
0,0,950785,131,131,1,0,39,31,948302,1
0,0,8596,124,124,1,0,50,72,5819,0
0,0,24923,63,63,1,0,18,47,22032,0
1,0,42017,202,202,0,1,49,81,39222,0
0,0,1200167,196,196,1,0,34,23,1197396,0
0,0,696919,74,74,1,0,22,23,694046,0
1,0,316755,118,118,0,1,91,24,314314,0
0,0,428401,70,70,1,0,73,18,425663,0
0,0,388287,240,240,1,0,114,16,385492,0
1,0,2113696,54,54,0,1,28,31,2111357,0
0,0,272153,66,66,1,0,70,23,269451,0
0,0,22052,242,242,1,0,9,90,19278,1
0,0,222070,180,180,1,0,65,5,219359,0
0,0,775880,129,129,1,0,78,31,773208,1
1,0,432436,160,160,0,1,60,15,429818,0
0,0,180486,34,34,1,0,41,19,177754,1
0,0,11536,32,32,1,0,50,58,9554,1
0,0,15093,158,158,2,0,129,19,12226,0
