Chromosome_Location,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Entity_Type,Genomic_Start_Position,Strand_Orientation
1,10815148,83,83,7,2,0,10814110,1
1,4838125,38,38,7,9,0,4836803,0
1,19131431,136,136,3,11,0,19128978,1
1,24324304,161,161,1,2,0,24323249,0
1,18526135,132,132,1,1,0,18525296,0
1,5764705,45,45,7,2,0,5763288,1
1,4622430,36,36,7,24,0,4620634,1
1,8706530,68,68,8,3,1,8704372,0
1,1662089,12,12,7,5,0,1659698,1
1,5646569,44,44,7,1,0,5645517,0
1,17573162,125,125,1,1,0,17572161,0
1,24075061,159,159,3,2,0,24073248,1
1,13816694,102,102,7,16,0,13815414,0
1,3221626,26,26,7,5,0,3220494,0
1,17383110,122,122,1,5,0,17381675,1
1,23718778,156,156,1,2,0,23717642,0
0,9294,164,164,5,14,0,6891,1
1,5210452,40,40,2,25,0,5209340,1
1,15945723,116,116,2,2,0,15943858,1
1,13953853,103,103,2,1,0,13952477,0
1,16025845,117,117,2,8,0,16025135,0
1,10517795,80,80,7,2,0,10516812,1
1,9369143,77,77,7,5,0,9368165,0
1,11737964,90,90,2,2,0,11736173,0
1,8662629,67,67,7,1,0,8661322,0
1,7507311,58,58,9,4,1,7506176,0
1,12665749,95,95,7,1,0,12664313,1
1,24717108,162,162,3,2,0,24715475,1
1,1565906,11,11,7,5,0,1564519,1
1,21368024,147,147,3,2,0,21366772,1
1,7207112,56,56,2,1,0,7205454,1
1,10790484,82,82,7,1,0,10789222,0
1,1031106,8,8,7,1,0,1030219,0
1,9120663,72,72,7,1,0,9118189,1
1,20333137,140,140,1,1,0,20331131,0
1,10514318,79,79,7,1,0,10512900,0
