Gene_Classification,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,376974,56,56,4,149,3,376393,1
1,0,807869,25,25,3,116,27,807330,1
0,0,426818,138,138,4,127,4,426186,1
0,0,39701,53,53,4,42,57,39237,1
0,0,307213,259,259,4,14,23,306524,0
0,0,782,47,47,4,125,54,129,1
0,0,1132814,317,317,4,58,28,1132212,1
0,0,30799,74,74,4,67,15,30158,1
0,0,159847,68,68,4,97,14,159101,1
0,0,717564,270,270,4,121,27,716974,1
0,0,1637787,115,115,4,58,28,1637185,1
0,0,487905,171,171,4,149,3,487330,0
1,0,356421,430,430,3,136,13,355831,1
0,0,1932015,108,108,4,95,28,1931470,0
0,0,2027,40,40,4,71,52,1341,0
0,0,1743790,335,335,4,58,28,1743146,0
0,0,515441,207,207,4,65,6,514617,0
0,0,1118634,319,319,4,151,28,1117975,1
1,0,347837,18,18,3,9,3,347313,0
0,0,250738,323,323,4,156,3,250097,0
0,0,1579,3,3,4,165,34,1004,1
0,0,570400,77,77,4,113,7,569783,0
0,0,552848,146,146,4,162,22,552180,1
0,0,52129,265,265,4,129,76,51491,0
1,0,19103,380,380,3,31,86,18480,1
0,0,4829,257,257,4,38,73,4128,0
0,0,599763,233,233,4,6,10,598996,1
0,0,436400,12,12,4,26,16,435816,0
0,0,1148872,410,410,4,34,27,1148204,0
0,0,339516,225,225,4,82,3,338926,0
0,0,1581481,215,215,4,84,26,1580900,1
0,0,1081012,406,406,4,168,27,1080440,1
0,0,15668,344,344,4,20,79,15015,0
0,0,6518,304,304,4,149,1,5874,1
0,0,26110,306,306,4,31,14,25487,1
1,0,504309,428,428,3,144,4,503911,1
0,0,668902,150,150,4,77,22,668282,1
0,0,1995197,217,217,4,148,27,1994529,0
0,0,216763,322,322,4,142,3,216122,0
1,0,588625,158,158,3,107,4,587969,1
0,0,416038,383,383,4,64,31,415541,0
1,0,463493,102,102,3,79,0,462885,1
0,0,14001,394,394,4,152,92,13402,1
1,0,385637,21,21,3,56,22,384969,0
0,0,602338,320,320,4,91,6,601643,1
0,0,1845,389,389,2,86,91,1489,1
0,0,314714,124,124,4,25,12,314181,0
0,0,1473130,88,88,4,27,28,1472456,0
0,0,1134002,408,408,4,48,27,1133424,1
0,0,444695,32,32,4,109,3,444042,0
0,0,42175,386,386,4,148,88,41594,0
0,0,9261,129,129,4,42,62,8539,0
0,0,382637,58,58,4,156,3,382086,0
0,0,35038,303,303,4,119,1,34388,1
0,0,416102,247,247,4,23,16,415509,0
1,0,13194,349,349,3,104,81,12661,1
0,0,641578,84,84,4,55,11,640880,1
0,0,320021,423,423,4,96,4,319437,1
0,0,70385,300,300,4,157,15,69732,0
0,0,2893,384,384,4,146,87,2228,0
0,0,36160,20,20,4,54,14,35462,1
1,0,628319,184,184,3,65,13,627354,1
0,0,1066542,405,405,4,69,27,1065931,1
0,0,438865,351,351,4,21,17,438233,0
0,0,345916,155,155,4,132,16,345353,0
1,0,499409,366,366,3,56,22,498789,0
0,0,262228,38,38,4,167,22,261515,0
0,1,340144,413,413,4,97,14,339536,0
0,0,224418,168,168,4,21,17,223792,0
0,0,17055,49,49,4,42,56,16375,0
0,0,1049,285,285,4,68,48,204,1
0,0,807166,153,153,4,115,22,806492,1
1,0,874302,275,275,3,116,27,873739,1
0,0,281,10,10,5,73,36,3,1
0,0,16035,342,342,4,53,78,15472,0
0,0,301818,279,279,4,31,14,301183,1
0,0,6125,11,11,4,73,36,5631,1
0,0,578960,78,78,4,113,7,578253,0
0,0,1670681,29,29,4,121,27,1670067,0
1,0,544317,148,148,1,111,22,543658,0
0,0,285006,246,246,4,132,16,284026,0
0,0,482096,254,254,4,108,16,481446,0
0,0,16573,166,166,4,125,66,15977,0
0,0,1236,126,126,4,0,44,691,0
0,0,2152710,107,107,4,159,28,2152117,1
0,0,218124,167,167,4,21,17,217234,0
0,0,497850,296,296,4,42,10,497083,1
0,0,653543,85,85,4,55,11,652923,1
0,0,729959,97,97,4,17,28,729363,0
0,0,350824,414,414,2,97,14,350453,1
0,0,584282,134,134,4,6,10,583626,1
0,0,425782,142,142,2,47,14,425384,0
1,0,1261581,324,324,3,128,26,1260970,0
0,0,160801,403,403,4,49,94,160181,0
1,0,10872,105,105,3,101,60,10210,0
0,0,412598,281,281,4,45,30,411981,1
0,0,514088,295,295,4,42,10,513441,1
0,0,667099,4,4,4,6,10,666332,1
0,0,253563,289,289,4,130,16,252895,0
0,0,237931,287,287,4,23,16,237338,0
0,0,266589,177,177,4,21,17,265723,0
0,0,1078119,193,193,4,159,28,1077559,0
0,0,198335,43,43,4,6,10,197730,1
0,0,1243238,187,187,4,159,28,1242540,1
0,0,1176204,399,399,4,5,23,1175530,0
0,0,6197,387,387,4,153,89,5628,0
0,0,38888,80,80,4,57,14,38181,1
0,0,374682,42,42,4,17,28,374062,0
0,0,1420673,92,92,4,159,28,1420101,0
0,0,388432,195,195,2,74,29,388043,1
0,0,70633,60,60,4,125,58,70109,0
0,0,11230,374,374,4,124,49,10535,0
0,0,694973,307,307,4,70,27,694383,0
0,0,1677970,119,119,4,135,28,1677395,0
0,0,5761,375,375,4,22,50,5141,0
0,0,1886263,218,218,4,100,27,1885670,0
0,0,311313,422,422,4,134,4,310645,1
0,0,274287,174,174,4,97,14,273715,1
0,0,456160,321,321,4,117,23,455483,0
0,0,36542,385,385,4,148,88,35961,1
0,0,541203,104,104,4,65,6,540331,0
0,0,375081,123,123,4,25,12,374536,1
0,0,1142859,409,409,4,48,27,1142287,1
0,0,1481322,94,94,4,75,28,1480762,1
0,0,1306828,209,209,4,90,26,1306226,1
0,0,1739,6,6,4,34,33,1236,1
0,0,405277,141,141,4,31,14,404699,0
0,0,1587490,212,212,4,90,26,1586741,0
0,0,2442,286,286,4,29,48,1612,1
0,1,327963,424,424,4,96,4,327337,1
0,0,1411596,22,22,4,17,28,1410949,0
0,0,260483,178,178,4,98,17,259935,0
0,0,917604,274,274,4,100,27,916954,0
0,0,358436,278,278,2,57,14,358038,1
0,0,11470,48,48,2,125,55,11081,1
0,0,371048,277,277,4,97,14,370350,1
0,0,1943209,9,9,4,58,28,1942577,0
0,0,7470,269,269,4,125,77,6853,1
0,0,76266,280,280,4,47,14,75574,1
0,0,21243,15,15,4,16,38,20602,1
0,0,605996,239,239,4,6,10,605367,1
0,0,332148,411,411,4,97,14,331510,0
1,0,862102,242,242,3,1,22,861431,0
0,0,1875155,219,219,4,48,27,1874526,0
0,0,617680,234,234,4,15,10,617066,1
0,0,59685,50,50,4,76,56,58891,0
0,0,1611491,330,330,4,121,27,1610868,0
0,0,31626,357,357,4,22,83,31012,0
0,0,67780,415,415,4,31,14,67067,0
0,0,430625,13,13,4,132,16,430509,0
0,0,288480,176,176,4,98,17,287506,0
0,0,1187163,346,346,4,167,22,1186465,0
0,0,1200244,312,312,4,58,28,1199621,0
0,0,18926,390,390,4,150,92,18276,0
0,0,2115566,26,26,4,95,28,2114982,1
0,0,1109679,316,316,4,95,28,1109041,1
0,0,1559,52,52,4,42,57,987,1
0,0,413954,418,418,4,17,28,413337,0
0,0,128464,416,416,2,7,14,128075,0
0,0,1139142,315,315,4,58,28,1138561,1
0,0,462219,364,364,4,114,22,461563,1
0,0,1348,169,169,4,42,67,512,1
0,0,1344856,199,199,4,122,21,1344239,0
0,0,190891,67,67,4,97,14,190256,1
0,0,3660,196,196,4,42,68,3085,1
0,0,1001979,96,96,4,164,28,1001410,0
1,0,1671935,120,120,3,119,28,1671336,0
0,0,3008,164,164,4,142,46,2760,1
0,0,17644,348,348,4,154,80,17072,0
0,0,393310,282,282,4,10,30,392783,0
0,0,1025055,192,192,4,75,28,1024453,0
0,0,1654543,31,31,4,149,27,1654004,1
0,0,11006,14,14,4,138,37,10434,1
0,0,1840810,111,111,4,58,28,1840178,0
0,0,1182146,313,313,4,58,28,1181541,1
0,0,377041,363,363,4,25,12,376496,1
0,0,398667,249,249,4,23,16,398035,0
0,0,1235855,188,188,2,95,28,1235211,1
0,0,1806636,337,337,4,145,28,1806064,0
0,0,7249,54,54,4,42,57,6641,0
0,0,452612,283,283,4,95,28,451995,0
0,0,410649,143,143,2,31,14,410251,0
0,0,1121,2,2,4,161,32,531,0
0,0,725245,152,152,4,115,22,724664,1
0,0,7534,343,343,2,147,79,7151,0
0,0,14571,377,377,4,100,50,14272,0
0,0,244449,290,290,4,118,16,243556,0
0,0,622513,27,27,4,95,28,621803,0
0,0,253619,172,172,4,31,14,252897,0
0,0,253089,179,179,4,21,17,252442,0
0,0,305429,372,372,4,9,24,304515,0
1,0,690105,149,149,3,56,22,689434,0
0,0,22995,305,305,2,57,14,22609,1
0,0,47042,81,81,4,31,14,46335,1
0,0,6670,228,228,4,42,69,6140,1
0,0,467996,365,365,4,162,22,467418,0
0,0,1079,128,128,2,76,62,750,0
0,1,1784731,333,333,4,145,28,1784156,1
0,0,1392058,308,308,4,164,28,1391459,0
0,0,170789,69,69,4,31,14,170208,1
1,0,44727,395,395,3,66,93,44119,1
1,0,978860,276,276,1,116,27,978390,0
0,0,7294,262,262,4,42,75,6638,0
0,0,9111,132,132,2,76,63,8734,0
0,0,633393,83,83,4,60,11,632488,1
0,0,2852,17,17,4,36,40,2211,0
0,0,1610144,116,116,4,75,28,1609563,0
0,0,219644,72,72,4,54,14,218985,1
0,0,873,5,5,4,32,35,262,1
0,0,462632,140,140,4,96,4,462006,0
0,0,1707,378,378,4,86,85,1054,0
0,0,555039,79,79,4,78,7,554104,0
0,0,897457,273,273,4,61,27,896894,0
0,0,522983,294,294,4,6,10,522417,1
0,0,930600,243,243,4,167,22,929947,1
0,0,459742,250,250,4,26,16,459083,0
0,0,8892,376,376,4,4,50,8245,0
0,0,410431,182,182,4,63,15,409799,0
0,0,95645,65,65,4,110,2,95094,1
0,0,296809,421,421,4,96,4,296102,1
0,0,438791,33,33,4,142,3,438168,1
0,0,302673,245,245,4,46,16,302005,0
0,0,311595,412,412,2,97,14,311224,1
0,0,22912,59,59,2,129,58,22523,0
0,0,20624,75,75,4,67,43,19953,1
0,0,276224,137,137,4,81,22,275592,0
0,0,603114,238,238,4,15,10,602248,1
0,0,610905,157,157,4,134,4,610333,0
1,0,893116,240,240,3,11,22,892445,1
0,0,9993,34,34,4,126,41,9376,1
0,0,1448091,90,90,4,17,28,1447573,1
0,0,12594,198,198,4,93,47,11959,1
0,0,389569,248,248,4,108,16,388676,0
0,0,28027,45,45,4,125,53,27344,0
0,0,406686,139,139,4,96,4,406078,0
0,0,32545,263,263,4,125,76,31979,0
1,0,11424,41,41,3,106,52,10828,0
0,0,474095,354,354,4,112,17,473496,0
1,0,891600,272,272,1,41,27,891058,1
0,0,1570983,122,122,4,95,28,1570405,1
0,0,487260,202,202,4,123,23,486679,1
1,0,28680,130,130,3,163,63,27985,0
0,0,478938,103,103,4,3,0,478315,0
0,0,1109266,398,398,4,137,23,1108595,0
0,0,21792,345,345,4,40,79,21193,0
0,0,649380,237,237,4,6,10,648745,1
0,0,538452,147,147,4,116,22,537880,1
0,0,21840,231,231,4,129,71,21079,0
0,0,567898,125,125,2,62,19,567485,0
0,0,53116,397,397,5,37,93,52718,0
0,0,308712,370,370,4,26,16,308044,0
0,0,633183,235,235,2,94,10,632827,1
0,0,1591262,331,331,4,70,27,1590720,0
0,0,559332,145,145,2,80,20,558976,0
0,0,627298,101,101,4,83,6,626603,1
0,0,555039,429,429,4,96,4,554545,1
0,0,269583,420,420,4,134,4,268954,0
1,0,1591401,213,213,3,128,26,1590901,0
0,0,1060193,190,190,4,58,28,1059636,1
0,0,272757,181,181,4,21,17,271798,0
0,0,21892,339,339,4,53,78,21179,0
0,0,400683,57,57,4,156,3,400036,1
0,0,11825,46,46,4,125,53,11139,0
0,0,610947,367,367,4,167,22,610288,1
0,0,1183104,325,325,4,39,26,1182499,0
0,0,1871216,110,110,4,17,28,1870641,0
0,0,1100102,407,407,4,100,27,1099440,1
0,0,223254,291,291,4,23,16,222562,0
0,0,2130876,106,106,4,95,28,2130250,1
0,0,5418,232,232,4,76,71,4696,1
0,0,266951,175,175,4,97,14,266226,0
0,0,643220,200,200,4,65,6,642618,0
0,0,238595,173,173,4,31,14,237978,1
0,0,174019,66,66,4,47,14,173294,1
0,0,33533,391,391,4,146,92,32910,1
0,0,66227,302,302,4,119,1,65685,0
0,0,1038285,191,191,4,95,28,1037734,1
0,0,1299223,186,186,4,95,28,1298663,0
0,0,549268,76,76,4,158,7,548651,0
0,0,1790185,220,220,4,34,27,1789544,1
0,0,110877,156,156,5,160,2,110344,1
1,0,44362,301,301,3,120,15,43754,1
0,0,375323,426,426,4,127,4,374682,1
0,1,1894275,112,112,4,28,28,1893637,1
0,0,48963,358,358,4,103,83,48349,0
0,0,63431,64,64,4,125,59,62859,0
0,0,563485,95,95,2,18,20,563114,0
1,0,1947,16,16,3,139,39,1330,1
0,1,849658,24,24,4,121,27,849029,1
0,0,17246,267,267,4,42,76,16593,0
0,0,11667,260,260,4,42,74,10975,1
0,0,1192370,314,314,4,159,28,1191744,1
0,0,789660,151,151,4,59,22,789061,1
0,0,484940,355,355,4,51,17,484143,0
0,0,551183,227,227,2,160,19,550740,0
0,0,1665163,30,30,4,149,27,1664528,0
0,0,15815,361,361,4,50,83,15231,0
0,0,423275,204,204,4,5,23,422700,0
0,0,50225,396,396,4,100,93,49587,0
0,0,23909,362,362,4,140,83,23259,0
0,0,1935320,216,216,4,121,27,1934724,0
0,0,1439745,91,91,4,58,28,1439215,1
0,0,1646736,214,214,4,19,26,1646206,0
0,0,5356,350,350,4,133,82,4736,1
0,0,281837,180,180,4,98,17,281250,0
0,0,217404,23,23,4,23,16,216745,0
0,0,431207,427,427,4,143,4,430704,0
0,0,565167,382,382,2,80,20,564760,0
0,0,4939,7,7,4,1,33,4241,1
0,0,497547,252,252,4,23,16,496699,0
0,0,2159962,326,326,4,70,27,2159390,0
0,0,1722444,338,338,4,21,25,1721857,1
1,0,210445,136,136,3,43,11,209840,1
0,0,636879,160,160,4,127,4,636250,1
0,0,2103139,221,221,4,58,28,2102468,1
0,0,211634,419,419,5,8,0,211245,0
0,0,34921,268,268,4,125,77,34262,1
0,0,1578872,121,121,4,17,28,1578312,0
0,0,596495,161,161,4,134,4,595866,0
0,0,9539,197,197,4,93,47,8904,1
0,0,491431,297,297,4,6,10,490859,1
0,0,465000,353,353,4,2,17,464038,0
0,0,283286,425,425,4,134,4,282588,0
0,0,1863,44,44,4,129,53,1279,0
1,0,1337715,211,211,3,30,26,1337152,0
0,0,10499,39,39,2,92,51,10110,1
0,0,6256,131,131,2,129,63,5888,0
0,0,77237,61,61,4,129,58,76545,0
0,0,1685667,118,118,0,159,28,1685527,0
0,0,566496,298,298,4,131,10,565864,1
0,0,1212108,311,311,4,17,28,1211533,0
0,0,8071,393,393,4,85,92,7124,1
0,0,631273,159,159,4,96,4,630704,1
0,0,1357417,310,310,4,145,28,1356881,1
0,0,1413348,210,210,4,13,26,1412725,1
0,0,897652,241,241,4,162,22,897068,0
0,0,102031,0,0,4,102,2,101630,1
0,0,460277,284,284,4,58,28,459570,0
0,0,542828,292,292,4,6,10,542232,1
0,0,2082607,36,36,4,58,28,2081918,1
0,0,673589,185,185,4,12,27,672981,1
0,0,262590,288,288,4,130,16,261997,0
0,0,1069989,194,194,4,58,28,1069351,0
0,0,54130,400,400,4,52,94,53294,1
1,0,225709,70,70,3,33,14,225092,1
0,0,2039757,328,328,4,168,27,2039173,1
0,0,55031,266,266,4,129,76,54300,0
0,0,42738,392,392,4,85,92,42403,1
0,0,698962,98,98,4,95,28,698387,1
0,0,1037760,369,369,4,167,22,1037092,1
0,0,510533,431,431,4,44,5,509916,0
0,0,1653046,114,114,4,58,28,1652444,1
0,0,602022,162,162,4,143,4,601444,0
0,0,9693,360,360,4,140,83,9067,0
0,0,331967,154,154,4,132,16,331098,0
0,0,57983,63,63,4,129,59,57381,1
0,0,488252,251,251,4,130,16,487683,0
0,0,152203,402,402,4,90,94,151562,0
0,0,7816,170,170,4,125,67,6941,1
0,0,473006,253,253,4,132,16,472107,0
0,0,8984,256,256,4,76,72,8412,1
0,0,296422,244,244,4,132,16,295724,0
0,0,786,373,373,4,35,84,88,0
0,0,521226,208,208,4,111,6,520573,0
0,0,1896,255,255,4,76,72,1198,1
0,0,433446,205,205,4,5,23,432955,0
0,0,297265,224,224,4,156,3,296609,0
0,0,421453,417,417,4,159,28,420860,0
0,0,10738,165,165,4,129,66,10142,1
0,0,422988,183,183,4,63,15,422386,0
0,0,739582,271,271,4,70,27,738989,0
0,0,741926,201,201,4,46,16,741234,0
0,0,2021354,37,37,4,17,28,2020752,1
1,0,22510,55,55,3,156,42,21845,0
0,0,12963,341,341,4,53,78,12349,0
0,0,1279824,189,189,4,17,28,1279111,1
0,0,2141017,327,327,4,48,27,2140400,0
0,0,203566,71,71,2,57,14,203195,1
0,0,641268,236,236,4,131,10,640657,1
1,0,1773473,334,334,3,119,28,1772775,1
0,0,537100,293,293,4,6,10,536468,1
0,0,3185,163,163,4,125,65,2544,1
0,0,1094415,318,318,4,58,28,1093786,1
0,0,548259,144,144,2,72,20,547909,0
0,0,4704,229,229,4,125,70,4066,0
0,0,55203,82,82,4,31,14,54550,0
0,0,288418,223,223,4,109,3,287768,0
0,0,165971,19,19,4,1,9,165327,0
0,0,627125,86,86,4,169,11,626559,1
0,0,606832,87,87,4,48,27,606242,0
0,0,11303,51,51,4,76,56,10641,1
0,0,661517,1,1,4,6,10,660867,1
