Entity_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,775910,131,131,1,33,765552,0
0,424985,124,124,1,31,418893,0
1,11317,85,85,3,30,5433,1
0,487135,84,84,1,38,478468,1
0,656937,155,155,1,22,646543,0
0,400877,70,70,2,31,396354,0
0,490459,110,110,1,7,480062,0
0,188433,128,128,1,10,178087,1
0,34480,144,144,1,24,24017,1
0,76316,30,30,2,31,71757,1
0,22220,223,223,1,39,11901,1
0,508446,158,158,1,10,497998,0
0,22907,2,1,2,50,17262,1
0,72152,147,147,1,28,61794,1
0,7036,194,194,1,119,1,1
1,40882,91,91,3,41,30431,1
1,14711,134,134,3,103,4479,1
0,5905,54,54,1,84,1,1
1,8139,177,177,3,113,1,1
1,15047,121,121,3,99,4680,1
0,563694,143,143,1,26,556752,1
0,46671,98,98,1,96,36289,1
0,138943,50,50,2,23,131411,0
0,600090,180,180,1,33,589645,1
0,656716,86,86,1,21,646334,0
0,56068,175,175,1,112,45617,0
0,2370774,163,163,1,50,2360422,0
0,107347,19,19,1,56,100946,1
1,364951,60,60,3,55,356759,1
1,79790,207,207,3,50,69342,1
0,698669,81,81,1,23,688299,0
0,545365,221,221,1,19,535076,0
0,7213,71,71,1,90,1,1
1,12287,132,132,3,101,1776,1
0,572820,181,181,1,11,566630,0
0,1301475,103,103,1,49,1291027,1
0,53674,203,203,1,58,43286,1
0,7785,139,139,2,105,1726,0
0,1049310,59,59,1,47,1038856,0
0,902706,94,94,1,38,892584,0
1,934030,201,201,3,48,926063,1
0,34912,168,168,1,33,27714,1
0,685626,118,118,1,30,675331,0
0,5029,29,29,2,76,2,1
0,31572,74,74,1,36,21127,1
0,12152,204,204,1,122,4158,1
0,102066,45,45,1,11,91621,1
0,19621,52,52,1,56,13649,1
0,6015,146,146,2,28,103,1
1,571446,179,179,3,33,561022,1
1,9497,184,184,3,114,3,0
0,332104,166,166,1,33,321641,0
