Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,578960,74,0,7,578253,0
0,552848,142,0,21,552180,1
0,52129,260,0,75,51491,0
1,19103,377,1,85,18480,1
0,4829,252,0,72,4128,0
0,603114,233,0,9,602248,1
0,436400,10,0,15,435816,0
0,1148872,407,0,26,1148204,0
1,347837,16,1,3,347313,0
0,1581481,210,0,25,1580900,1
0,1081012,403,0,26,1080440,1
0,15668,341,0,78,15015,0
0,6518,300,0,1,5874,1
0,33001,18,0,13,32291,1
0,527500,426,0,4,526817,1
0,668902,146,0,21,668282,1
0,1995197,212,0,26,1994529,0
0,216763,319,0,3,216122,0
0,596495,157,0,4,595866,0
0,416038,380,0,30,415541,0
1,463493,99,1,0,462885,1
0,14001,391,0,91,13402,1
1,385637,19,1,21,384969,0
0,627298,98,0,6,626603,1
0,1845,386,0,90,1489,1
0,375081,120,0,11,374536,1
0,1473130,85,0,27,1472456,0
0,1134002,405,0,26,1133424,1
0,468801,293,0,3,468253,1
0,42175,383,0,87,41594,0
0,9261,126,0,61,8539,0
0,400683,54,0,3,400036,1
0,35038,299,0,1,34388,1
0,416102,242,0,15,415509,0
1,13194,346,1,80,12661,1
0,653543,82,0,10,652923,1
0,327963,422,0,4,327337,1
0,78452,296,0,14,77844,0
0,2893,381,0,86,2228,0
0,38888,77,0,13,38181,1
0,22995,301,0,13,22609,1
0,1066542,402,0,26,1065931,1
0,438865,348,0,16,438233,0
0,345916,151,0,15,345353,0
1,499409,363,1,21,498789,0
0,262228,36,0,21,261515,0
0,350824,411,0,13,350453,1
0,224418,164,0,16,223792,0
0,17055,46,0,55,16375,0
0,1049,279,0,47,204,1
0,807166,149,0,21,806492,1
1,874302,270,1,26,873739,1
0,281,8,0,35,3,1
0,16035,339,0,77,15472,0
0,311595,409,0,13,311224,1
0,6125,9,0,35,5631,1
0,582243,75,0,7,581596,0
0,1670681,27,0,26,1670067,0
1,544317,144,1,21,543658,0
0,285006,241,0,15,284026,0
0,482096,249,0,15,481446,0
0,16573,162,0,65,15977,0
0,1236,123,0,43,691,0
0,2152710,104,0,27,2152117,1
0,218124,163,0,16,217234,0
0,505974,290,0,9,505327,1
0,314714,121,0,11,314181,0
0,729959,94,0,27,729363,0
0,358436,273,0,13,358038,1
0,594102,227,0,9,593512,1
0,22696,71,0,14,22061,1
1,1261581,321,1,25,1260970,0
0,160801,400,0,93,160181,0
1,10872,102,1,59,10210,0
0,412598,275,0,29,411981,1
0,517192,289,0,9,516578,1
0,53893,303,0,10,53279,1
0,253563,283,0,15,252895,0
0,237931,281,0,15,237338,0
0,266589,173,0,16,265723,0
0,1078119,189,0,27,1077559,0
0,468817,292,0,9,467864,1
0,1243238,183,0,27,1242540,1
0,1176204,396,0,22,1175530,0
0,6197,384,0,88,5628,0
0,47042,78,0,13,46335,1
0,374682,40,0,27,374062,0
0,1420673,89,0,27,1420101,0
0,388432,191,0,28,388043,1
0,70633,57,0,57,70109,0
0,11230,371,0,48,10535,0
0,694973,304,0,26,694383,0
0,1677970,116,0,27,1677395,0
0,5761,372,0,49,5141,0
0,1886263,213,0,26,1885670,0
0,320021,421,0,4,319437,1
0,282372,170,0,13,281740,1
0,456160,318,0,22,455483,0
0,36542,382,0,87,35961,1
0,602338,317,0,6,601643,1
0,377041,360,0,11,376496,1
0,1142859,406,0,26,1142287,1
0,1481322,91,0,27,1480762,1
0,1306828,204,0,25,1306226,1
0,1739,5,0,32,1236,1
0,410649,138,0,13,410251,0
0,1587490,207,0,25,1586741,0
0,2442,280,0,47,1612,1
0,333597,423,0,4,332944,1
0,1411596,20,0,27,1410949,0
0,260483,174,0,16,259935,0
0,917604,269,0,26,916954,0
0,371048,272,0,13,370350,1
0,11470,45,0,54,11081,1
0,377176,139,0,13,376607,0
0,1943209,7,0,27,1942577,0
0,7470,264,0,76,6853,1
0,120884,33,0,13,120498,0
0,21243,13,0,37,20602,1
0,617680,228,0,9,617066,1
0,340144,410,0,13,339536,0
1,862102,237,1,21,861431,0
0,1875155,214,0,26,1874526,0
0,633183,229,0,9,632827,1
0,59685,47,0,55,58891,0
0,1611491,327,0,26,1610868,0
0,31626,354,0,82,31012,0
0,76266,274,0,13,75574,1
0,430625,11,0,15,430509,0
0,288480,172,0,16,287506,0
0,1187163,343,0,21,1186465,0
0,1200244,309,0,27,1199621,0
0,18926,387,0,91,18276,0
0,2115566,24,0,27,2114982,1
0,1109679,313,0,27,1109041,1
0,1559,49,0,56,987,1
0,413954,415,0,27,413337,0
0,159847,65,0,13,159101,1
0,1139142,312,0,27,1138561,1
0,462219,361,0,21,461563,1
0,1348,165,0,66,512,1
0,1344856,195,0,20,1344239,0
0,203566,68,0,13,203195,1
0,3660,192,0,67,3085,1
0,1001979,93,0,27,1001410,0
1,1671935,117,1,27,1671336,0
0,3008,160,0,45,2760,1
0,17644,345,0,79,17072,0
0,393310,276,0,29,392783,0
0,1025055,188,0,27,1024453,0
0,1654543,29,0,26,1654004,1
0,11006,12,0,36,10434,1
0,1840810,108,0,27,1840178,0
0,1182146,310,0,27,1181541,1
1,356421,429,1,12,355831,1
0,398667,244,0,15,398035,0
0,1235855,184,0,27,1235211,1
0,1806636,334,0,27,1806064,0
0,7249,51,0,56,6641,0
0,452612,277,0,27,451995,0
0,425782,137,0,13,425384,0
0,1121,1,0,31,531,0
0,725245,148,0,21,724664,1
0,7534,340,0,78,7151,0
0,14571,374,0,49,14272,0
0,244449,284,0,15,243556,0
0,622513,25,0,27,621803,0
0,261062,171,0,13,260553,0
0,253089,175,0,16,252442,0
0,305429,369,0,23,304515,0
1,690105,145,1,21,689434,0
0,26110,302,0,13,25487,1
0,55203,79,0,13,54550,0
0,6670,222,0,68,6140,1
0,467996,362,0,21,467418,0
0,1079,125,0,61,750,0
0,1784731,330,0,27,1784156,1
0,1392058,305,0,27,1391459,0
0,174019,63,0,13,173294,1
1,44727,392,1,92,44119,1
1,978860,271,1,26,978390,0
0,7294,257,0,74,6638,0
0,9111,129,0,62,8734,0
0,641578,81,0,10,640880,1
0,2852,15,0,39,2211,0
0,1610144,113,0,27,1609563,0
1,225709,67,1,13,225092,1
0,873,4,0,34,262,1
1,504309,425,1,4,503911,1
0,1707,375,0,84,1054,0
0,570400,73,0,7,569783,0
0,897457,268,0,26,896894,0
0,528985,288,0,9,528356,1
0,930600,238,0,21,929947,1
0,459742,245,0,15,459083,0
0,8892,373,0,49,8245,0
0,410431,178,0,14,409799,0
0,95645,62,0,2,95094,1
0,311313,420,0,4,310645,1
0,444695,30,0,3,444042,0
0,302673,240,0,15,302005,0
0,332148,408,0,13,331510,0
0,22912,56,0,57,22523,0
0,20624,72,0,42,19953,1
0,276224,133,0,21,275592,0
0,605996,234,0,9,605367,1
0,631273,155,0,4,630704,1
1,893116,235,1,21,892445,1
0,9993,32,0,40,9376,1
0,1448091,87,0,27,1447573,1
0,12594,194,0,46,11959,1
0,389569,243,0,15,388676,0
0,28027,42,0,52,27344,0
0,426818,134,0,4,426186,1
0,32545,258,0,75,31979,0
1,11424,39,1,51,10828,0
0,474095,351,0,16,473496,0
1,891600,267,1,26,891058,1
0,1570983,119,0,27,1570405,1
0,487260,198,0,22,486679,1
1,28680,127,1,62,27985,0
0,478938,100,0,0,478315,0
0,1109266,395,0,22,1108595,0
0,21792,342,0,78,21193,0
0,652493,232,0,9,651543,1
0,538452,143,0,21,537880,1
0,21840,225,0,70,21079,0
0,567898,122,0,18,567485,0
0,53116,394,0,92,52718,0
0,308712,367,0,15,308044,0
0,641268,230,0,9,640657,1
0,1591262,328,0,26,1590720,0
0,559332,141,0,19,558976,0
0,643220,196,0,6,642618,0
1,588625,154,1,4,587969,1
0,277659,419,0,4,277030,0
1,1591401,208,1,25,1590901,0
0,1060193,186,0,27,1059636,1
0,272757,177,0,16,271798,0
0,21892,336,0,77,21179,0
0,438791,31,0,3,438168,1
0,11825,43,0,52,11139,0
0,610947,364,0,21,610288,1
0,1183104,322,0,25,1182499,0
0,1871216,107,0,27,1870641,0
0,1100102,404,0,26,1099440,1
0,223254,285,0,15,222562,0
0,2130876,103,0,27,2130250,1
0,5418,226,0,70,4696,1
0,274287,169,0,13,273715,1
0,212591,428,0,7,211887,1
0,253619,167,0,13,252897,0
0,190891,64,0,13,190256,1
0,33533,388,0,91,32910,1
0,66227,298,0,1,65685,0
0,1038285,187,0,27,1037734,1
0,1299223,182,0,27,1298663,0
0,555039,76,0,7,554104,0
0,1790185,215,0,26,1789544,1
0,110877,152,0,2,110344,1
0,70385,295,0,14,69732,0
0,406686,135,0,4,406078,0
0,1894275,109,0,27,1893637,1
0,48963,355,0,82,48349,0
0,63431,61,0,58,62859,0
0,563485,92,0,19,563114,0
1,1947,14,1,38,1330,1
0,849658,22,0,26,849029,1
0,17246,262,0,75,16593,0
0,11667,255,0,73,10975,1
0,1192370,311,0,27,1191744,1
0,789660,147,0,21,789061,1
0,484940,352,0,16,484143,0
0,551183,221,0,18,550740,0
0,1665163,28,0,26,1664528,0
0,15815,358,0,82,15231,0
0,423275,200,0,22,422700,0
0,50225,393,0,92,49587,0
0,23909,359,0,82,23259,0
0,1935320,211,0,26,1934724,0
0,1439745,88,0,27,1439215,1
0,1646736,209,0,25,1646206,0
0,5356,347,0,81,4736,1
0,281837,176,0,16,281250,0
0,217404,21,0,15,216745,0
0,462632,136,0,4,462006,0
0,565167,379,0,19,564760,0
0,4939,6,0,32,4241,1
0,497547,247,0,15,496699,0
0,2159962,323,0,26,2159390,0
0,1722444,335,0,24,1721857,1
0,627125,83,0,10,626559,1
0,510533,430,0,5,509916,0
0,2103139,216,0,27,2102468,1
0,211634,416,0,0,211245,0
0,34921,263,0,76,34262,1
0,1578872,118,0,27,1578312,0
0,602022,158,0,4,601444,0
0,9539,193,0,46,8904,1
0,497850,291,0,9,497083,1
0,465000,350,0,16,464038,0
0,296809,418,0,4,296102,1
0,1863,41,0,52,1279,0
1,1337715,206,1,25,1337152,0
0,10499,37,0,50,10110,1
0,6256,128,0,62,5888,0
0,77237,58,0,57,76545,0
0,1685667,115,0,27,1685527,0
0,584282,131,0,9,583626,1
0,1212108,308,0,27,1211533,0
0,8071,390,0,91,7124,1
0,636879,156,0,4,636250,1
0,1357417,307,0,27,1356881,1
0,1413348,205,0,25,1412725,1
0,897652,236,0,21,897068,0
0,102031,0,0,2,101630,1
0,460277,278,0,27,459570,0
0,550961,286,0,9,550314,1
0,2082607,34,0,27,2081918,1
0,673589,181,0,26,672981,1
0,262590,282,0,15,261997,0
0,1069989,190,0,27,1069351,0
0,54130,397,0,93,53294,1
0,238595,168,0,13,237978,1
0,2039757,325,0,26,2039173,1
0,55031,261,0,75,54300,0
0,42738,389,0,91,42403,1
0,698962,95,0,27,698387,1
0,1037760,366,0,21,1037092,1
0,522585,431,0,5,522157,0
0,1653046,111,0,27,1652444,1
0,610905,153,0,4,610333,0
0,9693,357,0,82,9067,0
0,331967,150,0,15,331098,0
0,57983,60,0,58,57381,1
0,488252,246,0,15,487683,0
0,152203,399,0,93,151562,0
0,7816,166,0,66,6941,1
0,473006,248,0,15,472107,0
0,8984,251,0,71,8412,1
0,296422,239,0,15,295724,0
0,786,370,0,83,88,0
0,541203,101,0,6,540331,0
0,1896,250,0,71,1198,1
0,433446,201,0,22,432955,0
0,297265,219,0,3,296609,0
0,421453,414,0,27,420860,0
0,10738,161,0,65,10142,1
0,422988,179,0,14,422386,0
0,739582,266,0,26,738989,0
0,741926,197,0,15,741234,0
0,2021354,35,0,27,2020752,1
1,22510,52,1,41,21845,0
0,12963,338,0,77,12349,0
0,1279824,185,0,27,1279111,1
0,2141017,324,0,26,2140400,0
0,213605,69,0,13,212727,1
0,649380,231,0,9,648745,1
1,1773473,331,1,27,1772775,1
0,542828,287,0,9,542232,1
0,3185,159,0,64,2544,1
0,1094415,315,0,27,1093786,1
0,548259,140,0,19,547909,0
0,4704,223,0,69,4066,0
0,67780,412,0,13,67067,0
0,288418,218,0,3,287768,0
0,498188,427,0,8,497556,1
0,633393,80,0,10,632488,1
0,606832,84,0,26,606242,0
0,11303,48,0,55,10641,1
0,667099,3,0,9,666332,1
