Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,2735,213,1,135,1362,1
1,1444050,22,1,46,1442287,0
1,922,9,1,66,412,0
1,481120,104,1,0,478592,0
1,4965,123,1,116,2173,1
1,2208,139,1,120,1,1
1,15743,202,1,31,15195,1
1,2190,94,1,108,1,1
1,7580,83,1,104,6150,1
1,317768,188,1,54,315381,0
1,781276,163,1,30,779186,0
1,46181,179,1,14,45609,1
1,703894,110,1,22,701207,0
0,2011553,3,0,51,2010699,0
1,563,43,1,91,3,1
0,1066,0,0,68,947,1
1,617,52,1,94,1,0
1,498493,235,1,5,497942,0
1,6017,218,1,137,3066,0
1,52798,121,1,115,51977,1
1,585603,185,1,12,583600,0
0,805,62,0,80,2,0
1,89160,178,1,3,86623,1
1,88412,91,1,42,86619,1
1,101201,25,1,13,100433,1
1,5632,13,1,69,4214,0
1,1161359,89,1,53,1159086,0
1,929,16,1,73,492,0
1,10351,173,1,130,7736,1
1,1338938,189,1,46,1337487,0
1,699100,68,1,23,696140,0
1,16367,31,1,46,13620,1
1,1153652,143,1,42,1152030,0
1,32383,198,1,132,29822,0
1,69602,79,1,4,68706,1
1,71222,125,1,25,69540,1
1,24991,111,1,113,22313,0
1,57820,33,1,24,56951,0
1,73875,207,1,17,71692,1
1,5666,165,1,126,3972,0
1,33980,160,1,53,31590,1
1,578251,159,1,16,576644,0
1,475584,92,1,42,473026,0
1,583,155,1,123,2,0
1,3829,29,1,78,839,1
1,56560,220,1,52,55610,1
1,453362,128,1,11,452610,0
1,1381,99,1,110,2,0
1,915785,187,1,36,913926,0
1,772241,46,1,26,769332,0
0,1231,12,0,72,899,1
1,1575,18,1,75,712,1
1,74451,228,1,15,72187,1
1,17714,48,1,92,16719,1
1,45115,199,1,133,42281,0
1,7904,93,1,107,5580,1
1,147,10,1,66,1,0
1,521339,131,1,6,518895,0
1,612431,129,1,17,611934,0
1,750468,63,1,29,747616,0
1,10805,102,1,112,10074,0
1,10537,197,1,86,8039,1
1,4197,144,1,121,3526,1
1,6226,11,1,67,4295,0
1,1020701,158,1,53,1018377,0
1,63967,206,1,17,63425,1
1,2783,38,1,79,909,1
1,1852084,64,1,48,1850486,0
1,382722,97,1,61,380155,0
1,2706,84,1,81,1,1
1,8632,69,1,100,7892,0
1,521580,39,1,2,519241,0
1,814312,217,1,34,811961,0
1,34273,7,1,20,33176,1
1,58454,109,1,45,55821,1
1,504842,70,1,1,502038,0
1,26773,107,1,45,26201,1
1,856711,127,1,33,855554,0
1,112160,81,1,18,109194,0
1,752571,45,1,26,750136,0
1,6087,15,1,70,4936,1
1,630925,167,1,13,630173,0
0,795045,186,0,28,794215,0
0,587282,66,0,19,586959,0
1,3080,51,1,93,735,1
1,478396,132,1,6,477242,0
1,822273,208,1,27,821002,0
1,2334536,193,1,53,2334039,0
1,4194,214,1,136,3232,0
1,957,164,1,46,103,1
1,13228,190,1,131,10472,1
1,3052,53,1,95,605,0
1,640440,112,1,20,637990,0
1,963,72,1,19,103,1
1,216862,122,1,55,214952,0
1,360854,44,1,61,358083,1
1,9773,226,1,138,7086,0
0,346850,200,0,60,346512,1
1,56420,153,1,54,55923,1
1,23155,181,1,22,22973,1
1,663276,130,1,17,662509,0
1,1902,41,1,90,1699,1
1,17064,74,1,101,15238,0
1,250640,169,1,9,247890,0
1,944659,157,1,53,941918,1
1,23344,161,1,124,21104,0
1,40883,49,1,62,38052,1
1,557,86,1,106,3,1
1,1132750,113,1,51,1130948,0
0,45867,21,0,44,45670,1
0,2029693,136,0,51,2028950,0
1,821170,95,1,30,818471,0
1,805101,138,1,27,802591,0
1,15156,24,1,77,14362,1
1,66037,90,1,42,63011,1
1,7310,233,1,139,4494,0
0,586872,175,0,8,586129,0
1,10829,77,1,61,8487,1
1,182518,42,1,25,180932,1
1,207218,117,1,35,204852,1
1,2035,126,1,118,1445,0
0,870832,50,0,32,869711,0
