Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,1181628,224,2,0,24,1179322,0
1,0,2776,50,1,1,61,113,1
0,0,950785,130,2,0,31,948302,1
0,0,8596,123,2,0,72,5819,0
0,0,24923,62,2,0,47,22032,0
1,0,42017,201,1,1,81,39222,0
0,0,1200167,195,2,0,23,1197396,0
0,0,696919,73,2,0,23,694046,0
1,0,316755,117,1,1,24,314314,0
0,0,428401,69,2,0,18,425663,0
0,0,388287,239,2,0,16,385492,0
1,0,2113696,53,1,1,31,2111357,0
0,0,272153,65,2,0,23,269451,0
0,0,22052,241,2,0,90,19278,1
0,0,222070,179,2,0,5,219359,0
0,0,775880,128,2,0,31,773208,1
1,0,432436,159,1,1,15,429818,0
0,0,180486,34,2,0,19,177754,1
0,0,11536,32,2,0,58,9554,1
0,0,15093,157,3,0,19,12226,0
