Gene_Type,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1654543,32,4,27,1654004,1
0,15815,362,4,83,15231,0
0,417430,208,4,23,416753,1
0,50225,396,4,93,49587,0
0,23909,363,4,83,23259,0
0,1886263,223,4,27,1885670,0
0,1420673,92,4,28,1420101,0
0,1628056,217,4,26,1627475,0
0,5356,352,4,82,4736,1
0,272757,182,4,17,271798,0
0,422988,185,4,15,422386,0
0,431207,427,4,4,430704,0
0,563485,94,2,20,563114,0
0,1739,7,4,33,1236,1
0,488252,257,4,16,487683,0
0,2141017,330,4,27,2140400,0
0,305429,373,4,24,304515,0
1,210445,138,3,11,209840,1
0,636879,162,4,4,636250,1
0,2091750,38,4,28,2091055,1
0,211634,419,5,0,211245,0
0,34921,273,4,77,34262,1
0,1570983,121,4,28,1570405,1
0,596495,163,4,4,595866,0
0,3008,166,4,46,2760,1
0,491431,300,4,10,490859,1
0,458814,354,4,17,458125,0
0,283286,425,4,4,282588,0
1,11424,42,3,52,10828,0
0,1306828,213,4,26,1306226,1
0,14571,378,4,50,14272,0
0,6256,132,2,63,5888,0
0,70633,61,4,58,70109,0
0,1677970,118,4,28,1677395,0
0,566496,301,4,10,565864,1
0,1200244,315,4,28,1199621,0
0,8071,393,4,92,7124,1
0,631273,161,4,4,630704,1
0,1299223,189,4,28,1298663,0
1,1337715,215,3,26,1337152,0
1,893116,245,3,22,892445,1
0,102031,0,4,2,101630,1
0,452612,288,4,28,451995,0
0,542828,295,4,10,542232,1
0,2067976,37,4,28,2067425,0
0,632235,86,4,27,631654,1
0,253563,292,4,16,252895,0
0,1060193,193,4,28,1059636,1
0,54130,400,4,94,53294,1
1,225709,70,3,14,225092,1
0,2016292,331,4,27,2015537,0
0,55031,271,4,76,54300,0
0,42738,392,4,92,42403,1
0,683253,98,4,28,682675,0
0,930600,248,4,22,929947,1
0,510533,431,4,5,509916,0
0,1637787,114,4,28,1637185,1
0,602022,164,4,4,601444,0
0,9693,361,4,83,9067,0
0,325661,372,4,16,325122,0
0,57983,63,4,59,57381,1
0,482096,260,4,16,481446,0
0,152203,402,4,94,151562,0
0,7816,171,4,67,6941,1
0,459742,256,4,16,459083,0
0,8984,262,4,72,8412,1
0,285006,252,4,16,284026,0
0,786,374,4,84,88,0
0,521226,212,4,6,520573,0
0,1896,261,4,72,1198,1
0,423275,207,4,23,422700,0
0,297265,229,4,3,296609,0
0,413954,418,4,28,413337,0
0,10738,167,4,66,10142,1
0,410431,184,4,15,409799,0
0,717564,275,4,27,716974,1
0,497547,258,4,16,496699,0
0,1973331,334,4,28,1972666,0
0,9993,35,4,41,9376,1
0,12963,343,4,78,12349,0
0,1274037,192,4,28,1273459,1
1,2090413,220,3,27,2089832,1
0,203566,71,2,14,203195,1
0,641268,241,4,10,640657,1
0,1749740,337,4,28,1749048,0
0,537100,296,4,10,536468,1
0,3185,165,4,65,2544,1
0,1078119,196,4,28,1077559,0
0,567898,125,2,19,567485,0
0,4704,234,4,70,4066,0
0,55203,81,4,14,54550,0
0,288418,228,4,3,287768,0
0,165971,20,4,9,165327,0
0,627125,85,4,11,626559,1
0,1646736,218,4,26,1646206,0
0,11470,49,2,55,11081,1
0,661517,2,4,10,660867,1
