Strand_Orientation,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description
0,0,151,1171911,146,0,49,1168945,0
1,0,3,2772,318,0,13,301,0
0,0,18,265804,200,1,10,263906,3
0,0,5,496864,169,0,6,494066,0
1,0,149,1709527,107,1,59,1707056,3
1,0,123,29971,143,1,45,27197,3
1,0,30,5025,157,1,127,2677,3
0,0,107,474181,191,1,4,471830,3
1,0,118,20670,138,0,125,18052,0
0,0,147,1434052,154,0,52,1432280,0
0,0,131,2327020,262,1,58,2324351,3
1,0,108,30617,148,1,66,28410,3
0,0,182,750304,208,0,37,747923,0
1,0,2,10460,77,1,111,8049,3
0,0,99,754760,204,1,31,752910,3
1,0,97,6217,319,1,13,3602,3
0,0,6,396132,244,1,31,393928,3
1,0,81,128705,206,1,29,127131,3
0,0,185,496021,26,1,1,493463,3
1,0,26,56619,316,1,13,53854,3
1,0,172,4421,31,0,76,3684,0
1,0,102,117865,210,0,2,115973,0
1,0,94,6529,156,0,36,4547,0
1,0,21,174847,193,1,9,172793,3
1,0,4,8963,175,1,131,6399,3
0,0,165,6840,283,0,146,3826,0
0,0,59,1175229,145,1,49,1172704,3
1,0,140,110366,248,1,64,107442,3
0,0,40,7278,96,1,116,4399,3
1,0,178,67475,295,0,56,65139,0
0,0,136,1130391,196,1,46,1127446,3
1,0,34,11829,32,1,48,8980,3
1,0,48,1443,19,1,71,1,3
1,0,98,7112,281,0,145,4374,0
1,0,13,1113039,294,1,58,1110685,3
1,0,79,7245,289,1,147,4687,3
1,0,80,12451,174,1,130,9695,3
0,0,67,2274,51,0,78,1,0
1,0,84,2194888,106,1,59,2192474,3
0,0,123,905310,39,1,45,902803,3
0,0,182,729858,199,0,37,727477,0
0,0,42,214887,305,1,9,212992,3
1,0,151,34372,2,0,50,33320,0
1,0,111,38223,30,0,43,36197,0
1,0,77,18751,109,1,84,16475,3
0,0,131,2149200,264,1,58,2146741,3
1,0,24,3783,85,1,25,1453,3
0,0,122,596370,275,1,11,593812,3
1,0,80,19819,122,1,0,16985,3
0,0,8,392186,223,0,11,389424,0
1,0,113,36463,116,0,16,33455,0
0,0,136,439193,285,1,46,435576,3
0,0,106,598524,93,0,7,596251,1
1,0,149,342240,152,1,59,339421,3
0,0,32,107280,49,1,19,104554,3
0,0,126,2892,68,1,106,97,3
0,0,20,478312,10,0,11,477440,0
0,0,31,46833,75,1,110,44356,3
0,0,84,670094,37,1,59,667467,3
0,0,145,2028848,177,0,56,2027736,2
1,0,27,68416,260,1,2,66416,3
0,0,94,4460,127,1,87,2295,3
0,0,50,553364,249,0,18,550602,0
0,0,109,201254,158,1,60,198909,3
0,0,86,851849,120,0,37,849015,0
1,0,61,3538,291,1,98,857,3
0,0,148,12394,303,1,150,9605,3
0,0,89,748745,35,0,30,745776,0
1,0,129,14564,61,1,81,12819,3
1,0,185,39476,267,0,143,36720,0
0,0,101,13956,214,1,90,10954,3
1,0,87,68621,190,1,57,67503,3
0,0,8,645301,274,0,11,642806,0
1,0,5,5678,128,1,122,4257,3
0,0,157,458839,16,1,11,457553,3
0,0,44,811998,312,0,40,810235,0
1,0,22,26744,325,1,43,24147,3
0,0,156,968,8,0,153,3,0
0,0,47,905988,97,1,42,903148,3
1,0,116,9121,287,1,39,6152,3
0,0,8,582104,237,1,12,579438,3
1,0,122,79885,228,1,11,77750,3
1,0,152,2982,71,1,109,445,3
1,0,164,22938,86,1,56,21226,3
0,0,131,1573917,166,1,58,1571158,3
0,0,41,531490,33,0,3,528650,0
0,0,25,4734,123,0,86,2191,0
0,0,104,710712,198,1,37,708220,3
0,0,100,367390,215,0,62,364778,1
1,0,22,56555,324,1,43,54387,3
0,0,88,18183,232,0,139,15433,0
0,0,37,4073,5,1,69,1218,3
1,0,49,15577,70,1,108,12521,3
0,0,13,2071578,164,1,58,2068987,3
0,0,125,27589,108,1,83,25172,3
1,0,143,4119,43,0,34,967,0
1,0,136,27235,147,1,30,24623,3
0,0,73,783456,80,1,34,780772,3
1,0,76,11142,111,0,120,8839,0
1,0,15,242630,118,1,23,239769,3
1,0,78,10610,172,1,129,8169,3
1,0,153,106204,278,1,18,104012,4
0,0,71,16963,48,1,100,14936,3
1,0,59,9934,87,1,49,6965,3
0,0,36,577397,7,1,28,576201,3
0,0,35,1820,9,1,155,189,3
0,0,45,485801,34,1,3,483723,3
1,3,102,11541,326,1,43,8509,3
0,0,18,619021,151,1,14,617285,3
1,0,62,13820,28,0,25,12766,0
0,0,149,2325261,42,1,59,2323705,3
0,0,69,10910,89,1,113,8910,3
0,0,92,639965,256,1,24,637563,3
