Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,82,1828534,106,106,0,31,1825916
1,105,483376,95,95,0,24,480707
0,72,1865809,104,104,0,31,1862957
0,87,139709,255,255,0,1,138117
0,89,404584,117,117,0,22,402206
0,9,1731005,192,192,0,29,1728183
1,98,2060220,185,185,0,31,2057611
0,38,255561,16,16,1,23,253126
1,53,12158,10,10,0,43,9363
0,45,21771,84,84,0,64,19363
0,70,506933,17,17,0,23,504105
0,111,465591,163,163,0,15,462814
1,118,292921,245,245,0,6,290183
0,84,579976,259,259,0,15,577358
1,45,16377,144,144,0,74,13513
1,90,199898,35,35,1,19,197364
0,28,1633076,188,188,1,31,1630521
0,82,602587,41,41,0,31,600077
0,70,768058,76,76,0,23,765323
1,60,1129346,169,169,0,32,1126764
0,10,20976,58,58,0,46,18310
0,95,5331,149,149,0,75,2932
1,44,204433,63,63,0,14,201761
0,60,1825289,189,189,0,32,1822929
0,104,700388,14,14,0,15,697620
1,61,6553,119,119,0,68,4166
0,105,1169591,223,223,0,24,1166769
1,16,13678,156,156,0,3,10931
1,115,565683,138,138,0,6,563344
0,81,262330,243,243,0,6,259847
0,119,1251196,182,182,0,30,1248512
1,70,1015945,209,209,0,23,1013150
1,60,1147282,168,168,0,32,1144757
1,34,721934,75,75,0,23,719244
0,93,1582479,187,187,1,31,1579936
1,20,237391,71,71,0,9,234584
1,69,218715,56,56,0,17,215884
0,35,11062,4,4,0,39,8450
1,40,1570228,98,98,0,30,1568267
0,85,308185,66,66,1,23,306188
0,117,561205,46,46,0,8,558770
0,17,410579,134,134,0,16,407808
0,88,57145,57,57,0,46,54284
0,77,849988,206,206,0,23,847319
1,36,456596,15,15,0,5,453903
1,13,60414,227,227,0,87,57859
1,70,1007699,207,207,0,23,1005114
1,62,7898,9,9,0,42,5274
0,2,245264,49,49,0,0,242583
0,95,4732,122,122,0,71,2051
0,95,21506,59,59,0,62,18858
1,95,23129,125,125,0,73,20358
0,48,472189,70,70,0,18,469499
0,28,1014233,132,132,1,31,1011738
0,95,34218,60,60,0,62,31414
1,98,2102129,101,101,0,31,2099463
1,41,82609,136,136,0,19,79808
0,83,1317329,97,97,0,30,1314768
1,11,396615,252,252,1,18,394090
1,118,585607,82,82,0,6,583331
1,1,10603,6,6,0,40,7772
1,24,460231,147,147,0,13,457457
0,93,276688,211,211,1,24,274223
1,15,187696,249,249,0,9,185057
1,58,10893,91,91,0,33,8359
1,50,4709,30,30,0,57,2067
0,14,119436,257,257,0,2,116878
1,24,14331,230,230,0,88,11776
1,126,1650945,11,11,0,31,1648582
0,50,7054,121,121,0,70,4541
0,101,476059,148,148,1,5,473501
1,29,3590,212,212,0,82,942
0,110,1816759,191,191,0,32,1814429
1,111,2010450,108,108,0,32,2008033
1,64,529696,177,177,0,1,526820
0,128,280853,64,64,0,23,278046
0,79,436968,246,246,1,6,434224
1,31,408724,137,137,1,35,406415
0,122,1036042,116,116,0,25,1033382
0,56,25731,8,8,0,41,22858
0,95,35248,52,52,0,61,32438
1,125,2099,2,2,0,37,3
0,47,903444,114,114,1,23,900637
1,89,559805,146,146,1,13,557001
1,98,2171498,184,184,0,31,2169063
0,70,817323,78,78,0,23,814468
1,61,35322,193,193,0,77,32611
0,22,585177,205,205,0,23,582301
1,105,41459,219,219,0,86,38613
0,21,584285,176,176,0,1,581721
0,127,421319,161,161,0,15,418704
0,50,16042,110,110,0,67,13142
1,7,629809,112,112,0,13,627020
1,92,620072,44,44,0,8,617640
0,75,71558,154,154,1,3,69066
0,76,1115182,220,220,0,24,1112378
0,92,546370,47,47,0,8,543824
0,95,22835,145,145,0,74,20457
0,45,65602,23,23,0,54,62846
0,93,321121,172,172,0,32,318503
1,50,3099,85,85,0,65,313
1,110,2201057,55,55,0,32,2198634
0,116,1882048,103,103,1,31,1879670
0,28,2065088,100,100,1,31,2062416
1,50,8030,143,143,0,74,5538
1,54,54570,26,26,0,44,51787
1,99,12466,229,229,0,87,9926
0,72,1745786,12,12,0,31,1743231
0,106,1189938,225,225,0,24,1187140
1,117,596823,94,94,0,8,594229
1,110,565358,83,83,0,32,563163
1,82,935144,129,129,0,31,932427
1,59,7331,92,92,0,48,4482
1,27,167573,36,36,0,19,164778
1,57,191757,113,113,0,10,188965
1,96,344245,13,13,0,0,341906
1,19,205713,248,248,0,9,202903
0,103,546874,141,141,0,15,544250
0,78,1851640,105,105,0,31,1848668
0,77,468388,68,68,0,6,465485
0,45,14547,19,19,0,52,12235
0,52,425184,135,135,0,16,422410
1,4,249052,72,72,0,9,246272
0,95,7271,21,21,0,53,4884
0,68,3982,1,1,0,36,1541
1,43,21057,155,155,0,3,18763
0,52,399549,238,238,0,16,396772
0,50,11601,39,39,0,59,9187
1,100,175571,93,93,0,28,172800
0,97,110238,228,228,0,87,107374
0,34,783613,77,77,0,23,780839
1,63,8573,215,215,0,84,6039
1,124,7513,3,3,0,38,4757
1,42,171781,0,0,0,11,169685
1,82,221070,139,139,0,9,218443
1,44,1484951,183,183,0,30,1482129
1,39,880730,131,131,0,31,877992
1,106,12861,240,240,0,89,10087
0,72,763632,127,127,0,31,761305
1,107,1152001,181,181,1,30,1149578
0,92,184674,5,5,0,12,182293
1,82,194602,250,250,0,9,191840
1,55,2180588,54,54,0,32,2178147
1,102,17047,37,37,0,45,14579
0,120,256062,180,180,0,5,253732
0,76,1181628,224,224,0,24,1179322
1,12,2776,50,50,1,61,113
1,39,950785,130,130,0,31,948302
0,50,8596,124,124,0,72,5819
0,18,24923,62,62,0,47,22032
0,49,42017,201,201,1,81,39222
0,34,1200167,195,195,0,23,1197396
0,22,696919,73,73,0,23,694046
0,91,316755,118,118,1,24,314314
0,74,428401,69,69,0,18,425663
0,114,388287,239,239,0,16,385492
0,28,2113696,53,53,1,31,2111357
0,70,272153,65,65,0,23,269451
1,9,22052,241,241,0,90,19278
0,65,222070,179,179,0,5,219359
1,78,775880,128,128,0,31,773208
0,60,432436,159,159,1,15,429818
1,41,180486,34,34,0,19,177754
1,50,11536,32,32,0,58,9554
0,129,15093,157,157,0,19,12226
