Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Id,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position
0,0,19404,201,201,122,17227
1,0,53099,223,223,38,50910
1,0,2191081,90,89,53,2188577
0,0,52834,185,185,0,50840
1,0,13918,123,123,105,11750
1,0,18062,135,135,108,16122
1,0,62927,151,151,24,60651
1,0,34512,93,92,97,32440
0,0,5683,58,57,92,3845
0,0,1835456,207,207,48,1833030
0,0,711734,33,32,23,710958
0,0,482055,114,114,10,479794
1,0,89110,209,209,16,86993
1,0,92121,141,141,40,90979
1,0,7735,187,187,79,5258
0,0,2352753,132,132,53,2351474
0,0,5117,217,217,81,2943
1,0,120751,188,188,3,119534
0,0,9642,212,212,124,7252
0,0,28514,0,112,104,26043
1,0,1699,88,87,8,101
0,0,3774,19,18,65,1570
0,0,468090,42,41,2,465892
0,0,811009,211,211,32,808763
0,0,619207,205,205,9,617003
0,0,369971,62,61,55,367785
1,0,10067,29,28,45,8418
0,0,1108,163,163,76,1
0,0,3468,73,72,95,1171
0,0,1009265,80,79,37,1006986
0,0,560608,182,182,16,558551
0,0,961848,155,155,36,959689
0,0,915393,64,63,33,914149
1,0,6868,186,186,120,4559
1,0,50074,191,191,3,47909
0,0,487691,32,31,18,485538
1,0,17178,110,109,102,14941
0,0,669010,134,134,16,666635
1,0,2335,172,172,12,101
1,0,798,168,168,78,1
0,0,1167843,146,146,41,1165567
1,0,140815,228,228,11,140096
1,0,3637,165,165,33,1680
1,0,5471,139,139,111,3207
1,0,5333,22,21,66,3093
1,0,59387,96,95,41,57738
0,0,477141,200,200,7,476586
0,0,5583,101,100,99,3223
1,0,20192,204,204,29,18165
0,0,636865,82,81,20,634829
0,0,180595,120,120,59,178343
0,0,827,15,14,62,3
1,0,122003,229,229,11,119982
1,0,16433,195,195,80,14709
1,0,35613,197,197,121,33460
0,0,16106,76,75,96,14127
0,0,194620,126,126,54,192110
1,0,85349,68,67,4,84366
1,0,303473,216,216,12,301437
1,0,49973,27,26,23,48072
0,0,7225,108,107,101,4853
1,0,3201,61,60,74,2560
1,0,17152,138,138,110,14774
1,0,43304,159,159,56,40902
1,0,52112,106,105,44,49749
1,0,316113,226,226,11,313945
1,0,3704,23,22,67,1446
1,0,12933,115,115,39,10912
1,0,60946,148,148,53,58898
0,0,1287,20,19,69,1
1,0,3133,53,52,89,824
0,0,23314,236,236,2,21104
0,0,763294,177,177,26,761027
0,0,411395,39,38,13,410220
1,0,51771,234,234,35,49540
0,0,469090,36,35,1,466913
0,0,909502,77,76,34,907241
1,0,68193,149,149,25,66007
1,0,315631,215,215,12,313523
0,0,480279,206,206,45,478171
0,0,609383,81,80,20,607077
0,0,377705,100,99,58,375522
0,0,400277,28,27,10,398004
0,0,702444,213,213,22,701878
1,0,369509,63,62,13,367296
1,0,5540,46,45,84,3963
0,0,526037,41,40,3,525222
1,0,57522,127,127,22,55348
1,0,28472,221,221,46,26358
1,0,3258,210,210,123,754
1,0,66424,233,233,35,64094
1,0,16197,179,179,119,13717
1,0,1669,49,48,86,2
0,0,399311,94,93,14,397290
0,0,646569,184,184,12,644707
1,0,27218,70,69,50,24993
0,0,2152465,192,192,52,2150273
0,0,5726,1,0,125,3723
1,0,1909430,131,131,52,1907460
0,0,1835184,69,68,47,1832923
1,0,27070,142,142,16,24536
1,0,311650,214,214,12,309482
1,0,6765,194,194,80,4204
1,2,1518,60,59,93,1
0,0,477984,152,152,5,475453
1,0,19107,107,106,44,16912
1,0,2336,150,150,114,3
0,0,468765,86,85,53,466540
1,0,4334,98,97,98,1968
1,0,71096,140,140,40,68619
1,0,224206,203,203,34,222371
0,0,1116077,154,154,40,1113876
0,0,731499,34,33,23,729406
1,0,7491,128,128,22,5182
0,0,1333,17,16,64,3
1,0,14203,59,58,32,11819
0,0,1475,3,2,126,3
0,0,471716,220,220,5,470270
0,0,2123600,89,88,52,2121408
0,0,669243,189,189,18,667156
1,0,18709,37,36,27,16532
1,0,6479,137,137,109,5838
0,0,668634,158,158,24,666520
