Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Genomic_Start_Position
1,0,281,8,8,35,3
0,0,16035,339,339,77,15472
1,0,311595,409,409,13,311224
1,0,6125,9,9,35,5631
0,0,582243,75,75,7,581596
0,0,1670681,27,27,26,1670067
0,0,544317,144,144,21,543658
0,0,285006,242,242,15,284026
0,0,482096,250,250,15,481446
0,0,16573,161,161,65,15977
0,0,1236,123,123,43,691
1,0,2152710,104,104,27,2152117
0,0,218124,162,162,16,217234
1,0,505974,291,291,9,505327
0,0,314714,121,121,11,314181
0,0,729959,94,94,27,729363
1,0,358436,274,274,13,358038
1,0,594102,228,228,9,593512
1,1,22696,71,71,14,22061
0,0,1261581,321,321,25,1260970
0,0,160801,400,400,93,160181
0,0,10872,102,102,59,10210
1,0,412598,276,276,29,411981
1,0,517192,290,290,9,516578
1,0,53893,303,303,10,53279
0,0,253563,284,284,15,252895
0,0,237931,282,282,15,237338
0,0,266589,173,173,16,265723
0,0,1078119,189,189,27,1077559
1,0,468817,293,293,9,467864
1,0,1243238,183,183,27,1242540
0,0,1176204,396,396,22,1175530
0,0,6197,384,384,88,5628
1,0,47042,78,78,13,46335
0,0,374682,40,40,27,374062
0,0,1420673,89,89,27,1420101
1,0,388432,191,191,28,388043
0,0,70633,57,57,57,70109
0,0,11230,371,371,48,10535
0,0,694973,304,304,26,694383
0,0,1677970,116,116,27,1677395
0,0,5761,372,372,49,5141
0,0,1886263,213,213,26,1885670
1,0,311313,419,419,4,310645
1,0,282372,170,170,13,281740
0,0,456160,318,318,22,455483
1,0,36542,382,382,87,35961
1,0,602338,317,317,6,601643
1,0,377041,360,360,11,376496
1,0,1142859,406,406,26,1142287
1,0,1481322,91,91,27,1480762
1,0,1306828,204,204,25,1306226
1,0,1739,5,5,32,1236
0,0,410649,138,138,13,410251
0,0,1587490,207,207,25,1586741
1,0,2442,281,281,47,1612
1,1,327963,421,421,4,327337
0,0,1411596,20,20,27,1410949
0,0,260483,174,174,16,259935
0,0,917604,270,270,26,916954
1,0,371048,273,273,13,370350
1,0,11470,45,45,54,11081
0,0,377176,139,139,13,376607
0,0,1943209,7,7,27,1942577
1,0,7470,265,265,76,6853
0,0,120884,33,33,13,120498
1,0,21243,13,13,37,20602
1,0,617680,229,229,9,617066
0,1,340144,410,410,13,339536
0,0,862102,238,238,21,861431
0,0,1875155,214,214,26,1874526
1,0,633183,230,230,9,632827
0,0,59685,47,47,55,58891
0,0,1611491,327,327,26,1610868
0,0,31626,354,354,82,31012
1,0,76266,275,275,13,75574
0,0,430625,11,11,15,430509
0,0,288480,172,172,16,287506
0,0,1187163,343,343,21,1186465
0,0,1200244,309,309,27,1199621
0,0,18926,387,387,91,18276
1,0,2115566,24,24,27,2114982
1,0,1109679,313,313,27,1109041
1,0,1559,49,49,56,987
0,0,413954,415,415,27,413337
1,0,159847,65,65,13,159101
1,0,1139142,312,312,27,1138561
1,0,462219,361,361,21,461563
1,0,1348,164,164,66,512
0,0,1344856,195,195,20,1344239
1,0,203566,68,68,13,203195
1,0,3660,192,192,67,3085
0,0,1001979,93,93,27,1001410
0,0,1671935,117,117,27,1671336
1,0,3008,159,159,45,2760
0,0,17644,345,345,79,17072
0,0,393310,277,277,29,392783
0,0,1025055,188,188,27,1024453
1,0,1654543,29,29,26,1654004
1,0,11006,12,12,36,10434
0,0,1840810,108,108,27,1840178
1,0,1182146,310,310,27,1181541
1,0,356421,429,429,12,355831
0,0,398667,245,245,15,398035
1,0,1235855,184,184,27,1235211
0,0,1806636,334,334,27,1806064
0,0,7249,51,51,56,6641
0,0,452612,278,278,27,451995
0,0,425782,137,137,13,425384
0,0,1121,1,1,31,531
1,0,725245,148,148,21,724664
0,0,7534,340,340,78,7151
0,0,14571,374,374,49,14272
0,0,244449,285,285,15,243556
0,0,622513,25,25,27,621803
0,0,261062,171,171,13,260553
0,0,253089,175,175,16,252442
0,0,305429,369,369,23,304515
0,0,690105,145,145,21,689434
1,0,26110,302,302,13,25487
0,0,55203,79,79,13,54550
1,0,6670,223,223,68,6140
0,0,467996,362,362,21,467418
0,0,1079,125,125,61,750
1,1,1784731,330,330,27,1784156
0,0,1392058,305,305,27,1391459
1,0,174019,63,63,13,173294
1,0,44727,392,392,92,44119
0,0,978860,272,272,26,978390
0,0,7294,258,258,74,6638
0,0,9111,129,129,62,8734
1,0,641578,81,81,10,640880
0,0,2852,15,15,39,2211
0,0,1610144,113,113,27,1609563
1,0,225709,67,67,13,225092
1,0,873,4,4,34,262
0,0,462632,136,136,4,462006
0,0,1707,375,375,84,1054
0,0,570400,73,73,7,569783
0,0,897457,269,269,26,896894
1,0,528985,289,289,9,528356
1,0,930600,239,239,21,929947
0,0,459742,246,246,15,459083
0,0,8892,373,373,49,8245
0,0,410431,178,178,14,409799
1,0,95645,62,62,2,95094
1,0,296809,418,418,4,296102
1,0,438791,31,31,3,438168
0,0,302673,241,241,15,302005
0,0,332148,408,408,13,331510
0,0,22912,56,56,57,22523
1,0,20624,72,72,42,19953
0,0,276224,133,133,21,275592
1,0,605996,235,235,9,605367
1,0,631273,155,155,4,630704
1,0,893116,236,236,21,892445
1,0,9993,32,32,40,9376
1,0,1448091,87,87,27,1447573
1,0,12594,194,194,46,11959
0,0,389569,244,244,15,388676
0,0,28027,42,42,52,27344
0,0,406686,135,135,4,406078
0,0,32545,259,259,75,31979
0,0,11424,39,39,51,10828
0,0,474095,351,351,16,473496
1,0,891600,268,268,26,891058
1,0,1570983,119,119,27,1570405
1,0,487260,198,198,22,486679
0,0,28680,127,127,62,27985
0,0,478938,100,100,0,478315
0,0,1109266,395,395,22,1108595
0,0,21792,342,342,78,21193
1,0,652493,233,233,9,651543
1,0,538452,143,143,21,537880
0,0,21840,226,226,70,21079
0,0,567898,122,122,18,567485
0,0,53116,394,394,92,52718
0,0,308712,367,367,15,308044
1,0,641268,231,231,9,640657
0,0,1591262,328,328,26,1590720
0,0,559332,141,141,19,558976
0,0,643220,196,196,6,642618
1,0,555039,426,426,4,554545
0,0,269583,417,417,4,268954
0,0,1591401,208,208,25,1590901
1,0,1060193,186,186,27,1059636
0,0,272757,177,177,16,271798
0,0,21892,336,336,77,21179
1,0,400683,54,54,3,400036
0,0,11825,43,43,52,11139
1,0,610947,364,364,21,610288
0,0,1183104,322,322,25,1182499
0,0,1871216,107,107,27,1870641
1,0,1100102,404,404,26,1099440
0,0,223254,286,286,15,222562
1,0,2130876,103,103,27,2130250
1,0,5418,227,227,70,4696
1,0,274287,169,169,13,273715
1,0,212591,428,428,7,211887
0,0,253619,167,167,13,252897
1,0,190891,64,64,13,190256
1,0,33533,388,388,91,32910
0,0,66227,298,298,1,65685
1,0,1038285,187,187,27,1037734
0,0,1299223,182,182,27,1298663
0,0,555039,76,76,7,554104
1,0,1790185,215,215,26,1789544
1,0,110877,152,152,2,110344
0,0,70385,295,295,14,69732
1,0,375323,423,423,4,374682
1,1,1894275,109,109,27,1893637
0,0,48963,355,355,82,48349
0,0,63431,61,61,58,62859
0,0,563485,92,92,19,563114
1,0,1947,14,14,38,1330
1,1,849658,22,22,26,849029
0,0,17246,263,263,75,16593
1,0,11667,256,256,73,10975
1,0,1192370,311,311,27,1191744
1,0,789660,147,147,21,789061
0,0,484940,352,352,16,484143
0,0,551183,222,222,18,550740
0,0,1665163,28,28,26,1664528
0,0,15815,358,358,82,15231
0,0,423275,200,200,22,422700
0,0,50225,393,393,92,49587
0,0,23909,359,359,82,23259
0,0,1935320,211,211,26,1934724
1,0,1439745,88,88,27,1439215
0,0,1646736,209,209,25,1646206
1,0,5356,347,347,81,4736
0,0,281837,176,176,16,281250
0,0,217404,21,21,15,216745
0,0,431207,424,424,4,430704
0,0,565167,379,379,19,564760
1,0,4939,6,6,32,4241
0,0,497547,248,248,15,496699
0,0,2159962,323,323,26,2159390
1,0,1722444,335,335,24,1721857
1,0,627125,83,83,10,626559
0,0,510533,430,430,5,509916
1,0,2103139,216,216,27,2102468
0,0,211634,416,416,0,211245
1,0,34921,264,264,76,34262
0,0,1578872,118,118,27,1578312
0,0,596495,157,157,4,595866
1,0,9539,193,193,46,8904
1,0,497850,292,292,9,497083
0,0,465000,350,350,16,464038
0,0,283286,422,422,4,282588
0,0,1863,41,41,52,1279
0,0,1337715,206,206,25,1337152
1,0,10499,37,37,50,10110
0,0,6256,128,128,62,5888
0,0,77237,58,58,57,76545
0,0,1685667,115,115,27,1685527
1,0,584282,131,131,9,583626
0,0,1212108,308,308,27,1211533
1,0,8071,390,390,91,7124
1,0,636879,156,156,4,636250
1,0,1357417,307,307,27,1356881
1,0,1413348,205,205,25,1412725
0,0,897652,237,237,21,897068
1,0,102031,0,0,2,101630
0,0,460277,279,279,27,459570
1,0,550961,287,287,9,550314
1,0,2082607,34,34,27,2081918
1,0,673589,181,181,26,672981
0,0,262590,283,283,15,261997
0,0,1069989,190,190,27,1069351
1,0,54130,397,397,93,53294
1,0,238595,168,168,13,237978
1,0,2039757,325,325,26,2039173
0,0,55031,262,262,75,54300
1,0,42738,389,389,91,42403
1,0,698962,95,95,27,698387
1,0,1037760,366,366,21,1037092
0,0,522585,431,431,5,522157
1,0,1653046,111,111,27,1652444
0,0,610905,153,153,4,610333
0,0,9693,357,357,82,9067
0,0,331967,150,150,15,331098
1,0,57983,60,60,58,57381
0,0,488252,247,247,15,487683
0,0,152203,399,399,93,151562
1,0,7816,165,165,66,6941
0,0,473006,249,249,15,472107
1,0,8984,252,252,71,8412
0,0,296422,240,240,15,295724
0,0,786,370,370,83,88
0,0,541203,101,101,6,540331
1,0,1896,251,251,71,1198
0,0,433446,201,201,22,432955
0,0,297265,219,219,3,296609
0,0,421453,414,414,27,420860
1,0,10738,160,160,65,10142
0,0,422988,179,179,14,422386
0,0,739582,267,267,26,738989
0,0,741926,197,197,15,741234
1,0,2021354,35,35,27,2020752
0,0,22510,52,52,41,21845
0,0,12963,338,338,77,12349
1,0,1279824,185,185,27,1279111
0,0,2141017,324,324,26,2140400
1,0,213605,69,69,13,212727
1,0,649380,232,232,9,648745
1,0,1773473,331,331,27,1772775
1,0,542828,288,288,9,542232
1,0,3185,158,158,64,2544
1,0,1094415,315,315,27,1093786
0,0,548259,140,140,19,547909
0,0,4704,224,224,69,4066
0,0,67780,412,412,13,67067
0,0,288418,218,218,3,287768
1,0,498188,427,427,8,497556
1,0,633393,80,80,10,632488
0,0,606832,84,84,26,606242
1,0,11303,48,48,55,10641
1,0,667099,3,3,9,666332
