Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Genomic_Start_Position
0,0,19404,200,200,123,17227
1,0,53099,223,223,39,50910
1,0,2191081,88,89,54,2188577
0,0,52834,184,184,0,50840
1,0,13918,123,123,106,11750
1,0,18062,135,135,109,16122
0,0,436942,177,177,24,434816
1,0,34512,91,92,98,32440
0,0,5683,57,58,93,3845
0,0,1835456,208,208,49,1833030
0,0,731499,31,32,23,729406
0,0,482055,113,113,10,479794
0,0,560608,181,181,16,558551
1,0,92121,141,141,41,90979
1,0,7735,186,186,80,5258
0,0,2352753,132,132,54,2351474
0,0,5117,217,217,82,2943
1,0,120751,187,187,3,119534
0,0,9642,214,214,125,7252
0,0,28514,111,0,105,26043
1,0,1699,86,87,8,101
0,0,3774,18,19,66,1570
0,0,468090,39,40,2,465892
1,0,3637,163,163,34,1680
0,0,619207,206,206,9,617003
0,0,369971,61,62,56,367785
1,0,10067,27,28,46,8418
0,0,1108,161,161,77,1
0,0,3468,71,72,96,1171
0,0,1009265,78,79,38,1006986
0,0,609450,134,134,16,607396
1,0,28523,81,82,38,26538
1,0,2650,25,26,35,386
1,0,6868,185,185,121,4559
1,0,50074,190,190,3,47909
0,0,669243,188,188,18,667156
1,0,17178,108,109,103,14941
1,0,4593,1,2,17,2230
1,0,2335,170,170,12,101
1,0,798,167,167,79,1
0,0,1167843,146,146,42,1165567
1,0,140815,228,228,11,140096
1,0,18493,46,47,34,16673
1,0,5471,139,139,112,3207
1,0,5333,21,22,67,3093
1,0,59387,94,95,42,57738
0,0,477141,199,199,7,476586
0,0,5583,99,100,100,3223
1,0,40877,204,204,29,40377
0,0,175988,212,212,21,173664
0,0,180595,120,120,60,178343
0,0,827,13,14,63,3
1,0,122003,229,229,11,119982
1,0,16433,194,194,81,14709
1,0,35613,196,196,122,33460
0,0,16106,74,75,97,14127
0,0,194620,126,126,55,192110
1,0,85349,66,67,4,84366
1,0,303473,216,216,12,301437
0,0,703891,73,74,23,701787
0,0,7225,106,107,102,4853
1,0,3201,60,61,75,2560
1,0,17152,138,138,111,14774
1,0,43304,158,158,57,40902
1,0,52112,104,105,45,49749
1,0,316113,226,226,11,313945
1,0,3704,22,23,68,1446
1,0,12933,114,114,40,10912
1,0,60946,148,148,54,58898
0,0,1287,19,20,70,1
1,0,3133,52,53,90,824
0,0,23314,236,236,2,21104
1,0,18709,34,35,27,16532
0,0,399311,92,93,14,397290
1,0,66424,233,233,36,64094
0,0,469090,33,34,1,466913
1,0,4184,235,235,36,1923
0,0,754574,175,175,26,752403
0,0,646569,183,183,12,644707
0,0,480279,207,207,46,478171
0,0,636865,80,81,20,634829
0,0,377705,98,99,59,375522
0,0,400277,26,27,10,398004
0,0,703107,150,150,22,702547
0,0,411395,36,37,13,410220
1,0,5540,43,44,85,3963
0,0,526037,38,39,3,525222
1,0,115059,160,160,22,112891
1,0,28472,221,221,47,26358
1,0,3258,211,211,124,754
0,0,961848,156,156,37,959689
1,0,16197,179,179,120,13717
1,0,1669,47,48,87,2
1,0,113111,168,168,15,111105
1,0,81116,4,5,13,80040
1,0,27218,68,69,51,24993
0,0,2152465,191,191,53,2150273
0,0,5726,0,1,126,3723
1,0,1909430,131,131,53,1907460
0,0,1835184,67,68,48,1832923
1,0,67187,210,210,16,64983
1,0,315631,215,215,12,313523
1,0,6765,193,193,81,4204
1,1,1518,59,60,94,1
0,0,477984,153,153,5,475453
1,0,19107,105,106,45,16912
1,0,2336,151,151,115,3
0,0,468765,84,85,54,466540
1,0,4334,96,97,99,1968
1,0,71096,140,140,41,68619
0,0,909502,75,76,35,907241
0,0,1116077,155,155,41,1113876
1,0,62927,152,152,24,60651
1,0,57522,127,127,22,55348
0,0,1333,15,16,65,3
0,0,811009,213,213,33,808763
0,0,1475,2,3,127,3
0,0,471716,220,220,5,470270
0,0,2123600,87,88,53,2121408
1,0,4215,72,73,19,1969
0,0,252998,133,133,28,250869
1,0,6479,137,137,110,5838
1,0,68193,149,149,25,66007
