Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,3587,164,164,2,1,71,2544
1,10011,38,38,11,0,44,9199
0,1474427,53,53,27,0,19,1473666
0,36547,223,223,9,0,37,35690
1,531335,174,174,0,0,1,530982
1,477748,119,119,2,1,15,476525
1,1925877,68,68,2,1,19,1925107
1,1564778,74,74,16,0,19,1564014
0,1106541,228,228,22,0,15,1105297
1,15525,110,110,8,0,31,14710
1,2102,112,112,2,1,59,1101
1,178084,111,111,21,0,16,176870
1,712890,93,93,18,0,14,712129
1,77581,8,8,20,0,8,76523
0,855470,140,140,7,0,14,854496
1,1677,77,77,28,0,49,712
0,301271,148,148,18,0,15,300510
0,11639,198,198,2,1,75,10170
1,2202884,185,185,24,0,18,2202237
1,1487286,181,181,14,0,17,1486264
1,2879,135,135,11,0,62,2091
0,12102,220,220,0,0,35,11231
1,563168,90,90,2,1,14,561921
1,12897,5,5,0,0,24,11857
0,878597,143,143,11,0,14,877761
0,2640,172,172,2,1,33,1327
1,2089274,125,125,24,0,18,2088630
0,384191,37,37,14,0,4,383100
1,323886,161,161,25,0,11,323095
0,571633,48,48,11,0,7,570836
0,684782,58,58,29,0,19,683826
0,914563,157,157,26,0,18,913814
0,31139,62,62,22,0,48,29922
0,1247221,180,180,2,1,17,1246121
1,1222996,107,107,16,0,19,1222181
0,297062,81,81,22,0,14,295851
0,1049347,134,134,15,0,14,1048619
1,36628,46,46,23,0,28,35402
1,1131697,171,171,2,1,19,1130438
0,31870,222,222,11,0,37,31118
1,295086,101,101,2,1,12,293887
1,946792,6,6,22,0,14,945539
0,2901,221,221,2,1,36,1762
0,1639752,124,124,19,0,17,1638709
0,644758,118,118,25,0,6,643769
1,17814,236,236,28,0,80,16873
1,826530,12,12,18,0,18,825718
0,335,10,10,0,0,25,3
1,7239,184,184,2,1,0,5971
0,41030,153,153,2,1,68,39978
0,19059,168,168,11,0,72,18244
0,1188618,194,194,30,0,14,1187623
0,1745136,192,192,16,0,19,1744339
1,2521,109,109,2,1,58,1283
0,250812,146,146,22,0,15,249592
0,731234,57,57,11,0,19,730422
1,1075329,3,3,1,0,14,1075195
0,137805,160,160,2,1,12,136807
0,492438,202,202,22,0,14,491209
0,1604402,189,189,17,0,18,1603254
1,11189,50,50,23,0,46,10047
1,13960,13,13,2,1,26,13361
0,39296,63,63,22,0,48,38151
1,375903,35,35,20,0,4,374896
0,12268,237,237,22,0,81,10958
1,2097143,191,191,11,0,19,2096334
0,13009,154,154,23,0,68,11804
0,550504,49,49,11,0,7,549704
1,11743,224,224,11,0,37,10985
0,556235,173,173,2,1,1,555144
0,1165493,230,230,11,0,15,1164663
0,381597,14,14,2,1,10,380962
1,9178,76,76,11,0,29,8375
1,2165485,186,186,24,0,18,2164835
0,41345,80,80,32,1,30,40839
0,29968,166,166,2,1,72,28721
0,358168,103,103,24,0,18,357524
1,517373,21,21,2,1,14,516597
0,37518,31,31,11,0,27,36670
0,1588977,123,123,30,0,17,1588012
1,1147481,177,177,7,0,17,1146423
0,15379,219,219,11,0,78,14528
0,77977,41,41,11,0,3,77144
0,658646,91,91,11,0,14,657867
1,3650,150,150,6,0,65,2478
1,551759,89,89,2,1,14,550737
1,35179,44,44,2,1,13,34406
1,614,51,51,0,0,46,222
1,1921338,127,127,2,1,18,1920505
1,287088,100,100,2,1,12,285889
0,1173402,231,231,18,0,15,1172566
1,37248,167,167,23,0,72,35989
1,55904,32,32,2,1,27,55386
0,1887968,129,129,2,1,18,1886823
0,432927,247,247,14,0,5,431740
1,13082,113,113,0,0,60,12327
0,386514,175,175,22,0,15,385279
0,832741,210,210,22,0,14,831566
0,28969,25,25,1,0,40,28568
0,738,2,2,0,0,22,1
0,5008,9,9,11,0,25,4142
1,227094,18,18,1,0,12,226831
0,14090,64,64,22,0,48,12945
1,1026,225,225,0,0,79,841
0,1863,104,104,18,0,57,1015
1,2029082,19,19,22,0,19,2027874
0,445921,17,17,2,1,4,445157
0,251858,20,20,0,0,14,251211
1,1022329,213,213,18,0,14,1021526
0,23025,136,136,0,0,63,22318
1,1675,215,215,11,0,34,854
0,26635,165,165,33,1,72,25832
1,2151652,67,67,9,0,19,2150759
0,2155792,187,187,24,0,18,2155145
0,392050,88,88,0,0,12,391007
1,19523,47,47,23,0,28,18321
0,1687805,71,71,4,0,19,1687044
0,10624,96,96,31,0,52,9845
0,266241,144,144,11,0,15,265438
0,313431,85,85,11,0,14,312547
0,486743,59,59,14,0,1,485586
0,285745,83,83,11,0,14,284939
1,827468,209,209,2,1,14,826311
0,1047,1,1,25,0,21,259
1,265814,200,200,25,0,11,265029
0,18784,99,99,18,0,55,18002
1,997273,212,212,11,0,14,996476
0,305564,86,86,8,0,14,304740
1,13592,102,102,2,1,56,12324
1,30765,28,28,11,0,42,29968
0,422034,16,16,14,0,4,420934
1,941707,7,7,11,0,14,940901
0,12388,138,138,0,0,64,11468
1,269718,149,149,2,1,19,269074
1,65754,234,234,28,0,80,64810
1,1522877,182,182,25,0,17,1521903
1,17173,217,217,23,0,77,16040
0,13948,30,30,10,0,43,13148
0,387281,11,11,23,0,14,386064
0,290434,82,82,2,1,14,289571
1,975187,117,117,29,0,19,974237
0,1679298,73,73,25,0,19,1678525
0,6002,241,241,2,1,82,5043
1,1592913,75,75,33,1,19,1591840
0,663114,15,15,2,1,19,662260
1,432941,203,203,0,1,14,432381
0,277578,84,84,11,0,14,276769
1,4723,24,24,2,1,39,4340
1,23810,60,60,22,0,47,22572
0,231201,246,246,27,0,5,230431
0,2142542,188,188,25,0,18,2141583
0,13418,152,152,16,0,67,12669
0,1694274,70,70,24,0,19,1693627
0,25842,199,199,2,1,75,24370
0,9998,78,78,2,1,50,9753
0,1577124,190,190,12,0,18,1576114
0,1229889,179,179,20,0,17,1228786
0,1778534,131,131,13,0,18,1777443
1,1152958,195,195,2,1,14,1151783
0,907521,142,142,22,0,14,906301
0,23852,33,33,33,1,27,23046
0,1148502,229,229,11,0,15,1147669
1,655,0,0,2,1,83,2
0,223492,245,245,33,1,5,222386
0,1631767,72,72,24,0,19,1631120
1,667923,94,94,2,1,14,666610
0,272963,214,214,16,0,15,272211
0,11872,132,132,2,1,61,11348
0,247509,145,145,11,0,15,246700
