Entity_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1984371,187,187,61,2,0,30,1981915,0
0,529696,175,175,65,2,0,1,526820,1
0,272153,69,69,71,2,0,23,269451,0
0,423886,70,70,116,2,0,6,421607,1
0,379418,170,170,51,2,0,32,376740,1
0,1189938,225,225,108,2,0,24,1187140,0
0,25731,11,11,57,3,0,38,22858,0
0,35248,55,55,98,2,0,58,32438,0
0,2099,4,4,123,5,0,34,3,1
0,867065,117,117,71,2,0,23,864531,0
0,460231,148,148,24,2,0,13,457457,1
1,2113696,56,56,28,1,1,29,2111357,0
0,783613,81,81,33,2,0,23,780839,0
0,35322,191,191,62,2,0,74,32611,1
0,506933,22,22,71,3,0,23,504105,0
0,41459,219,219,107,3,0,83,38613,1
0,584285,174,174,21,0,0,1,581721,0
0,404953,161,161,87,2,0,15,402317,0
0,16042,113,113,50,3,0,64,13142,0
1,574686,147,147,92,1,1,13,571897,1
0,596823,98,98,117,2,0,8,594229,1
1,71558,154,154,76,1,1,3,69066,0
0,1102343,226,226,77,2,0,24,1099539,0
0,556640,252,252,97,2,0,7,553878,0
0,22835,146,146,98,2,0,71,20457,0
0,65602,28,28,45,2,0,51,62846,0
0,2171498,182,182,101,2,0,29,2169063,1
0,3099,89,89,50,2,0,62,313,1
0,2180588,57,57,56,2,0,30,2178147,1
0,1865809,108,108,73,2,0,29,1862957,0
0,2060220,183,183,101,2,0,29,2057611,1
0,8030,144,144,50,2,0,71,5538,1
0,54570,31,31,55,3,0,41,51787,1
0,12466,229,229,102,2,0,84,9926,1
0,1650945,14,14,124,2,0,29,1648582,1
0,1181628,224,224,77,2,0,24,1179322,0
0,580806,97,97,84,5,0,8,578836,1
0,321121,171,171,96,2,0,30,318503,0
0,880730,135,135,39,2,0,29,877992,1
0,7331,96,96,60,3,0,45,4482,1
0,156435,37,37,85,3,0,19,153649,1
0,249052,76,76,3,2,0,9,246272,1
0,344245,16,16,99,2,0,0,341906,1
0,194602,248,248,85,3,0,9,191840,1
0,536061,256,256,87,2,0,15,533287,0
0,1828534,110,110,85,2,0,29,1825916,0
0,450835,71,71,116,2,0,6,448496,1
0,14547,24,24,45,2,0,49,12235,0
0,417885,138,138,52,2,0,16,415123,0
0,237391,75,75,20,2,0,9,234584,1
0,7271,26,26,98,2,0,50,4884,0
0,3982,3,3,69,2,0,33,1541,0
0,21057,155,155,42,2,0,3,18763,1
0,388287,239,239,115,2,0,16,385492,0
0,11601,44,44,50,2,0,56,9187,0
0,185153,27,27,127,2,0,26,182502,0
0,110238,228,228,100,3,0,84,107374,0
0,768058,80,80,71,2,0,23,765323,0
0,8573,215,215,64,2,0,81,6039,1
0,7513,5,5,122,2,0,35,4757,1
0,191757,116,116,58,2,0,10,188965,1
0,205713,246,246,19,2,0,9,202903,1
0,1409461,102,102,33,3,0,28,1406588,1
0,775880,132,132,80,2,0,29,773208,1
0,12861,240,240,108,2,0,86,10087,1
0,735391,130,130,73,2,0,29,733043,0
0,1731005,190,190,7,3,0,27,1728183,0
0,171302,231,231,11,4,0,12,169443,0
0,187696,247,247,14,2,0,9,185057,1
0,2050620,20,20,111,2,0,30,2048281,1
0,17047,41,41,104,2,0,42,14579,1
0,222070,177,177,66,2,0,5,219359,0
0,1169591,223,223,107,3,0,24,1166769,0
1,2776,53,53,10,1,1,58,113,1
0,935144,133,133,85,2,0,29,932427,1
0,8596,127,127,50,2,0,69,5819,0
0,24923,66,66,18,2,0,44,22032,0
1,42017,199,199,48,1,1,78,39222,0
1,1150558,192,192,88,1,1,23,1147775,1
0,665447,78,78,22,3,0,23,662586,1
1,276688,210,210,96,1,1,24,274223,0
1,396615,250,250,9,1,1,18,394090,1
0,381075,237,237,16,2,0,16,378301,0
0,2102129,105,105,101,2,0,29,2099463,1
1,255561,21,21,38,1,1,23,253126,0
0,22052,241,241,7,2,0,87,19278,1
0,198843,129,129,78,2,0,5,196225,0
0,763632,131,131,73,2,0,29,761305,0
0,421319,160,160,125,2,0,15,418704,0
0,167573,40,40,27,3,0,19,164778,1
0,11536,36,36,50,2,0,55,9554,1
1,597333,2,2,9,1,1,18,595705,1
