Gene_Type,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,0,10,40877,204,29,40377,1
1,0,4,175988,212,21,173664,0
0,0,80,180595,120,60,178343,0
0,0,117,827,13,63,3,0
0,0,66,140815,228,11,140096,1
0,0,105,16433,194,81,14709,1
1,0,23,35613,196,122,33460,1
1,0,132,16106,73,97,14127,0
0,0,38,194620,126,55,192110,0
0,0,41,85349,65,4,84366,1
0,0,107,311650,215,12,309482,1
0,0,20,703891,72,23,701787,0
0,0,124,7225,106,102,4853,0
0,0,36,3201,59,75,2560,1
0,0,124,17152,138,111,14774,1
0,0,96,43304,158,57,40902,1
0,0,34,52112,104,45,49749,1
0,0,14,2335,170,12,101,1
0,0,134,3704,22,68,1446,1
1,0,35,12933,114,40,10912,1
1,0,105,60946,148,54,58898,1
1,0,6,1287,19,70,1,0
0,0,124,3133,51,90,824,1
0,0,83,23314,236,2,21104,0
0,0,131,18709,33,27,16532,1
1,0,0,399311,91,14,397290,0
0,0,123,66424,233,36,64094,1
1,0,125,469090,32,1,466913,0
0,0,123,4184,235,36,1923,1
0,0,0,754574,175,26,752403,0
0,0,44,646569,183,12,644707,0
1,0,64,480279,207,46,478171,0
1,0,48,636865,79,20,634829,0
0,0,120,377705,98,59,375522,0
1,0,68,459000,174,10,456733,0
0,0,104,703107,150,22,702547,0
1,0,82,411395,35,13,410220,0
0,0,103,5540,42,85,3963,1
0,0,40,526037,37,3,525222,0
0,0,115,115059,160,22,112891,1
1,0,12,28472,221,47,26358,1
1,0,19,3258,211,124,754,1
1,0,17,961848,156,37,959689,0
1,0,65,16197,179,120,13717,1
0,0,124,1669,46,87,2,1
1,0,50,113111,168,15,111105,1
0,0,60,81116,4,13,80040,1
1,0,64,27218,67,51,24993,1
0,0,15,2152465,191,53,2150273,0
1,0,35,5726,0,126,3723,0
1,0,28,1909430,131,53,1907460,1
0,0,108,1835184,66,48,1832923,0
1,0,95,67187,210,16,64983,1
0,0,107,315631,216,12,313523,1
0,0,110,6765,193,81,4204,1
0,1,124,1518,58,94,1,1
1,0,24,477984,153,5,475453,0
1,0,71,19107,105,45,16912,1
1,0,135,2336,151,115,3,1
1,0,18,468765,83,54,466540,0
0,0,124,4334,96,99,1968,1
0,0,43,71096,140,41,68619,1
0,0,126,909502,74,35,907241,0
1,0,37,1116077,155,41,1113876,0
1,0,106,62927,152,24,60651,1
0,0,25,57522,127,22,55348,1
0,0,117,1333,15,65,3,0
1,0,75,811009,213,33,808763,0
0,0,79,1475,2,127,3,0
0,0,72,471716,220,5,470270,0
0,0,69,2123600,86,53,2121408,0
0,0,49,4215,71,19,1969,1
1,0,122,252998,133,28,250869,0
0,0,124,6479,137,110,5838,1
0,0,84,68193,149,25,66007,1
