Gene_Type,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,0,47,18493,48,34,16673,1
0,0,124,5471,141,112,3207,1
0,0,50,5333,21,67,3093,1
0,0,57,59387,96,42,57738,1
0,0,41,477141,200,7,476586,0
0,0,124,5583,101,100,3223,0
1,0,12,20192,204,29,18165,1
1,0,49,636865,81,20,634829,0
0,0,80,180595,122,60,178343,0
0,0,117,827,13,63,3,0
1,0,95,122003,229,11,119982,1
0,0,105,16433,195,81,14709,1
1,0,24,35613,197,122,33460,1
1,0,133,16106,75,97,14127,0
0,0,39,194620,128,55,192110,0
0,0,42,85349,67,4,84366,1
0,0,138,303473,216,12,301437,1
0,0,14,49973,26,23,48072,1
0,0,124,7225,108,102,4853,0
0,0,37,3201,61,75,2560,1
0,0,124,17152,140,111,14774,1
0,0,96,43304,160,57,40902,1
0,0,35,52112,106,45,49749,1
0,0,63,316113,226,11,313945,1
0,0,135,3704,22,68,1446,1
1,0,36,12933,116,40,10912,1
1,0,105,60946,150,54,58898,1
1,0,5,1287,19,70,1,0
0,0,124,3133,53,90,824,1
0,0,83,23314,236,2,21104,0
0,0,6,763294,178,26,761027,0
1,0,82,411395,38,13,410220,0
0,0,123,66424,233,36,64094,1
1,0,126,469090,35,1,466913,0
0,0,123,4184,235,36,1923,1
0,0,84,68193,151,25,66007,1
0,0,107,315631,215,12,313523,1
1,0,65,480279,206,46,478171,0
1,0,41,609383,80,20,607077,0
0,0,120,377705,100,59,375522,0
0,0,109,400277,27,10,398004,0
0,0,26,702444,213,22,701878,0
1,0,28,369509,63,13,367296,1
0,0,104,5540,45,85,3963,1
0,0,41,526037,40,3,525222,0
0,0,26,57522,129,22,55348,1
1,0,11,28472,221,47,26358,1
1,0,20,3258,210,124,754,1
1,0,18,961848,157,37,959689,0
1,0,66,16197,180,120,13717,1
0,0,124,1669,49,87,2,1
1,0,0,399311,94,14,397290,0
0,0,45,646569,184,12,644707,0
1,0,65,27218,69,51,24993,1
0,0,16,2152465,192,53,2150273,0
1,0,36,5726,0,126,3723,0
1,0,29,1909430,133,53,1907460,1
0,0,108,1835184,68,48,1832923,0
0,0,85,27070,144,16,24536,1
0,0,107,311650,214,12,309482,1
0,0,111,6765,194,81,4204,1
0,2,124,1518,60,94,1,1
1,0,25,477984,154,5,475453,0
1,0,72,19107,107,45,16912,1
1,0,136,2336,152,115,3,1
1,0,19,468765,86,54,466540,0
0,0,124,4334,98,99,1968,1
0,0,44,71096,142,41,68619,1
0,0,127,909502,76,35,907241,0
1,0,38,1116077,156,41,1113876,0
1,0,20,731499,33,23,729406,0
0,0,124,7491,130,22,5182,1
0,0,117,1333,15,65,3,0
1,0,76,811009,211,33,808763,0
0,0,79,1475,2,127,3,0
0,0,73,471716,220,5,470270,0
0,0,70,2123600,89,53,2121408,0
1,0,64,669243,189,18,667156,0
0,0,132,18709,36,27,16532,1
0,0,124,6479,139,110,5838,1
0,0,101,668634,159,24,666520,0
