Gene_Classification,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,40663,197,197,126,1,0,121,30197,1
0,24830,101,101,41,1,0,27,14646,1
1,79790,207,207,5,3,1,51,69342,1
0,64484,127,127,99,2,0,30,55971,1
1,127990,147,147,123,3,1,54,117557,1
0,32850,186,186,102,1,0,9,28143,1
0,207695,54,54,112,1,0,15,204667,0
0,36235,216,216,52,1,0,13,25871,1
0,11147,33,33,118,2,0,80,4143,0
1,1233807,177,177,137,3,1,46,1224493,1
0,30892,75,75,125,1,0,22,20468,0
0,54812,6,6,107,1,0,32,50482,1
0,311779,49,49,70,1,0,52,306168,0
0,7476,1,0,104,2,0,60,127,0
0,21015,77,77,62,1,0,18,14486,1
0,5481,153,153,39,2,0,110,1,0
0,5231,27,27,134,1,0,67,1,1
0,89016,116,116,15,1,0,42,78604,1
1,574518,141,141,100,3,1,12,565420,0
1,27113,193,193,139,3,1,119,16665,1
0,71128,82,82,19,1,0,45,60752,1
0,347622,85,85,111,1,0,51,337195,0
0,65194,22,22,43,1,0,0,54806,0
0,6388,121,121,129,1,0,101,323,1
0,243214,167,167,54,1,0,33,232769,0
0,62219,38,38,134,1,0,83,51870,0
0,19188,34,34,17,1,0,81,11071,1
0,22103,169,169,54,1,0,33,14689,1
0,239506,159,159,68,2,0,15,231410,0
1,217558,3,3,74,3,1,25,208664,0
0,1049310,61,61,45,1,0,48,1038856,0
0,5929,148,148,14,1,0,70,3,0
1,35770,43,43,61,3,1,84,25298,1
0,5956,21,21,135,1,0,74,733,0
0,586972,46,46,13,1,0,8,576509,0
0,88568,198,198,56,1,0,121,78117,1
1,13525,106,106,99,3,1,98,3143,0
0,623676,90,90,23,1,0,12,613279,0
0,11537,175,175,86,1,0,113,1098,1
0,505288,11,11,131,1,0,4,494840,0
0,780586,126,126,10,1,0,36,770171,0
0,158064,214,214,101,1,0,13,147781,1
0,12312,195,195,9,2,0,52,7990,1
0,1352921,105,105,48,1,0,50,1342479,0
0,353296,96,96,9,2,0,52,348857,1
0,5893,36,36,15,1,0,82,1,0
0,1147531,122,122,1,1,0,43,1137248,0
1,595061,50,50,90,3,1,25,584655,0
0,1048694,137,137,38,1,0,41,1038261,0
1,214744,9,9,40,3,1,38,206012,1
0,3341,189,189,92,2,0,116,3,0
0,5467,74,74,77,2,0,92,2,0
0,225073,35,35,41,1,0,27,217409,1
0,6046,80,80,43,2,0,94,2,1
0,610602,140,140,127,1,0,26,600223,0
0,548110,151,151,80,1,0,18,541838,0
0,8611,115,115,49,1,0,69,3,0
0,2017022,5,5,103,2,0,49,2011656,0
1,566844,202,202,80,3,1,17,556376,0
0,39653,25,25,60,1,0,37,33702,1
0,19647,57,57,109,1,0,86,9304,1
1,1020605,200,200,21,3,1,49,1014285,0
0,17336,69,69,79,1,0,12,6891,1
1,6309,71,71,23,3,1,90,1,1
0,6144,65,65,44,1,0,87,3,0
0,796416,187,187,6,1,0,29,789632,0
0,252780,210,210,113,1,0,16,242332,0
1,6275,17,17,49,3,1,73,3,0
1,9243,24,24,12,3,1,66,3028,1
0,230403,209,209,64,1,0,10,222871,0
0,638425,172,172,47,1,0,18,628055,0
0,34341,15,15,107,2,0,32,26002,1
1,5690,79,79,128,3,1,93,3,0
0,6239,135,135,60,2,0,105,3,1
1,47046,60,60,67,3,1,68,36631,0
0,1301475,103,103,56,1,0,50,1291027,1
0,536745,48,48,105,1,0,18,531839,0
1,1351353,152,152,137,3,1,46,1340908,0
0,53597,31,31,0,1,0,58,43140,1
0,6877,30,30,83,1,0,78,2,0
0,82139,162,162,22,1,0,3,71676,1
0,534898,112,112,104,2,0,33,529028,1
0,97751,81,81,83,2,0,23,91272,1
0,1028641,20,20,102,1,0,40,1018586,0
0,64329,97,97,132,1,0,1,53935,0
0,19778,84,84,96,1,0,95,9420,0
0,364064,59,59,26,1,0,33,353619,1
0,501262,102,102,26,1,0,20,494255,0
0,1392969,104,104,0,1,0,50,1382515,1
1,736142,224,224,125,3,1,29,726108,0
0,18102,16,16,120,1,0,72,7759,0
0,635740,95,95,34,1,0,14,625292,0
0,29124,136,136,15,1,0,105,18715,1
0,510863,220,220,11,1,0,6,500484,0
0,288082,208,208,96,1,0,51,277652,0
1,8750,10,10,108,3,1,65,352,0
1,12299,144,144,49,3,1,107,2049,1
0,775910,131,131,93,1,0,33,765552,0
0,424985,124,124,46,1,0,31,418893,0
1,11317,87,87,42,3,1,30,5433,1
0,487135,86,86,110,1,0,38,478468,1
0,656937,154,154,1,1,0,22,646543,0
0,400877,72,72,9,2,0,31,396354,0
0,490459,109,109,49,1,0,7,480062,0
0,188433,128,128,125,1,0,10,178087,1
0,34480,143,143,14,1,0,24,24017,1
0,76316,29,29,78,2,0,31,71757,1
0,22220,223,223,106,1,0,39,11901,1
0,508446,157,157,64,1,0,10,497998,0
0,1684949,56,56,48,1,0,50,1674489,1
0,72152,146,146,59,1,0,28,61794,1
0,7036,194,194,127,1,0,120,1,1
1,40882,92,92,97,3,1,41,30431,1
1,14711,134,134,138,3,1,104,4479,1
0,5905,55,55,55,1,0,85,1,1
1,8139,178,178,58,3,1,114,1,1
1,15047,120,120,43,3,1,100,4680,1
0,563694,142,142,89,1,0,26,556752,1
0,46671,98,98,44,1,0,97,36289,1
0,138943,51,51,65,2,0,23,131411,0
0,600090,181,181,104,1,0,33,589645,1
0,656716,88,88,6,1,0,21,646334,0
0,56068,176,176,26,1,0,113,45617,0
0,2345983,164,164,23,1,0,51,2335691,0
0,107347,18,18,121,1,0,57,100946,1
1,364951,62,62,41,3,1,56,356759,1
0,60872,206,206,23,1,0,51,50520,1
0,698669,83,83,65,1,0,23,688299,0
0,545365,221,221,82,1,0,19,535076,0
0,7213,73,73,32,1,0,91,1,1
1,12287,132,132,7,3,1,102,1776,1
0,572820,182,182,129,1,0,11,566630,0
0,1211309,161,161,133,1,0,50,1200861,0
0,53674,203,203,141,1,0,59,43286,1
0,7785,139,139,46,2,0,106,1726,0
0,1848415,41,41,2,1,0,47,1838054,0
0,902706,94,94,33,1,0,38,892584,0
1,52443,44,44,21,3,1,49,42064,1
0,34912,168,168,133,1,0,33,27714,1
0,685626,117,117,83,1,0,30,675331,0
0,5029,28,28,71,2,0,77,2,1
0,31572,76,76,27,1,0,36,21127,1
0,12152,204,204,119,1,0,123,4158,1
0,102066,45,45,129,1,0,11,91621,1
0,19621,53,53,121,1,0,57,13649,1
0,6015,145,145,31,2,0,28,103,1
1,571446,180,180,63,3,1,33,561022,1
1,9497,185,185,35,3,1,115,3,0
0,332104,166,166,54,1,0,33,321641,0
