Gene_Classification,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,328850,46,46,16,1,0,29,318795,0
0,6482,4,4,63,2,0,62,3,0
0,2345195,165,165,138,1,0,52,2334792,0
1,24168,110,110,24,3,1,97,13795,0
0,459416,63,63,137,1,0,34,449073,1
0,3034,90,90,86,2,0,94,2,0
0,252973,111,111,137,1,0,34,245186,1
0,62951,93,93,85,1,0,54,52593,1
0,347060,219,219,137,2,0,34,339083,1
0,45907,205,205,17,2,0,51,38978,1
0,141214,130,130,39,1,0,27,130814,1
1,789447,212,212,112,3,1,35,779023,0
0,475972,77,77,82,2,0,2,470489,0
0,409474,179,179,25,1,0,33,399029,1
0,47512,123,123,16,1,0,29,39092,1
0,802151,13,13,113,1,0,51,791817,1
0,33876,199,199,67,1,0,120,23431,0
0,1717944,170,170,81,2,0,49,1709332,1
0,745319,39,39,132,1,0,32,734937,0
0,891588,19,19,23,1,0,37,881293,0
1,934030,201,201,28,3,1,49,926063,1
0,127475,171,171,88,1,0,55,117093,1
0,13163,66,66,48,1,0,86,2601,0
0,31191,119,119,53,1,0,35,20812,1
0,7954,192,192,63,2,0,116,2,0
0,229560,213,213,93,1,0,28,219184,1
0,571102,14,14,105,1,0,39,563645,0
0,69531,217,217,49,1,0,13,59128,1
0,5243,69,69,45,1,0,87,2,0
0,5956,21,21,132,1,0,74,733,0
1,12411,133,133,4,3,1,101,1858,1
0,7614,0,2,3,0,0,61,1030,1
0,54831,125,125,97,1,0,52,44338,1
0,2370774,163,163,94,1,0,51,2360422,0
0,40663,197,197,122,1,0,119,30197,1
0,24830,101,101,39,1,0,27,14646,1
1,79790,207,207,5,3,1,51,69342,1
0,64484,127,127,97,2,0,30,55971,1
1,127990,147,147,120,3,1,54,117557,1
0,32850,186,186,100,1,0,9,28143,1
0,207695,54,54,110,1,0,15,204667,0
0,36235,216,216,50,1,0,13,25871,1
0,11492,32,32,55,1,0,79,5925,1
1,1233807,177,177,134,3,1,46,1224493,1
0,30892,74,74,121,1,0,22,20468,0
0,54812,6,6,106,1,0,32,50482,1
0,311779,49,49,68,1,0,52,306168,0
0,53674,203,203,138,1,0,59,43286,1
0,21015,76,76,59,1,0,18,14486,1
0,5481,153,153,37,2,0,108,1,0
1,9243,23,23,12,3,1,66,3028,1
0,89016,116,116,15,1,0,42,78604,1
1,574518,141,141,98,3,1,12,565420,0
1,27113,193,193,136,3,1,117,16665,1
0,71128,81,81,18,1,0,45,60752,1
0,347622,84,84,109,1,0,51,337195,0
0,65194,22,22,41,1,0,0,54806,0
0,6388,121,121,126,1,0,99,323,1
0,243214,167,167,52,1,0,33,232769,0
0,42086,37,37,114,1,0,82,31758,0
0,11147,33,33,115,2,0,80,4143,0
0,22103,169,169,52,1,0,33,14689,1
0,239506,159,159,66,2,0,15,231410,0
1,217558,3,3,72,3,1,25,208664,0
0,1049310,60,60,43,1,0,48,1038856,0
0,8611,115,115,47,1,0,69,3,0
0,62219,38,38,131,1,0,82,51870,0
0,11755,17,17,65,1,0,73,1460,0
0,586972,45,45,13,1,0,8,576509,0
0,88568,198,198,54,1,0,119,78117,1
1,13525,106,106,97,3,1,96,3143,0
0,623676,89,89,22,1,0,12,613279,0
0,11537,175,175,84,1,0,111,1098,1
0,505288,11,11,128,1,0,4,494840,0
0,780586,126,126,10,1,0,36,770171,0
0,158064,214,214,99,1,0,13,147781,1
0,12312,195,195,9,2,0,52,7990,1
0,1352921,105,105,46,1,0,50,1342479,0
0,353296,96,96,9,2,0,52,348857,1
0,13465,34,34,82,1,0,81,4539,0
0,1147531,122,122,1,1,0,43,1137248,0
1,595061,50,50,88,3,1,25,584655,0
0,1048694,137,137,36,1,0,41,1038261,0
1,214744,9,9,38,3,1,38,206012,1
0,3341,189,189,90,2,0,114,3,0
0,5467,73,73,75,2,0,90,2,0
0,225073,35,35,39,1,0,27,217409,1
0,6046,79,79,41,2,0,92,2,1
0,610602,140,140,123,1,0,26,600223,0
0,548110,151,151,78,1,0,18,541838,0
1,47046,59,59,65,3,1,68,36631,0
0,2017022,5,5,101,2,0,49,2011656,0
1,566844,202,202,78,3,1,17,556376,0
0,39653,24,24,58,1,0,37,33702,1
0,5905,55,55,53,1,0,84,1,1
1,1020605,200,200,20,3,1,49,1014285,0
0,17336,68,68,77,1,0,12,6891,1
1,6309,70,70,22,3,1,88,1,1
0,6144,64,64,42,1,0,85,3,0
0,796416,187,187,6,1,0,29,789632,0
0,252780,210,210,111,1,0,16,242332,0
0,18102,16,16,117,1,0,72,7759,0
1,8750,10,10,107,3,1,65,352,0
0,230403,209,209,61,1,0,10,222871,0
0,638425,172,172,45,1,0,18,628055,0
0,34341,15,15,106,2,0,32,26002,1
1,5690,78,78,125,3,1,91,3,0
0,6239,135,135,58,2,0,103,3,1
0,5231,26,26,131,1,0,67,1,1
0,1301475,103,103,54,1,0,50,1291027,1
0,536745,47,47,104,1,0,18,531839,0
1,1351353,152,152,134,3,1,46,1340908,0
0,107347,18,18,118,1,0,57,100946,1
0,5029,28,28,69,2,0,77,2,1
0,82139,162,162,21,1,0,3,71676,1
0,534898,112,112,102,2,0,33,529028,1
0,97751,80,80,81,2,0,23,91272,1
0,1028641,20,20,100,1,0,40,1018586,0
0,64329,97,97,129,1,0,1,53935,0
0,19778,83,83,94,1,0,93,9420,0
0,364064,58,58,25,1,0,33,353619,1
0,501262,102,102,25,1,0,20,494255,0
0,1392969,104,104,0,1,0,50,1382515,1
1,736142,224,224,121,3,1,29,726108,0
0,13390,158,158,122,1,0,71,2987,0
0,635740,95,95,32,1,0,14,625292,0
0,29124,136,136,15,1,0,103,18715,1
0,510863,220,220,11,1,0,6,500484,0
0,288082,208,208,94,1,0,51,277652,0
0,12200,8,8,49,1,0,64,1905,1
1,12299,144,144,47,3,1,105,2049,1
0,775910,131,131,91,1,0,33,765552,0
0,424985,124,124,44,1,0,31,418893,0
1,11317,86,86,40,3,1,30,5433,1
0,487135,85,85,108,1,0,38,478468,1
0,656937,154,154,1,1,0,22,646543,0
0,400877,71,71,9,2,0,31,396354,0
0,490459,109,109,47,1,0,7,480062,0
0,188433,128,128,121,1,0,10,178087,1
0,34480,143,143,14,1,0,24,24017,1
0,76316,29,29,76,2,0,31,71757,1
0,22220,223,223,105,1,0,39,11901,1
0,508446,157,157,61,1,0,10,497998,0
0,1684949,56,56,46,1,0,50,1674489,1
0,72152,146,146,57,1,0,28,61794,1
0,7036,194,194,123,1,0,118,1,1
1,40882,91,91,95,3,1,41,30431,1
1,14711,134,134,135,3,1,102,4479,1
0,6131,48,48,124,1,0,83,890,0
1,8139,178,178,56,3,1,112,1,1
1,15047,120,120,41,3,1,98,4680,1
0,563694,142,142,87,1,0,26,556752,1
0,46671,98,98,42,1,0,95,36289,1
0,138943,51,51,62,2,0,23,131411,0
0,600090,181,181,102,1,0,33,589645,1
0,656716,87,87,6,1,0,21,646334,0
0,56068,176,176,25,1,0,111,45617,0
0,2345983,164,164,22,1,0,51,2335691,0
0,19621,53,53,118,1,0,57,13649,1
1,25728,92,92,39,3,1,56,21774,1
0,60872,206,206,22,1,0,51,50520,1
0,698669,82,82,62,1,0,23,688299,0
0,545365,221,221,80,1,0,19,535076,0
0,7213,72,72,30,1,0,89,1,1
1,12287,132,132,7,3,1,100,1776,1
0,572820,182,182,126,1,0,11,566630,0
0,1211309,161,161,130,1,0,50,1200861,0
0,53597,30,30,0,1,0,58,43140,1
0,7785,139,139,44,2,0,104,1726,0
0,1848415,41,41,2,1,0,47,1838054,0
0,902706,94,94,31,1,0,38,892584,0
1,52443,43,43,20,3,1,49,42064,1
0,34912,168,168,130,1,0,33,27714,1
0,685626,117,117,81,1,0,30,675331,0
1,11957,27,27,101,3,1,76,1581,1
0,31572,75,75,26,1,0,36,21127,1
0,12152,204,204,116,1,0,121,4158,1
0,102066,44,44,126,1,0,11,91621,1
1,364951,61,61,39,3,1,56,356759,1
0,6015,145,145,29,2,0,28,103,1
1,571446,180,180,60,3,1,33,561022,1
1,9497,185,185,33,3,1,113,3,0
0,332104,166,166,52,1,0,33,321641,0
