Gene_Classification,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,2151652,67,9,0,19,2150759,1
0,2155792,187,24,0,18,2155145,0
0,392050,88,0,0,12,391007,0
0,19523,47,23,0,28,18321,1
0,1687805,71,4,0,19,1687044,0
0,10624,96,31,0,52,9845,0
0,266241,144,11,0,15,265438,0
0,313431,85,11,0,14,312547,0
0,486743,59,14,0,1,485586,0
0,285745,83,11,0,14,284939,0
1,827468,209,2,1,14,826311,1
0,1047,1,25,0,21,259,0
0,265814,200,25,0,11,265029,1
0,18784,99,18,0,55,18002,0
0,997273,212,11,0,14,996476,1
0,305564,86,8,0,14,304740,0
1,13592,102,2,1,56,12324,1
0,30765,28,11,0,42,29968,1
0,422034,16,14,0,4,420934,0
0,941707,7,11,0,14,940901,1
0,12388,138,0,0,64,11468,0
1,269718,149,2,1,19,269074,1
0,65754,234,28,0,80,64810,1
0,1522877,182,25,0,17,1521903,1
0,17173,217,23,0,77,16040,1
0,13948,30,10,0,43,13148,0
0,387281,11,23,0,14,386064,0
1,290434,82,2,1,14,289571,0
0,975187,117,29,0,19,974237,1
0,1679298,73,25,0,19,1678525,0
1,6002,241,2,1,82,5043,0
1,1592913,75,33,1,19,1591840,1
1,663114,15,2,1,19,662260,0
1,432941,203,0,1,14,432381,1
0,277578,84,11,0,14,276769,0
1,4723,24,2,1,39,4340,1
0,23810,60,22,0,47,22572,1
0,231201,246,27,0,5,230431,0
0,2142542,188,25,0,18,2141583,0
0,13418,152,16,0,67,12669,0
0,1694274,70,24,0,19,1693627,0
1,25842,199,2,1,75,24370,0
1,9998,78,2,1,50,9753,0
0,1577124,190,12,0,18,1576114,0
0,1229889,179,20,0,17,1228786,0
0,1778534,131,13,0,18,1777443,0
1,1152958,195,2,1,14,1151783,1
0,907521,142,22,0,14,906301,0
1,23852,33,33,1,27,23046,0
0,1148502,229,11,0,15,1147669,0
1,655,0,2,1,83,2,1
1,223492,245,33,1,5,222386,0
0,1631767,72,24,0,19,1631120,0
1,667923,94,2,1,14,666610,1
0,272963,214,16,0,15,272211,0
1,11872,132,2,1,61,11348,0
0,247509,145,11,0,15,246700,0
