Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Orthologous_Gene,Genomic_Start_Position
0,9773,227,227,139,31,7086
1,10829,82,82,62,51,8487
0,281858,155,155,54,1,279111
1,23155,187,187,22,18,22973
0,663276,135,135,17,138,662509
1,563,45,45,91,145,3
0,8610,80,80,102,138,7165
0,250640,175,175,9,79,247890
0,1020701,164,164,53,4,1018377
0,23344,167,167,125,113,21104
1,57748,53,53,63,44,55331
1,7904,99,99,107,126,5580
0,2011553,3,3,51,95,2010699
1,26773,113,113,45,108,26201
0,2033316,142,142,51,54,2030554
1,15743,207,207,31,94,15195
0,805101,144,144,27,121,802591
0,16756,28,28,79,72,15296
1,88412,97,97,42,8,86619
0,7310,234,234,140,76,4494
0,586872,181,181,8,70,586129
1,360854,47,47,62,51,358083
1,182518,44,44,25,7,180932
1,254233,182,182,35,80,251879
0,26957,139,139,119,77,26184
0,856711,131,131,33,17,855554
