Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Chromosome_Location,Encoded_Protein,Gene_Type,Genomic_Start_Position,Strand_Orientation
1,120397,12,18,9,1,118489,0
0,1783574,129,7,0,0,1782018,0
0,47692,59,14,11,0,46340,1
1,12451,45,35,9,1,11360,1
0,1629760,126,7,7,0,1628255,1
0,1799779,65,14,0,0,1798304,1
1,2790703,147,11,9,1,2789186,1
1,4871690,95,15,1,1,4870365,1
1,167770,15,18,9,1,166233,1
1,4866989,94,15,1,1,4866255,1
0,126989,140,10,8,0,125412,0
0,47277,42,33,8,0,45691,0
1,3088628,157,11,9,1,3087307,1
1,18623,35,30,9,1,18300,1
1,10546,20,20,9,1,9201,1
0,40024,7,0,7,0,38597,1
1,5571,32,30,9,1,4160,1
1,121323,5,16,9,1,119770,1
1,10341,8,1,9,1,9201,0
1,364495,109,13,9,1,363050,1
0,5667,52,41,7,0,4153,0
0,4883498,77,14,8,0,4881942,1
1,4696555,90,15,4,1,4695357,0
0,76678,60,14,11,0,74915,1
0,4790735,73,14,8,0,4789134,1
1,2842847,151,11,9,1,2842087,1
1,335414,108,13,9,1,333937,1
1,11536,9,17,9,1,10562,0
1,208752,104,13,9,1,207286,1
1,56392,10,17,9,1,54844,0
0,682801,117,13,8,0,681272,1
0,616961,114,13,7,0,615417,1
1,106612,3,16,9,1,106202,1
1,4907622,97,15,3,1,4906250,1
1,1633265,127,7,9,1,1631685,1
0,4782124,72,14,8,0,4781585,1
1,4912,19,20,9,1,4080,1
0,4971029,79,14,7,0,4969470,1
1,93783,159,11,9,1,92470,0
1,21634,29,27,10,1,20639,0
0,4877715,76,14,8,0,4876315,1
1,4685459,89,15,1,1,4683882,1
0,1579460,125,7,8,0,1577859,1
1,2794118,148,11,9,1,2793789,0
0,19432,0,16,8,0,17837,1
1,660088,115,13,9,1,658460,1
1,13354,33,30,9,1,11827,1
1,13439,24,24,9,1,11985,0
1,41821,40,32,9,1,40324,1
0,5380636,81,14,7,0,5379008,0
1,1565816,124,7,9,1,1564291,1
0,2882434,67,14,8,0,2880989,0
0,1789201,130,7,0,0,1788008,0
1,2963001,153,11,9,1,2961642,0
1,70716,138,10,9,1,69197,0
1,1494614,132,8,9,1,1493022,1
1,12732,28,26,10,1,11219,1
1,16779,34,30,9,1,15187,1
1,38437,136,10,9,1,36916,0
0,1792811,131,7,0,0,1791306,0
0,2586486,143,11,8,0,2584942,0
0,3074,31,29,7,0,1527,1
1,4496,22,22,9,1,3127,1
1,546312,112,13,9,1,544894,1
0,4064628,84,12,0,0,4063192,0
1,1176353,118,4,9,1,1175359,1
1,15374,54,43,9,1,14245,0
1,1622,57,14,11,1,585,1
1,2436,18,20,9,1,1291,1
1,56650,36,30,9,1,55175,1
0,10563,51,40,7,0,9100,1
0,53263,1,16,8,0,51710,1
1,2810144,150,11,9,1,2809842,1
0,4592637,87,15,7,0,4591225,0
1,9494,53,42,9,1,7965,1
1,29574,17,19,9,1,28997,0
0,23403,30,28,7,0,22009,1
0,5282553,80,14,7,0,5281459,0
1,35078,135,10,9,1,33526,0
0,309925,107,13,8,0,308399,0
0,8343,27,25,7,0,6676,1
1,69439,11,17,9,1,67885,0
1,19005,47,37,9,1,17968,1
1,501101,110,13,9,1,499566,1
0,4728447,70,14,8,0,4728247,1
1,138167,6,16,9,1,137305,1
1,63306,43,33,9,1,61772,0
0,1057855,82,3,8,0,1056242,1
0,4803585,93,15,8,0,4802227,1
1,4875012,96,15,5,1,4874521,1
1,511211,111,13,3,1,509571,1
1,4930611,98,15,2,1,4929155,0
1,2775177,146,11,9,1,2774642,1
1,286908,142,11,9,1,285556,0
1,4070879,85,12,9,1,4070196,0
1,9188,134,9,9,1,7638,0
1,1190683,120,4,9,1,1189121,1
1,158094,102,13,9,1,156706,1
1,16687,55,44,9,1,14902,1
0,237565,106,13,7,0,236150,1
1,34585,39,32,9,1,33074,1
1,6249,26,2,9,1,4591,0
1,2797682,149,11,9,1,2796528,0
0,2972153,154,11,7,0,2970543,0
1,107750,139,10,9,1,106153,0
1,16196,25,24,9,1,14732,0
1,2769881,145,11,9,1,2769468,1
