Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Chromosome_Location,Encoded_Protein,Gene_Type,Genomic_Start_Position,Strand_Orientation
0,1629760,126,8,7,0,1628255,1
0,1799779,63,15,0,0,1798304,1
1,2775177,146,12,9,1,2774642,1
1,4866989,95,16,1,1,4866255,1
1,167770,15,19,9,1,166233,1
1,4815043,94,16,2,1,4813653,1
0,126989,140,11,8,0,125412,0
0,31216,39,34,8,0,29741,1
1,3085393,156,12,9,1,3083824,1
1,18623,36,32,9,1,18300,1
1,10546,20,21,9,1,9201,1
0,40024,6,0,7,0,38597,1
1,5571,33,32,9,1,4160,1
1,117932,4,17,9,1,116413,1
1,24394,7,1,9,1,23117,0
1,335414,108,14,9,1,333937,1
0,10563,52,42,7,0,9100,1
0,4877715,76,15,8,0,4876315,1
1,4685459,90,16,1,1,4683882,1
0,76678,59,15,11,0,74915,1
0,4782124,72,15,8,0,4781585,1
1,2810144,150,12,9,1,2809842,1
1,244383,106,14,9,1,242828,1
1,11536,9,18,9,1,10562,0
1,189308,103,14,9,1,187760,0
1,56392,10,18,9,1,54844,0
0,682801,117,14,8,0,681272,1
0,616961,114,14,7,0,615417,1
1,56811,2,17,9,1,55260,1
1,4875012,97,16,5,1,4874521,1
1,1565816,124,8,9,1,1564291,1
0,4776857,71,15,8,0,4776225,1
1,4912,19,21,9,1,4080,1
0,4967327,78,15,7,0,4966602,1
1,34744,158,12,9,1,33178,0
1,21634,30,29,10,1,20639,0
0,4874210,75,15,7,0,4872705,1
1,4626801,88,16,3,1,4625572,0
0,1579460,125,8,8,0,1577859,1
1,2790703,147,12,9,1,2789186,1
0,4803585,93,16,8,0,4802227,1
1,582162,112,14,9,1,580638,1
1,13354,34,32,9,1,11827,1
1,13439,25,26,9,1,11985,0
1,41821,41,34,9,1,40324,1
0,5282553,80,15,7,0,5281459,0
1,1518492,123,8,9,1,1516971,1
0,2882434,66,15,8,0,2880989,0
0,1789201,130,8,0,0,1788008,0
1,2900714,152,12,9,1,2899262,1
1,45373,137,11,9,1,43850,0
1,1639048,127,8,9,1,1637475,1
1,12732,29,28,10,1,11219,1
1,16779,35,32,9,1,15187,1
1,35078,135,11,9,1,33526,0
0,1792811,131,8,0,0,1791306,0
0,2586486,143,12,8,0,2584942,0
0,23403,31,30,7,0,22009,1
1,4496,23,24,9,1,3127,1
1,511211,111,14,3,1,509571,1
0,4064628,83,13,0,0,4063192,0
1,6249,27,3,9,1,4591,0
1,15374,54,44,9,1,14245,0
1,660088,115,14,9,1,658460,1
1,2436,18,21,9,1,1291,1
1,56650,37,32,9,1,55175,1
0,47277,43,35,8,0,45691,0
0,19432,0,17,8,0,17837,1
1,2797682,149,12,9,1,2796528,0
0,5380636,81,15,7,0,5379008,0
1,9494,53,43,9,1,7965,1
1,29574,17,20,9,1,28997,0
0,8343,28,27,7,0,6676,1
0,4971029,79,15,7,0,4969470,1
1,9188,134,10,9,1,7638,0
0,309925,107,14,8,0,308399,0
0,22070,22,23,7,0,20550,0
1,69439,11,18,9,1,67885,0
1,19005,48,39,9,1,17968,1
1,466780,109,14,12,1,465860,1
0,4542881,69,15,7,0,4541535,0
1,121323,5,17,9,1,119770,1
1,63306,44,35,9,1,61772,0
0,1057855,82,4,8,0,1056242,1
0,4658068,89,16,7,0,4656557,0
1,4871690,96,16,1,1,4870365,1
1,501101,110,14,9,1,499566,1
1,4907622,98,16,3,1,4906250,1
1,2769881,145,12,9,1,2769468,1
1,268059,141,12,9,1,266604,0
1,4067975,84,13,9,1,4066581,0
1,1589097,133,9,9,1,1587573,1
1,1182456,119,5,9,1,1180816,1
1,147206,101,14,9,1,145692,1
1,16687,55,45,9,1,14902,1
0,237565,105,14,7,0,236150,1
1,34585,40,34,9,1,33074,1
1,10341,8,2,9,1,9201,0
1,2794118,148,12,9,1,2793789,0
0,2972153,154,12,7,0,2970543,0
1,70716,138,11,9,1,69197,0
1,16196,26,26,9,1,14732,0
1,2653794,144,12,9,1,2652725,1
