Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation,Host_Taxon
0,0,1957169,124,117,19,0,28,1953366,0,6
0,0,1200116,54,5,1,0,15,1196301,1,5
1,0,2449393,148,141,8,1,13,2446677,1,7
0,0,1966167,33,36,19,0,22,1963411,1,5
0,0,62145,7,12,29,0,2,61864,1,1
0,0,2069666,127,120,22,0,28,2066351,0,6
0,0,2308247,204,197,7,0,43,2307577,0,9
0,0,765769,139,132,32,0,33,764270,0,8
0,0,37767,1,7,32,0,1,34525,1,0
0,0,603897,26,29,19,0,22,600274,1,5
0,0,2336954,84,78,19,0,19,2333202,0,5
1,0,1134638,104,97,21,1,24,1130899,1,6
0,0,2313444,80,74,19,0,19,2309641,0,5
0,0,5098514,207,200,22,0,43,5096660,1,9
0,0,4283484,155,148,6,0,13,4279741,1,7
0,0,7542966,208,201,24,0,43,7539256,0,9
0,0,7777943,168,161,6,0,13,7774500,0,7
0,0,1186466,52,5,1,0,15,1182723,1,5
0,0,12013049,184,177,6,0,13,12009273,1,7
0,0,7376461,166,159,7,0,13,7374150,0,7
0,0,15650717,191,184,6,0,13,15648225,1,7
0,0,3501676,150,143,6,0,13,3498395,0,7
0,0,3175883,39,2,11,0,21,3172254,0,5
0,0,15575977,190,183,6,0,13,15572300,0,7
0,0,2302259,78,72,19,0,19,2298363,0,5
0,0,4041319,220,213,31,0,42,4037516,0,9
0,0,10051797,212,205,24,0,43,10048057,1,9
0,0,284585,58,53,19,0,16,280740,0,5
0,0,2364879,200,193,6,0,12,2363188,0,7
0,0,7801604,170,163,6,0,13,7797783,1,7
0,0,576555,133,126,32,0,39,575134,0,8
0,0,629638,196,189,6,0,7,626021,1,7
0,0,2224448,123,116,23,0,27,2222719,0,6
0,0,3332,143,136,6,0,8,2571,1,7
1,0,967249,97,90,16,1,24,963552,1,6
1,0,72858,11,21,29,1,4,68880,1,3
0,0,14058896,187,180,6,0,13,14056908,0,7
0,0,123502,115,108,19,0,26,119669,0,6
0,0,65003,10,21,30,0,3,62277,1,2
0,0,145983,56,51,3,0,16,142360,1,5
0,0,7772134,167,160,6,0,13,7771136,0,7
0,0,1910918,32,35,19,0,22,1908330,1,5
0,0,1129781,103,96,19,0,24,1126050,1,6
0,0,59232,6,11,30,0,2,57178,1,1
0,0,979875,99,92,19,0,24,976177,1,6
