Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation,Host_Taxon
0,0,2416530,148,141,6,0,12,2412853,0,7
0,0,3663817,42,3,10,0,22,3660173,0,5
0,0,5954817,160,153,6,0,12,5951374,1,7
0,0,1171908,49,5,1,0,14,1168174,1,5
0,0,324588,68,63,18,0,16,320857,0,5
0,0,89469,61,56,18,0,16,85705,0,5
0,0,95167,134,127,31,0,31,91325,0,8
0,0,3058427,87,80,18,0,29,3054798,0,6
0,0,2318413,81,75,18,0,18,2314616,0,5
0,0,72448,18,17,26,0,6,68270,1,4
0,0,15575977,189,182,6,0,12,15572300,0,7
0,0,7376461,166,159,7,0,12,7374150,0,7
0,0,1643702,74,69,18,0,17,1639890,1,5
0,0,1066754,216,209,21,0,40,1065571,1,9
0,0,7007346,163,156,6,0,12,7005166,1,7
0,0,2216609,128,121,18,0,27,2212887,0,6
0,0,45538,59,54,18,0,16,41732,0,5
0,0,62173,9,22,28,0,3,61124,1,2
0,0,3879497,89,82,6,0,29,3875733,0,6
0,0,3998549,219,212,8,0,42,3996303,0,9
0,0,47179,21,24,18,0,0,43448,0,5
0,0,651422,202,195,18,0,43,647718,1,9
0,0,970358,97,90,14,0,23,968556,1,6
0,0,15188591,188,181,7,0,12,15186471,1,7
0,0,95588,131,124,31,0,32,91746,0,8
0,0,933349,95,88,18,0,23,929525,0,6
0,0,329342,69,64,18,0,16,325611,0,5
0,0,333473,24,27,0,0,21,329763,1,5
0,0,3332,142,135,6,0,8,2571,1,7
0,0,9582610,175,168,6,0,12,9579467,1,7
0,0,3501676,150,143,6,0,12,3498395,0,7
0,0,1021293,48,48,18,0,14,1017589,1,5
0,0,50499,8,13,31,0,3,46531,1,2
0,0,660379,138,131,31,0,35,656534,1,8
0,0,75831,60,55,18,0,16,72196,1,5
0,0,7124284,165,158,7,0,12,7121353,0,7
0,0,64291,12,14,31,0,4,60047,1,3
0,0,128558,116,109,21,0,25,125670,0,6
0,0,166154,65,60,18,0,16,162348,0,5
0,0,3620418,152,145,6,0,12,3616747,1,7
0,0,1908029,146,139,7,0,12,1905427,0,7
0,0,4935371,157,150,6,0,12,4931952,1,7
0,0,36414,5,10,27,0,2,33385,1,1
0,0,577054,90,83,18,0,29,573326,1,6
0,0,388457,25,28,18,0,21,386850,1,5
0,0,2071573,127,120,22,0,27,2069770,0,6
0,0,1705473,120,113,18,0,26,1701874,1,6
0,0,53020,4,22,28,0,1,48803,1,0
1,0,431084,201,194,24,1,43,427217,1,9
0,0,1849714,31,34,18,0,21,1845908,1,5
0,0,2296751,218,211,8,0,41,2295359,0,9
0,0,1309324,27,30,18,0,21,1307483,0,5
0,0,2151123,76,1,10,0,17,2147506,1,5
0,0,9578594,174,167,7,0,12,9577091,1,7
0,0,3071,198,191,7,0,10,1,1,7
0,1,1637142,73,68,18,0,17,1633333,1,5
0,0,132277,117,110,18,0,25,129494,0,6
0,0,15710916,192,185,6,0,12,15707113,0,7
0,0,4813930,141,134,6,0,8,4810370,0,7
0,0,1402028,57,52,18,0,15,1398297,0,5
0,0,1049774,215,208,21,0,40,1047327,1,9
0,0,15790203,193,186,6,0,12,15786472,0,7
0,0,35572,45,46,18,0,22,31850,1,5
0,0,1630586,72,67,18,0,17,1626783,1,5
0,0,10008881,178,171,7,0,12,10006623,0,7
0,0,7732801,209,202,18,0,43,7728989,0,9
0,0,2191903,77,71,18,0,18,2188100,0,5
0,0,63847,16,15,31,0,6,59612,1,4
0,0,2186645,217,210,6,0,41,2182830,0,9
0,0,2804198,205,198,21,0,43,2802744,1,9
0,0,820521,145,138,6,0,12,819496,1,7
0,0,1657273,75,70,18,0,17,1653761,1,5
0,0,1678839,94,87,14,0,30,1675105,1,6
0,0,7801604,170,163,6,0,12,7797783,1,7
0,0,9357129,210,203,18,0,43,9353467,0,9
0,0,52090,13,20,26,0,4,47957,1,3
0,0,1124935,101,94,14,0,23,1121207,1,6
0,0,2332044,83,77,18,0,18,2328241,0,5
0,0,2065035,125,118,18,0,27,2061388,0,6
0,0,53721,22,25,18,0,0,49990,0,5
0,0,652903,132,125,31,0,34,648881,1,8
0,0,985033,99,92,23,0,23,981335,1,6
0,0,2307206,79,73,18,0,18,2303436,0,5
0,0,2385281,147,140,7,0,12,2382667,0,7
0,0,28839,43,44,13,0,22,25132,1,5
0,0,11959711,183,176,7,0,12,11956169,0,7
0,0,319829,67,62,18,0,16,316098,0,5
0,0,4004773,206,199,19,0,43,4003152,0,9
0,0,91293,15,23,28,0,4,86278,1,3
0,0,4000548,153,146,6,0,12,3997084,1,7
0,0,10005750,177,170,6,0,12,10002838,0,7
0,0,9382536,211,204,9,0,43,9381414,1,9
0,0,1145528,106,99,25,0,23,1144470,1,6
1,0,5331246,38,41,16,1,21,5328981,0,5
0,0,447807,44,45,19,0,22,446937,0,5
0,0,2191719,121,114,14,0,26,2188102,1,6
0,0,2327068,82,76,18,0,18,2323274,0,5
1,0,159443,64,59,17,1,16,155850,0,5
0,0,977090,47,47,10,0,14,973266,0,5
0,0,1181603,51,5,1,0,14,1177872,1,5
0,0,3942314,40,42,18,0,20,3938604,0,5
1,0,1176752,50,49,2,1,14,1173039,1,5
0,0,1957169,123,116,18,0,27,1953366,0,6
0,0,1200116,54,5,1,0,14,1196301,1,5
0,0,2572317,149,142,6,0,12,2568583,0,7
0,0,1966167,33,36,18,0,21,1963411,1,5
0,0,62145,7,12,28,0,2,61864,1,1
0,0,2069666,126,119,21,0,27,2066351,0,6
0,0,2308247,204,197,7,0,43,2307577,0,9
0,0,765769,139,132,31,0,33,764270,0,8
0,0,37767,1,7,31,0,1,34525,1,0
0,0,603897,26,29,18,0,21,600274,1,5
0,0,2336954,84,78,18,0,18,2333202,0,5
1,0,1134638,103,96,20,1,23,1130899,1,6
0,0,2313444,80,74,18,0,18,2309641,0,5
0,0,5098514,207,200,21,0,43,5096660,1,9
0,0,4285337,156,149,6,0,12,4284348,1,7
0,0,7542966,208,201,23,0,43,7539256,0,9
0,0,7783560,169,162,7,0,12,7780308,0,7
0,0,1186466,52,5,1,0,14,1182723,1,5
0,0,12019079,185,178,6,0,12,12015300,1,7
0,0,7772134,167,160,6,0,12,7771136,0,7
0,0,15685855,191,184,7,0,12,15683891,0,7
0,0,3579565,151,144,7,0,12,3578197,1,7
0,0,3175883,39,2,10,0,20,3172254,0,5
0,0,15650717,190,183,6,0,12,15648225,1,7
0,0,2302259,78,72,18,0,18,2298363,0,5
0,0,4041319,220,213,30,0,42,4037516,0,9
0,0,10051797,212,205,23,0,43,10048057,1,9
0,0,284585,58,53,18,0,15,280740,0,5
0,0,726058,144,137,6,0,12,722345,1,7
0,0,8313586,171,164,6,0,12,8309909,0,7
0,0,576555,133,126,31,0,39,575134,0,8
0,0,2401,140,133,6,0,8,65,1,7
0,0,2224448,122,115,22,0,26,2222719,0,6
0,0,1736657,143,136,18,0,8,1732938,1,7
1,0,967249,96,89,15,1,23,963552,1,6
1,0,72858,11,21,28,1,4,68880,1,3
0,0,14275183,187,180,6,0,12,14273723,0,7
0,0,123502,114,107,18,0,25,119669,0,6
0,0,65003,10,21,29,0,3,62277,1,2
0,0,145983,56,51,3,0,15,142360,1,5
0,0,7777943,168,161,6,0,12,7774500,0,7
0,0,1910918,32,35,18,0,21,1908330,1,5
0,0,1129781,102,95,18,0,23,1126050,1,6
0,0,59232,6,11,29,0,2,57178,1,1
0,0,979875,98,91,18,0,23,976177,1,6
