Entity_Type,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Gene_Category,Strand_Orientation
1,7065,72,2,72,6076,1,1
1,532553,154,2,14,531252,1,0
1,28960,2,2,31,27503,1,1
1,1651,96,2,62,830,1,1
0,307836,152,8,14,304756,0,0
0,1330,12,8,50,2,0,0
1,492209,24,2,1,489726,1,0
0,704396,17,8,36,703461,0,0
0,225838,94,6,17,222980,0,0
0,24175,40,6,47,21059,0,1
1,1482,108,2,80,1,1,0
1,3560,33,2,65,861,1,0
0,40333,121,6,84,37199,0,1
0,296392,26,6,15,293633,0,0
1,694715,136,2,26,691713,1,0
0,212280,148,8,10,211864,0,0
1,232598,155,2,3,230508,1,0
0,52289,87,6,38,48939,0,1
1,796646,64,2,29,794730,1,0
1,762911,105,2,26,760413,1,0
1,1815,95,2,78,1,1,0
0,11460,145,7,95,9091,0,1
1,767496,97,2,29,766105,1,0
1,341160,156,2,3,338881,1,1
0,135805,157,6,5,132644,0,0
1,458580,59,2,18,455587,1,0
1,2735,81,2,74,246,1,1
1,4884,53,2,46,1753,1,1
0,562767,62,6,6,559651,0,0
0,720169,30,6,23,717008,0,0
0,11360,93,6,77,8184,0,1
0,1011,8,8,48,1,0,0
0,7732,69,6,71,4595,0,0
0,696,117,7,83,1,0,0
0,153763,104,5,21,151067,0,1
0,329442,68,7,17,326975,0,0
0,5115,58,5,38,2545,0,1
0,315827,127,6,15,312663,0,0
1,36371,143,2,93,34218,1,1
0,326955,34,6,18,323962,0,0
0,6322,47,6,15,3197,0,1
0,772874,150,6,28,769737,0,0
1,638513,75,2,7,636579,1,0
0,220362,118,5,18,217744,0,0
1,40751,44,2,68,38379,1,1
0,5438,140,7,90,3198,0,1
0,8449,124,6,45,5315,0,1
1,99546,111,2,12,97369,1,0
1,11809,41,2,66,9641,1,0
1,8362,135,2,87,5834,1,0
0,96112,115,6,1,92984,0,1
1,7840,71,2,16,6842,1,1
1,16287,37,2,60,13156,1,1
1,371763,4,9,45,371065,1,1
0,3141,92,7,61,982,0,1
1,5564,42,2,36,2433,1,1
0,567659,27,1,33,567123,0,0
0,634208,32,8,39,633441,0,0
0,34862,90,1,28,34431,0,1
1,742903,103,2,23,741965,1,0
1,11203,46,2,41,8075,1,1
1,12199,146,2,96,10430,1,0
1,631461,76,2,7,630235,1,0
0,2165,138,7,88,1,0,1
1,676357,31,2,23,675068,1,0
0,46094,78,5,37,43491,0,1
1,301337,23,2,5,298548,1,1
0,48145,3,4,30,47690,0,1
0,11508,110,5,81,8902,0,1
0,1015710,36,6,35,1014604,0,0
