Gene_Subclass,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
0,0,21,703891,73,0,23,701787,2,0
0,0,4,351915,202,0,57,350539,2,1
0,0,8,6111,23,0,68,4843,2,1
1,0,77,299939,227,1,11,297915,0,1
0,0,112,115059,161,0,22,112891,1,1
0,0,53,1036,15,0,63,2,3,1
0,0,129,28523,82,0,37,26538,1,1
1,0,20,547726,135,1,7,545198,0,0
0,0,114,19404,201,0,122,17227,1,0
0,0,129,1039862,78,0,37,1037046,1,0
0,0,126,2191081,89,0,53,2188577,1,1
1,0,27,52834,185,1,0,50840,0,0
1,0,7,13918,122,1,105,11750,0,1
1,0,32,18062,134,1,108,16122,0,1
1,0,103,62927,150,1,24,60651,0,1
1,0,113,34512,92,1,97,32440,0,1
0,0,121,5683,56,0,92,3845,3,0
1,0,23,1835456,207,1,48,1833030,0,0
0,0,21,711734,32,0,23,710958,2,0
0,0,30,482055,113,0,10,479794,1,0
1,0,92,89110,209,1,16,86993,0,1
0,0,44,71096,139,0,40,68619,1,1
0,0,96,7735,187,0,79,5258,1,1
0,0,27,2352753,131,0,53,2351474,2,0
1,0,100,5117,217,1,81,2943,0,0
0,0,79,120751,188,0,3,119534,3,1
0,0,17,9642,212,0,124,7252,1,0
0,0,121,28514,111,0,104,26043,1,0
0,0,57,1699,87,0,8,101,3,1
1,0,17,3774,18,1,65,1570,0,0
1,0,129,468090,40,1,2,465892,0,0
1,0,74,811009,211,1,32,808763,0,0
1,0,40,619207,205,1,9,617003,0,0
0,0,33,369971,60,0,55,367785,1,0
1,0,63,10067,28,1,45,8418,0,1
1,0,102,1108,162,1,76,1,0,0
0,0,121,3468,71,0,95,1171,1,0
1,0,110,813661,183,1,37,811541,0,0
0,0,83,560608,182,0,16,558551,1,0
1,0,18,961848,154,1,36,959689,0,0
0,0,67,915393,62,0,33,914149,2,0
0,0,111,6868,186,0,120,4559,1,1
0,0,131,50074,191,0,3,47909,1,1
0,0,119,487691,31,0,18,485538,1,0
1,0,125,17178,108,1,102,14941,0,1
0,0,13,669010,133,0,16,666635,1,0
0,0,15,2335,172,0,12,101,3,1
0,0,91,798,167,0,78,1,3,1
1,0,109,1167843,145,1,41,1165567,0,0
0,0,65,140815,228,0,11,140096,2,1
0,0,59,3637,164,0,33,1680,2,1
0,0,121,5471,138,0,111,3207,1,1
0,0,49,5333,21,0,66,3093,1,1
1,0,31,8253,103,1,41,6340,0,1
0,0,41,477141,200,0,7,476586,2,0
0,0,121,5583,99,0,99,3223,1,0
1,0,12,20192,204,1,29,18165,0,1
1,0,48,636865,80,1,20,634829,0,0
0,0,78,180595,119,0,59,178343,1,0
0,0,114,827,14,0,62,3,2,0
1,0,92,122003,229,1,11,119982,0,1
0,0,102,16433,195,0,80,14709,2,1
1,0,24,35613,197,1,121,33460,0,1
1,0,130,16106,74,1,96,14127,0,0
0,0,39,194620,125,0,54,192110,1,0
0,0,42,85349,66,0,4,84366,2,1
0,0,135,303473,216,0,12,301437,3,1
0,0,14,49973,26,0,23,48072,2,1
0,0,121,7225,106,0,101,4853,1,0
0,0,37,3201,59,0,74,2560,2,1
0,0,121,17152,137,0,110,14774,1,1
0,0,93,43304,158,0,56,40902,1,1
0,0,35,52112,104,0,44,49749,1,1
0,0,61,316113,226,0,11,313945,1,1
0,0,132,3704,22,0,67,1446,1,1
0,0,127,4679,115,0,39,2307,1,1
1,0,102,60946,147,1,53,58898,0,1
1,0,5,1287,19,1,69,1,0,0
0,0,121,3133,51,0,89,824,1,1
0,0,81,23314,236,0,2,21104,1,0
0,0,6,763294,177,0,26,761027,1,0
1,0,80,411395,37,1,13,410220,0,0
1,0,128,51771,234,1,35,49540,0,1
1,0,123,469090,34,1,1,466913,0,0
0,0,124,909502,75,0,34,907241,1,0
0,0,82,68193,148,0,25,66007,1,1
0,0,104,315631,215,0,12,313523,1,1
1,0,63,480279,206,1,45,478171,0,0
1,0,41,609383,79,1,20,607077,0,0
0,0,117,377705,98,0,58,375522,1,0
0,0,106,400277,27,0,10,398004,1,0
0,0,26,702444,213,0,22,701878,3,0
1,0,28,369509,61,1,13,367296,0,1
0,0,101,5540,44,0,84,3963,2,1
0,0,41,526037,39,0,3,525222,3,0
0,0,26,57522,126,0,22,55348,1,1
1,0,11,28472,221,1,46,26358,0,1
1,0,20,3258,210,1,123,754,0,1
0,0,120,66424,233,0,35,64094,1,1
1,0,64,16197,179,1,119,13717,0,1
0,0,121,1669,47,0,86,2,3,1
1,0,0,399311,93,1,14,397290,0,0
0,0,45,646569,184,0,12,644707,2,0
1,0,63,27218,68,1,50,24993,0,1
0,0,16,2152465,192,0,52,2150273,1,0
1,0,36,5726,0,1,125,3723,0,0
1,0,29,1909430,130,1,52,1907460,0,1
0,0,105,1835184,67,0,47,1832923,1,0
0,0,83,27070,141,0,16,24536,1,1
0,0,104,311650,214,0,12,309482,1,1
0,0,108,6765,194,0,80,4204,1,1
0,2,121,1518,58,0,93,1,3,1
1,0,25,477984,151,1,5,475453,0,0
1,0,70,19107,105,1,44,16912,0,1
1,0,133,2336,149,1,114,3,0,1
1,0,19,468765,85,1,53,466540,0,0
0,0,121,4334,96,0,98,1968,1,1
1,0,36,1028709,169,1,39,1026565,0,0
1,0,38,224206,203,1,34,222371,0,1
0,0,27,92121,140,0,40,90979,1,1
1,0,20,731499,33,1,23,729406,0,0
0,0,121,7491,127,0,22,5182,1,1
0,0,114,1333,16,0,64,3,2,0
0,0,46,14203,57,0,32,11819,1,1
0,0,77,1475,2,0,126,3,3,0
0,0,71,471716,220,0,5,470270,2,0
0,0,68,2123600,88,0,52,2121408,1,0
1,0,62,669243,189,1,18,667156,0,0
0,0,129,18709,35,0,27,16532,1,1
0,0,121,6479,136,0,109,5838,2,1
0,0,98,668634,157,0,24,666520,1,0
