Gene_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,60414,227,227,87,57859,1
0,1007699,206,206,23,1005114,1
0,7898,9,9,42,5274,1
0,245264,47,47,0,242583,0
0,4732,123,123,71,2051,0
0,21506,57,57,62,18858,0
0,23129,126,126,73,20358,1
0,472189,69,69,18,469499,0
1,1014233,134,134,31,1011738,0
0,34218,58,58,62,31414,0
0,2102129,102,102,31,2099463,1
0,82609,138,138,19,79808,1
0,1317329,98,98,30,1314768,0
1,396615,250,250,18,394090,1
0,565683,140,140,6,563344,1
0,10603,6,6,40,7772,1
0,212927,0,0,13,211077,1
1,276688,210,210,24,274223,0
0,652210,95,95,8,649424,0
0,10893,90,90,33,8359,1
0,4709,30,30,57,2067,1
0,119436,255,255,2,116878,0
0,14331,230,230,88,11776,1
0,1650945,11,11,31,1648582,1
0,7054,122,122,70,4541,0
0,456596,15,15,5,453903,1
0,3590,211,211,82,942,1
0,1816759,190,190,32,1814429,0
0,2010450,109,109,32,2008033,1
0,529696,176,176,1,526820,1
0,280853,62,62,23,278046,0
0,423886,65,65,6,421607,1
1,408724,139,139,35,406415,1
0,1036042,117,117,25,1033382,0
0,25731,8,8,41,22858,0
0,35248,50,50,61,32438,0
0,2099,2,2,37,3,1
1,903444,115,115,23,900637,0
0,460231,148,148,13,457457,1
0,2171498,183,183,31,2169063,1
0,817323,77,77,23,814468,0
0,35322,192,192,77,32611,1
0,585177,204,204,23,582301,0
0,41459,219,219,86,38613,1
0,584285,175,175,1,581721,0
0,404953,161,161,15,402317,0
0,16042,111,111,67,13142,0
1,574686,147,147,13,571897,1
0,596823,94,94,8,594229,1
1,71558,154,154,3,69066,0
0,1115182,220,220,24,1112378,0
0,556640,252,252,7,553878,0
0,22835,146,146,74,20457,0
0,65602,24,24,54,62846,0
0,321121,171,171,32,318503,0
0,3099,84,84,65,313,1
0,2201057,53,53,32,2198634,1
1,1882048,104,104,31,1879670,0
1,2065088,101,101,31,2062416,0
0,8030,144,144,74,5538,1
0,54570,27,27,44,51787,1
0,12466,229,229,87,9926,1
0,1745786,12,12,31,1743231,0
0,1189938,225,225,24,1187140,0
0,580806,93,93,8,578836,1
0,565358,82,82,32,563163,1
0,935144,131,131,31,932427,1
0,7331,91,91,48,4482,1
0,167573,36,36,19,164778,1
0,249052,71,71,9,246272,1
0,344245,13,13,0,341906,1
0,194602,248,248,9,191840,1
0,536061,256,256,15,533287,0
0,1851640,106,106,31,1848668,0
0,450835,66,66,6,448496,1
0,14547,20,20,52,12235,0
0,425184,137,137,16,422410,0
0,237391,70,70,9,234584,1
0,7271,22,22,53,4884,0
0,3982,1,1,36,1541,0
0,21057,155,155,3,18763,1
0,399549,239,239,16,396772,0
0,11601,39,39,59,9187,0
0,175571,92,92,28,172800,1
0,110238,228,228,87,107374,0
0,783613,76,76,23,780839,0
0,8573,215,215,84,6039,1
0,7513,3,3,38,4757,1
0,191757,114,114,10,188965,1
0,205713,246,246,9,202903,1
0,1484951,182,182,30,1482129,1
0,880730,133,133,31,877992,1
0,12861,240,240,89,10087,1
0,763632,129,129,31,761305,0
1,1152001,180,180,30,1149578,1
0,171302,231,231,12,169443,0
0,187696,247,247,9,185057,1
0,2180588,52,52,32,2178147,1
0,17047,37,37,45,14579,1
0,222070,178,178,5,219359,0
0,1181628,224,224,24,1179322,0
1,2776,48,48,61,113,1
0,950785,132,132,31,948302,1
0,8596,125,125,72,5819,0
0,24923,60,60,47,22032,0
1,42017,200,200,81,39222,0
0,1200167,194,194,23,1197396,0
0,696919,72,72,23,694046,0
1,316755,119,119,24,314314,0
0,428401,68,68,18,425663,0
0,381075,238,238,16,378301,0
1,2113696,51,51,31,2111357,0
0,272153,63,63,23,269451,0
0,22052,241,241,90,19278,1
0,198843,127,127,5,196225,0
0,775880,130,130,31,773208,1
0,421319,160,160,15,418704,0
0,180486,34,34,19,177754,1
0,11536,32,32,58,9554,1
0,15093,157,157,19,12226,0
