Gene_Type,Genomic_End_Position,Gene_Db_Id,Entity_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,11060,144,1,32,8994,1
1,2096,148,1,114,747,1
0,1138,5,0,108,2,0
1,8253,104,1,42,6340,1
1,1189025,189,1,52,1186812,0
1,496899,103,1,1,495853,0
0,1474,16,0,31,101,1
0,1039862,77,0,38,1037046,0
0,20107,69,0,51,17801,1
0,14203,58,0,33,11819,1
0,391932,7,0,59,389746,1
0,3932,163,0,119,1401,0
0,915393,63,0,34,914149,0
0,682195,70,0,19,679628,0
0,394758,20,0,9,393970,0
0,580782,170,0,21,579763,0
1,4883,41,1,83,2628,1
1,519612,205,1,28,517492,1
0,2976,165,0,78,781,0
0,1159648,146,0,42,1157084,0
0,7454,53,0,90,5259,1
1,654471,76,1,53,652312,1
0,2907,35,0,73,667,0
0,27924,6,0,17,26149,1
0,1705791,89,0,54,1703299,1
0,3230,130,0,22,921,1
0,2152,9,0,61,38,0
0,507624,192,0,3,505363,0
0,482055,114,0,10,479794,0
1,123424,232,1,8,121439,0
1,805063,180,1,39,803291,0
0,3147,42,0,84,535,1
0,7548,55,0,92,5362,0
0,11573,111,0,104,9210,0
1,369509,62,1,13,367296,1
0,707127,48,0,23,704929,0
0,351915,201,0,58,350539,1
0,6111,23,0,69,4843,1
0,307939,226,0,11,306221,1
1,464804,167,1,22,462621,1
0,1036,14,0,64,2,1
1,763015,83,1,38,760970,0
1,547726,137,1,7,545198,0
0,19404,200,0,123,17227,0
0,53099,223,0,39,50910,1
0,2191081,88,0,54,2188577,1
1,52834,184,1,0,50840,0
1,13918,124,1,106,11750,1
1,18062,136,1,109,16122,1
1,436942,177,1,24,434816,0
1,34512,91,1,98,32440,1
0,5683,57,0,93,3845,0
1,1835456,208,1,49,1833030,0
1,731499,31,1,23,729406,0
1,562476,174,1,10,560179,0
0,560608,181,0,16,558551,0
0,92121,142,0,41,90979,1
0,7735,186,0,80,5258,1
0,2352753,133,0,54,2351474,0
1,5117,217,1,82,2943,0
0,120751,187,0,3,119534,1
0,9642,214,0,125,7252,0
0,28514,112,0,105,26043,0
0,1699,86,0,8,101,1
1,3774,18,1,66,1570,0
1,468090,39,1,2,465892,0
0,3637,164,0,34,1680,1
1,619207,206,1,9,617003,0
0,369971,61,0,56,367785,0
1,10067,27,1,46,8418,1
1,1108,162,1,77,1,0
0,3468,71,0,96,1171,0
0,1009265,78,0,38,1006986,0
1,609450,135,1,16,607396,0
0,28523,81,0,38,26538,1
0,2650,25,0,35,386,1
0,6868,185,0,121,4559,1
0,50074,190,0,3,47909,1
1,669243,188,1,18,667156,0
1,17178,109,1,103,14941,1
0,4593,1,0,17,2230,1
0,161779,95,0,12,159506,1
0,798,168,0,79,1,1
1,1167843,147,1,42,1165567,0
1,299939,227,1,11,297915,1
1,18493,46,1,34,16673,1
0,5471,140,0,112,3207,1
0,5333,21,0,67,3093,1
0,59387,94,0,42,57738,1
0,477141,199,0,7,476586,0
0,5583,100,0,100,3223,0
1,40877,204,1,29,40377,1
1,175988,212,1,21,173664,0
0,180595,121,0,60,178343,0
0,827,13,0,63,3,0
0,140815,228,0,11,140096,1
0,16433,194,0,81,14709,1
1,35613,196,1,122,33460,1
1,16106,74,1,97,14127,0
0,194620,127,0,55,192110,0
0,85349,66,0,4,84366,1
0,311650,215,0,12,309482,1
0,703891,73,0,23,701787,0
0,7225,107,0,102,4853,0
0,3201,60,0,75,2560,1
0,17152,139,0,111,14774,1
0,43304,159,0,57,40902,1
0,52112,105,0,45,49749,1
0,2335,171,0,12,101,1
0,3704,22,0,68,1446,1
1,12933,115,1,40,10912,1
1,60946,149,1,54,58898,1
1,1287,19,1,70,1,0
0,3133,52,0,90,824,1
0,23314,236,0,2,21104,0
0,18709,34,0,27,16532,1
1,399311,92,1,14,397290,0
0,66424,233,0,36,64094,1
1,469090,33,1,1,466913,0
0,4184,235,0,36,1923,1
0,754574,175,0,26,752403,0
0,646569,183,0,12,644707,0
1,480279,207,1,46,478171,0
1,636865,80,1,20,634829,0
0,377705,99,0,59,375522,0
0,400277,26,0,10,398004,0
0,703107,151,0,22,702547,0
1,411395,36,1,13,410220,0
0,5540,43,0,85,3963,1
0,526037,38,0,3,525222,0
0,115059,161,0,22,112891,1
1,28472,221,1,47,26358,1
1,3258,211,1,124,754,1
1,961848,157,1,37,959689,0
1,16197,179,1,120,13717,1
0,1669,47,0,87,2,1
1,113111,169,1,15,111105,1
0,81116,4,0,13,80040,1
1,27218,68,1,51,24993,1
0,2152465,191,0,53,2150273,0
1,5726,0,1,126,3723,0
1,1909430,132,1,53,1907460,1
0,1835184,67,0,48,1832923,0
1,67187,210,1,16,64983,1
0,315631,216,0,12,313523,1
0,6765,193,0,81,4204,1
0,1518,59,0,94,1,1
1,477984,154,1,5,475453,0
1,19107,106,1,45,16912,1
1,2336,152,1,115,3,1
1,468765,84,1,54,466540,0
0,4334,97,0,99,1968,1
0,71096,141,0,41,68619,1
0,909502,75,0,35,907241,0
1,1116077,156,1,41,1113876,0
1,62927,153,1,24,60651,1
0,57522,128,0,22,55348,1
0,1333,15,0,65,3,0
1,811009,213,1,33,808763,0
0,1475,2,0,127,3,0
0,471716,220,0,5,470270,0
0,2123600,87,0,53,2121408,0
0,4215,72,0,19,1969,1
1,252998,134,1,28,250869,0
0,6479,138,0,110,5838,1
0,68193,150,0,25,66007,1
