Gene_Type,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,176,7957,142,142,126,5381,0
1,22,829858,119,119,37,827087,0
1,14,2071578,165,165,58,2068987,0
1,100,411543,245,245,31,408877,0
1,1,848494,163,163,35,847454,0
1,170,8756,145,145,45,5919,1
0,17,169188,306,306,44,166855,1
1,177,16396,294,294,149,13598,0
1,81,492103,129,129,0,489575,0
1,11,14953,302,302,53,12005,1
0,39,427483,287,287,46,425420,0
1,91,570499,252,252,27,567725,0
1,182,3857,103,103,118,1095,1
1,88,68621,192,192,57,67503,1
1,108,245943,61,61,4,244298,0
1,37,556405,240,240,28,554000,1
0,64,9141,221,221,137,8410,0
1,156,873816,172,172,52,871123,0
1,175,14712,222,222,91,11650,0
1,151,2360044,13,13,59,2358530,0
1,169,11256,254,254,92,8914,1
1,132,7825,90,90,114,5795,0
0,157,1137976,136,136,57,1133828,0
1,82,96498,209,209,29,94816,1
1,112,83774,188,188,15,82602,1
0,39,1981,297,297,99,2,0
1,141,483389,320,320,5,481422,0
0,179,85945,309,309,16,83153,1
0,67,21702,59,59,104,18811,0
0,63,22871,4,4,25,21810,1
1,61,5339,51,51,101,2904,1
0,107,728090,36,36,30,725151,0
1,89,3210,22,22,73,616,1
0,120,258722,219,219,9,256827,0
0,50,10587,182,182,132,8119,1
1,27,145152,315,315,13,142906,1
1,104,572075,300,300,17,569139,0
0,147,2028848,179,179,56,2027736,0
1,48,33122,281,281,42,30594,1
1,22,690828,274,274,37,688522,0
0,138,45706,261,261,2,43370,1
1,13,588116,3,3,8,586977,0
0,144,4613,117,117,5,1626,1
0,183,12865,289,289,39,9965,1
1,113,4342,81,81,32,1385,1
1,172,15683,257,257,95,12888,0
1,119,378832,38,38,63,376718,0
0,136,25602,134,134,51,22921,1
0,96,563158,321,321,21,560651,0
0,68,467624,171,171,11,464685,0
0,156,2010044,11,11,56,2009265,0
0,160,4567,55,55,80,1604,0
1,29,24449,112,112,85,21516,0
1,130,33240,54,54,41,30436,1
1,43,197559,194,194,9,195199,1
0,34,955,156,156,88,2,1
0,118,447897,285,285,46,446350,0
0,16,61849,46,46,65,60071,1
1,14,1721524,41,41,58,1718519,1
1,115,21022,62,62,105,18272,1
1,81,517997,131,131,0,514713,0
1,133,1984663,166,166,58,1981777,0
1,8,4543,137,137,124,1706,1
1,93,16034,125,125,24,13233,0
1,146,1133115,269,269,52,1130755,1
0,56,1973,1,1,154,3,1
1,35,1174681,75,75,48,1172813,0
0,106,3158,6,6,40,342,1
1,146,648458,161,161,22,645735,0
0,65,31215,301,301,68,30121,1
0,153,1171911,147,147,49,1168945,0
0,3,2772,318,318,13,301,1
1,19,265804,202,202,10,263906,0
0,5,496864,170,170,6,494066,0
1,151,1709527,107,107,59,1707056,1
1,124,29971,144,144,45,27197,1
1,31,5025,158,158,127,2677,1
1,108,474181,193,193,4,471830,0
0,119,20670,139,139,125,18052,1
0,83,1430611,98,98,52,1429409,0
1,133,2149200,265,265,58,2146741,0
1,109,30617,149,149,66,28410,1
0,183,750304,210,210,37,747923,0
1,2,10460,76,76,111,8049,1
1,100,754760,206,206,31,752910,0
1,98,6217,319,319,13,3602,1
1,6,396132,246,246,31,393928,0
1,82,128705,208,208,29,127131,1
1,186,496021,26,26,1,493463,0
1,27,56619,316,316,13,53854,1
0,173,4421,31,31,76,3684,1
0,103,117865,212,212,2,115973,1
0,95,6529,157,157,36,4547,1
1,22,174847,195,195,9,172793,1
1,4,8963,177,177,131,6399,1
0,166,6840,284,284,146,3826,0
1,60,1175229,146,146,49,1172704,0
1,142,110366,250,250,64,107442,1
1,41,7278,95,95,116,4399,0
1,165,22938,85,85,56,21226,1
1,138,1130391,198,198,46,1127446,0
1,35,11829,32,32,48,8980,1
1,49,1443,19,19,71,1,1
0,99,7112,282,282,145,4374,1
1,14,1008775,190,190,58,1006142,0
1,80,7245,290,290,147,4687,1
1,81,12451,176,176,130,9695,1
0,68,2274,50,50,78,1,0
1,85,2194888,106,106,59,2192474,1
1,124,905310,39,39,45,902803,0
0,183,729858,201,201,37,727477,0
1,43,214887,305,305,9,212992,0
0,153,34372,2,2,50,33320,1
0,112,38223,30,30,43,36197,1
1,78,18751,109,109,84,16475,1
1,133,2120212,105,105,58,2117660,0
1,25,3783,84,84,25,1453,1
1,123,596370,276,276,11,593812,0
1,81,19819,122,122,0,16985,1
0,8,392186,225,225,11,389424,0
0,114,36463,116,116,16,33455,1
1,138,439193,286,286,46,435576,0
0,107,598524,92,92,7,596251,0
1,151,342240,153,153,59,339421,1
1,33,107280,48,48,19,104554,0
1,128,2892,67,67,106,97,0
0,21,478312,10,10,11,477440,0
1,32,46833,74,74,110,44356,0
1,85,670094,37,37,59,667467,0
1,158,2020967,178,178,56,2018517,0
1,28,68416,262,262,2,66416,1
1,95,4460,127,127,87,2295,0
0,51,553364,251,251,18,550602,0
1,110,201254,159,159,60,198909,0
0,87,851849,120,120,37,849015,0
1,62,3538,292,292,98,857,1
1,150,12394,303,303,150,9605,0
0,90,748745,35,35,30,745776,0
1,131,14564,60,60,81,12819,1
0,186,39476,268,268,143,36720,1
1,102,13956,216,216,90,10954,0
1,125,58311,298,298,57,56848,1
0,8,645301,275,275,11,642806,0
1,5,5678,128,128,122,4257,1
1,159,458839,16,16,11,457553,0
0,45,811998,312,312,40,810235,0
1,23,26744,325,325,43,24147,1
0,158,968,8,8,153,3,0
1,48,905988,96,96,42,903148,0
1,117,9121,288,288,39,6152,1
1,8,582104,239,239,12,579438,0
1,123,79885,230,230,11,77750,1
1,154,2982,70,70,109,445,1
0,79,169312,66,66,55,166550,0
1,14,1113039,295,295,58,1110685,1
0,42,531490,33,33,3,528650,0
0,26,4734,123,123,86,2191,0
1,105,710712,200,200,37,708220,0
0,101,367390,217,217,62,364778,0
1,23,56555,324,324,43,54387,1
0,89,18183,234,234,139,15433,0
1,38,4073,5,5,69,1218,0
1,50,15577,69,69,108,12521,1
1,133,2028531,266,266,58,2025571,0
1,126,27589,108,108,83,25172,0
0,145,4119,43,43,34,967,1
1,138,27235,148,148,30,24623,1
1,74,783456,79,79,34,780772,0
0,77,11142,111,111,120,8839,1
1,16,242630,118,118,23,239769,1
1,79,10610,173,173,129,8169,1
1,155,106204,279,279,18,104012,1
1,72,16963,47,47,100,14936,0
1,60,9934,86,86,49,6965,1
1,37,577397,7,7,28,576201,0
1,36,1820,9,9,155,189,0
1,46,485801,34,34,3,483723,0
1,103,11541,326,326,43,8509,1
1,19,619021,152,152,14,617285,0
0,63,13820,28,28,25,12766,1
1,151,2325261,42,42,59,2323705,0
1,70,10910,88,88,113,8910,0
1,93,639965,258,258,24,637563,0
