Entity_Type,Gene_Description,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,0,492209,24,24,2,1,1,489726,0
0,0,704396,17,17,8,0,36,703461,0
0,0,225838,93,93,6,0,17,222980,0
0,0,24175,39,39,6,0,47,21059,1
1,0,1482,107,107,2,1,80,1,0
1,0,3560,32,32,2,1,65,861,0
0,0,40333,120,120,6,0,84,37199,1
0,0,6322,46,46,6,0,15,3197,1
1,0,694715,135,135,2,1,26,691713,0
1,0,201983,147,147,2,1,10,197949,0
1,0,232598,155,155,2,1,3,230508,0
0,0,52289,86,86,6,0,38,48939,1
1,0,796646,63,63,2,1,29,794730,0
1,0,762911,104,104,2,1,26,760413,0
1,0,1815,94,94,2,1,78,1,0
0,0,11460,144,144,7,0,95,9091,1
1,0,767496,96,96,2,1,29,766105,0
1,0,341160,156,156,2,1,3,338881,1
0,0,135805,157,157,6,0,5,132644,0
1,0,458580,58,58,2,1,18,455587,0
1,0,2735,80,80,2,1,74,246,1
1,0,4884,52,52,2,1,46,1753,1
0,0,562767,61,61,6,0,6,559651,0
0,0,720169,29,29,6,0,23,717008,0
0,0,11360,92,92,6,0,77,8184,1
0,0,1011,8,8,8,0,48,1,0
0,0,7732,68,68,6,0,71,4595,0
0,0,696,116,116,7,0,83,1,0
0,0,153763,103,103,5,0,21,151067,1
0,0,329442,67,67,7,0,17,326975,0
0,0,5115,57,57,5,0,38,2545,1
0,0,315827,126,126,6,0,15,312663,0
1,0,36371,142,142,2,1,93,34218,1
0,0,326955,33,33,6,0,18,323962,0
1,0,532553,154,154,2,1,14,531252,0
0,0,772874,150,150,6,0,28,769737,0
1,0,638513,74,74,2,1,7,636579,0
0,0,220362,117,117,5,0,18,217744,0
1,0,40751,43,43,2,1,68,38379,1
0,0,5438,139,139,7,0,90,3198,1
0,0,8449,123,123,6,0,45,5315,1
0,0,37772,136,136,6,0,11,34755,1
1,0,11809,40,40,2,1,66,9641,0
1,0,8362,134,134,2,1,87,5834,0
0,0,96112,114,114,6,0,1,92984,1
1,0,7840,70,70,2,1,16,6842,1
1,0,16287,36,36,2,1,60,13156,1
1,0,371763,4,4,9,1,45,371065,1
0,0,3141,91,91,7,0,61,982,1
1,0,5564,41,41,2,1,36,2433,1
0,0,567659,26,26,1,0,33,567123,0
0,0,634208,31,31,8,0,39,633441,0
0,0,34862,89,89,1,0,28,34431,1
1,0,742903,102,102,2,1,23,741965,0
1,0,11203,45,45,2,1,41,8075,1
1,0,12199,145,145,2,1,96,10430,0
1,0,631461,75,75,2,1,7,630235,0
0,0,2165,137,137,7,0,88,1,1
1,0,676357,30,30,2,1,23,675068,0
0,0,46094,77,77,5,0,37,43491,1
1,0,301337,23,23,2,1,5,298548,1
0,0,48145,3,3,4,0,30,47690,1
0,0,11508,109,109,5,0,81,8902,1
0,0,1015710,35,35,6,0,35,1014604,0
